 INPUT STRING:	أنا
        LEMMA:	[min_1]
   UNSPLITVOC:	(wamin)
          POS:	CONJ+PREP
          VOC:	wa+min
        GLOSS:	and+from

 INPUT STRING:	عمليات
     IS_TRANS:	EmlyAt
        INDEX:	P7W2
      OFFSETS:	5-11
       TOKENS:	P7W3-P7W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eamaliy~ap_1]
   UNSPLITVOC:	(Eamaliy~At)
          POS:	NOUN+NSUFF_FEM_PL
          VOC:	Eamaliy~+At
        GLOSS:	operation/mission/process/operations/missions/processes+[fem.pl.]

 INPUT STRING:	تزوير
     IS_TRANS:	tzwyr
        INDEX:	P7W3
      OFFSETS:	12-17
       TOKENS:	P7W4-P7W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tazowiyr_1]
   UNSPLITVOC:	(tazowiyr)
          POS:	NOUN
          VOC:	tazowiyr
        GLOSS:	forgery/falsification

 INPUT STRING:	الانتخابات
     IS_TRANS:	AlAntxAbAt
        INDEX:	P7W4
      OFFSETS:	18-28
       TOKENS:	P7W5-P7W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[{inotixAb_1]
   UNSPLITVOC:	(AlAinotixAbAt)
          POS:	DET+NOUN+NSUFF_FEM_PL
          VOC:	Al+{inotixAb+At
        GLOSS:	the+elections/selections+[fem.pl.]

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P7W5
      OFFSETS:	29-30
       TOKENS:	P7W6-P7W6
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P7W6
      OFFSETS:	30-31
       TOKENS:	P7W7-P7W7
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P7W7
      OFFSETS:	31-32
       TOKENS:	P7W8-P7W8
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P7W8
      OFFSETS:	32-33
       TOKENS:	P7W9-P7W9
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	ومن
     IS_TRANS:	wmn
        INDEX:	P8W1
      OFFSETS:	1-4
       TOKENS:	P8W1-P8W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(wamin)
          POS:	CONJ+PREP
          VOC:	wa+min
        GLOSS:	and+from

 INPUT STRING:	عمليات
     IS_TRANS:	EmlyAt
        INDEX:	P8W2
      OFFSETS:	5-11
       TOKENS:	P8W3-P8W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eamaliy~ap_1]
   UNSPLITVOC:	(Eamaliy~At)
          POS:	NOUN+NSUFF_FEM_PL
          VOC:	Eamaliy~+At
        GLOSS:	operation/mission/process/operations/missions/processes+[fem.pl.]

 INPUT STRING:	بيع
     IS_TRANS:	byE
        INDEX:	P8W3
      OFFSETS:	12-15
       TOKENS:	P8W4-P8W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bayE_1]
   UNSPLITVOC:	(bayE)
          POS:	NOUN
          VOC:	bayE
        GLOSS:	sale/selling

 INPUT STRING:	القطاع
     IS_TRANS:	AlqTAE
        INDEX:	P8W4
      OFFSETS:	16-22
       TOKENS:	P8W5-P8W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qiTAE_1]
   UNSPLITVOC:	(AlqiTAE)
          POS:	DET+NOUN
          VOC:	Al+qiTAE
        GLOSS:	the+groups/herds/flocks

 INPUT STRING:	العام
     IS_TRANS:	AlEAm
        INDEX:	P8W5
      OFFSETS:	23-28
       TOKENS:	P8W6-P8W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EAm_1]
   UNSPLITVOC:	(AlEAm)
          POS:	DET+ADJ
          VOC:	Al+EAm
        GLOSS:	the+general/common/public

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P8W6
      OFFSETS:	29-30
       TOKENS:	P8W7-P8W7
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P8W7
      OFFSETS:	30-31
       TOKENS:	P8W8-P8W8
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P8W8
      OFFSETS:	31-32
       TOKENS:	P8W9-P8W9
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P9W1
      OFFSETS:	1-3
       TOKENS:	P9W1-P9W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	ملفات
     IS_TRANS:	mlfAt
        INDEX:	P9W2
      OFFSETS:	4-9
       TOKENS:	P9W2-P9W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[milaf~ap_1]
   UNSPLITVOC:	(milaf~At)
          POS:	NOUN+NSUFF_FEM_PL
          VOC:	milaf~+At
        GLOSS:	dossier/letter file+[fem.pl.]

 INPUT STRING:	الفساد
     IS_TRANS:	AlfsAd
        INDEX:	P9W3
      OFFSETS:	10-16
       TOKENS:	P9W3-P9W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fasAd_1]
   UNSPLITVOC:	(AlfasAd)
          POS:	DET+NOUN
          VOC:	Al+fasAd
        GLOSS:	the+corruption

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P9W4
      OFFSETS:	17-18
       TOKENS:	P9W4-P9W4
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P9W5
      OFFSETS:	18-19
       TOKENS:	P9W5-P9W5
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P9W6
      OFFSETS:	19-20
       TOKENS:	P9W6-P9W6
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	ومن
     IS_TRANS:	wmn
        INDEX:	P10W1
      OFFSETS:	1-4
       TOKENS:	P10W1-P10W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(wamin)
          POS:	CONJ+PREP
          VOC:	wa+min
        GLOSS:	and+from

 INPUT STRING:	ثراء
     IS_TRANS:	vrA'
        INDEX:	P10W2
      OFFSETS:	5-9
       TOKENS:	P10W3-P10W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[varA'_1]
   UNSPLITVOC:	(varA')
          POS:	NOUN
          VOC:	varA'
        GLOSS:	wealth/abundance

 INPUT STRING:	فاحش
     IS_TRANS:	fAH$
        INDEX:	P10W3
      OFFSETS:	10-14
       TOKENS:	P10W4-P10W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fAHi$_1]
   UNSPLITVOC:	(fAHi$)
          POS:	ADJ
          VOC:	fAHi$
        GLOSS:	monstrous/obscene

 INPUT STRING:	يظهر
     IS_TRANS:	yZhr
        INDEX:	P10W4
      OFFSETS:	15-19
       TOKENS:	P10W5-P10W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Zahar_1]
   UNSPLITVOC:	(yiZohar)
          POS:	IV3MS+IV
          VOC:	yi+Zohar
        GLOSS:	he/it+appear/emerge

 INPUT STRING:	فجأة
     IS_TRANS:	fj>p
        INDEX:	P10W5
      OFFSETS:	20-24
       TOKENS:	P10W6-P10W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fajo>ap_1]
   UNSPLITVOC:	(fajo>ap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	fajo>+ap
        GLOSS:	suddenly+[fem.sg.]

 INPUT STRING:	وبدون
     IS_TRANS:	wbdwn
        INDEX:	P10W6
      OFFSETS:	25-30
       TOKENS:	P10W7-P10W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[duwn_1]
   UNSPLITVOC:	(wibiduwn)
          POS:	CONJ+PREP+NOUN
          VOC:	wi+bi+duwn
        GLOSS:	and+with/by+without/beneath/underneath/inferior/poor

 INPUT STRING:	اسباب
     IS_TRANS:	AsbAb
        INDEX:	P10W7
      OFFSETS:	31-36
       TOKENS:	P10W10-P10W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sabab_1]
   UNSPLITVOC:	(AsobAb)
          POS:	NOUN
          VOC:	AsobAb
        GLOSS:	reason/cause/because of/due to

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P10W8
      OFFSETS:	37-38
       TOKENS:	P10W11-P10W11
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P10W9
      OFFSETS:	38-39
       TOKENS:	P10W12-P10W12
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P10W10
      OFFSETS:	39-40
       TOKENS:	P10W13-P10W13
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P11W1
      OFFSETS:	1-3
       TOKENS:	P11W1-P11W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	دستور
     IS_TRANS:	dstwr
        INDEX:	P11W2
      OFFSETS:	4-9
       TOKENS:	P11W2-P11W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dusotuwr_1]
   UNSPLITVOC:	(dusotuwr)
          POS:	NOUN
          VOC:	dusotuwr
        GLOSS:	constitution

 INPUT STRING:	وقانون
     IS_TRANS:	wqAnwn
        INDEX:	P11W3
      OFFSETS:	10-16
       TOKENS:	P11W3-P11W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAnuwn_1]
   UNSPLITVOC:	(wiqAnuwn)
          POS:	CONJ+NOUN
          VOC:	wi+qAnuwn
        GLOSS:	and+law/statutes/regulations

 INPUT STRING:	لا
     IS_TRANS:	lA
        INDEX:	P11W4
      OFFSETS:	17-19
       TOKENS:	P11W5-P11W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lA_1]
   UNSPLITVOC:	(lA)
          POS:	NEG_PART
          VOC:	lA
        GLOSS:	no/not

 INPUT STRING:	يحترم
     IS_TRANS:	yHtrm
        INDEX:	P11W5
      OFFSETS:	20-25
       TOKENS:	P11W6-P11W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[AiHtaram_1]
   UNSPLITVOC:	(yiHtrm)
          POS:	IV3MS+IV_PASS
          VOC:	yi+Htrm
        GLOSS:	he/it+be respected

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P11W6
      OFFSETS:	26-27
       TOKENS:	P11W7-P11W7
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P11W7
      OFFSETS:	27-28
       TOKENS:	P11W8-P11W8
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P11W8
      OFFSETS:	28-29
       TOKENS:	P11W9-P11W9
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P12W1
      OFFSETS:	1-3
       TOKENS:	P12W1-P12W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	فرض
     IS_TRANS:	frD
        INDEX:	P12W2
      OFFSETS:	4-7
       TOKENS:	P12W2-P12W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[faroD_1]
   UNSPLITVOC:	(faroD)
          POS:	NOUN
          VOC:	faroD
        GLOSS:	imposing/levying

 INPUT STRING:	قوانين
     IS_TRANS:	qwAnyn
        INDEX:	P12W3
      OFFSETS:	8-14
       TOKENS:	P12W3-P12W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAnuwn_1]
   UNSPLITVOC:	(qawAniyn)
          POS:	NOUN+NSUFF_MASC_PL
          VOC:	qawAn+iyn
        GLOSS:	law/statutes/regulations+two

 INPUT STRING:	الاحكام
     IS_TRANS:	AlAHkAm
        INDEX:	P12W4
      OFFSETS:	15-22
       TOKENS:	P12W4-P12W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hukom_1]
   UNSPLITVOC:	(Al>aHokAm)
          POS:	DET+NOUN
          VOC:	Al+>aHokAm
        GLOSS:	the+statutes/laws

 INPUT STRING:	العرفية
     IS_TRANS:	AlErfyp
        INDEX:	P12W5
      OFFSETS:	23-30
       TOKENS:	P12W5-P12W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eurofiy_1]
   UNSPLITVOC:	(AlEurofiy~ap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+Eurofiy~+ap
        GLOSS:	the+conventional/traditional/secular/martial+[fem.sg.]

 INPUT STRING:	والطوارئ
     IS_TRANS:	wAlTwAr}
        INDEX:	P12W6
      OFFSETS:	31-39
       TOKENS:	P12W6-P12W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Taroqap_1]
   UNSPLITVOC:	(wiAlTawAri})
          POS:	CONJ+DET+NOUN
          VOC:	wi+Al+TawAri}
        GLOSS:	and+the+emergency

 INPUT STRING:	ومن
     IS_TRANS:	wmn
        INDEX:	P13W1
      OFFSETS:	1-4
       TOKENS:	P13W1-P13W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(wamin)
          POS:	CONJ+PREP
          VOC:	wa+min
        GLOSS:	and+from

 INPUT STRING:	ضرب
     IS_TRANS:	Drb
        INDEX:	P13W2
      OFFSETS:	5-8
       TOKENS:	P13W3-P13W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Darob_1]
   UNSPLITVOC:	(Darob)
          POS:	NOUN
          VOC:	Darob
        GLOSS:	strike/attack/bombardment

 INPUT STRING:	وسحل
     IS_TRANS:	wsHl
        INDEX:	P13W3
      OFFSETS:	9-13
       TOKENS:	P13W4-P13W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[saHol_1]
   UNSPLITVOC:	(wisaHol)
          POS:	CONJ+NOUN
          VOC:	wi+saHol
        GLOSS:	and+firing

 INPUT STRING:	شباب
     IS_TRANS:	$bAb
        INDEX:	P13W4
      OFFSETS:	14-18
       TOKENS:	P13W6-P13W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$Ab~_1]
   UNSPLITVOC:	($abAb)
          POS:	NOUN
          VOC:	$abAb
        GLOSS:	young man/young men

 INPUT STRING:	وفتيات
     IS_TRANS:	wftyAt
        INDEX:	P13W5
      OFFSETS:	19-25
       TOKENS:	P13W7-P13W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fatAp_1]
   UNSPLITVOC:	(wifatayAt)
          POS:	CONJ+NOUN+NSUFF_FEM_PL
          VOC:	wi+fatay+At
        GLOSS:	and+young girls+[fem.pl.]

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P13W6
      OFFSETS:	26-27
       TOKENS:	P13W9-P13W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wa_1]
   UNSPLITVOC:	(wa)
          POS:	CONJ
          VOC:	wa
        GLOSS:	and

 INPUT STRING:	النساء
     IS_TRANS:	AlnsA'
        INDEX:	P13W7
      OFFSETS:	28-34
       TOKENS:	P13W10-P13W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nisA'_1]
   UNSPLITVOC:	(Aln~isA')
          POS:	DET+NOUN
          VOC:	Al+nisA'
        GLOSS:	the+women

 INPUT STRING:	وقاضى
     IS_TRANS:	wqADY
        INDEX:	P13W8
      OFFSETS:	35-40
       TOKENS:	P13W11-P13W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qADiy_1]
   UNSPLITVOC:	(wiqADiy)
          POS:	CONJ+NOUN
          VOC:	wi+qADiy
        GLOSS:	and+judge/magistrate

 INPUT STRING:	رفيع
     IS_TRANS:	rfyE
        INDEX:	P13W9
      OFFSETS:	41-45
       TOKENS:	P13W13-P13W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rafiyE_1]
   UNSPLITVOC:	(rafiyE)
          POS:	ADJ
          VOC:	rafiyE
        GLOSS:	high-ranking/top-level

 INPUT STRING:	الشأن
     IS_TRANS:	Al$>n
        INDEX:	P13W10
      OFFSETS:	46-51
       TOKENS:	P13W14-P13W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$a>on_1]
   UNSPLITVOC:	(Al$~a>on)
          POS:	DET+NOUN
          VOC:	Al+$a>on
        GLOSS:	the+matter/affair/case/importance/status/situation/condition/affairs/matters

 INPUT STRING:	وصحفيات
     IS_TRANS:	wSHfyAt
        INDEX:	P13W11
      OFFSETS:	52-59
       TOKENS:	P13W15-P13W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[SaHafiy_1]
   UNSPLITVOC:	(wiSaHafiy~At)
          POS:	CONJ+NOUN+NSUFF_FEM_PL
          VOC:	wi+SaHafiy~+At
        GLOSS:	and+journalist/reporter+[fem.pl.]

 INPUT STRING:	ومصادرةكاميرات
     IS_TRANS:	wmSAdrpkAmyrAt
        INDEX:	P13W12
      OFFSETS:	60-74
       TOKENS:	P13W17-P13W17
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(wmSAdrpkAmyrAt)
          POS:	TYPO
          VOC:	wmSAdrpkAmyrAt
        GLOSS:	nogloss

 INPUT STRING:	لوكالات
     IS_TRANS:	lwkAlAt
        INDEX:	P13W13
      OFFSETS:	75-82
       TOKENS:	P13W18-P13W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wikAlap_1]
   UNSPLITVOC:	(liwakAlAt)
          POS:	PREP+NOUN+NSUFF_FEM_PL
          VOC:	li+wakAl+At
        GLOSS:	for/to+agencies+[fem.pl.]

 INPUT STRING:	انباء
     IS_TRANS:	AnbA'
        INDEX:	P13W14
      OFFSETS:	83-88
       TOKENS:	P13W20-P13W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[naba>_1]
   UNSPLITVOC:	(>anobA')
          POS:	NOUN
          VOC:	>anobA'
        GLOSS:	news items/reports

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P13W15
      OFFSETS:	89-90
       TOKENS:	P13W21-P13W21
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P13W16
      OFFSETS:	90-91
       TOKENS:	P13W22-P13W22
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P13W17
      OFFSETS:	91-92
       TOKENS:	P13W23-P13W23
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P13W18
      OFFSETS:	92-93
       TOKENS:	P13W24-P13W24
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P14W1
      OFFSETS:	1-3
       TOKENS:	P14W1-P14W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	تغيير
     IS_TRANS:	tgyyr
        INDEX:	P14W2
      OFFSETS:	4-9
       TOKENS:	P14W2-P14W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tagoyiyr_1]
   UNSPLITVOC:	(tagoyiyr)
          POS:	NOUN
          VOC:	tagoyiyr
        GLOSS:	change/modification/replacement

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P14W3
      OFFSETS:	10-12
       TOKENS:	P14W3-P14W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	البنية
     IS_TRANS:	Albnyp
        INDEX:	P14W4
      OFFSETS:	13-19
       TOKENS:	P14W4-P14W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[binoyap_1]
   UNSPLITVOC:	(Albinoyap)
