 INPUT STRING:	مصـــــــر
        INDEX:	P32W1
      OFFSETS:	0-4
       TOKENS:	P32W1-P32W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xal~aY_1]
   UNSPLITVOC:	(xal~uwA)
          POS:	CV+CVSUFF_SUBJ:2P
          VOC:	xal~+uwA
        GLOSS:	let/make+you

 INPUT STRING:	بالكم
     IS_TRANS:	bAlkm
        INDEX:	P32W2
      OFFSETS:	5-10
       TOKENS:	P32W2-P32W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bAl_1]
   UNSPLITVOC:	(bAlkum)
          POS:	NOUN+POSS_PRON_2P
          VOC:	bAl+kum
        GLOSS:	mind/attention+your

 INPUT STRING:	منى
     IS_TRANS:	mnY
        INDEX:	P32W3
      OFFSETS:	11-14
       TOKENS:	P32W4-P32W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min~iy)
          POS:	PREP+PRON_1S
          VOC:	min~+iy
        GLOSS:	from+me

 INPUT STRING:	وما
     IS_TRANS:	wmA
        INDEX:	P32W4
      OFFSETS:	15-18
       TOKENS:	P32W6-P32W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mA_1]
   UNSPLITVOC:	(wimA)
          POS:	CONJ+NEG_PART
          VOC:	wi+mA
        GLOSS:	and+not

 INPUT STRING:	تلتفتوش
     IS_TRANS:	tltftw$
        INDEX:	P32W5
      OFFSETS:	19-26
       TOKENS:	P32W8-P32W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Ailtafat_1]
   UNSPLITVOC:	(tiltfituw$)
          POS:	IV2P+IV+IVSUFF_SUBJ:P+NEG_PART
          VOC:	ti+ltfit+uw+$
        GLOSS:	you{pl.]+turn around/heed/consider+[pl.]+not

 INPUT STRING:	لاى
     IS_TRANS:	lAY
        INDEX:	P32W6
      OFFSETS:	27-30
       TOKENS:	P32W10-P32W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aay~_1]
   UNSPLITVOC:	(li>ay~)
          POS:	PREP+NOUN_QUANT
          VOC:	li+>ay~
        GLOSS:	for/to+any

 INPUT STRING:	اشاعه
     IS_TRANS:	A$AEh
        INDEX:	P32W7
      OFFSETS:	31-36
       TOKENS:	P32W12-P32W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<i$AEap_2]
   UNSPLITVOC:	(<i$AEap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	<i$AE+ap
        GLOSS:	rumor+[fem.sg.]

 INPUT STRING:	وتمشوا
     IS_TRANS:	wtm$wA
        INDEX:	P32W8
      OFFSETS:	37-43
       TOKENS:	P32W13-P32W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$iy_1]
   UNSPLITVOC:	(witimo$uwA)
          POS:	CONJ+IV2P+IV+IVSUFF_SUBJ:P
          VOC:	wi+ti+mo$+uwA
        GLOSS:	and+you[pl.]+walk+you[pl.]

 INPUT STRING:	وراها
     IS_TRANS:	wrAhA
        INDEX:	P32W9
      OFFSETS:	44-49
       TOKENS:	P32W15-P32W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[warA_1]
   UNSPLITVOC:	(warAhA)
          POS:	NOUN+POSS_PRON_3FS
          VOC:	warA+hA
        GLOSS:	behind/past/beyond+its/her

 INPUT STRING:	موضوعك
     IS_TRANS:	mwDwEk
        INDEX:	P33W1
      OFFSETS:	0-6
       TOKENS:	P33W1-P33W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mawDuwE_1]
   UNSPLITVOC:	(mawDuwEik)
          POS:	NOUN+POSS_PRON_2FS
          VOC:	mawDuwE+ik
        GLOSS:	subject/theme/issue+your[fem.sg.]

 INPUT STRING:	رائع
     IS_TRANS:	rA}E
        INDEX:	P33W2
      OFFSETS:	7-11
       TOKENS:	P33W3-P33W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rA}iE_1]
   UNSPLITVOC:	(rA}iE)
          POS:	ADJ
          VOC:	rA}iE
        GLOSS:	splendid/marvelous/magnificent

 INPUT STRING:	ياعتاب
     IS_TRANS:	yAEtAb
        INDEX:	P33W3
      OFFSETS:	12-18
       TOKENS:	P33W4-P33W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EitAb_1]
   UNSPLITVOC:	(yA_EitAb)
          POS:	VOC_PART+NOUN_PROP
          VOC:	yA+EitAb
        GLOSS:	oh+EitAb

 INPUT STRING:	تقبلى
     IS_TRANS:	tqblY
        INDEX:	P34W1
      OFFSETS:	0-5
       TOKENS:	P34W1-P34W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[qibil_1]
   UNSPLITVOC:	(taqabaliy)
          POS:	IV2FS+IV+IVSUFF_SUBJ:2FS
          VOC:	ta+qabal+iy
        GLOSS:	you[fem.seg.]+accept/receive+[fem.sg.]

 INPUT STRING:	مرورى
     IS_TRANS:	mrwrY
        INDEX:	P34W2
      OFFSETS:	6-11
       TOKENS:	P34W2-P34W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[muruwr_1]
   UNSPLITVOC:	(muruwriy)
          POS:	NOUN+POSS_PRON_1S
          VOC:	muruwr+iy
        GLOSS:	going (through)/passing (by)+my

 INPUT STRING:	اهلا
     IS_TRANS:	AhlA
        INDEX:	P35W1
      OFFSETS:	0-4
       TOKENS:	P35W1-P35W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AholAF_1]
   UNSPLITVOC:	(AholAF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	Ahol+AF
        GLOSS:	welcome+[acc.indef.]

 INPUT STRING:	رؤية
     IS_TRANS:	r&yp
        INDEX:	P35W2
      OFFSETS:	5-9
       TOKENS:	P35W2-P35W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[ru&oyap_1]
   UNSPLITVOC:	(ru&oyap)
          POS:	NOUN_PROP
          VOC:	ru&oyap
        GLOSS:	ru&oyap

 INPUT STRING:	وجودك
     IS_TRANS:	wjwdk
        INDEX:	P36W1
      OFFSETS:	0-5
       TOKENS:	P36W1-P36W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wujuwd_1]
   UNSPLITVOC:	(wujuwdik)
          POS:	NOUN+POSS_PRON_2FS
          VOC:	wujuwd+ik
        GLOSS:	presence/existence+your[fem.sg.]

 INPUT STRING:	هو
     IS_TRANS:	hw
        INDEX:	P36W2
      OFFSETS:	6-8
       TOKENS:	P36W3-P36W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[huw~a_1]
   UNSPLITVOC:	(huw~a)
          POS:	PRON_3MS
          VOC:	huw~a
        GLOSS:	it/he

 INPUT STRING:	الاجمل
     IS_TRANS:	AlAjml
        INDEX:	P36W3
      OFFSETS:	9-15
       TOKENS:	P36W4-P36W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>ajomal_1]
   UNSPLITVOC:	(Al>ajomal)
          POS:	DET+ADJ_COMP
          VOC:	Al+>ajomal
        GLOSS:	the+more/most beautiful

 INPUT STRING:	حبيبتي
     IS_TRANS:	Hbybty
        INDEX:	P36W4
      OFFSETS:	16-22
       TOKENS:	P36W5-P36W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Habiybap_1]
   UNSPLITVOC:	(Habiybtiy)
          POS:	NOUN+NSUFF_FEM_SG+POSS_PRON_1S
          VOC:	Habiyb+ap+iy
        GLOSS:	dear/beloved/sweetheart+[fem.sg.]+my

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P36W5
      OFFSETS:	23-24
       TOKENS:	P36W7-P36W7
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P36W6
      OFFSETS:	24-25
       TOKENS:	P36W8-P36W8
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	المشكلة
     IS_TRANS:	Alm$klp
        INDEX:	P37W1
      OFFSETS:	0-7
       TOKENS:	P37W1-P37W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mu$okilap_1]
   UNSPLITVOC:	(Almu$okilap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+mu$okil+ap
        GLOSS:	the+problem/issue+[fem.sg.]

 INPUT STRING:	يا
     IS_TRANS:	yA
        INDEX:	P37W2
      OFFSETS:	8-10
       TOKENS:	P37W2-P37W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yA_1]
   UNSPLITVOC:	(yA)
          POS:	VOC_PART
          VOC:	yA
        GLOSS:	O, oh

 INPUT STRING:	مصر
     IS_TRANS:	mSr
        INDEX:	P37W3
      OFFSETS:	11-14
       TOKENS:	P37W3-P37W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maSor_1]
   UNSPLITVOC:	(maSor)
          POS:	NOUN_PROP
          VOC:	maSor
        GLOSS:	Egypt

 INPUT STRING:	ان
     IS_TRANS:	An
        INDEX:	P37W4
      OFFSETS:	15-17
       TOKENS:	P37W4-P37W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~)
          POS:	SUB_CONJ
          VOC:	<in~
        GLOSS:	that

 INPUT STRING:	فيه
     IS_TRANS:	fyh
        INDEX:	P37W5
      OFFSETS:	18-21
       TOKENS:	P37W5-P37W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiyh)
          POS:	PREP+PRON_3MS
          VOC:	fiy+uh
        GLOSS:	there is+it/him

 INPUT STRING:	ناس
     IS_TRANS:	nAs
        INDEX:	P37W6
      OFFSETS:	22-25
       TOKENS:	P37W7-P37W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nAs_1]
   UNSPLITVOC:	(nAs)
          POS:	NOUN
          VOC:	nAs
        GLOSS:	people

 INPUT STRING:	مقتنعين
     IS_TRANS:	mqtnEyn
        INDEX:	P37W7
      OFFSETS:	26-33
       TOKENS:	P37W8-P37W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[muqotaniE_1]
   UNSPLITVOC:	(muqotaniEiyn)
          POS:	ADJ.VN+NSUFF_MASC_PL
          VOC:	muqotaniE+iyn
        GLOSS:	satisfied/content/convinced+[masc.pl.]

 INPUT STRING:	اننا
     IS_TRANS:	AnnA
        INDEX:	P37W8
      OFFSETS:	34-38
       TOKENS:	P37W9-P37W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~inA)
          POS:	SUB_CONJ+PRON_1P
          VOC:	<in~+nA
        GLOSS:	that+we

 INPUT STRING:	لو
     IS_TRANS:	lw
        INDEX:	P37W9
      OFFSETS:	39-41
       TOKENS:	P37W11-P37W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[law_1]
   UNSPLITVOC:	(law)
          POS:	SUB_CONJ
          VOC:	law
        GLOSS:	if

 INPUT STRING:	مخدناش
     IS_TRANS:	mxdnA$
        INDEX:	P37W10
      OFFSETS:	42-48
       TOKENS:	P37W12-P37W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xad_1]
   UNSPLITVOC:	(mA_xadnA$)
          POS:	NEG_PART+PV+PVSUFF_SUBJ:1P+NEG_PART
          VOC:	mA+xad+nA+$
        GLOSS:	not+take+we+not

 INPUT STRING:	حقنا
     IS_TRANS:	HqnA
        INDEX:	P37W11
      OFFSETS:	49-53
       TOKENS:	P37W15-P37W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Haq~_1]
   UNSPLITVOC:	(Haq~nA)
          POS:	NOUN+POSS_PRON_1P
          VOC:	Haq~+nA
        GLOSS:	right, prerogative, truth+our

 INPUT STRING:	دلوقت
     IS_TRANS:	dlwqt
        INDEX:	P37W12
      OFFSETS:	54-59
       TOKENS:	P37W17-P37W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dilowaqot_1]
   UNSPLITVOC:	(dilowaqot)
          POS:	ADV
          VOC:	dilowaqot
        GLOSS:	now/at this moment/at this time/at present

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P37W13
      OFFSETS:	60-62
       TOKENS:	P37W18-P37W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	هاناخده
     IS_TRANS:	hAnAxdh
        INDEX:	P37W14
      OFFSETS:	63-70
       TOKENS:	P37W19-P37W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Axa*_1]
   UNSPLITVOC:	(HanAx*uh)
          POS:	FUT_PART+IV1P+IV+IVSUFF_DO:3MS
          VOC:	Ha+n+Ax*+uh
        GLOSS:	will+we+take+he/it

 INPUT STRING:	بعدين
     IS_TRANS:	bEdyn
        INDEX:	P37W15
      OFFSETS:	71-76
       TOKENS:	P37W22-P37W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baEodayn_1]
   UNSPLITVOC:	(baEodayn)
          POS:	ADV
          VOC:	baEodayn
        GLOSS:	later/next

 INPUT STRING:	اتفرجي
     IS_TRANS:	Atfrjy
        INDEX:	P38W1
      OFFSETS:	0-6
       TOKENS:	P38W1-P38W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aitofar~aj_1]
   UNSPLITVOC:	(Aitofar~ajiy)
          POS:	CV+CVSUFF_SUBJ:2FS
          VOC:	Aitofar~aj+iy
        GLOSS:	watch/look at+you[fem.sg.][verb.]

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P38W2
      OFFSETS:	7-10
       TOKENS:	P38W2-P38W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	الاضرابات
     IS_TRANS:	AlADrAbAt
        INDEX:	P38W3
      OFFSETS:	11-20
       TOKENS:	P38W3-P38W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<iDorAb_1]
   UNSPLITVOC:	(Al<iDorAbAt)
          POS:	DET+NOUN+NSUFF_FEM_PL
          VOC:	Al+<iDorAb+At
        GLOSS:	the+strike/stoppage+[fem.pl.]

 INPUT STRING:	المواصلات
     IS_TRANS:	AlmwASlAt
        INDEX:	P39W1
      OFFSETS:	0-9
       TOKENS:	P39W1-P39W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[muwASolap_1]
   UNSPLITVOC:	(AlmuwASalAt)
          POS:	DET+NOUN+NSUFF_FEM_PL
          VOC:	Al+muwASal+At
        GLOSS:	the+transportation+[fem.pl.]

 INPUT STRING:	غليت
     IS_TRANS:	glyt
        INDEX:	P39W2
      OFFSETS:	10-14
       TOKENS:	P39W2-P39W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[giliy_1]
   UNSPLITVOC:	(giloyit)
          POS:	PV+PVSUFF_SUBJ:3FS
          VOC:	giloy+it
        GLOSS:	became expensive+it/she

 INPUT STRING:	قبل
     IS_TRANS:	qbl
        INDEX:	P39W3
      OFFSETS:	15-18
       TOKENS:	P39W3-P39W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qabol_1]
   UNSPLITVOC:	(qabol)
          POS:	NOUN
          VOC:	qabol
        GLOSS:	before

 INPUT STRING:	المرتبات
     IS_TRANS:	AlmrtbAt
        INDEX:	P39W4
      OFFSETS:	19-27
       TOKENS:	P39W4-P39W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[murat~ab_1]
   UNSPLITVOC:	(Almurat~abAt)
          POS:	DET+NOUN+NSUFF_FEM_PL
          VOC:	Al+murat~ab+At
        GLOSS:	the+salary/pay+[fem.pl.]

 INPUT STRING:	ما
     IS_TRANS:	mA
        INDEX:	P39W5
      OFFSETS:	28-30
       TOKENS:	P39W5-P39W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mA_1]
   UNSPLITVOC:	(mA)
          POS:	SUB_CONJ
          VOC:	mA
        GLOSS:	that/if/unless/whether/as long as/as soon as

 INPUT STRING:	تزيد
     IS_TRANS:	tzyd
        INDEX:	P39W6
      OFFSETS:	31-35
       TOKENS:	P39W6-P39W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[zAd_1]
   UNSPLITVOC:	(tiziyd)
          POS:	IV3FS+IV
          VOC:	ti+ziyd
        GLOSS:	it/they/she+increase/add/exceed

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P39W7
      OFFSETS:	36-39
       TOKENS:	P39W7-P39W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	حس
     IS_TRANS:	Hs
        INDEX:	P39W8
      OFFSETS:	40-42
       TOKENS:	P39W8-P39W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[His~_1]
   UNSPLITVOC:	(His~)
          POS:	NOUN
          VOC:	His~
        GLOSS:	sensation/perception

 INPUT STRING:	العلاوة
     IS_TRANS:	AlElAwp
        INDEX:	P39W9
      OFFSETS:	43-50
       TOKENS:	P39W9-P39W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EilAwap_1]
   UNSPLITVOC:	(AlEilAwap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+EilAw+ap
        GLOSS:	the+increase/raise/bonus/increases/raises/bonuses/in addition+[fem.sg.]

 INPUT STRING:	والزيادة
     IS_TRANS:	wAlzyAdp
        INDEX:	P39W10
      OFFSETS:	51-59
       TOKENS:	P39W10-P39W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ziyAdap_1]
   UNSPLITVOC:	(wiAlziyAdap)
          POS:	CONJ+DET+NOUN+NSUFF_FEM_SG
          VOC:	wi+Al+ziyAd+ap
        GLOSS:	and+the+increase/addition/raise/bonus+[fem.sg.]

 INPUT STRING:	اللي
     IS_TRANS:	Ally
        INDEX:	P39W11
      OFFSETS:	60-64
       TOKENS:	P39W12-P39W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	who

 INPUT STRING:	بيكلمونا
     IS_TRANS:	byklmwnA
        INDEX:	P39W12
      OFFSETS:	65-73
       TOKENS:	P39W13-P39W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kal~im_1]
   UNSPLITVOC:	(biyikal~imuwnA)
          POS:	PROG_PART+IV3P+IV+IVSUFF_SUBJ:P+IVSUFF_DO:1P
          VOC:	bi+yi+kal~im+uwA+nA
        GLOSS:	[present-tense]+they+speak/talk+we+us

 INPUT STRING:	عنها
     IS_TRANS:	EnhA
        INDEX:	P39W13
      OFFSETS:	74-78
       TOKENS:	P39W16-P39W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ean_1]
   UNSPLITVOC:	(EanhA)
          POS:	PREP+PRON_3FS
          VOC:	Ean+hA
        GLOSS:	about+it/them/her

 INPUT STRING:	الشعب
     IS_TRANS:	Al$Eb
        INDEX:	P40W1
      OFFSETS:	0-5
       TOKENS:	P40W1-P40W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$aEob_1]
   UNSPLITVOC:	(Al$~aEob)
          POS:	DET+NOUN
          VOC:	Al+$aEob
        GLOSS:	the+people/nation

 INPUT STRING:	يسكت
     IS_TRANS:	yskt
        INDEX:	P40W2
      OFFSETS:	6-10
       TOKENS:	P40W2-P40W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sikit_1]
   UNSPLITVOC:	(yisokut)
          POS:	IV3MS+IV
          VOC:	yi+sokut
        GLOSS:	he/it+be silent

 INPUT STRING:	بقا
     IS_TRANS:	bqA
        INDEX:	P40W3
      OFFSETS:	11-14
       TOKENS:	P40W3-P40W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[baqaY_1]
   UNSPLITVOC:	(baqaY)
          POS:	ADV
          VOC:	baqaY
        GLOSS:	so,then

 INPUT STRING:	والا
     IS_TRANS:	wAlA
        INDEX:	P40W4
      OFFSETS:	15-19
       TOKENS:	P40W4-P40W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[wal~A]
   UNSPLITVOC:	(wAl~A)
          POS:	CONJ
          VOC:	wAl~A
        GLOSS:	or

 INPUT STRING:	يطالب
     IS_TRANS:	yTAlb
        INDEX:	P40W5
      OFFSETS:	20-25
       TOKENS:	P40W5-P40W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[TAlib_1]
   UNSPLITVOC:	(yiTAlib)
          POS:	IV3MS+IV
          VOC:	yi+TAlib
        GLOSS:	he/it+demand/require

 INPUT STRING:	بحقه
     IS_TRANS:	bHqh
        INDEX:	P40W6
      OFFSETS:	26-30
       TOKENS:	P40W6-P40W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Haq~_1]
   UNSPLITVOC:	(biHaq~uh)
          POS:	PREP+NOUN+POSS_PRON_3MS
          VOC:	bi+Haq~+uh
        GLOSS:	with/by+against/towards+its/his

 INPUT STRING:	مصر
     IS_TRANS:	mSr
        INDEX:	P41W1
      OFFSETS:	0-3
       TOKENS:	P41W1-P41W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maSor_1]
   UNSPLITVOC:	(maSor)
          POS:	NOUN_PROP
          VOC:	maSor
        GLOSS:	Egypt

 INPUT STRING:	تقول
     IS_TRANS:	tqwl
        INDEX:	P41W2
      OFFSETS:	4-8
       TOKENS:	P41W2-P41W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(tiquwl)
          POS:	IV3FS+IV
          VOC:	ti+quwl
        GLOSS:	it/they/she+said/say/be said/say/(for example)

 INPUT STRING:	لكل
     IS_TRANS:	lkl
        INDEX:	P41W3
      OFFSETS:	9-12
       TOKENS:	P41W3-P41W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(likul~)
          POS:	PREP+NOUN_QUANT
          VOC:	li+kul~
        GLOSS:	for/to+all, entire, every, whole

 INPUT STRING:	الشعوب
     IS_TRANS:	Al$Ewb
        INDEX:	P41W4
      OFFSETS:	13-19
       TOKENS:	P41W5-P41W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$aEob_1]
   UNSPLITVOC:	(Al$~uEuwb)
          POS:	DET+NOUN
          VOC:	Al+$uEuwb
        GLOSS:	the+peoples/nations

 INPUT STRING:	:
     IS_TRANS:	:
