 INPUT STRING:	حبيب
          POS:	IV2FS+IV+IVSUFF_SUBJ:2FS+PREP+PRON_1S
          VOC:	ti+quwl+iy+li+iy
        GLOSS:	you+said/say/be said/say/(for example)+you+to/for+I

 INPUT STRING:	كلكوا
     IS_TRANS:	klkwA
        INDEX:	P12W63
      OFFSETS:	323-328
       TOKENS:	P12W96-P12W97
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(kul~kuw)
          POS:	NOUN_QUANT+POSS_PRON_2P
          VOC:	kul~+kuw
        GLOSS:	all+you

 INPUT STRING:	برضوا
     IS_TRANS:	brDwA
        INDEX:	P12W64
      OFFSETS:	329-334
       TOKENS:	P12W98-P12W98
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baroDuh_1]
   UNSPLITVOC:	(baroDuh)
          POS:	ADV
          VOC:	baroDuh
        GLOSS:	also

 INPUT STRING:	اللى
     IS_TRANS:	AllY
        INDEX:	P12W65
      OFFSETS:	335-339
       TOKENS:	P12W99-P12W99
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	which

 INPUT STRING:	انتوا
     IS_TRANS:	AntwA
        INDEX:	P12W66
      OFFSETS:	340-345
       TOKENS:	P12W100-P12W100
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ainotuw_1]
   UNSPLITVOC:	(Ainotuw)
          POS:	PRON_2P
          VOC:	Ainotuw
        GLOSS:	you

 INPUT STRING:	مين
     IS_TRANS:	myn
        INDEX:	P12W67
      OFFSETS:	346-349
       TOKENS:	P12W101-P12W101
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(miyn)
          POS:	REL_PRON
          VOC:	miyn
        GLOSS:	who

 INPUT STRING:	الخمسة
     IS_TRANS:	Alxmsp
        INDEX:	P12W68
      OFFSETS:	350-356
       TOKENS:	P12W102-P12W102
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xamosap_1]
   UNSPLITVOC:	(Alxamosap)
          POS:	DET+NOUN_NUM+NSUFF_FEM_SG
          VOC:	Al+xamos+ap
        GLOSS:	the+five+[fem.sg.]

 INPUT STRING:	ستى
     IS_TRANS:	stY
        INDEX:	P12W69
      OFFSETS:	357-360
       TOKENS:	P12W103-P12W103
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[sit~_1]
   UNSPLITVOC:	(sit~aY)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	sit~+aY
        GLOSS:	six+my

 INPUT STRING:	اللى
     IS_TRANS:	AllY
        INDEX:	P12W70
      OFFSETS:	361-365
       TOKENS:	P12W104-P12W104
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	which

 INPUT STRING:	علقوا
     IS_TRANS:	ElqwA
        INDEX:	P12W71
      OFFSETS:	366-371
       TOKENS:	P12W105-P12W105
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eal~aq_1]
   UNSPLITVOC:	(Eal~aquwA)
          POS:	PV+PVSUFF_SUBJ:3P
          VOC:	Eal~aq+uwA
        GLOSS:	hang/be hanged+they

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P12W72
      OFFSETS:	372-375
       TOKENS:	P12W106-P12W106
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	موضوعك
     IS_TRANS:	mwDwEk
        INDEX:	P12W73
      OFFSETS:	376-382
       TOKENS:	P12W107-P12W108
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mawDuwE_1]
   UNSPLITVOC:	(mawDuwEik)
          POS:	NOUN+POSS_PRON_2FS
          VOC:	mawDuwE+ik
        GLOSS:	subject/theme/issue+your

 INPUT STRING:	مع
     IS_TRANS:	mE
        INDEX:	P12W74
      OFFSETS:	383-385
       TOKENS:	P12W109-P12W109
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maEa_1]
   UNSPLITVOC:	(maEa)
          POS:	NOUN
          VOC:	maEa
        GLOSS:	with

 INPUT STRING:	احترامى
     IS_TRANS:	AHtrAmY
        INDEX:	P12W75
      OFFSETS:	386-393
       TOKENS:	P12W110-P12W111
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[{iHotirAm_1]
   UNSPLITVOC:	(AiHotirAmiy)
          POS:	NOUN+POSS_PRON_1S
          VOC:	{iHotirAm+iy
        GLOSS:	respect/honoring+my

 INPUT STRING:	يامدام
     IS_TRANS:	yAmdAm
        INDEX:	P12W76
      OFFSETS:	394-400
       TOKENS:	P12W112-P12W113
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[madAm_1]
   UNSPLITVOC:	(yAmadAm)
          POS:	VOC_PART+NOUN
          VOC:	yA+madAm
        GLOSS:	oh+madame/madam

 INPUT STRING:	او
     IS_TRANS:	Aw
        INDEX:	P12W77
      OFFSETS:	401-403
       TOKENS:	P12W114-P12W114
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aw_1]
   UNSPLITVOC:	(>aw)
          POS:	CONJ
          VOC:	>aw
        GLOSS:	or

 INPUT STRING:	ياانسة
     IS_TRANS:	yAAnsp
        INDEX:	P12W78
      OFFSETS:	404-410
       TOKENS:	P12W115-P12W116
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[|anisap_1]
   UNSPLITVOC:	(yA|anisap)
          POS:	VOC_PART+NOUN+NSUFF_FEM_SG
          VOC:	yA+|anis+ap
        GLOSS:	oh+miss+[fem.sg.]

 INPUT STRING:	دى
     IS_TRANS:	dY
        INDEX:	P12W79
      OFFSETS:	411-413
       TOKENS:	P12W117-P12W117
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[diy_1]
   UNSPLITVOC:	(diy)
          POS:	DEM_PRON_FS
          VOC:	diy
        GLOSS:	this

 INPUT STRING:	سطحية
     IS_TRANS:	sTHyp
        INDEX:	P12W80
      OFFSETS:	414-419
       TOKENS:	P12W118-P12W118
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[saToHiy~ap_1]
   UNSPLITVOC:	(saToHiy~ap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	saToHiy~+ap
        GLOSS:	flatness/superficiality+[fem.sg.]

 INPUT STRING:	عاجل
     IS_TRANS:	EAjl
        INDEX:	P13W1
      OFFSETS:	0-4
       TOKENS:	P13W1-P13W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EAjil_1]
   UNSPLITVOC:	(EAjil)
          POS:	ADJ
          VOC:	EAjil
        GLOSS:	urgent/speedy/at once/immediately

 INPUT STRING:	:
     IS_TRANS:	:
        INDEX:	P13W2
      OFFSETS:	5-6
       TOKENS:	P13W2-P13W2
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(:)
          POS:	PUNC
          VOC:	:
        GLOSS:	nogloss

 INPUT STRING:	دعاية
     IS_TRANS:	dEAyp
        INDEX:	P14W1
      OFFSETS:	0-5
       TOKENS:	P14W1-P14W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[diEAyap_1]
   UNSPLITVOC:	(diEAyap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	diEAy+ap
        GLOSS:	advertising/propaganda+[fem.sg.]

 INPUT STRING:	حازم
     IS_TRANS:	HAzm
        INDEX:	P14W2
      OFFSETS:	6-10
       TOKENS:	P14W2-P14W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAzim_1]
   UNSPLITVOC:	(HAzim)
          POS:	NOUN_PROP
          VOC:	HAzim
        GLOSS:	Hazim

 INPUT STRING:	صلاح
     IS_TRANS:	SlAH
        INDEX:	P14W3
      OFFSETS:	11-15
       TOKENS:	P14W3-P14W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[SalAH_2]
   UNSPLITVOC:	(SalAH)
          POS:	NOUN_PROP
          VOC:	SalAH
        GLOSS:	Salah

 INPUT STRING:	تكتسح
     IS_TRANS:	tktsH
        INDEX:	P14W4
      OFFSETS:	16-21
       TOKENS:	P14W4-P14W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<ikotasaH_1]
   UNSPLITVOC:	(takotasiH)
          POS:	IV2FS+IV
          VOC:	ta+kotasiH
        GLOSS:	she+plunder

 INPUT STRING:	كوكب
     IS_TRANS:	kwkb
        INDEX:	P14W5
      OFFSETS:	22-26
       TOKENS:	P14W5-P14W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kawkab_1]
   UNSPLITVOC:	(kawkab)
          POS:	NOUN
          VOC:	kawkab
        GLOSS:	planet

 INPUT STRING:	الارض
     IS_TRANS:	AlArD
        INDEX:	P14W6
      OFFSETS:	27-32
       TOKENS:	P14W6-P14W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aroD_1]
   UNSPLITVOC:	(Al>aroD)
          POS:	DET+NOUN
          VOC:	Al+>aroD
        GLOSS:	the+earth/territory/land/territories/land/earth/lands/territories

 INPUT STRING:	وبدأت
     IS_TRANS:	wbd>t
        INDEX:	P14W7
      OFFSETS:	33-38
       TOKENS:	P14W7-P14W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bada>_1]
   UNSPLITVOC:	(wibada>it)
          POS:	CONJ+PV+PVSUFF_SUBJ:3FS
          VOC:	wi+bada>+it
        GLOSS:	and+start/begin+it/they/she

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P14W8
      OFFSETS:	39-41
       TOKENS:	P14W9-P14W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	غزو
     IS_TRANS:	gzw
        INDEX:	P14W9
      OFFSETS:	42-45
       TOKENS:	P14W10-P14W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[gazow_1]
   UNSPLITVOC:	(gazow)
          POS:	NOUN
          VOC:	gazow
        GLOSS:	invasion/attack/aggression/raid/invasion/foray/incursion/raids/invasions/forays/incursions

 INPUT STRING:	القمر
     IS_TRANS:	Alqmr
        INDEX:	P14W10
      OFFSETS:	46-51
       TOKENS:	P14W11-P14W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qamar_1]
   UNSPLITVOC:	(Alqamar)
          POS:	DET+NOUN
          VOC:	Al+qamar
        GLOSS:	the+moon

 INPUT STRING:	وباقي
     IS_TRANS:	wbAqy
        INDEX:	P14W11
      OFFSETS:	52-57
       TOKENS:	P14W12-P14W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bAqiy_1]
   UNSPLITVOC:	(wibAqiy)
          POS:	CONJ+NOUN
          VOC:	wi+bAqiy
        GLOSS:	and+remainder

 INPUT STRING:	الكواكب
     IS_TRANS:	AlkwAkb
        INDEX:	P14W12
      OFFSETS:	58-65
       TOKENS:	P14W14-P14W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[kawokab_1]
   UNSPLITVOC:	(AlkawAkib)
          POS:	DET+NOUN
          VOC:	Al+kawAkib
        GLOSS:	the+planets/stars

