 INPUT STRING:	مارأيك
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Eaziyziy~_2]
   UNSPLITVOC:	(Eaziyziy~)
          POS:	ADJ
          VOC:	Eaziyziy~
        GLOSS:	dear/precious

 INPUT STRING:	الزائر
     IS_TRANS:	AlzA}r
        INDEX:	P14W3
      OFFSETS:	8-14
       TOKENS:	P14W3-P14W3
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[zA}ir_1]
   UNSPLITVOC:	(Alz~A}ir)
          POS:	DET+NOUN
          VOC:	Al+zA}ir
        GLOSS:	the+visitor/tourist

 INPUT STRING:	يتوجب
     IS_TRANS:	ytwjb
        INDEX:	P14W4
      OFFSETS:	15-20
       TOKENS:	P14W4-P14W4
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[tawaj~ab_1]
   UNSPLITVOC:	(yatawaj~abu)
          POS:	IV3MS+IV+IVSUFF_MOOD:I
          VOC:	ya+tawaj~ab+u
        GLOSS:	he/it+be necessary+[ind.]

 INPUT STRING:	عليك
     IS_TRANS:	Elyk
        INDEX:	P14W5
      OFFSETS:	21-25
       TOKENS:	P14W5-P14W6
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(Ealayka)
          POS:	PREP+PRON_2MS
          VOC:	EalaY+ka
        GLOSS:	on/above+you [masc.sg.]

 INPUT STRING:	التسجيل
     IS_TRANS:	Altsjyl
        INDEX:	P14W6
      OFFSETS:	26-33
       TOKENS:	P14W7-P14W7
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tasojiyl_1]
   UNSPLITVOC:	(Alt~asojiyl)
          POS:	DET+NOUN
          VOC:	Al+tasojiyl
        GLOSS:	the+registration/recording/documentation

 INPUT STRING:	للمشاهدة
     IS_TRANS:	llm$Ahdp
        INDEX:	P14W7
      OFFSETS:	34-42
       TOKENS:	P14W8-P14W9
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[mu$Ahadap_1]
   UNSPLITVOC:	(lilmu$Ahadap)
          POS:	PREP+DET+NOUN+NSUFF_FEM_SG
          VOC:	li+Al+mu$Ahad+ap
        GLOSS:	to/for+the+observation/viewing/inspection+[fem.sg.]

 INPUT STRING:	الرابط
     IS_TRANS:	AlrAbT
        INDEX:	P14W8
      OFFSETS:	43-49
       TOKENS:	P14W10-P14W10
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rAbiT_1]
   UNSPLITVOC:	(Alr~AbiT)
          POS:	DET+ADJ
          VOC:	Al+rAbiT
        GLOSS:	the+tying/connecting

 INPUT STRING:	للتسجيل
     IS_TRANS:	lltsjyl
        INDEX:	P14W9
      OFFSETS:	50-57
       TOKENS:	P14W11-P14W12
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tasojiyl_1]
   UNSPLITVOC:	(lilt~asojiyl)
          POS:	PREP+DET+NOUN
          VOC:	li+Al+tasojiyl
        GLOSS:	to/for+the+registration/recording/documentation

 INPUT STRING:	اضغط
     IS_TRANS:	ADgT
        INDEX:	P14W10
      OFFSETS:	58-62
       TOKENS:	P14W13-P14W13
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[DagaT_1]
   UNSPLITVOC:	(AuDoguTo)
          POS:	CV+CVSUFF_SUBJ:2MS
          VOC:	{uDoguT+o
        GLOSS:	press/push/click+you [verb]

 INPUT STRING:	هنا
     IS_TRANS:	hnA
        INDEX:	P14W11
      OFFSETS:	63-66
       TOKENS:	P14W14-P14W14
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hunA_1]
   UNSPLITVOC:	(hunA)
          POS:	ADV
          VOC:	hunA
        GLOSS:	here

 INPUT STRING:	]
     IS_TRANS:	]
        INDEX:	P14W12
      OFFSETS:	67-68
       TOKENS:	P14W15-P14W15
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(])
          POS:	PUNC
          VOC:	]
        GLOSS:	]

 INPUT STRING:	لا
     IS_TRANS:	lA
        INDEX:	P15W1
      OFFSETS:	1-3
       TOKENS:	P15W1-P15W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lA_1]
   UNSPLITVOC:	(lA)
          POS:	NEG_PART
          VOC:	lA
        GLOSS:	no/not

 INPUT STRING:	أؤيد
     IS_TRANS:	>&yd
        INDEX:	P15W2
      OFFSETS:	4-8
       TOKENS:	P15W2-P15W2
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>ay~ad_1]
   UNSPLITVOC:	(>u&ay~idu)
          POS:	IV1S+IV+IVSUFF_MOOD:I
          VOC:	>u+&ay~id+u
        GLOSS:	I+support/assist+[ind.]

 INPUT STRING:	اختيار
     IS_TRANS:	AxtyAr
        INDEX:	P15W3
      OFFSETS:	9-15
       TOKENS:	P15W3-P15W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AixotiyAr_1]
   UNSPLITVOC:	(AixotiyAr)
          POS:	NOUN
          VOC:	AixotiyAr
        GLOSS:	Gloss:TBA

 INPUT STRING:	الرجل
     IS_TRANS:	Alrjl
        INDEX:	P15W4
      OFFSETS:	16-21
       TOKENS:	P15W4-P15W4
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[rajul_1]
   UNSPLITVOC:	(Alr~ajul)
          POS:	DET+NOUN
          VOC:	Al+rajul
        GLOSS:	the+man

 INPUT STRING:	لأنه
     IS_TRANS:	l>nh
        INDEX:	P15W5
      OFFSETS:	22-26
       TOKENS:	P15W5-P15W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Ain~_1]
   UNSPLITVOC:	(liAin~uh)
          POS:	PREP+SUB_CONJ+PRON_3MS
          VOC:	li+Ain~+uh
        GLOSS:	for/to+that+it/he

 INPUT STRING:	اثناء
     IS_TRANS:	AvnA'
        INDEX:	P15W6
      OFFSETS:	27-32
       TOKENS:	P15W8-P15W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AvonA'_1]
   UNSPLITVOC:	(AvonA')
          POS:	NOUN
          VOC:	AvonA'
        GLOSS:	during/meanwhile/meantime

 INPUT STRING:	عمله
     IS_TRANS:	Emlh
        INDEX:	P15W7
      OFFSETS:	33-37
       TOKENS:	P15W9-P15W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eamal_1]
   UNSPLITVOC:	(Eamaluh)
          POS:	NOUN+POSS_PRON_3MS
          VOC:	Eamal+uh
        GLOSS:	work/action+his/its

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P15W8
      OFFSETS:	38-40
       TOKENS:	P15W11-P15W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	الوكالة
     IS_TRANS:	AlwkAlp
        INDEX:	P15W9
      OFFSETS:	41-48
       TOKENS:	P15W12-P15W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wikAlap_1]
   UNSPLITVOC:	(AlwikAlap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+wikAl+ap
        GLOSS:	the+agency+[fem.sg.]

 INPUT STRING:	وافق
     IS_TRANS:	wAfq
        INDEX:	P15W10
      OFFSETS:	49-53
       TOKENS:	P15W13-P15W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wAfiq_1]
   UNSPLITVOC:	(wAfiq)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	wAfiq+(null)
        GLOSS:	agree/ be in conformity+he/it

 INPUT STRING:	انه
     IS_TRANS:	Anh
        INDEX:	P15W11
      OFFSETS:	54-57
       TOKENS:	P15W14-P15W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~uh)
          POS:	SUB_CONJ+PRON_3MS
          VOC:	<in~+uh
        GLOSS:	that+it/he

 INPUT STRING:	يطبق
     IS_TRANS:	yTbq
        INDEX:	P15W12
      OFFSETS:	58-62
       TOKENS:	P15W16-P15W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Tab~aq_1]
   UNSPLITVOC:	(yiTab~aq)
          POS:	IV3MS+IV
          VOC:	yi+Tab~aq
        GLOSS:	he/it+apply/implement/be applied/be implemented

 INPUT STRING:	سياسة
     IS_TRANS:	syAsp
        INDEX:	P15W13
      OFFSETS:	63-68
       TOKENS:	P15W17-P15W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[siyAsap_1]
   UNSPLITVOC:	(siyAsap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	siyAs+ap
        GLOSS:	policy/policies+[fem.sg.]

 INPUT STRING:	امريكية
     IS_TRANS:	Amrykyp
        INDEX:	P15W14
      OFFSETS:	69-76
       TOKENS:	P15W18-P15W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AamoriykAniy_1]
   UNSPLITVOC:	(Amoriykiy~ap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	Amoriykiy~+ap
        GLOSS:	american+[fem.sg.]

 INPUT STRING:	وكنت
     IS_TRANS:	wknt
        INDEX:	P16W1
      OFFSETS:	1-5
       TOKENS:	P16W1-P16W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(wikunt)
          POS:	CONJ+PV+PVSUFF_SUBJ:1S
          VOC:	wi+kun+t
        GLOSS:	and+be+I

 INPUT STRING:	هقول
     IS_TRANS:	hqwl
        INDEX:	P16W2
      OFFSETS:	6-10
       TOKENS:	P16W3-P16W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(HaAaquwl)
          POS:	FUT_PART+IV1S+IV
          VOC:	Ha+Aa+quwl
        GLOSS:	will+I+said/say/be said/say/(for example)

 INPUT STRING:	الملحوظة
     IS_TRANS:	AlmlHwZp
        INDEX:	P16W3
      OFFSETS:	11-19
       TOKENS:	P16W5-P16W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maloHuwZap_1]
   UNSPLITVOC:	(AlmaloHuwZap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+maloHuwZ+ap
        GLOSS:	the+observation/note/remark+[fem.sg.]

 INPUT STRING:	بتاعت
     IS_TRANS:	btAEt
        INDEX:	P16W4
      OFFSETS:	20-25
       TOKENS:	P16W6-P16W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bitAE_1]
   UNSPLITVOC:	(bitAEit)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	bitAE+ap
        GLOSS:	property/commodities/goods+[fem.sg.]

 INPUT STRING:	الاخ
     IS_TRANS:	AlAx
        INDEX:	P16W5
      OFFSETS:	26-30
       TOKENS:	P16W7-P16W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>ax~_1]
   UNSPLITVOC:	(Al>ax~)
          POS:	DET+NOUN
          VOC:	Al+>ax~
        GLOSS:	the+brother

 INPUT STRING:	يوسف
     IS_TRANS:	ywsf
        INDEX:	P16W6
      OFFSETS:	31-35
       TOKENS:	P16W8-P16W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yuwsif_1]
   UNSPLITVOC:	(yuwsif)
          POS:	NOUN_PROP
          VOC:	yuwsif
        GLOSS:	Youssef

 INPUT STRING:	مشكورا
     IS_TRANS:	m$kwrA
        INDEX:	P16W7
      OFFSETS:	36-42
       TOKENS:	P16W9-P16W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ma$okuwr_1]
   UNSPLITVOC:	(ma$okuwrAF)
          POS:	ADJ+CASE_INDEF_ACC
          VOC:	ma$okuwr+AF
        GLOSS:	praiseworthy/deserving thanks+[acc.indef.]

 INPUT STRING:	ان
     IS_TRANS:	An
        INDEX:	P16W8
      OFFSETS:	43-45
       TOKENS:	P16W10-P16W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~)
          POS:	SUB_CONJ
          VOC:	<in~
        GLOSS:	that

 INPUT STRING:	البرادعى
     IS_TRANS:	AlbrAdEY
        INDEX:	P16W9
      OFFSETS:	46-54
       TOKENS:	P16W11-P16W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[barAdiEiy_1]
   UNSPLITVOC:	(AlbarAdiEiy)
          POS:	DET+NOUN_PROP
          VOC:	Al+barAdiEiy
        GLOSS:	the+Baradei

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P16W10
      OFFSETS:	55-57
       TOKENS:	P16W12-P16W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	عالم
     IS_TRANS:	EAlm
        INDEX:	P16W11
      OFFSETS:	58-62
       TOKENS:	P16W13-P16W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EAlim_1]
   UNSPLITVOC:	(EAlim)
          POS:	NOUN
          VOC:	EAlim
        GLOSS:	scientist/scholar/scholars/scientists

 INPUT STRING:	تحياتى
     IS_TRANS:	tHyAtY
        INDEX:	P17W1
      OFFSETS:	1-7
       TOKENS:	P17W1-P17W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[taHiy~ap_1]
   UNSPLITVOC:	(taHiy~Atiy)
          POS:	NOUN+NSUFF_FEM_SG+POSS_PRON_1S
          VOC:	taHiy~+At+iy
        GLOSS:	greeting/salute+[fem.pl.]+my

 INPUT STRING:	إقتباس
     IS_TRANS:	<qtbAs
        INDEX:	P18W1
      OFFSETS:	1-7
       TOKENS:	P18W1-P18W1
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[{iqotibAs_1]
   UNSPLITVOC:	(AiqotibAs)
          POS:	NOUN
          VOC:	{iqotibAs
        GLOSS:	quotation/acquisition/adaptation

 INPUT STRING:	:
     IS_TRANS:	:
        INDEX:	P18W2
      OFFSETS:	7-8
       TOKENS:	P18W2-P18W2
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(:)
          POS:	PUNC
          VOC:	:
        GLOSS:	:

 INPUT STRING:	الوكالة
     IS_TRANS:	AlwkAlp
        INDEX:	P19W1
      OFFSETS:	1-8
       TOKENS:	P19W1-P19W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wikAlap_1]
   UNSPLITVOC:	(AlwikAlap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+wikAl+ap
        GLOSS:	the+agency+[fem.sg.]

 INPUT STRING:	التى
     IS_TRANS:	AltY
        INDEX:	P19W2
      OFFSETS:	9-13
       TOKENS:	P19W2-P19W2
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[Al~a*iy_1]
   UNSPLITVOC:	(Al~atiy)
          POS:	REL_PRON
          VOC:	Al~atiy
        GLOSS:	which/who/whom [fem.sg.]

 INPUT STRING:	كان
     IS_TRANS:	kAn
        INDEX:	P19W3
      OFFSETS:	14-17
       TOKENS:	P19W3-P19W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(kAn)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	kAn+(null)
        GLOSS:	be+he/it

 INPUT STRING:	الرجل
     IS_TRANS:	Alrjl
        INDEX:	P19W4
      OFFSETS:	18-23
       TOKENS:	P19W4-P19W4
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[rajul_1]
   UNSPLITVOC:	(Alr~ajul)
          POS:	DET+NOUN
          VOC:	Al+rajul
        GLOSS:	the+man

 INPUT STRING:	اميناً
     IS_TRANS:	AmynAF
        INDEX:	P19W5
      OFFSETS:	24-30
       TOKENS:	P19W5-P19W5
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>amiyn_3]
   UNSPLITVOC:	(>amiynAF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	>amiyn+AF
        GLOSS:	secretary+[acc.indef.]

 INPUT STRING:	عاماً
     IS_TRANS:	EAmAF
        INDEX:	P19W6
      OFFSETS:	31-36
       TOKENS:	P19W6-P19W6
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[EAm~_1]
   UNSPLITVOC:	(EAm~AF)
          POS:	ADJ+CASE_INDEF_ACC
          VOC:	EAm~+AF
        GLOSS:	general/common/public+[acc.indef.]

 INPUT STRING:	لها
     IS_TRANS:	lhA
        INDEX:	P19W7
      OFFSETS:	37-40
       TOKENS:	P19W7-P19W8
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[li-_1]
   UNSPLITVOC:	(lahA)
          POS:	PREP+PRON_3FS
          VOC:	la+hA
        GLOSS:	to/for+it/them/her (it/she has, they have)

 INPUT STRING:	هى
     IS_TRANS:	hY
        INDEX:	P19W8
      OFFSETS:	41-43
       TOKENS:	P19W9-P19W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hiy~a_1]
   UNSPLITVOC:	(hiy~a)
          POS:	PRON_3FS
          VOC:	hiy~a
        GLOSS:	it/she

 INPUT STRING:	وكالة
     IS_TRANS:	wkAlp
        INDEX:	P19W9
      OFFSETS:	44-49
       TOKENS:	P19W10-P19W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wikAlap_1]
   UNSPLITVOC:	(wikAlap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	wikAl+ap
        GLOSS:	agency+[fem.sg.]

 INPUT STRING:	تابعة
     IS_TRANS:	tAbEp
        INDEX:	P19W10
      OFFSETS:	50-55
       TOKENS:	P19W11-P19W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[tAbiE_1]
   UNSPLITVOC:	(tAbEap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	tAbE+ap
        GLOSS:	subordinate/adherent/belonging (to)+[fem.sg.]

 INPUT STRING:	للامم
     IS_TRANS:	llAmm
        INDEX:	P19W11
      OFFSETS:	56-61
       TOKENS:	P19W12-P19W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>umam_1]
   UNSPLITVOC:	(liAl>umam)
          POS:	PREP+DET+NOUN_PROP
          VOC:	li+Al+>umam
        GLOSS:	to/for+the+Nations

 INPUT STRING:	المتحدة
     IS_TRANS:	AlmtHdp
        INDEX:	P19W12
      OFFSETS:	62-69
       TOKENS:	P19W14-P19W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[mut~aHidap_1]
   UNSPLITVOC:	(Almut~aHidap)
          POS:	DET+NOUN_PROP
          VOC:	Al+mut~aHidap
        GLOSS:	the+United

 INPUT STRING:	وهذة
     IS_TRANS:	wh*p
        INDEX:	P20W1
      OFFSETS:	1-5
       TOKENS:	P20W1-P20W2
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[h`*A_1]
   UNSPLITVOC:	(wah`*ihi)
          POS:	CONJ+DEM_PRON_F
          VOC:	wa+h`*ihi
        GLOSS:	and+this/these

 INPUT STRING:	الامم
     IS_TRANS:	AlAmm
        INDEX:	P20W2
      OFFSETS:	7-12
       TOKENS:	P20W3-P20W3
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>um~ap_1]
   UNSPLITVOC:	(Al>umam)
          POS:	DET+NOUN_PROP
          VOC:	Al+>umam
        GLOSS:	the+Nations

 INPUT STRING:	المتحدة
     IS_TRANS:	AlmtHdp
        INDEX:	P20W3
      OFFSETS:	13-20
       TOKENS:	P20W4-P20W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[mut~aHidap_1]
   UNSPLITVOC:	(Almut~aHidap)
          POS:	DET+NOUN_PROP
          VOC:	Al+mut~aHidap
        GLOSS:	the+United

 INPUT STRING:	تحركها
     IS_TRANS:	tHrkhA
        INDEX:	P20W4
      OFFSETS:	23-29
       TOKENS:	P20W5-P20W6
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Har~ak_1]
   UNSPLITVOC:	(tuHar~ikuhA)
          POS:	IV3FS+IV+IVSUFF_MOOD:I+IVSUFF_DO:3FS
          VOC:	tu+Har~ik+u+hA
        GLOSS:	it/they/she+make move/activate/stimulate+[ind.]+it/them/her

 INPUT STRING:	الدول
     IS_TRANS:	Aldwl
        INDEX:	P20W5
      OFFSETS:	30-35
       TOKENS:	P20W7-P20W7
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[dawolap_1]
   UNSPLITVOC:	(Ald~uwal)
          POS:	DET+NOUN
          VOC:	Al+duwal
        GLOSS:	the+states/countries

 INPUT STRING:	الكبرى
     IS_TRANS:	AlkbrY
        INDEX:	P20W6
      OFFSETS:	36-42
       TOKENS:	P20W8-P20W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[kabiyr_1]
   UNSPLITVOC:	(AlkuboraY)
          POS:	DET+ADJ
          VOC:	Al+kuboraY
        GLOSS:	the+large/great

 INPUT STRING:	والتى
     IS_TRANS:	wAltY
        INDEX:	P20W7
      OFFSETS:	43-48
       TOKENS:	P20W9-P20W10
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[Al~a*iy_1]
   UNSPLITVOC:	(waAl~atiy)
          POS:	CONJ+REL_PRON
          VOC:	wa+Al~atiy
        GLOSS:	and+which/who/whom [fem.sg.]

 INPUT STRING:	صنعتها
     IS_TRANS:	SnEthA
        INDEX:	P20W8
      OFFSETS:	49-55
       TOKENS:	P20W11-P20W12
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[SanaE-a_1]
   UNSPLITVOC:	(SanaEatohA)
          POS:	PV+PVSUFF_SUBJ:3FS+PVSUFF_DO:3FS
          VOC:	SanaE+at+hA
        GLOSS:	fabricate/design/build+it/they/she [verb]+it/them/her

 INPUT STRING:	بالاساس
     IS_TRANS:	bAlAsAs
        INDEX:	P20W9
      OFFSETS:	56-63
       TOKENS:	P20W13-P20W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>asAs_1]
   UNSPLITVOC:	(biAl>asAs)
          POS:	PREP+DET+NOUN
          VOC:	bi+Al+>asAs
        GLOSS:	with/by+the+foundation/basis/foundations/bases/primarily/basically

 INPUT STRING:	لتنفيذ
     IS_TRANS:	ltnfy*
        INDEX:	P20W10
      OFFSETS:	64-70
       TOKENS:	P20W15-P20W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tanofiy*_1]
   UNSPLITVOC:	(litanofiy*)
          POS:	PREP+NOUN
          VOC:	li+tanofiy*
        GLOSS:	for/to+implementation/execution/carrying out

 INPUT STRING:	اطماعها
     IS_TRANS:	ATmAEhA
        INDEX:	P20W11
      OFFSETS:	71-78
       TOKENS:	P20W17-P20W18
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[TamaE_1]
   UNSPLITVOC:	(>aTomAEihA)
          POS:	NOUN+CASE_DEF_GEN+POSS_PRON_3FS
          VOC:	>aTomAE+i+hA
        GLOSS:	ambitions+[def.gen.]+its/their/her

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P20W12
      OFFSETS:	79-81
