 INPUT STRING:	ياجماعة
        LEMMA:	[jamoEiy~ap_1]
   UNSPLITVOC:	(jamoEiy~ap)
          POS:	NOUN_PROP+NSUFF_FEM_SG
          VOC:	jamoEiy~+ap
        GLOSS:	association/society/associations/societies+[fem.sg.]

 INPUT STRING:	رساله
     IS_TRANS:	rsAlh
        INDEX:	P14W12
      OFFSETS:	60-65
       TOKENS:	P14W19-P14W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[risAlap_1]
   UNSPLITVOC:	(risAlap)
          POS:	NOUN_PROP+NSUFF_FEM_SG
          VOC:	risAl+ap
        GLOSS:	RISALA+[fem.sg.]

 INPUT STRING:	راحوا
     IS_TRANS:	rAHwA
        INDEX:	P14W13
      OFFSETS:	66-71
       TOKENS:	P14W20-P14W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rAH_1]
   UNSPLITVOC:	(rAHuwA)
          POS:	PV+PVSUFF_SUBJ:3P
          VOC:	rAH+uwA
        GLOSS:	went+they

 INPUT STRING:	لقرى
     IS_TRANS:	lqrY
        INDEX:	P14W14
      OFFSETS:	72-76
       TOKENS:	P14W21-P14W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qaroyap_1]
   UNSPLITVOC:	(liquraY)
          POS:	PREP+NOUN
          VOC:	li+quraY
        GLOSS:	for/to+villages

 INPUT STRING:	تبع
     IS_TRANS:	tbE
        INDEX:	P14W15
      OFFSETS:	77-80
       TOKENS:	P14W23-P14W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[tabaE_1]
   UNSPLITVOC:	(tabaE)
          POS:	ADJ
          VOC:	tabaE
        GLOSS:	follower/subordinate/followers/partisans

 INPUT STRING:	محافظه
     IS_TRANS:	mHAfZh
        INDEX:	P14W16
      OFFSETS:	81-87
       TOKENS:	P14W24-P14W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[muHAfaZap_1]
   UNSPLITVOC:	(muHAfaZit)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	muHAfaZ+ap
        GLOSS:	governor+[fem.sg.]

 INPUT STRING:	البحيره
     IS_TRANS:	AlbHyrh
        INDEX:	P14W17
      OFFSETS:	88-95
       TOKENS:	P14W25-P14W25
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[biHayrap_1]
   UNSPLITVOC:	(AlbiHayrap)
          POS:	DET+NOUN_PROP+NSUFF_FEM_SG
          VOC:	Al+biHayr+ap
        GLOSS:	the+BIHIRA+[fem.sg.]

 INPUT STRING:	والله
     IS_TRANS:	wAllh
        INDEX:	P14W18
      OFFSETS:	96-101
       TOKENS:	P14W26-P14W27
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(waAll~ah)
          POS:	PREP+NOUN
          VOC:	wa+All~ah
        GLOSS:	with+god

 INPUT STRING:	راجع
     IS_TRANS:	rAjE
        INDEX:	P14W19
      OFFSETS:	102-106
       TOKENS:	P14W28-P14W28
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rAjiE_1]
   UNSPLITVOC:	(rAjiE)
          POS:	ADJ.VN
          VOC:	rAjiE
        GLOSS:	returning/reverting/attributed

 INPUT STRING:	بيقول
     IS_TRANS:	byqwl
        INDEX:	P14W20
      OFFSETS:	107-112
       TOKENS:	P14W29-P14W30
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(biyiquwl)
          POS:	PROG_PART+IV3MS+IV
          VOC:	bi+yi+quwl
        GLOSS:	[present-tense]+he/it+said/say/be said/say/(for example)

 INPUT STRING:	الناس
     IS_TRANS:	AlnAs
        INDEX:	P14W21
      OFFSETS:	113-118
       TOKENS:	P14W31-P14W31
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nAs_1]
   UNSPLITVOC:	(Aln~As)
          POS:	DET+NOUN
          VOC:	Al+nAs
        GLOSS:	the+people

 INPUT STRING:	عايشه
     IS_TRANS:	EAy$h
        INDEX:	P14W22
      OFFSETS:	119-124
       TOKENS:	P14W32-P14W32
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EAyi$_1]
   UNSPLITVOC:	(EAyo$ap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	EAyo$+ap
        GLOSS:	living+[fem.sg.]

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P14W23
      OFFSETS:	125-127
       TOKENS:	P14W33-P14W33
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	اوضه
     IS_TRANS:	AwDh
        INDEX:	P14W24
      OFFSETS:	128-132
       TOKENS:	P14W34-P14W34
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[AuwDap_1]
   UNSPLITVOC:	(AuwDap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	AuwD+ap
        GLOSS:	room+[fem.sg.]

 INPUT STRING:	منغير
     IS_TRANS:	mngyr
        INDEX:	P14W25
      OFFSETS:	133-138
       TOKENS:	P14W35-P14W36
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[giyr_1]
   UNSPLITVOC:	(mingiyr)
          POS:	PREP+NOUN
          VOC:	min+giyr
        GLOSS:	from+without

 INPUT STRING:	سقف
     IS_TRANS:	sqf
        INDEX:	P14W26
      OFFSETS:	139-142
       TOKENS:	P14W37-P14W37
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[saqof_1]
   UNSPLITVOC:	(saqof)
          POS:	NOUN
          VOC:	saqof
        GLOSS:	roof/ceiling

 INPUT STRING:	ولاميه
     IS_TRANS:	wlAmyh
        INDEX:	P14W27
      OFFSETS:	143-149
       TOKENS:	P14W38-P14W38
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(wlAmyh)
          POS:	NO_FUNC
          VOC:	wlAmyh
        GLOSS:	nogloss

 INPUT STRING:	ولاكهرباء
     IS_TRANS:	wlAkhrbA'
        INDEX:	P14W28
      OFFSETS:	150-159
       TOKENS:	P14W39-P14W41
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[kahrabA'_1]
   UNSPLITVOC:	(walAkahrabA')
          POS:	CONJ+NEG_PART+NOUN
          VOC:	wa+lA+kahrabA'
        GLOSS:	and+not+electricity

 INPUT STRING:	حسبى
     IS_TRANS:	HsbY
        INDEX:	P14W29
      OFFSETS:	160-164
       TOKENS:	P14W42-P14W43
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Hasob_1]
   UNSPLITVOC:	(Hasobiy)
          POS:	NOUN.VN+POSS_PRON_1S
          VOC:	Hasob+iy
        GLOSS:	enough+my

 INPUT STRING:	الله
     IS_TRANS:	Allh
        INDEX:	P14W30
      OFFSETS:	165-169
       TOKENS:	P14W44-P14W44
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(All~ah)
          POS:	NOUN
          VOC:	All~ah
        GLOSS:	god

 INPUT STRING:	فيك
     IS_TRANS:	fyk
        INDEX:	P14W31
      OFFSETS:	170-173
       TOKENS:	P14W45-P14W46
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiyk)
          POS:	PREP+PRON_2MS
          VOC:	fiy+ak
        GLOSS:	in+you

 INPUT STRING:	يامبارك
     IS_TRANS:	yAmbArk
        INDEX:	P14W32
      OFFSETS:	174-181
       TOKENS:	P14W47-P14W48
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mubArak_1]
   UNSPLITVOC:	(yAmubArak)
          POS:	VOC_PART+NOUN_PROP
          VOC:	yA+mubArak
        GLOSS:	oh+MUBARAK

 INPUT STRING:	انت
     IS_TRANS:	Ant
        INDEX:	P14W33
      OFFSETS:	182-185
       TOKENS:	P14W49-P14W49
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ainota_1]
   UNSPLITVOC:	(Ainota)
          POS:	PRON_2MS
          VOC:	Ainota
        GLOSS:	you [masc.sg.]

 INPUT STRING:	واعوانك
     IS_TRANS:	wAEwAnk
        INDEX:	P14W34
      OFFSETS:	186-193
       TOKENS:	P14W50-P14W52
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>aEwAn_1]
   UNSPLITVOC:	(wa>aEwAnak)
          POS:	CONJ+NOUN+POSS_PRON_2MS
          VOC:	wa+>aEwAn+ak
        GLOSS:	and+assistants+your

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P15W1
      OFFSETS:	0-1
       TOKENS:	P15W1-P15W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[wa_3]
   UNSPLITVOC:	(wa)
          POS:	PREP
          VOC:	wa
        GLOSS:	with

 INPUT STRING:	الله
     IS_TRANS:	Allh
        INDEX:	P15W2
      OFFSETS:	2-6
       TOKENS:	P15W2-P15W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(All~ah)
          POS:	NOUN
          VOC:	All~ah
        GLOSS:	god

 INPUT STRING:	يا
     IS_TRANS:	yA
        INDEX:	P15W3
      OFFSETS:	7-9
       TOKENS:	P15W3-P15W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yA_1]
   UNSPLITVOC:	(yA)
          POS:	VOC_PART
          VOC:	yA
        GLOSS:	O, oh

 INPUT STRING:	قمر
     IS_TRANS:	qmr
        INDEX:	P15W4
      OFFSETS:	10-13
       TOKENS:	P15W4-P15W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qamar_1]
   UNSPLITVOC:	(qamar)
          POS:	ADJ
          VOC:	qamar
        GLOSS:	moon/pretty

 INPUT STRING:	انا
     IS_TRANS:	AnA
        INDEX:	P15W5
      OFFSETS:	14-17
       TOKENS:	P15W5-P15W5
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>anA_1]
   UNSPLITVOC:	(>anA)
          POS:	PRON_1S
          VOC:	>anA
        GLOSS:	I

 INPUT STRING:	كنت
     IS_TRANS:	knt
        INDEX:	P15W6
      OFFSETS:	18-21
       TOKENS:	P15W6-P15W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(kunt)
          POS:	PV+PVSUFF_SUBJ:1S
          VOC:	kun+t
        GLOSS:	be+I

 INPUT STRING:	كاتبه
     IS_TRANS:	kAtbh
        INDEX:	P15W7
      OFFSETS:	22-27
       TOKENS:	P15W7-P15W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAtib_1]
   UNSPLITVOC:	(kAtobap)
          POS:	ADJ.VN+NSUFF_FEM_SG
          VOC:	kAtob+ap
        GLOSS:	writer+[fem.sg.]

 INPUT STRING:	اننا
     IS_TRANS:	AnnA
        INDEX:	P15W8
      OFFSETS:	28-32
       TOKENS:	P15W8-P15W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~inA)
          POS:	SUB_CONJ+PRON_1P
          VOC:	<in~+nA
        GLOSS:	that+we

 INPUT STRING:	نعمل
     IS_TRANS:	nEml
        INDEX:	P15W9
      OFFSETS:	33-37
       TOKENS:	P15W10-P15W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eamal_1]
   UNSPLITVOC:	(niEomil)
          POS:	IV1P+IV
          VOC:	ni+Eomil
        GLOSS:	we+do/act

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P15W10
      OFFSETS:	38-41
       TOKENS:	P15W11-P15W11
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	فتكات
     IS_TRANS:	ftkAt
        INDEX:	P15W11
      OFFSETS:	42-47
       TOKENS:	P15W12-P15W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[fatakAt_1]
   UNSPLITVOC:	(fatakAt)
          POS:	NOUN_PROP
          VOC:	fatakAt
        GLOSS:	FATAKAT

 INPUT STRING:	مبادره
     IS_TRANS:	mbAdrh
        INDEX:	P15W12
      OFFSETS:	48-54
       TOKENS:	P15W13-P15W13
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[mubAdarap_1]
   UNSPLITVOC:	(mubAdarap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	mubAdar+ap
        GLOSS:	initiative/proposal+[fem.sg.]

 INPUT STRING:	زى
     IS_TRANS:	zY
        INDEX:	P15W13
      OFFSETS:	55-57
       TOKENS:	P15W14-P15W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[zay~_1]
   UNSPLITVOC:	(zay~)
          POS:	NOUN
          VOC:	zay~
        GLOSS:	as

 INPUT STRING:	دى
     IS_TRANS:	dY
        INDEX:	P15W14
      OFFSETS:	58-60
       TOKENS:	P15W15-P15W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[diy_1]
   UNSPLITVOC:	(diy)
          POS:	DEM_PRON_FS
          VOC:	diy
        GLOSS:	this

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P15W15
      OFFSETS:	61-62
       TOKENS:	P15W16-P15W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wi_1]
   UNSPLITVOC:	(wi)
          POS:	CONJ
          VOC:	wi
        GLOSS:	and

 INPUT STRING:	يكون
     IS_TRANS:	ykwn
        INDEX:	P15W16
      OFFSETS:	63-67
       TOKENS:	P15W17-P15W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(yikuwn)
          POS:	IV3MS+IV
          VOC:	yi+kuwn
        GLOSS:	he/it+be

 INPUT STRING:	لينا
     IS_TRANS:	lynA
        INDEX:	P15W17
      OFFSETS:	68-72
       TOKENS:	P15W18-P15W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[li_1]
   UNSPLITVOC:	(liynA)
          POS:	PREP+PRON_1P
          VOC:	li+nA
        GLOSS:	for+us

 INPUT STRING:	دور
     IS_TRANS:	dwr
        INDEX:	P15W18
      OFFSETS:	73-76
       TOKENS:	P15W20-P15W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[duwor_1]
   UNSPLITVOC:	(duwor)
          POS:	NOUN
          VOC:	duwor
        GLOSS:	role/part

 INPUT STRING:	فعال
     IS_TRANS:	fEAl
        INDEX:	P15W19
      OFFSETS:	77-81
       TOKENS:	P15W21-P15W21
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[faE~Al_1]
   UNSPLITVOC:	(faE~Al)
          POS:	ADJ
          VOC:	faE~Al
        GLOSS:	effective/efficient

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P15W20
      OFFSETS:	82-83
       TOKENS:	P15W22-P15W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wi_1]
   UNSPLITVOC:	(wi)
          POS:	CONJ
          VOC:	wi
        GLOSS:	and

 INPUT STRING:	محدش
     IS_TRANS:	mHd$
        INDEX:	P15W21
      OFFSETS:	84-88
       TOKENS:	P15W23-P15W25
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Had~_1]
   UNSPLITVOC:	(mA_Had~i$)
          POS:	NEG_PART+NOUN+NEG_PART
          VOC:	mA+Had~+$
        GLOSS:	not+some one+not

 INPUT STRING:	سأل
     IS_TRANS:	s>l
        INDEX:	P15W22
      OFFSETS:	89-92
       TOKENS:	P15W26-P15W26
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sa>al_1]
   UNSPLITVOC:	(sa>al)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	sa>al+(null)
        GLOSS:	ask/inquire/request/be asked+he/it

 INPUT STRING:	ولا
     IS_TRANS:	wlA
        INDEX:	P15W23
      OFFSETS:	93-96
       TOKENS:	P15W27-P15W28
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[lA_2]
   UNSPLITVOC:	(walA)
          POS:	CONJ+NEG_PART
          VOC:	wa+lA
        GLOSS:	and+no/not

 INPUT STRING:	حاجه
     IS_TRANS:	HAjh
        INDEX:	P15W24
      OFFSETS:	97-101
       TOKENS:	P15W29-P15W29
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAjap_1]
   UNSPLITVOC:	(HAjap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	HAj+ap
        GLOSS:	thing/belongings+[fem.sg.]

 INPUT STRING:	كان
     IS_TRANS:	kAn
        INDEX:	P16W1
      OFFSETS:	0-3
       TOKENS:	P16W1-P16W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(kAn)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	kAn+(null)
        GLOSS:	be+he/it

 INPUT STRING:	نفسى
     IS_TRANS:	nfsY
        INDEX:	P16W2
      OFFSETS:	4-8
       TOKENS:	P16W2-P16W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nifos_1]
   UNSPLITVOC:	(nifosiy)
          POS:	NOUN+POSS_PRON_1S
          VOC:	nifos+iy
        GLOSS:	wish+I

 INPUT STRING:	لو
     IS_TRANS:	lw
        INDEX:	P16W3
      OFFSETS:	9-11
       TOKENS:	P16W4-P16W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[law_1]
   UNSPLITVOC:	(law)
          POS:	SUB_CONJ
          VOC:	law
        GLOSS:	if

 INPUT STRING:	كل
     IS_TRANS:	kl
        INDEX:	P16W4
      OFFSETS:	12-14
       TOKENS:	P16W5-P16W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(kul~)
          POS:	NOUN_QUANT
          VOC:	kul~
        GLOSS:	all/entire

 INPUT STRING:	واحده
     IS_TRANS:	wAHdh
        INDEX:	P16W5
      OFFSETS:	15-20
       TOKENS:	P16W6-P16W6
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[wAHid_1]
   UNSPLITVOC:	(wAHidap)
          POS:	NOUN_NUM+NSUFF_FEM_SG
          VOC:	wAHid+ap
        GLOSS:	one+[fem.sg.]

 INPUT STRING:	دفعت
     IS_TRANS:	dfEt
        INDEX:	P16W6
      OFFSETS:	21-25
       TOKENS:	P16W7-P16W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dafaE_1]
   UNSPLITVOC:	(dafaEit)
          POS:	PV+PVSUFF_SUBJ:3FS
          VOC:	dafaE+it
        GLOSS:	payed+it/they/she

 INPUT STRING:	جنيه
     IS_TRANS:	jnyh
        INDEX:	P16W7
      OFFSETS:	26-30
       TOKENS:	P16W8-P16W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jinayh_1]
   UNSPLITVOC:	(jinayh)
          POS:	NOUN
          VOC:	jinayh
        GLOSS:	pound

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P16W8
      OFFSETS:	31-33
       TOKENS:	P16W9-P16W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	الشهر
     IS_TRANS:	Al$hr
        INDEX:	P16W9
      OFFSETS:	34-39
       TOKENS:	P16W10-P16W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$ahor_1]
   UNSPLITVOC:	(Al$~ahor)
          POS:	DET+NOUN
          VOC:	Al+$ahor
        GLOSS:	the+month/months

 INPUT STRING:	احنا
     IS_TRANS:	AHnA
        INDEX:	P16W10
      OFFSETS:	40-44
       TOKENS:	P16W11-P16W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AiHonA_1]
   UNSPLITVOC:	(AiHonA)
          POS:	PRON_1P
          VOC:	AiHonA
        GLOSS:	we

 INPUT STRING:	عددنا
     IS_TRANS:	EddnA
        INDEX:	P16W11
      OFFSETS:	45-50
       TOKENS:	P16W12-P16W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eadad_1]
   UNSPLITVOC:	(EadadnA)
          POS:	NOUN+POSS_PRON_1P
          VOC:	Eadad+nA
        GLOSS:	number/quantity/issue+our

 INPUT STRING:	ما
     IS_TRANS:	mA
        INDEX:	P16W12
      OFFSETS:	51-53
       TOKENS:	P16W14-P16W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mA_1]
   UNSPLITVOC:	(mA)
          POS:	REL_PRON
          VOC:	mA
        GLOSS:	what/which

 INPUT STRING:	شاء
     IS_TRANS:	$A'
        INDEX:	P16W13
      OFFSETS:	54-57
       TOKENS:	P16W15-P16W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$A'_1]
   UNSPLITVOC:	($A')
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	$A'+(null)
        GLOSS:	want/desire/wish+he/it

 INPUT STRING:	الله
     IS_TRANS:	Allh
        INDEX:	P16W14
      OFFSETS:	58-62
       TOKENS:	P16W16-P16W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(All~ah)
          POS:	NOUN
          VOC:	All~ah
        GLOSS:	God

 INPUT STRING:	كتير
     IS_TRANS:	ktyr
        INDEX:	P16W15
      OFFSETS:	63-67
       TOKENS:	P16W17-P16W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kitiyr_1]
   UNSPLITVOC:	(kitiyr)
          POS:	ADJ
          VOC:	kitiyr
        GLOSS:	alot

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P16W16
      OFFSETS:	68-69
       TOKENS:	P16W18-P16W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wi_1]
   UNSPLITVOC:	(wi)
          POS:	CONJ
          VOC:	wi
        GLOSS:	and

 INPUT STRING:	هنجمع
     IS_TRANS:	hnjmE
        INDEX:	P16W17
      OFFSETS:	70-75
       TOKENS:	P16W19-P16W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jam~aE_1]
   UNSPLITVOC:	(Hanijam~aE)
          POS:	FUT_PART+IV1P+IV
          VOC:	Ha+ni+jam~aE
        GLOSS:	will+we+accumulate/assemble/be accumulated/be assembled

 INPUT STRING:	مبالغ
     IS_TRANS:	mbAlg
        INDEX:	P16W18
      OFFSETS:	76-81
       TOKENS:	P16W21-P16W21
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mabolag_1]
   UNSPLITVOC:	(mabAlig)
          POS:	NOUN
          VOC:	mabAlig
        GLOSS:	amounts/sums

 INPUT STRING:	حلوه
     IS_TRANS:	Hlwh
        INDEX:	P16W19
      OFFSETS:	82-86
       TOKENS:	P16W22-P16W22
