 INPUT STRING:	الاختلاف
   UNSPLITVOC:	(wijohap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	wijoh+ap
        GLOSS:	point of view/angle+[fem.sg.]

 INPUT STRING:	نظرى
     IS_TRANS:	nZrY
        INDEX:	P6W5
      OFFSETS:	17-21
       TOKENS:	P6W5-P6W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[naZar_1]
   UNSPLITVOC:	(naZariy)
          POS:	NOUN+POSS_PRON_1S
          VOC:	naZar+iy
        GLOSS:	view/look/seeing/eye-sight/glances/looking+my

 INPUT STRING:	ليييييه
     IS_TRANS:	lyyyyyh
        INDEX:	P7W1
      OFFSETS:	0-7
       TOKENS:	P7W1-P7W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[liyh_1]
   UNSPLITVOC:	(liyh)
          POS:	INTERROG_ADV
          VOC:	liyh
        GLOSS:	why

 INPUT STRING:	لان
     IS_TRANS:	lAn
        INDEX:	P8W1
      OFFSETS:	0-3
       TOKENS:	P8W1-P8W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(li<in~)
          POS:	PREP+SUB_CONJ
          VOC:	li+<in~
        GLOSS:	for/to+that

 INPUT STRING:	نظام
     IS_TRANS:	nZAm
        INDEX:	P8W2
      OFFSETS:	4-8
       TOKENS:	P8W3-P8W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[niZAm_1]
   UNSPLITVOC:	(niZAm)
          POS:	NOUN
          VOC:	niZAm
        GLOSS:	methodology/system/order/methodologies/systems

 INPUT STRING:	التخدير
     IS_TRANS:	Altxdyr
        INDEX:	P8W3
      OFFSETS:	9-16
       TOKENS:	P8W4-P8W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[taxodiyr_1]
   UNSPLITVOC:	(Alt~axodiyr)
          POS:	DET+NOUN
          VOC:	Al+taxodiyr
        GLOSS:	the+anesthesia/narcotization

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P8W4
      OFFSETS:	17-18
       TOKENS:	P8W5-P8W5
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(w)
          POS:	TYPO
          VOC:	w
        GLOSS:	nogloss

 INPUT STRING:	المسكنات
     IS_TRANS:	AlmsknAt
        INDEX:	P8W5
      OFFSETS:	19-27
       TOKENS:	P8W6-P8W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[musak~in_1]
   UNSPLITVOC:	(Almusak~inAt)
          POS:	DET+NOUN+NSUFF_FEM_PL
          VOC:	Al+musak~in+At
        GLOSS:	the+sedative/pacifier+[fem.pl.]

 INPUT STRING:	بتعويض
     IS_TRANS:	btEwyD
        INDEX:	P8W6
      OFFSETS:	28-34
       TOKENS:	P8W7-P8W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[taEowiyD_1]
   UNSPLITVOC:	(bitaEowiyD)
          POS:	PREP+NOUN
          VOC:	bi+taEowiyD
        GLOSS:	with/by+compensation/restitution

 INPUT STRING:	المصابين
     IS_TRANS:	AlmSAbyn
        INDEX:	P8W7
      OFFSETS:	35-43
       TOKENS:	P8W9-P8W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[muSAb_1]
   UNSPLITVOC:	(AlmuSAbiyn)
          POS:	DET+NOUN+NSUFF_MASC_PL
          VOC:	Al+muSAb+iyn
        GLOSS:	the+injured+[pl.]

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P8W8
      OFFSETS:	44-45
       TOKENS:	P8W10-P8W10
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(w)
          POS:	TYPO
          VOC:	w
        GLOSS:	nogloss

 INPUT STRING:	اهالى
     IS_TRANS:	AhAlY
        INDEX:	P8W9
      OFFSETS:	46-51
       TOKENS:	P8W11-P8W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>ahol_1]
   UNSPLITVOC:	(>ahAliy)
          POS:	NOUN
          VOC:	>ahAliy
        GLOSS:	families

 INPUT STRING:	الشهداء
     IS_TRANS:	Al$hdA'
        INDEX:	P8W10
      OFFSETS:	52-59
       TOKENS:	P8W12-P8W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$ahid_1]
   UNSPLITVOC:	(Al$~uhadA')
          POS:	DET+NOUN
          VOC:	Al+$uhadA'
        GLOSS:	the+martyr

 INPUT STRING:	ده
     IS_TRANS:	dh
        INDEX:	P8W11
      OFFSETS:	60-62
       TOKENS:	P8W13-P8W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dah_1]
   UNSPLITVOC:	(dah)
          POS:	DEM_PRON_MS
          VOC:	dah
        GLOSS:	this

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P8W12
      OFFSETS:	63-65
       TOKENS:	P8W14-P8W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	طرق
     IS_TRANS:	Trq
        INDEX:	P8W13
      OFFSETS:	66-69
       TOKENS:	P8W15-P8W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Tariyqap_1]
   UNSPLITVOC:	(Turuq)
          POS:	NOUN
          VOC:	Turuq
        GLOSS:	method/procedure/methods/manners

 INPUT STRING:	نظام
     IS_TRANS:	nZAm
        INDEX:	P8W14
      OFFSETS:	70-74
       TOKENS:	P8W16-P8W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[niZAm_1]
   UNSPLITVOC:	(niZAm)
          POS:	NOUN
          VOC:	niZAm
        GLOSS:	regime/government

 INPUT STRING:	مبارك
     IS_TRANS:	mbArk
        INDEX:	P8W15
      OFFSETS:	75-80
       TOKENS:	P8W17-P8W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mubArak_1]
   UNSPLITVOC:	(mubArak)
          POS:	NOUN_PROP
          VOC:	mubArak
        GLOSS:	Mubarak

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P8W16
      OFFSETS:	81-82
       TOKENS:	P8W18-P8W18
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(w)
          POS:	TYPO
          VOC:	w
        GLOSS:	nogloss

 INPUT STRING:	الناس
     IS_TRANS:	AlnAs
        INDEX:	P8W17
      OFFSETS:	83-88
       TOKENS:	P8W19-P8W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nAs_1]
   UNSPLITVOC:	(Aln~As)
          POS:	DET+NOUN
          VOC:	Al+nAs
        GLOSS:	the+people

 INPUT STRING:	اتعودت
     IS_TRANS:	AtEwdt
        INDEX:	P8W18
      OFFSETS:	89-95
       TOKENS:	P8W20-P8W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[AitoEaw~id_1]
   UNSPLITVOC:	(AitoEaw~idit)
          POS:	PV+PVSUFF_SUBJ:3FS
          VOC:	AitoEaw~id+it
        GLOSS:	used+she/it/they

 INPUT STRING:	عليه
     IS_TRANS:	Elyh
        INDEX:	P8W19
      OFFSETS:	96-100
       TOKENS:	P8W21-P8W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(Ealayh)
          POS:	PREP+PRON_3MS
          VOC:	EalaY+uh
        GLOSS:	on/above+him

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P9W1
      OFFSETS:	0-1
       TOKENS:	P9W1-P9W1
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(w)
          POS:	TYPO
          VOC:	w
        GLOSS:	nogloss

 INPUT STRING:	هم
     IS_TRANS:	hm
        INDEX:	P9W2
      OFFSETS:	2-4
       TOKENS:	P9W2-P9W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hum~a_1]
   UNSPLITVOC:	(hum~a)
          POS:	PRON_3P
          VOC:	hum~a
        GLOSS:	they

 INPUT STRING:	بيدفعوا
     IS_TRANS:	bydfEwA
        INDEX:	P9W3
      OFFSETS:	5-12
       TOKENS:	P9W3-P9W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dafaE_1]
   UNSPLITVOC:	(biyidofaEuwA)
          POS:	PROG_PART+IV3P+IV+IVSUFF_SUBJ:P
          VOC:	bi+yi+dofaE+uwA
        GLOSS:	[present-tense]+they+push/motivate/pay/be pushed/be motivated/be paid+we

 INPUT STRING:	الحكومة
     IS_TRANS:	AlHkwmp
        INDEX:	P9W4
      OFFSETS:	13-20
       TOKENS:	P9W5-P9W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hukuwmap_1]
   UNSPLITVOC:	(AlHukuwmap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+Hukuwm+ap
        GLOSS:	the+government/administration/governments/administrations+[fem.sg.]

 INPUT STRING:	لاستخدام
     IS_TRANS:	lAstxdAm
        INDEX:	P9W5
      OFFSETS:	21-29
       TOKENS:	P9W6-P9W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AisotixodAm_1]
   UNSPLITVOC:	(liAisotixodAm)
          POS:	PREP+NOUN
          VOC:	li+AisotixodAm
        GLOSS:	for/to+usage/using/utilization

 INPUT STRING:	نفس
     IS_TRANS:	nfs
        INDEX:	P9W6
      OFFSETS:	30-33
       TOKENS:	P9W8-P9W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nafos_1]
   UNSPLITVOC:	(nafos)
          POS:	NOUN
          VOC:	nafos
        GLOSS:	same/self/selves

 INPUT STRING:	الاسلوب
     IS_TRANS:	AlAslwb
        INDEX:	P9W7
      OFFSETS:	34-41
       TOKENS:	P9W9-P9W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>usoluwb_1]
   UNSPLITVOC:	(Al>usoluwb)
          POS:	DET+NOUN
          VOC:	Al+>usoluwb
        GLOSS:	the+way/manner

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P10W1
      OFFSETS:	0-1
       TOKENS:	P10W1-P10W1
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(w)
          POS:	TYPO
          VOC:	w
        GLOSS:	nogloss

 INPUT STRING:	الناس
     IS_TRANS:	AlnAs
        INDEX:	P10W2
      OFFSETS:	2-7
       TOKENS:	P10W2-P10W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nAs_1]
   UNSPLITVOC:	(Aln~As)
          POS:	DET+NOUN
          VOC:	Al+nAs
        GLOSS:	the+people

 INPUT STRING:	اللى
     IS_TRANS:	AllY
        INDEX:	P10W3
      OFFSETS:	8-12
       TOKENS:	P10W3-P10W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	which/who/whom

 INPUT STRING:	بتقوم
     IS_TRANS:	btqwm
        INDEX:	P10W4
      OFFSETS:	13-18
       TOKENS:	P10W4-P10W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAm_1]
   UNSPLITVOC:	(bitiquwm)
          POS:	PROG_PART+IV3FS+IV
          VOC:	bi+ti+quwm
        GLOSS:	[present-tense]+it/they/she+undertake/carry out

 INPUT STRING:	بالمهمة
     IS_TRANS:	bAlmhmp
        INDEX:	P10W5
      OFFSETS:	19-26
       TOKENS:	P10W6-P10W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[muhim~ap_1]
   UNSPLITVOC:	(biAlmuhim~ap)
          POS:	PREP+DET+NOUN+NSUFF_FEM_SG
          VOC:	bi+Al+muhim~+ap
        GLOSS:	with/by+the+task/assignment/mission/equipment/material/supplies+[fem.sg.]

 INPUT STRING:	دى
     IS_TRANS:	dY
        INDEX:	P10W6
      OFFSETS:	27-29
       TOKENS:	P10W8-P10W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[diy_1]
   UNSPLITVOC:	(diy)
          POS:	DEM_PRON
          VOC:	diy
        GLOSS:	this

 INPUT STRING:	ناس
     IS_TRANS:	nAs
        INDEX:	P10W7
      OFFSETS:	30-33
       TOKENS:	P10W9-P10W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nAs_1]
   UNSPLITVOC:	(nAs)
          POS:	NOUN
          VOC:	nAs
        GLOSS:	people

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P10W8
      OFFSETS:	34-36
       TOKENS:	P10W10-P10W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	فاهمة
     IS_TRANS:	fAhmp
        INDEX:	P10W9
      OFFSETS:	37-42
       TOKENS:	P10W11-P10W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fAhim_1]
   UNSPLITVOC:	(fAhomap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	fAhom+ap
        GLOSS:	understanding+[fem.sg.]

 INPUT STRING:	الاستمارات
     IS_TRANS:	AlAstmArAt
        INDEX:	P10W10
      OFFSETS:	43-53
       TOKENS:	P10W12-P10W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AisotimArap_1]
   UNSPLITVOC:	(AlAisotimArAt)
          POS:	DET+NOUN+NSUFF_FEM_PL
          VOC:	Al+AisotimAr+At
        GLOSS:	the+form/questionnaire+[fem.pl.]

 INPUT STRING:	ولا
     IS_TRANS:	wlA
        INDEX:	P10W11
      OFFSETS:	54-57
       TOKENS:	P10W13-P10W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[lA_2]
   UNSPLITVOC:	(walA)
          POS:	CONJ+NEG_PART
          VOC:	wa+lA
        GLOSS:	and+no/not

 INPUT STRING:	التعويضات
     IS_TRANS:	AltEwyDAt
        INDEX:	P10W12
      OFFSETS:	58-67
       TOKENS:	P10W15-P10W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[taEowiyD_1]
   UNSPLITVOC:	(Alt~aEowiyDAt)
          POS:	DET+NOUN+NSUFF_FEM_PL
          VOC:	Al+taEowiyD+At
        GLOSS:	the+compensation/restitution+[fem.pl.]

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P10W13
      OFFSETS:	68-69
       TOKENS:	P10W16-P10W16
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(w)
          POS:	TYPO
          VOC:	w
        GLOSS:	nogloss

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P10W14
      OFFSETS:	70-72
       TOKENS:	P10W17-P10W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiyh)
          POS:	PREP+PRON_3MS
          VOC:	fiy+uh
        GLOSS:	in+it/him

 INPUT STRING:	تقصير
     IS_TRANS:	tqSyr
        INDEX:	P10W15
      OFFSETS:	73-78
       TOKENS:	P10W19-P10W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[taqoSiyr_1]
   UNSPLITVOC:	(taqoSiyr)
          POS:	NOUN
          VOC:	taqoSiyr
        GLOSS:	deficiency/inadequacy/diminution/curtailment

 INPUT STRING:	كبير
     IS_TRANS:	kbyr
        INDEX:	P10W16
      OFFSETS:	79-83
       TOKENS:	P10W20-P10W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kibiyr_1]
   UNSPLITVOC:	(kibiyr)
          POS:	ADJ
          VOC:	kibiyr
        GLOSS:	large/great/important/major/senior/senior/important

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P11W1
      OFFSETS:	0-1
       TOKENS:	P11W1-P11W1
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(w)
          POS:	TYPO
          VOC:	w
        GLOSS:	nogloss

 INPUT STRING:	اللى
     IS_TRANS:	AllY
        INDEX:	P11W2
      OFFSETS:	2-6
       TOKENS:	P11W2-P11W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	who/which/whom

 INPUT STRING:	بيطالبوا
     IS_TRANS:	byTAlbwA
        INDEX:	P11W3
      OFFSETS:	7-15
       TOKENS:	P11W3-P11W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Talib_1]
   UNSPLITVOC:	(biyTAlbuwA)
          POS:	PROG_PART+IV3P+IV+IVSUFF_SUBJ:P
          VOC:	bi+y+TAlb+uwA
        GLOSS:	[present-tense]+they+demond/ask+we

 INPUT STRING:	بالتعويضات
     IS_TRANS:	bAltEwyDAt
        INDEX:	P11W4
      OFFSETS:	16-26
       TOKENS:	P11W5-P11W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[taEowiyD_1]
   UNSPLITVOC:	(biAlt~aEowiyDAt)
          POS:	PREP+DET+NOUN+NSUFF_FEM_PL
          VOC:	bi+Al+taEowiyD+At
        GLOSS:	with/by+the+compensation/restitution+[fem.pl.]

 INPUT STRING:	بيروحوا
     IS_TRANS:	byrwHwA
        INDEX:	P11W5
      OFFSETS:	27-34
       TOKENS:	P11W7-P11W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rAH_1]
   UNSPLITVOC:	(biyiruwHuwA)
          POS:	PROG_PART+IV3P+IV+IVSUFF_SUBJ:P
          VOC:	bi+yi+ruwH+uwA
        GLOSS:	[present-tense]+they+go+they

 INPUT STRING:	يقفوا
     IS_TRANS:	yqfwA
        INDEX:	P11W6
      OFFSETS:	35-40
       TOKENS:	P11W9-P11W9
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(yqfwA)
          POS:	NO_FUNC
          VOC:	yqfwA
        GLOSS:	nogloss

 INPUT STRING:	بيكون
     IS_TRANS:	bykwn
        INDEX:	P11W7
      OFFSETS:	41-46
       TOKENS:	P11W10-P11W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(biyikuwn)
          POS:	PROG_PART+IV3MS+IV
          VOC:	bi+yi+kuwn
        GLOSS:	[present-tense]+he/it+be

 INPUT STRING:	طابور
     IS_TRANS:	TAbwr
        INDEX:	P11W8
      OFFSETS:	47-52
       TOKENS:	P11W12-P11W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[TAbuwr_1]
   UNSPLITVOC:	(TAbuwr)
          POS:	NOUN
          VOC:	TAbuwr
        GLOSS:	line

 INPUT STRING:	العيش
     IS_TRANS:	AlEy$
        INDEX:	P11W9
      OFFSETS:	53-58
       TOKENS:	P11W13-P11W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eay$_1]
   UNSPLITVOC:	(AlEay$)
          POS:	DET+NOUN
          VOC:	Al+Eay$
        GLOSS:	the+bread

 INPUT STRING:	منظم
     IS_TRANS:	mnZm
        INDEX:	P11W10
      OFFSETS:	59-63
       TOKENS:	P11W14-P11W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[munaZ~am_1]
   UNSPLITVOC:	(munaZ~am)
          POS:	ADJ
          VOC:	munaZ~am
        GLOSS:	organized/orderly/arranged

 INPUT STRING:	عنهم
     IS_TRANS:	Enhm
        INDEX:	P11W11
      OFFSETS:	64-68
       TOKENS:	P11W15-P11W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ean_1]
   UNSPLITVOC:	(Eanhum)
          POS:	PREP+PRON_3P
          VOC:	Ean+hum
        GLOSS:	(away) from, off, about, on, over+them

 INPUT STRING:	دى
     IS_TRANS:	dY
        INDEX:	P11W12
      OFFSETS:	69-71
       TOKENS:	P11W17-P11W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[diy_1]
   UNSPLITVOC:	(diy)
          POS:	DEM_PRON
          VOC:	diy
        GLOSS:	this/these

 INPUT STRING:	حاجة
     IS_TRANS:	HAjp
        INDEX:	P11W13
      OFFSETS:	72-76
       TOKENS:	P11W18-P11W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAjap_1]
   UNSPLITVOC:	(HAjap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	HAj+ap
        GLOSS:	thing/belongings+[fem.sg.]

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P11W14
      OFFSETS:	77-78
       TOKENS:	P11W19-P11W19
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(w)
          POS:	TYPO
          VOC:	w
        GLOSS:	nogloss

 INPUT STRING:	بدون
     IS_TRANS:	bdwn
        INDEX:	P11W15
      OFFSETS:	79-83
       TOKENS:	P11W20-P11W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[duwn_1]
   UNSPLITVOC:	(biduwn)
          POS:	PREP+NOUN
          VOC:	bi+duwn
        GLOSS:	with/by+without/beneath/underneath/inferior/poor

 INPUT STRING:	زعل
     IS_TRANS:	zEl
        INDEX:	P11W16
      OFFSETS:	84-87
       TOKENS:	P11W22-P11W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[zaEal_1]
   UNSPLITVOC:	(zaEal)
          POS:	NOUN
          VOC:	zaEal
        GLOSS:	anger/displeasure

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P12W1
      OFFSETS:	0-1
       TOKENS:	P12W1-P12W1
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(w)
          POS:	TYPO
          VOC:	w
        GLOSS:	nogloss

 INPUT STRING:	كمان
     IS_TRANS:	kmAn
        INDEX:	P12W2
      OFFSETS:	2-6
       TOKENS:	P12W2-P12W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kamAn_1]
   UNSPLITVOC:	(kamAn)
          POS:	ADV
          VOC:	kamAn
        GLOSS:	also

 INPUT STRING:	مين
     IS_TRANS:	myn
        INDEX:	P12W3
      OFFSETS:	7-10
       TOKENS:	P12W3-P12W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[miyn_1]
   UNSPLITVOC:	(miyn)
          POS:	INTERROG_PRON
          VOC:	miyn
        GLOSS:	who

 INPUT STRING:	اللى
     IS_TRANS:	AllY
        INDEX:	P12W4
      OFFSETS:	11-15
       TOKENS:	P12W4-P12W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	who/which/whom

 INPUT STRING:	فتح
     IS_TRANS:	ftH
        INDEX:	P12W5
      OFFSETS:	16-19
       TOKENS:	P12W5-P12W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
