 INPUT STRING:	قالوا
   UNSPLITVOC:	(witasoliym)
          POS:	CONJ+NOUN
          VOC:	wi+tasoliym
        GLOSS:	and+handing over/delivery/surrender

 INPUT STRING:	السلطة
     IS_TRANS:	AlslTp
        INDEX:	P6W23
      OFFSETS:	133-139
       TOKENS:	P6W31-P6W31
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[suloTap_1]
   UNSPLITVOC:	(Als~uloTap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+suloT+ap
        GLOSS:	the+power/authority/rule/authorities/powers/authorities/rules+[fem.sg.]

 INPUT STRING:	لمجلس
     IS_TRANS:	lmjls
        INDEX:	P6W24
      OFFSETS:	140-145
       TOKENS:	P6W32-P6W33
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[majolis_1]
   UNSPLITVOC:	(limajolis)
          POS:	PREP+NOUN
          VOC:	li+majolis
        GLOSS:	for/to+council/board

 INPUT STRING:	رئاسي
     IS_TRANS:	r}Asy
        INDEX:	P6W25
      OFFSETS:	146-151
       TOKENS:	P6W34-P6W34
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ri}Asiy_1]
   UNSPLITVOC:	(ri}Asiy)
          POS:	ADJ
          VOC:	ri}Asiy
        GLOSS:	presidential/executive

 INPUT STRING:	مدني
     IS_TRANS:	mdny
        INDEX:	P6W26
      OFFSETS:	152-156
       TOKENS:	P6W35-P6W35
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[madaniy_1]
   UNSPLITVOC:	(madaniy)
          POS:	ADJ
          VOC:	madaniy
        GLOSS:	civilian

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P6W27
      OFFSETS:	156-157
       TOKENS:	P6W36-P6W36
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	أثارت
     IS_TRANS:	>vArt
        INDEX:	P7W1
      OFFSETS:	0-5
       TOKENS:	P7W1-P7W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>avAr_1]
   UNSPLITVOC:	(>avArit)
          POS:	PV+PVSUFF_SUBJ:3FS
          VOC:	>avAr+it
        GLOSS:	raise/provoke/agitate+it/they/she [verb]

 INPUT STRING:	صورة
     IS_TRANS:	Swrp
        INDEX:	P7W2
      OFFSETS:	6-10
       TOKENS:	P7W2-P7W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Suwrap_1]
   UNSPLITVOC:	(Suwrap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	Suwr+ap
        GLOSS:	picture/image/illustration/photo+[fem.sg.]

 INPUT STRING:	الفتاة
     IS_TRANS:	AlftAp
        INDEX:	P7W3
      OFFSETS:	11-17
       TOKENS:	P7W3-P7W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[fatAp_1]
   UNSPLITVOC:	(AlfatAp)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+fatA+ap
        GLOSS:	the+young girl+[fem.sg.]

 INPUT STRING:	انتقادات
     IS_TRANS:	AntqAdAt
        INDEX:	P7W4
      OFFSETS:	18-26
       TOKENS:	P7W4-P7W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<inotiqAd_1]
   UNSPLITVOC:	(<inotiqAdAt)
          POS:	NOUN+NSUFF_FEM_PL
          VOC:	<inotiqAd+At
        GLOSS:	criticism/censure+[fem.pl.]

 INPUT STRING:	واسعة
     IS_TRANS:	wAsEp
        INDEX:	P7W5
      OFFSETS:	27-32
       TOKENS:	P7W5-P7W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wAsiE_1]
   UNSPLITVOC:	(wAsoEap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	wAsoE+ap
        GLOSS:	wide/extensive/broad+[fem.sg.]

 INPUT STRING:	داخل
     IS_TRANS:	dAxl
        INDEX:	P7W6
      OFFSETS:	33-37
       TOKENS:	P7W6-P7W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dAxil_1]
   UNSPLITVOC:	(dAxil)
          POS:	NOUN
          VOC:	dAxil
        GLOSS:	inside of/interior/inside

 INPUT STRING:	مصر
     IS_TRANS:	mSr
        INDEX:	P7W7
      OFFSETS:	38-41
       TOKENS:	P7W7-P7W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maSor_1]
   UNSPLITVOC:	(maSor)
          POS:	NOUN_PROP
          VOC:	maSor
        GLOSS:	Egypt

 INPUT STRING:	وخارجها
     IS_TRANS:	wxArjhA
        INDEX:	P7W8
      OFFSETS:	42-49
       TOKENS:	P7W8-P7W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[xArij_1]
   UNSPLITVOC:	(waxArijhA)
          POS:	CONJ+NOUN+POSS_PRON_3FS
          VOC:	wa+xArij+hA
        GLOSS:	and+outside/outer part+its/their/her

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P7W9
      OFFSETS:	50-53
       TOKENS:	P7W11-P7W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	أداء
     IS_TRANS:	>dA'
        INDEX:	P7W10
      OFFSETS:	54-58
       TOKENS:	P7W12-P7W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>adA'_1]
   UNSPLITVOC:	(>adA')
          POS:	NOUN
          VOC:	>adA'
        GLOSS:	performance/fulfillment

 INPUT STRING:	المجلس
     IS_TRANS:	Almjls
        INDEX:	P7W11
      OFFSETS:	59-65
       TOKENS:	P7W13-P7W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[majolis_1]
   UNSPLITVOC:	(Almajolis)
          POS:	DET+NOUN
          VOC:	Al+majolis
        GLOSS:	the+council/board/Majlis

 INPUT STRING:	العسكري
     IS_TRANS:	AlEskry
        INDEX:	P7W12
      OFFSETS:	66-73
       TOKENS:	P7W14-P7W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Easokariy_1]
   UNSPLITVOC:	(AlEasokariy)
          POS:	DET+ADJ
          VOC:	Al+Easokariy
        GLOSS:	the+military/army

 INPUT STRING:	وقدرته
     IS_TRANS:	wqdrth
        INDEX:	P7W13
      OFFSETS:	74-80
       TOKENS:	P7W15-P7W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[qudorap_1]
   UNSPLITVOC:	(waqudoratihi)
          POS:	CONJ+NOUN.VN+NSUFF_FEM_SG+POSS_PRON_3MS
          VOC:	wa+qudor+ati+hi
        GLOSS:	and+capacity/ability/potential/power+[fem.sg.]+his/its

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P7W14
      OFFSETS:	81-84
       TOKENS:	P7W18-P7W18
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	إدارة
     IS_TRANS:	<dArp
        INDEX:	P7W15
      OFFSETS:	85-90
       TOKENS:	P7W19-P7W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<idArap_1]
   UNSPLITVOC:	(<idArap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	<idAr+ap
        GLOSS:	administration/management/bureau+[fem.sg.]

 INPUT STRING:	البلاد
     IS_TRANS:	AlblAd
        INDEX:	P7W16
      OFFSETS:	91-97
       TOKENS:	P7W20-P7W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[balad_1]
   UNSPLITVOC:	(AlbilAd)
          POS:	DET+NOUN
          VOC:	Al+bilAd
        GLOSS:	the+country/country/countries

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P7W17
      OFFSETS:	98-100
       TOKENS:	P7W21-P7W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	الفترة
     IS_TRANS:	Alftrp
        INDEX:	P7W18
      OFFSETS:	101-107
       TOKENS:	P7W22-P7W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fatorap_1]
   UNSPLITVOC:	(Alfatorap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+fator+ap
        GLOSS:	the+phase/time period/interval/phases/time periods/intervals+[fem.sg.]

 INPUT STRING:	الانتقالية
     IS_TRANS:	AlAntqAlyp
        INDEX:	P7W19
      OFFSETS:	108-118
       TOKENS:	P7W23-P7W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AinotiqAliy_1]
   UNSPLITVOC:	(AlAinotiqAliy~ap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+AinotiqAliy~+ap
        GLOSS:	the+transitional+[fem.sg.]

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P7W20
      OFFSETS:	118-119
       TOKENS:	P7W24-P7W24
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	اتهمت
     IS_TRANS:	Athmt
        INDEX:	P8W1
      OFFSETS:	0-5
       TOKENS:	P8W1-P8W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ait~aham_1]
   UNSPLITVOC:	(Ait~ahamit)
          POS:	PV+PVSUFF_SUBJ:3FS
          VOC:	Ait~aham+it
        GLOSS:	accuse+it/they/she [verb]

 INPUT STRING:	جماعات
     IS_TRANS:	jmAEAt
        INDEX:	P8W2
      OFFSETS:	6-12
       TOKENS:	P8W2-P8W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jamAEap_1]
   UNSPLITVOC:	(jamAEAt)
          POS:	NOUN+NSUFF_FEM_PL
          VOC:	jamAE+At
        GLOSS:	groups/parties/squads+[fem.pl.]

 INPUT STRING:	حقوق
     IS_TRANS:	Hqwq
        INDEX:	P8W3
      OFFSETS:	13-17
       TOKENS:	P8W3-P8W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Haq~_1]
   UNSPLITVOC:	(Huquwq)
          POS:	NOUN
          VOC:	Huquwq
        GLOSS:	right, prerogative, truth

 INPUT STRING:	الإنسان
     IS_TRANS:	Al<nsAn
        INDEX:	P8W4
      OFFSETS:	18-25
       TOKENS:	P8W4-P8W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<inosAn_1]
   UNSPLITVOC:	(Al<inosAn)
          POS:	DET+NOUN
          VOC:	Al+<inosAn
        GLOSS:	the+human being/human beings

 INPUT STRING:	المحلية
     IS_TRANS:	AlmHlyp
        INDEX:	P8W5
      OFFSETS:	26-33
       TOKENS:	P8W5-P8W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maHal~iy_1]
   UNSPLITVOC:	(AlmaHal~iy~ap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+maHal~iy~+ap
        GLOSS:	the+local+[fem.sg.]

 INPUT STRING:	المجلس
     IS_TRANS:	Almjls
        INDEX:	P8W6
      OFFSETS:	34-40
       TOKENS:	P8W6-P8W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[majolis_1]
   UNSPLITVOC:	(Almajolis)
          POS:	DET+NOUN
          VOC:	Al+majolis
        GLOSS:	the+council/board/Majlis

 INPUT STRING:	الاعلى
     IS_TRANS:	AlAElY
        INDEX:	P8W7
      OFFSETS:	41-47
       TOKENS:	P8W7-P8W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aEolaY_1]
   UNSPLITVOC:	(Al>aEolaY)
          POS:	DET+ADJ_COMP
          VOC:	Al+>aEolaY
        GLOSS:	the+superior

 INPUT STRING:	للقوات
     IS_TRANS:	llqwAt
        INDEX:	P8W8
      OFFSETS:	48-54
       TOKENS:	P8W8-P8W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[quw~ap_1]
   UNSPLITVOC:	(lilquw~At)
          POS:	PREP+DET+NOUN+NSUFF_FEM_PL
          VOC:	li+Al+quw~+At
        GLOSS:	to/for+the+armed forces+[fem.pl.]

 INPUT STRING:	المسلحة
     IS_TRANS:	AlmslHp
        INDEX:	P8W9
      OFFSETS:	55-62
       TOKENS:	P8W10-P8W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[musal~aH_1]
   UNSPLITVOC:	(Almusal~aHap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+musal~aH+ap
        GLOSS:	the+armored/reinforced+[fem.sg.]

 INPUT STRING:	باستهداف
     IS_TRANS:	bAsthdAf
        INDEX:	P8W10
      OFFSETS:	63-71
       TOKENS:	P8W11-P8W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AisotihodAf_1]
   UNSPLITVOC:	(biAisotihodAf)
          POS:	PREP+NOUN
          VOC:	bi+AisotihodAf
        GLOSS:	with/by+targeting/aiming at

 INPUT STRING:	النساء
     IS_TRANS:	AlnsA'
        INDEX:	P8W11
      OFFSETS:	72-78
       TOKENS:	P8W13-P8W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nisA'_1]
   UNSPLITVOC:	(Aln~isA')
          POS:	DET+NOUN
          VOC:	Al+nisA'
        GLOSS:	the+women

 INPUT STRING:	بشكل
     IS_TRANS:	b$kl
        INDEX:	P8W12
      OFFSETS:	79-83
       TOKENS:	P8W14-P8W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$akol_1]
   UNSPLITVOC:	(bi$akol)
          POS:	PREP+NOUN
          VOC:	bi+$akol
        GLOSS:	with/by+manner/form/configuration/manners / types/forms/configurations

 INPUT STRING:	خاص
     IS_TRANS:	xAS
        INDEX:	P8W13
      OFFSETS:	84-87
       TOKENS:	P8W16-P8W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xAS~_1]
   UNSPLITVOC:	(xAS~)
          POS:	ADJ
          VOC:	xAS~
        GLOSS:	special/specific

 INPUT STRING:	لمحاولة
     IS_TRANS:	lmHAwlp
        INDEX:	P8W14
      OFFSETS:	88-95
       TOKENS:	P8W17-P8W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[muHAwalap_1]
   UNSPLITVOC:	(lamuHAwalap)
          POS:	PREP+NOUN+NSUFF_FEM_SG
          VOC:	la+muHAwal+ap
        GLOSS:	for/to+attempt/effort+[fem.sg.]

 INPUT STRING:	منعهن
     IS_TRANS:	mnEhn
        INDEX:	P8W15
      OFFSETS:	96-101
       TOKENS:	P8W19-P8W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[manoE_1]
   UNSPLITVOC:	(manoEhun~a)
          POS:	NOUN.VN+POSS_PRON_3FP
          VOC:	manoE+hun~a
        GLOSS:	prevention/interdiction+their

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P8W16
      OFFSETS:	102-104
       TOKENS:	P8W21-P8W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	الاستمرار
     IS_TRANS:	AlAstmrAr
        INDEX:	P8W17
      OFFSETS:	105-114
       TOKENS:	P8W22-P8W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AisotimorAr_1]
   UNSPLITVOC:	(AlAisotimorAr)
          POS:	DET+NOUN
          VOC:	Al+AisotimorAr
        GLOSS:	the+continuation

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P8W18
      OFFSETS:	115-117
       TOKENS:	P8W23-P8W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	التظاهر
     IS_TRANS:	AltZAhr
        INDEX:	P8W19
      OFFSETS:	118-125
       TOKENS:	P8W24-P8W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[taZAhur_1]
   UNSPLITVOC:	(Alt~aZAhur)
          POS:	DET+NOUN
          VOC:	Al+taZAhur
        GLOSS:	the+demonstration/exhibition/simulation

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P8W20
      OFFSETS:	125-126
       TOKENS:	P8W25-P8W25
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	لم
     IS_TRANS:	lm
        INDEX:	P9W1
      OFFSETS:	0-2
       TOKENS:	P9W1-P9W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[lamo_1]
   UNSPLITVOC:	(lamo)
          POS:	NEG_PART
          VOC:	lamo
        GLOSS:	did not

 INPUT STRING:	تكن
     IS_TRANS:	tkn
        INDEX:	P9W2
      OFFSETS:	3-6
       TOKENS:	P9W2-P9W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(takun)
          POS:	IV3FS+IV
          VOC:	ta+kun
        GLOSS:	it/they/she+be

 INPUT STRING:	تلك
     IS_TRANS:	tlk
        INDEX:	P9W3
      OFFSETS:	7-10
       TOKENS:	P9W3-P9W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[tilk_1]
   UNSPLITVOC:	(tiloka)
          POS:	DEM_PRON_F
          VOC:	tiloka
        GLOSS:	that/those

 INPUT STRING:	المرة
     IS_TRANS:	Almrp
        INDEX:	P9W4
      OFFSETS:	11-16
       TOKENS:	P9W4-P9W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mar~ap_1]
   UNSPLITVOC:	(Almar~ap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+mar~+ap
        GLOSS:	the+once/one time+[fem.sg.]

 INPUT STRING:	الأولى
     IS_TRANS:	Al>wlY
        INDEX:	P9W5
      OFFSETS:	17-23
       TOKENS:	P9W5-P9W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>uwlaY]
   UNSPLITVOC:	(Al>uwlaY)
          POS:	DET+ADJ_NUM
          VOC:	Al+>uwlaY
        GLOSS:	the+first

 INPUT STRING:	التي
     IS_TRANS:	Alty
        INDEX:	P9W6
      OFFSETS:	24-28
       TOKENS:	P9W6-P9W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ail~atiy_1]
   UNSPLITVOC:	(Al~atiy)
          POS:	REL_PRON
          VOC:	Al~atiy
        GLOSS:	which

 INPUT STRING:	تتعامل
     IS_TRANS:	ttEAml
        INDEX:	P9W7
      OFFSETS:	29-35
       TOKENS:	P9W7-P9W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AitoEAmil_1]
   UNSPLITVOC:	(titoEAmil)
          POS:	IV3FS+IV
          VOC:	ti+toEAmil
        GLOSS:	she+deal with

 INPUT STRING:	فيها
     IS_TRANS:	fyhA
        INDEX:	P9W8
      OFFSETS:	36-40
       TOKENS:	P9W8-P9W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiyhA)
          POS:	PREP+PRON_3FS
          VOC:	fiy+hA
        GLOSS:	in+she

 INPUT STRING:	الشرطة
     IS_TRANS:	Al$rTp
        INDEX:	P9W9
      OFFSETS:	41-47
       TOKENS:	P9W10-P9W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$uroTap_1]
   UNSPLITVOC:	(Al$~uroTap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+$uroT+ap
        GLOSS:	the+police+[fem.sg.]

 INPUT STRING:	بعنف
     IS_TRANS:	bEnf
        INDEX:	P9W10
      OFFSETS:	48-52
       TOKENS:	P9W11-P9W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eunof_1]
   UNSPLITVOC:	(biEunof)
          POS:	PREP+NOUN
          VOC:	bi+Eunof
        GLOSS:	with/by+violence/force

 INPUT STRING:	مع
     IS_TRANS:	mE
        INDEX:	P9W11
      OFFSETS:	53-55
       TOKENS:	P9W13-P9W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maEa_1]
   UNSPLITVOC:	(maE)
          POS:	NOUN
          VOC:	maE
        GLOSS:	something with

 INPUT STRING:	النساء
     IS_TRANS:	AlnsA'
        INDEX:	P9W12
      OFFSETS:	56-62
       TOKENS:	P9W14-P9W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nisA'_1]
   UNSPLITVOC:	(Aln~isA')
          POS:	DET+NOUN
          VOC:	Al+nisA'
        GLOSS:	the+women

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P9W13
      OFFSETS:	62-63
       TOKENS:	P9W15-P9W15
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	ففي
     IS_TRANS:	ffy
        INDEX:	P10W1
      OFFSETS:	0-3
       TOKENS:	P10W1-P10W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fafiy)
          POS:	CONJ+PREP
          VOC:	fa+fiy
        GLOSS:	so/and+in

 INPUT STRING:	شهر
     IS_TRANS:	$hr
        INDEX:	P10W2
      OFFSETS:	4-7
       TOKENS:	P10W3-P10W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$ahor_1]
   UNSPLITVOC:	($ahor)
          POS:	NOUN
          VOC:	$ahor
        GLOSS:	month/months

 INPUT STRING:	نوفمبر
     IS_TRANS:	nwfmbr
        INDEX:	P10W3
      OFFSETS:	8-14
       TOKENS:	P10W4-P10W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[nuwfimobir_1]
   UNSPLITVOC:	(nuwfimobir)
          POS:	NOUN_PROP
          VOC:	nuwfimobir
        GLOSS:	November

 INPUT STRING:	قبضت
     IS_TRANS:	qbDt
        INDEX:	P10W4
      OFFSETS:	15-19
       TOKENS:	P10W5-P10W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qabaD_1]
   UNSPLITVOC:	(qabaDit)
          POS:	PV+PVSUFF_SUBJ:3FS
          VOC:	qabaD+it
        GLOSS:	arrest/apprehend/seize+it/they/she [verb]

 INPUT STRING:	الشرطة
     IS_TRANS:	Al$rTp
        INDEX:	P10W5
      OFFSETS:	20-26
       TOKENS:	P10W6-P10W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$uroTap_1]
   UNSPLITVOC:	(Al$~uroTap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+$uroT+ap
        GLOSS:	the+police+[fem.sg.]

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P10W6
      OFFSETS:	27-30
