 INPUT STRING:	هنتخب
          VOC:	ni+$uwf+$
        GLOSS:	we+look+not

 INPUT STRING:	وش
     IS_TRANS:	w$
        INDEX:	P6W12
      OFFSETS:	59-61
       TOKENS:	P6W16-P6W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wi$~_1]
   UNSPLITVOC:	(wi$~)
          POS:	NOUN
          VOC:	wi$~
        GLOSS:	face

 INPUT STRING:	واحد
     IS_TRANS:	wAHd
        INDEX:	P6W13
      OFFSETS:	62-66
       TOKENS:	P6W17-P6W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wAHid_1]
   UNSPLITVOC:	(wAHid)
          POS:	NOUN
          VOC:	wAHid
        GLOSS:	person/ individual

 INPUT STRING:	فيهم
     IS_TRANS:	fyhm
        INDEX:	P6W14
      OFFSETS:	67-71
       TOKENS:	P6W18-P6W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiyhum)
          POS:	PREP+PRON_3P
          VOC:	fiy+hum
        GLOSS:	in+them

 INPUT STRING:	تاني
     IS_TRANS:	tAny
        INDEX:	P6W15
      OFFSETS:	72-76
       TOKENS:	P6W20-P6W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tAniy_1]
   UNSPLITVOC:	(tAniy)
          POS:	ADJ
          VOC:	tAniy
        GLOSS:	second/other

 INPUT STRING:	ايوة
     IS_TRANS:	Aywp
        INDEX:	P7W1
      OFFSETS:	0-4
       TOKENS:	P7W1-P7W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>ayowah_1]
   UNSPLITVOC:	(>ayowah)
          POS:	INTERJ
          VOC:	>ayowah
        GLOSS:	yes

 INPUT STRING:	هما
     IS_TRANS:	hmA
        INDEX:	P7W2
      OFFSETS:	5-8
       TOKENS:	P7W2-P7W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hum~a_1]
   UNSPLITVOC:	(hum~a)
          POS:	PRON_3P
          VOC:	hum~a
        GLOSS:	they

 INPUT STRING:	ما
     IS_TRANS:	mA
        INDEX:	P7W3
      OFFSETS:	9-11
       TOKENS:	P7W3-P7W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mA_1]
   UNSPLITVOC:	(mA)
          POS:	NEG_PART
          VOC:	mA
        GLOSS:	not

 INPUT STRING:	يعرفوش
     IS_TRANS:	yErfw$
        INDEX:	P7W4
      OFFSETS:	12-18
       TOKENS:	P7W4-P7W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Earaf_1]
   UNSPLITVOC:	(yiEorafuw$)
          POS:	IV3P+IV+IVSUFF_SUBJ:P+NEG_PART
          VOC:	yi+Eoraf+uwA+$
        GLOSS:	they+know/be known+we+not

 INPUT STRING:	ليه
     IS_TRANS:	lyh
        INDEX:	P7W5
      OFFSETS:	19-22
       TOKENS:	P7W6-P7W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[layoh_1]
   UNSPLITVOC:	(layoh)
          POS:	INTERROG_ADV
          VOC:	layoh
        GLOSS:	why

 INPUT STRING:	احنا
     IS_TRANS:	AHnA
        INDEX:	P7W6
      OFFSETS:	23-27
       TOKENS:	P7W7-P7W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AiHonA_1]
   UNSPLITVOC:	(AiHonA)
          POS:	PRON_1P
          VOC:	AiHonA
        GLOSS:	we

 INPUT STRING:	عايزين
     IS_TRANS:	EAyzyn
        INDEX:	P7W7
      OFFSETS:	28-34
       TOKENS:	P7W8-P7W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EAyiz_1]
   UNSPLITVOC:	(EAyoziyn)
          POS:	ADJ+NSUFF_MASC_PL
          VOC:	EAyoz+iyn
        GLOSS:	wanting/needing+two

 INPUT STRING:	تغيير
     IS_TRANS:	tgyyr
        INDEX:	P7W8
      OFFSETS:	35-40
       TOKENS:	P7W9-P7W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tagoyiyr_1]
   UNSPLITVOC:	(tagoyiyr)
          POS:	NOUN
          VOC:	tagoyiyr
        GLOSS:	change/modification/replacement

 INPUT STRING:	ومش
     IS_TRANS:	wm$
        INDEX:	P7W9
      OFFSETS:	41-44
       TOKENS:	P7W10-P7W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(wimi$)
          POS:	CONJ+NEG_PART
          VOC:	wi+mi$
        GLOSS:	and+not

 INPUT STRING:	حاسين
     IS_TRANS:	HAsyn
        INDEX:	P7W10
      OFFSETS:	45-50
       TOKENS:	P7W12-P7W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAsis_1]
   UNSPLITVOC:	(HAs~iyn)
          POS:	ADJ.VN+NSUFF_MASC_PL
          VOC:	HAs~+iyn
        GLOSS:	feeling+two

 INPUT STRING:	بينا
     IS_TRANS:	bynA
        INDEX:	P7W11
      OFFSETS:	51-55
       TOKENS:	P7W13-P7W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bi_1]
   UNSPLITVOC:	(biynA)
          POS:	PREP+PRON_1P
          VOC:	bi+nA
        GLOSS:	with+us

 INPUT STRING:	ولا
     IS_TRANS:	wlA
        INDEX:	P7W12
      OFFSETS:	56-59
       TOKENS:	P7W15-P7W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lA_1]
   UNSPLITVOC:	(walA)
          POS:	CONJ+CONJ
          VOC:	wa+lA
        GLOSS:	and+nor, neither

 INPUT STRING:	يعرفوا
     IS_TRANS:	yErfwA
        INDEX:	P7W13
      OFFSETS:	60-66
       TOKENS:	P7W17-P7W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Earaf_1]
   UNSPLITVOC:	(yiEorafuwA)
          POS:	IV3P+IV+IVSUFF_SUBJ:P
          VOC:	yi+Eoraf+uwA
        GLOSS:	they+know/be known+we

 INPUT STRING:	ليه
     IS_TRANS:	lyh
        INDEX:	P7W14
      OFFSETS:	67-70
       TOKENS:	P7W18-P7W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[layoh_1]
   UNSPLITVOC:	(layoh)
          POS:	INTERROG_ADV
          VOC:	layoh
        GLOSS:	why

 INPUT STRING:	حتى
     IS_TRANS:	HtY
        INDEX:	P7W15
      OFFSETS:	71-74
       TOKENS:	P7W19-P7W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hat~aY_1]
   UNSPLITVOC:	(Hat~aY)
          POS:	PART
          VOC:	Hat~aY
        GLOSS:	even/including

 INPUT STRING:	عملنا
     IS_TRANS:	EmlnA
        INDEX:	P7W16
      OFFSETS:	75-80
       TOKENS:	P7W20-P7W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eamal_1]
   UNSPLITVOC:	(EamalnA)
          POS:	PV+PVSUFF_SUBJ:1P
          VOC:	Eamal+nA
        GLOSS:	do/make/act+we

 INPUT STRING:	ثورة
     IS_TRANS:	vwrp
        INDEX:	P7W17
      OFFSETS:	81-85
       TOKENS:	P7W21-P7W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[vawrap_1]
   UNSPLITVOC:	(vawrap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	vawr+ap
        GLOSS:	revolution/uprising+[fem.sg.]

 INPUT STRING:	ايوة
     IS_TRANS:	Aywp
        INDEX:	P8W1
      OFFSETS:	0-4
       TOKENS:	P8W1-P8W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>ayowah_1]
   UNSPLITVOC:	(>ayowah)
          POS:	INTERJ
          VOC:	>ayowah
        GLOSS:	yes

 INPUT STRING:	هما
     IS_TRANS:	hmA
        INDEX:	P8W2
      OFFSETS:	5-8
       TOKENS:	P8W2-P8W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hum~a_1]
   UNSPLITVOC:	(hum~a)
          POS:	PRON_3P
          VOC:	hum~a
        GLOSS:	they

 INPUT STRING:	كبروا
     IS_TRANS:	kbrwA
        INDEX:	P8W3
      OFFSETS:	9-14
       TOKENS:	P8W3-P8W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kibir_1]
   UNSPLITVOC:	(kiboruwA)
          POS:	PV+PVSUFF_SUBJ:3P
          VOC:	kibor+uwA
        GLOSS:	grow up+they

 INPUT STRING:	واتضخموا
     IS_TRANS:	wAtDxmwA
        INDEX:	P8W4
      OFFSETS:	15-23
       TOKENS:	P8W4-P8W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AitoDax~am_1]
   UNSPLITVOC:	(wiAitoDax~amuwA)
          POS:	CONJ+PV+PVSUFF_SUBJ:3P
          VOC:	wi+AitoDax~am+uwA
        GLOSS:	and+swell+they

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P8W5
      OFFSETS:	24-26
       TOKENS:	P8W6-P8W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	النظام
     IS_TRANS:	AlnZAm
        INDEX:	P8W6
      OFFSETS:	27-33
       TOKENS:	P8W7-P8W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[niZAm_1]
   UNSPLITVOC:	(Aln~iZAm)
          POS:	DET+NOUN
          VOC:	Al+niZAm
        GLOSS:	the+regime/government

 INPUT STRING:	السابق
     IS_TRANS:	AlsAbq
        INDEX:	P8W7
      OFFSETS:	34-40
       TOKENS:	P8W8-P8W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sAbiq_1]
   UNSPLITVOC:	(Als~Abiq)
          POS:	DET+ADJ
          VOC:	Al+sAbiq
        GLOSS:	the+former/previous/preceding

 INPUT STRING:	ايوة
     IS_TRANS:	Aywp
        INDEX:	P9W1
      OFFSETS:	0-4
       TOKENS:	P9W1-P9W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>ayowah_1]
   UNSPLITVOC:	(>ayowah)
          POS:	INTERJ
          VOC:	>ayowah
        GLOSS:	yes

 INPUT STRING:	هما
     IS_TRANS:	hmA
        INDEX:	P9W2
      OFFSETS:	5-8
       TOKENS:	P9W2-P9W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hum~a_1]
   UNSPLITVOC:	(hum~a)
          POS:	PRON_3P
          VOC:	hum~a
        GLOSS:	they

 INPUT STRING:	اصدقاء
     IS_TRANS:	ASdqA'
        INDEX:	P9W3
      OFFSETS:	9-15
       TOKENS:	P9W3-P9W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Sadiyq_1]
   UNSPLITVOC:	(ASodiqA')
          POS:	NOUN
          VOC:	ASodiqA'
        GLOSS:	friend/friends

 INPUT STRING:	مقربين
     IS_TRANS:	mqrbyn
        INDEX:	P9W4
      OFFSETS:	16-22
       TOKENS:	P9W4-P9W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[muqar~ab_1]
   UNSPLITVOC:	(muqar~abiyn)
          POS:	ADJ+NSUFF_MASC_PL
          VOC:	muqar~ab+iyn
        GLOSS:	close+two

 INPUT STRING:	وكمان
     IS_TRANS:	wkmAn
        INDEX:	P9W5
      OFFSETS:	23-28
       TOKENS:	P9W5-P9W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kamAn_1]
   UNSPLITVOC:	(wikamAn)
          POS:	CONJ+ADV
          VOC:	wi+kamAn
        GLOSS:	and+also

 INPUT STRING:	منهم
     IS_TRANS:	mnhm
        INDEX:	P9W6
      OFFSETS:	29-33
       TOKENS:	P9W7-P9W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(minhum)
          POS:	PREP+PRON_3P
          VOC:	min+hum
        GLOSS:	from+them

 INPUT STRING:	اللي
     IS_TRANS:	Ally
        INDEX:	P9W7
      OFFSETS:	34-38
       TOKENS:	P9W9-P9W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	what/that

 INPUT STRING:	ابو
     IS_TRANS:	Abw
        INDEX:	P9W8
      OFFSETS:	39-42
       TOKENS:	P9W10-P9W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aabuw_1]
   UNSPLITVOC:	(Abuw)
          POS:	NOUN
          VOC:	Abuw
        GLOSS:	father/Abu

 INPUT STRING:	نسب
     IS_TRANS:	nsb
        INDEX:	P9W9
      OFFSETS:	43-46
       TOKENS:	P9W11-P9W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[nasab_1]
   UNSPLITVOC:	(nasab)
          POS:	NOUN
          VOC:	nasab
        GLOSS:	lineage/kinship

 INPUT STRING:	لمبارك
     IS_TRANS:	lmbArk
        INDEX:	P9W10
      OFFSETS:	47-53
       TOKENS:	P9W12-P9W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mubArak_1]
   UNSPLITVOC:	(limubArak)
          POS:	PREP+NOUN_PROP
          VOC:	li+mubArak
        GLOSS:	for/to+Mubarak

 INPUT STRING:	وعياله
     IS_TRANS:	wEyAlh
        INDEX:	P9W11
      OFFSETS:	54-60
       TOKENS:	P9W14-P9W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eay~il_1]
   UNSPLITVOC:	(wiEiyAluh)
          POS:	CONJ+NOUN+POSS_PRON_3MS
          VOC:	wi+EiyAl+uh
        GLOSS:	and+family/household+his/its

 INPUT STRING:	ايوة
     IS_TRANS:	Aywp
        INDEX:	P10W1
      OFFSETS:	0-4
       TOKENS:	P10W1-P10W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>ayowah_1]
   UNSPLITVOC:	(>ayowah)
          POS:	INTERJ
          VOC:	>ayowah
        GLOSS:	yes

 INPUT STRING:	نهبونا
     IS_TRANS:	nhbwnA
        INDEX:	P10W2
      OFFSETS:	5-11
       TOKENS:	P10W2-P10W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nahab_1]
   UNSPLITVOC:	(nahabuwnA)
          POS:	PV+PVSUFF_SUBJ:3P+PVSUFF_DO:1P
          VOC:	nahab+uwA+nA
        GLOSS:	plunder+they+us

 INPUT STRING:	كتير
     IS_TRANS:	ktyr
        INDEX:	P10W3
      OFFSETS:	12-16
       TOKENS:	P10W4-P10W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kitiyr_1]
   UNSPLITVOC:	(kitiyr)
          POS:	ADJ
          VOC:	kitiyr
        GLOSS:	a lot

 INPUT STRING:	مع
     IS_TRANS:	mE
        INDEX:	P10W4
      OFFSETS:	17-19
       TOKENS:	P10W5-P10W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maEa_1]
   UNSPLITVOC:	(maE)
          POS:	NOUN
          VOC:	maEa
        GLOSS:	with

 INPUT STRING:	اللي
     IS_TRANS:	Ally
        INDEX:	P10W5
      OFFSETS:	20-24
       TOKENS:	P10W6-P10W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	what/that

 INPUT STRING:	نهب
     IS_TRANS:	nhb
        INDEX:	P10W6
      OFFSETS:	25-28
       TOKENS:	P10W7-P10W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nahab_1]
   UNSPLITVOC:	(nahab)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	nahab+(null)
        GLOSS:	plunder/loot+he/it

 INPUT STRING:	ايوة
     IS_TRANS:	Aywp
        INDEX:	P11W1
      OFFSETS:	0-4
       TOKENS:	P11W1-P11W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>ayowah_1]
   UNSPLITVOC:	(>ayowah)
          POS:	INTERJ
          VOC:	>ayowah
        GLOSS:	yes

 INPUT STRING:	صحيح
     IS_TRANS:	SHyH
        INDEX:	P11W2
      OFFSETS:	5-9
       TOKENS:	P11W2-P11W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[SaHiyH_1]
   UNSPLITVOC:	(SaHiyH)
          POS:	ADJ
          VOC:	SaHiyH
        GLOSS:	true/correct/really/truly/yes/right/really/truly

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P11W3
      OFFSETS:	10-12
       TOKENS:	P11W3-P11W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	هنشوف
     IS_TRANS:	hn$wf
        INDEX:	P11W4
      OFFSETS:	13-18
       TOKENS:	P11W4-P11W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$Af_1]
   UNSPLITVOC:	(Hani$uwf)
          POS:	FUT_PART+IV1P+IV
          VOC:	Ha+ni+$uwf
        GLOSS:	will+we+look

 INPUT STRING:	لا
     IS_TRANS:	lA
        INDEX:	P11W5
      OFFSETS:	19-21
       TOKENS:	P11W6-P11W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lA_1]
   UNSPLITVOC:	(lA)
          POS:	CONJ
          VOC:	lA
        GLOSS:	nor, neither

 INPUT STRING:	محاكمات
     IS_TRANS:	mHAkmAt
        INDEX:	P11W6
      OFFSETS:	22-29
       TOKENS:	P11W7-P11W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[muHAkamap_1]
   UNSPLITVOC:	(muHAkamAt)
          POS:	NOUN+NSUFF_FEM_PL
          VOC:	muHAkam+At
        GLOSS:	judicial proceeding/legal prosecution+[fem.pl.]

 INPUT STRING:	ولا
     IS_TRANS:	wlA
        INDEX:	P11W7
      OFFSETS:	30-33
       TOKENS:	P11W8-P11W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lA_1]
   UNSPLITVOC:	(walA)
          POS:	CONJ+CONJ
          VOC:	wa+lA
        GLOSS:	and+nor, neither

 INPUT STRING:	عقوبات
     IS_TRANS:	EqwbAt
        INDEX:	P11W8
      OFFSETS:	34-40
       TOKENS:	P11W10-P11W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Euquwbap_1]
   UNSPLITVOC:	(EuquwbAt)
          POS:	NOUN+NSUFF_FEM_PL
          VOC:	Euquwb+At
        GLOSS:	punishment/sanction/punitive measure/sanctions/punitive measures+[fem.pl.]

 INPUT STRING:	ودم
     IS_TRANS:	wdm
        INDEX:	P11W9
      OFFSETS:	41-44
       TOKENS:	P11W11-P11W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dam~_1]
   UNSPLITVOC:	(widam~)
          POS:	CONJ+NOUN
          VOC:	wi+dam~
        GLOSS:	and+blood

 INPUT STRING:	الشهداء
     IS_TRANS:	Al$hdA'
        INDEX:	P11W10
      OFFSETS:	45-52
       TOKENS:	P11W13-P11W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$ahiyd_1]
   UNSPLITVOC:	(Al$~uhadA')
          POS:	DET+NOUN
          VOC:	Al+$uhadA'
        GLOSS:	the+martyrs

 INPUT STRING:	هيروح
     IS_TRANS:	hyrwH
        INDEX:	P11W11
      OFFSETS:	53-58
       TOKENS:	P11W14-P11W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rAH_1]
   UNSPLITVOC:	(HayiruwH)
          POS:	FUT_PART+IV3MS+IV
          VOC:	Ha+yi+ruwH
        GLOSS:	will+he/it+go/leave

 INPUT STRING:	بلاش
     IS_TRANS:	blA$
        INDEX:	P11W12
      OFFSETS:	59-63
       TOKENS:	P11W16-P11W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[balA$_1]
   UNSPLITVOC:	(balA$)
          POS:	NEG_PART
          VOC:	balA$
        GLOSS:	without

 INPUT STRING:	ايوة
     IS_TRANS:	Aywp
        INDEX:	P12W1
      OFFSETS:	0-4
       TOKENS:	P12W1-P12W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>ayowah_1]
   UNSPLITVOC:	(>ayowah)
          POS:	INTERJ
          VOC:	>ayowah
        GLOSS:	yes

 INPUT STRING:	هننسى
     IS_TRANS:	hnnsY
        INDEX:	P12W2
      OFFSETS:	5-10
       TOKENS:	P12W2-P12W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nisiy_1]
   UNSPLITVOC:	(HaninosaY)
          POS:	FUT_PART+IV1P+IV
          VOC:	Ha+ni+nosaY
        GLOSS:	will+we+forget

 INPUT STRING:	معاهم
     IS_TRANS:	mEAhm
        INDEX:	P12W3
      OFFSETS:	11-16
       TOKENS:	P12W4-P12W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maEa_1]
   UNSPLITVOC:	(maEAhum)
          POS:	NOUN+POSS_PRON_3P
          VOC:	maEa+hum
        GLOSS:	with+their

 INPUT STRING:	طلبات
     IS_TRANS:	TlbAt
        INDEX:	P12W4
      OFFSETS:	17-22
       TOKENS:	P12W6-P12W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Talab_1]
   UNSPLITVOC:	(TalabAt)
          POS:	NOUN+NSUFF_FEM_PL
          VOC:	Talab+At
        GLOSS:	request/demand/requests/demands+[fem.pl.]

 INPUT STRING:	الثورة
     IS_TRANS:	Alvwrp
        INDEX:	P12W5
      OFFSETS:	23-29
       TOKENS:	P12W7-P12W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[vawrap_1]
   UNSPLITVOC:	(Alv~awrap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+vawr+ap
        GLOSS:	the+revolution/uprising+[fem.sg.]

 INPUT STRING:	واحلام
     IS_TRANS:	wAHlAm
        INDEX:	P12W6
      OFFSETS:	30-36
       TOKENS:	P12W8-P12W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hilom_1]
   UNSPLITVOC:	(wiAHolAm)
          POS:	CONJ+NOUN
          VOC:	wi+AHolAm
        GLOSS:	and+dream/dreams

 INPUT STRING:	الثورة
     IS_TRANS:	Alvwrp
        INDEX:	P12W7
      OFFSETS:	37-43
       TOKENS:	P12W10-P12W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[vawrap_1]
   UNSPLITVOC:	(Alv~awrap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+vawr+ap
        GLOSS:	the+revolution/uprising+[fem.sg.]

 INPUT STRING:	وقوة
     IS_TRANS:	wqwp
        INDEX:	P12W8
      OFFSETS:	44-48
       TOKENS:	P12W11-P12W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[quw~ap_1]
   UNSPLITVOC:	(wiquw~ap)
          POS:	CONJ+NOUN+NSUFF_FEM_SG
