 INPUT STRING:	الأستاذ
        INDEX:	P12W11
      OFFSETS:	59-65
       TOKENS:	P12W14-P12W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[turokiy~_1]
   UNSPLITVOC:	(Alturokiy~)
          POS:	DET+ADJ
          VOC:	Al+turokiy~
        GLOSS:	the+Turkish

 INPUT STRING:	بشكل
     IS_TRANS:	b$kl
        INDEX:	P12W12
      OFFSETS:	66-70
       TOKENS:	P12W15-P12W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$akol_1]
   UNSPLITVOC:	(bi$akol)
          POS:	PREP+NOUN
          VOC:	bi+$akol
        GLOSS:	with/by+manner/form/configuration/manners / types/forms/configurations

 INPUT STRING:	غير
     IS_TRANS:	gyr
        INDEX:	P12W13
      OFFSETS:	71-74
       TOKENS:	P12W17-P12W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[gayor_1]
   UNSPLITVOC:	(gayor)
          POS:	NOUN
          VOC:	gayor
        GLOSS:	not/other

 INPUT STRING:	لائق
     IS_TRANS:	lA}q
        INDEX:	P12W14
      OFFSETS:	75-79
       TOKENS:	P12W18-P12W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lA}iq_1]
   UNSPLITVOC:	(lA}iq)
          POS:	ADJ
          VOC:	lA}iq
        GLOSS:	suitable/appropriate

 INPUT STRING:	،
     IS_TRANS:	,
        INDEX:	P12W15
      OFFSETS:	79-80
       TOKENS:	P12W19-P12W19
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	,

 INPUT STRING:	وإحنا
     IS_TRANS:	w<HnA
        INDEX:	P12W16
      OFFSETS:	81-86
       TOKENS:	P12W20-P12W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<iHonA_1]
   UNSPLITVOC:	(wa<iHonA)
          POS:	CONJ+PRON_1P
          VOC:	wa+<iHonA
        GLOSS:	and+we

 INPUT STRING:	إسرائيل
     IS_TRANS:	<srA}yl
        INDEX:	P12W17
      OFFSETS:	87-94
       TOKENS:	P12W22-P12W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<isorA}iyl_1]
   UNSPLITVOC:	(<isorA}iyl)
          POS:	NOUN_PROP
          VOC:	<isorA}iyl
        GLOSS:	Isreali

 INPUT STRING:	نازلة
     IS_TRANS:	nAzlp
        INDEX:	P12W18
      OFFSETS:	95-100
       TOKENS:	P12W23-P12W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nAzil_1]
   UNSPLITVOC:	(nAzolap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	nAzol+ap
        GLOSS:	staying+[fem.sg.]

 INPUT STRING:	ضرب
     IS_TRANS:	Drb
        INDEX:	P12W19
      OFFSETS:	101-104
       TOKENS:	P12W24-P12W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Darob_1]
   UNSPLITVOC:	(Darob)
          POS:	NOUN
          VOC:	Darob
        GLOSS:	beating/hitting/striking

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P12W20
      OFFSETS:	105-107
       TOKENS:	P12W25-P12W25
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	حدودنا
     IS_TRANS:	HdwdnA
        INDEX:	P12W21
      OFFSETS:	108-114
       TOKENS:	P12W26-P12W27
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[Had~_2]
   UNSPLITVOC:	(HuduwdnA)
          POS:	NOUN+POSS_PRON_1P
          VOC:	Huduwd+nA
        GLOSS:	extent/limit/level/border/frontier/limits+our

 INPUT STRING:	وقتل
     IS_TRANS:	wqtl
        INDEX:	P12W22
      OFFSETS:	115-119
       TOKENS:	P12W28-P12W29
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qatol_1]
   UNSPLITVOC:	(wiqatol)
          POS:	CONJ+NOUN
          VOC:	wi+qatol
        GLOSS:	and+murder/killing

 INPUT STRING:	لجنودنا
     IS_TRANS:	ljnwdnA
        INDEX:	P12W23
      OFFSETS:	120-127
       TOKENS:	P12W30-P12W32
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[junodiy~_1]
   UNSPLITVOC:	(lijunuwdnA)
          POS:	PREP+NOUN+POSS_PRON_1P
          VOC:	li+junuwd+nA
        GLOSS:	for/to+soldiers+our

 INPUT STRING:	والموضوع
     IS_TRANS:	wAlmwDwE
        INDEX:	P12W24
      OFFSETS:	128-136
       TOKENS:	P12W33-P12W34
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mawDuwE_1]
   UNSPLITVOC:	(wiAlmawDuwE)
          POS:	CONJ+DET+NOUN
          VOC:	wi+Al+mawDuwE
        GLOSS:	and+the+subject/theme/issue

 INPUT STRING:	بسيط
     IS_TRANS:	bsyT
        INDEX:	P12W25
      OFFSETS:	137-141
       TOKENS:	P12W35-P12W35
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[basiyT_1]
   UNSPLITVOC:	(basiyT)
          POS:	ADJ
          VOC:	basiyT
        GLOSS:	simple/plain/okay/no problem

 INPUT STRING:	،
     IS_TRANS:	,
        INDEX:	P12W26
      OFFSETS:	141-142
       TOKENS:	P12W36-P12W36
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	,

 INPUT STRING:	بدل
     IS_TRANS:	bdl
        INDEX:	P12W27
      OFFSETS:	143-146
       TOKENS:	P12W37-P12W37
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[badal_1]
   UNSPLITVOC:	(badal)
          POS:	NOUN
          VOC:	badal
        GLOSS:	substitute/substitutes/instead of/in lieu of

 INPUT STRING:	ما
     IS_TRANS:	mA
        INDEX:	P12W28
      OFFSETS:	147-149
       TOKENS:	P12W38-P12W38
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mA_1]
   UNSPLITVOC:	(mA)
          POS:	SUB_CONJ
          VOC:	mA
        GLOSS:	that, whether

 INPUT STRING:	نوقفها
     IS_TRANS:	nwqfhA
        INDEX:	P12W29
      OFFSETS:	150-156
       TOKENS:	P12W39-P12W40
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[waq~af_1]
   UNSPLITVOC:	(niwaq~afhA)
          POS:	IV1P+IV+IVSUFF_DO:3FS
          VOC:	ni+waq~af+hA
        GLOSS:	we+stop/detain+it/them/her

 INPUT STRING:	عند
     IS_TRANS:	End
        INDEX:	P12W30
      OFFSETS:	157-160
       TOKENS:	P12W41-P12W41
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eanod_1]
   UNSPLITVOC:	(Eanod)
          POS:	NOUN
          VOC:	Eanod
        GLOSS:	at

 INPUT STRING:	حدها
     IS_TRANS:	HdhA
        INDEX:	P12W31
      OFFSETS:	161-165
       TOKENS:	P12W42-P12W43
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[Had~_2]
   UNSPLITVOC:	(Had~hA)
          POS:	NOUN+POSS_PRON_3FS
          VOC:	Had~+hA
        GLOSS:	extent/limit/level+its/their/her

 INPUT STRING:	نقوم
     IS_TRANS:	nqwm
        INDEX:	P12W32
      OFFSETS:	166-170
       TOKENS:	P12W44-P12W44
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAm_1]
   UNSPLITVOC:	(niquwm)
          POS:	IV1P+IV
          VOC:	ni+quwm
        GLOSS:	we+be based (on)

 INPUT STRING:	نساعدها
     IS_TRANS:	nsAEdhA
        INDEX:	P12W33
      OFFSETS:	171-178
       TOKENS:	P12W45-P12W46
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sAEid_1]
   UNSPLITVOC:	(nisAEidhA)
          POS:	IV1P+IV+IVSUFF_DO:3FS
          VOC:	ni+sAEid+hA
        GLOSS:	we+help/assist/support/contribute+it/them/her

 INPUT STRING:	أكثر
     IS_TRANS:	>kvr
        INDEX:	P12W34
      OFFSETS:	179-183
       TOKENS:	P12W47-P12W47
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>akovar_2]
   UNSPLITVOC:	(>akovar)
          POS:	ADJ_COMP
          VOC:	>akovar
        GLOSS:	more

 INPUT STRING:	وأكثر
     IS_TRANS:	w>kvr
        INDEX:	P12W35
      OFFSETS:	184-189
       TOKENS:	P12W48-P12W49
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>akovar_2]
   UNSPLITVOC:	(wa>akovar)
          POS:	CONJ+ADJ_COMP
          VOC:	wa+>akovar
        GLOSS:	and+more

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P12W36
      OFFSETS:	190-193
       TOKENS:	P12W50-P12W50
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	خنق
     IS_TRANS:	xnq
        INDEX:	P12W37
      OFFSETS:	194-197
       TOKENS:	P12W51-P12W51
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xanoq_1]
   UNSPLITVOC:	(xanoq)
          POS:	NOUN
          VOC:	xanoq
        GLOSS:	choking/suppression

 INPUT STRING:	أهل
     IS_TRANS:	>hl
        INDEX:	P12W38
      OFFSETS:	198-201
       TOKENS:	P12W52-P12W52
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>ahol_1]
   UNSPLITVOC:	(>ahol)
          POS:	NOUN
          VOC:	>ahol
        GLOSS:	family/people/people/families/folk/families/indigenous people

 INPUT STRING:	غزة
     IS_TRANS:	gzp
        INDEX:	P12W39
      OFFSETS:	202-205
       TOKENS:	P12W53-P12W53
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[gaz~ap_1]
   UNSPLITVOC:	(gaz~ap)
          POS:	NOUN_PROP+NSUFF_FEM_SG
          VOC:	gaz~+ap
        GLOSS:	Gaza+[fem.sg.]

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P12W40
      OFFSETS:	205-206
       TOKENS:	P12W54-P12W54
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P12W41
      OFFSETS:	206-207
       TOKENS:	P12W55-P12W55
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P12W42
      OFFSETS:	207-208
       TOKENS:	P12W56-P12W56
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P12W43
      OFFSETS:	208-209
       TOKENS:	P12W57-P12W57
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	تضارب
     IS_TRANS:	tDArb
        INDEX:	P13W1
      OFFSETS:	0-5
       TOKENS:	P13W1-P13W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[taDArub_1]
   UNSPLITVOC:	(taDArub)
          POS:	NOUN
          VOC:	taDArub
        GLOSS:	clash/fight

 INPUT STRING:	تضارب
     IS_TRANS:	tDArb
        INDEX:	P13W2
      OFFSETS:	6-11
       TOKENS:	P13W2-P13W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[taDArub_1]
   UNSPLITVOC:	(taDArub)
          POS:	NOUN
          VOC:	taDArub
        GLOSS:	clash/fight

 INPUT STRING:	تضارب
     IS_TRANS:	tDArb
        INDEX:	P13W3
      OFFSETS:	12-17
       TOKENS:	P13W3-P13W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[taDArub_1]
   UNSPLITVOC:	(taDArub)
          POS:	NOUN
          VOC:	taDArub
        GLOSS:	clash/fight

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P13W4
      OFFSETS:	17-18
       TOKENS:	P13W4-P13W4
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P13W5
      OFFSETS:	18-19
       TOKENS:	P13W5-P13W5
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P13W6
      OFFSETS:	19-20
       TOKENS:	P13W6-P13W6
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P13W7
      OFFSETS:	20-21
       TOKENS:	P13W7-P13W7
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P13W8
      OFFSETS:	21-22
       TOKENS:	P13W8-P13W8
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	تحياتي
     IS_TRANS:	tHyAty
        INDEX:	P14W1
      OFFSETS:	0-6
       TOKENS:	P14W1-P14W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[taHiy~ap_1]
   UNSPLITVOC:	(taHiy~Atiy)
          POS:	NOUN+NSUFF_FEM_PL+POSS_PRON_1S
          VOC:	taHiy~+At+iy
        GLOSS:	greeting/salute+[fem.pl.]+my

 INPUT STRING:	وشكرا
     IS_TRANS:	w$krA
        INDEX:	P14W2
      OFFSETS:	7-12
       TOKENS:	P14W3-P14W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$ukor_1]
   UNSPLITVOC:	(wi$ukorAF)
          POS:	CONJ+NOUN+CASE_INDEF_ACC
          VOC:	wi+$ukor+AF
        GLOSS:	and+thank you/thanks+[acc.indef.]

 INPUT STRING:	لقرائتك
     IS_TRANS:	lqrA}tk
        INDEX:	P14W3
      OFFSETS:	13-20
       TOKENS:	P14W5-P14W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[qirA}ap_1]
   UNSPLITVOC:	(liqirA}apak)
          POS:	PREP+NOUN.VN+NSUFF_FEM_SG+POSS_PRON_2MS
          VOC:	li+qirA}+ap+ak
        GLOSS:	for/to+reading+[fem.sg.]+your

 INPUT STRING:	الموضوع
     IS_TRANS:	AlmwDwE
        INDEX:	P14W4
      OFFSETS:	21-28
       TOKENS:	P14W8-P14W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mawDuwE_1]
   UNSPLITVOC:	(AlmawDuwE)
          POS:	DET+NOUN
          VOC:	Al+mawDuwE
        GLOSS:	the+subject/theme/issue

