 INPUT STRING:	ورحـمه
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[miyn_1]
   UNSPLITVOC:	(miyn)
          POS:	INTERROG_PRON
          VOC:	miyn
        GLOSS:	who

 INPUT STRING:	السبب
     IS_TRANS:	Alsbb
        INDEX:	P47W4
      OFFSETS:	11-16
       TOKENS:	P47W4-P47W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sabab_1]
   UNSPLITVOC:	(Als~abab)
          POS:	DET+NOUN
          VOC:	Al+sabab
        GLOSS:	the+reason/cause/because of/due to

 INPUT STRING:	ف
     IS_TRANS:	f
        INDEX:	P47W5
      OFFSETS:	17-18
       TOKENS:	P47W5-P47W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	الكلام
     IS_TRANS:	AlklAm
        INDEX:	P47W6
      OFFSETS:	19-25
       TOKENS:	P47W6-P47W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kalAm_1]
   UNSPLITVOC:	(AlkalAm)
          POS:	DET+NOUN
          VOC:	Al+kalAm
        GLOSS:	the+speech/statement/remark/talk/saying

 INPUT STRING:	دا
     IS_TRANS:	dA
        INDEX:	P47W7
      OFFSETS:	26-28
       TOKENS:	P47W7-P47W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dah_1]
   UNSPLITVOC:	(dah)
          POS:	DEM_PRON_MS
          VOC:	dah
        GLOSS:	this

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P47W8
      OFFSETS:	29-30
       TOKENS:	P47W8-P47W8
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	nogloss

 INPUT STRING:	هل
     IS_TRANS:	hl
        INDEX:	P48W1
      OFFSETS:	0-2
       TOKENS:	P48W1-P48W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hal_1]
   UNSPLITVOC:	(hal)
          POS:	INTERROG_PART
          VOC:	hal
        GLOSS:	do?/is?

 INPUT STRING:	الواحد
     IS_TRANS:	AlwAHd
        INDEX:	P48W2
      OFFSETS:	3-9
       TOKENS:	P48W2-P48W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wAHid_1]
   UNSPLITVOC:	(AlwAHid)
          POS:	DET+NOUN_NUM
          VOC:	Al+wAHid
        GLOSS:	the+person/ individual

 INPUT STRING:	لازم
     IS_TRANS:	lAzm
        INDEX:	P48W3
      OFFSETS:	10-14
       TOKENS:	P48W3-P48W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lAzim_1]
   UNSPLITVOC:	(lAzim)
          POS:	ADJ
          VOC:	lAzim
        GLOSS:	necessary/required/needed

 INPUT STRING:	يتحلى
     IS_TRANS:	ytHlY
        INDEX:	P48W4
      OFFSETS:	15-20
       TOKENS:	P48W4-P48W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[taHal~aY_1]
   UNSPLITVOC:	(yataHal~aY)
          POS:	IV3MS+IV
          VOC:	ya+taHal~aY
        GLOSS:	he/it+be adorned/be furnished/remaining (patient, confident)

 INPUT STRING:	ببعض
     IS_TRANS:	bbED
        INDEX:	P48W5
      OFFSETS:	21-25
       TOKENS:	P48W5-P48W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baEoD_1]
   UNSPLITVOC:	(bibaEoD)
          POS:	PREP+NOUN
          VOC:	bi+baEoD
        GLOSS:	with/by+some, a few, little, part

 INPUT STRING:	النفاق
     IS_TRANS:	AlnfAq
        INDEX:	P48W6
      OFFSETS:	26-32
       TOKENS:	P48W7-P48W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nifAq_1]
   UNSPLITVOC:	(Aln~ifAq)
          POS:	DET+NOUN
          VOC:	Al+nifAq
        GLOSS:	the+expenditure/disbursement

 INPUT STRING:	ليخدع
     IS_TRANS:	lyxdE
        INDEX:	P49W1
      OFFSETS:	0-5
       TOKENS:	P49W1-P49W1
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(lyxdE)
          POS:	NO_FUNC
          VOC:	lyxdE
        GLOSS:	nogloss

 INPUT STRING:	به
     IS_TRANS:	bh
        INDEX:	P49W2
      OFFSETS:	6-8
       TOKENS:	P49W2-P49W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bi_1]
   UNSPLITVOC:	(buh)
          POS:	PREP+PRON_3MS
          VOC:	bi+uh
        GLOSS:	with/by+he/it

 INPUT STRING:	الاخرون
     IS_TRANS:	AlAxrwn
        INDEX:	P49W3
      OFFSETS:	9-16
       TOKENS:	P49W4-P49W4
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(AlAxrwn)
          POS:	NO_FUNC
          VOC:	AlAxrwn
        GLOSS:	nogloss

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P49W4
      OFFSETS:	17-18
       TOKENS:	P49W5-P49W5
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(w)
          POS:	TYPO
          VOC:	w
        GLOSS:	nogloss

 INPUT STRING:	يزيد
     IS_TRANS:	yzyd
        INDEX:	P49W5
      OFFSETS:	19-23
       TOKENS:	P49W6-P49W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[zAd_1]
   UNSPLITVOC:	(yiziyd)
          POS:	IV3MS+IV
          VOC:	yi+ziyd
        GLOSS:	he/it+augment

 INPUT STRING:	به
     IS_TRANS:	bh
        INDEX:	P49W6
      OFFSETS:	24-26
       TOKENS:	P49W7-P49W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bi_1]
   UNSPLITVOC:	(buh)
          POS:	PREP+PRON_3MS
          VOC:	bi+uh
        GLOSS:	with/by+he/it

 INPUT STRING:	مكانته
     IS_TRANS:	mkAnth
        INDEX:	P49W7
      OFFSETS:	27-33
       TOKENS:	P49W9-P49W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[makAnap_1]
   UNSPLITVOC:	(makAntuh)
          POS:	NOUN+NSUFF_FEM_SG+POSS_PRON_3MS
          VOC:	makAn+ap+uh
        GLOSS:	position/standing+[fem.sg.]+his/its

 INPUT STRING:	عندهم
     IS_TRANS:	Endhm
        INDEX:	P49W8
      OFFSETS:	34-39
       TOKENS:	P49W11-P49W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eanod_1]
   UNSPLITVOC:	(Eanoduhum)
          POS:	NOUN+POSS_PRON_3P
          VOC:	Eanod+hum
        GLOSS:	with / at+their

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P49W9
      OFFSETS:	40-41
       TOKENS:	P49W13-P49W13
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	nogloss

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P50W1
      OFFSETS:	0-2
       TOKENS:	P50W1-P50W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	لاقى
     IS_TRANS:	lAqY
        INDEX:	P50W2
      OFFSETS:	3-7
       TOKENS:	P50W2-P50W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lAqiy_1]
   UNSPLITVOC:	(lAqiy)
          POS:	ADJ
          VOC:	lAqiy
        GLOSS:	find

 INPUT STRING:	حل
     IS_TRANS:	Hl
        INDEX:	P50W3
      OFFSETS:	8-10
       TOKENS:	P50W3-P50W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hal~_1]
   UNSPLITVOC:	(Hal~)
          POS:	NOUN
          VOC:	Hal~
        GLOSS:	solution/dissolution/cancellation/solutions/dissolutions/cancellations

 INPUT STRING:	للمشكله
     IS_TRANS:	llm$klh
        INDEX:	P50W4
      OFFSETS:	11-18
       TOKENS:	P50W4-P50W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mu$okilap_1]
   UNSPLITVOC:	(lilmu$okilap)
          POS:	PREP+DET+NOUN+NSUFF_FEM_SG
          VOC:	li+Al+mu$okil+ap
        GLOSS:	for/to+the+problem/issue+[fem.sg.]

 INPUT STRING:	دى
     IS_TRANS:	dY
        INDEX:	P50W5
      OFFSETS:	19-21
       TOKENS:	P50W6-P50W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[diy_1]
   UNSPLITVOC:	(diy)
          POS:	DEM_PRON_FS
          VOC:	diy
        GLOSS:	this

 INPUT STRING:	بجد
     IS_TRANS:	bjd
        INDEX:	P50W6
      OFFSETS:	22-25
       TOKENS:	P50W7-P50W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jad~_1]
   UNSPLITVOC:	(bijad~)
          POS:	PREP+NOUN
          VOC:	bi+jad~
        GLOSS:	with/by+seriousness/earnestness

 INPUT STRING:	حد
     IS_TRANS:	Hd
        INDEX:	P51W1
      OFFSETS:	0-2
       TOKENS:	P51W1-P51W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Had~_1]
   UNSPLITVOC:	(Had~)
          POS:	NOUN
          VOC:	Had~
        GLOSS:	someone

 INPUT STRING:	عنده
     IS_TRANS:	Endh
        INDEX:	P51W2
      OFFSETS:	3-7
       TOKENS:	P51W2-P51W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eanod_1]
   UNSPLITVOC:	(Eanoduh)
          POS:	NOUN+POSS_PRON_3MS
          VOC:	Eanod+uh
        GLOSS:	with / at+his/its

 INPUT STRING:	حل
     IS_TRANS:	Hl
        INDEX:	P51W3
      OFFSETS:	8-10
       TOKENS:	P51W4-P51W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hal~_1]
   UNSPLITVOC:	(Hal~)
          POS:	NOUN
          VOC:	Hal~
        GLOSS:	solution/dissolution/cancellation/solutions/dissolutions/cancellations

 INPUT STRING:	للى
     IS_TRANS:	llY
        INDEX:	P51W4
      OFFSETS:	11-14
       TOKENS:	P51W5-P51W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(lil~iy)
          POS:	PREP+REL_PRON
          VOC:	li+Alliy
        GLOSS:	for/to+who/whose/which

 INPUT STRING:	ميستحقوش
     IS_TRANS:	mystHqw$
        INDEX:	P51W5
      OFFSETS:	15-23
       TOKENS:	P51W7-P51W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[AisotaHaq_1]
   UNSPLITVOC:	(mAyisotaHaquwA$)
          POS:	NEG_PART+IV3P+IV+IVSUFF_SUBJ:P+NEG_PART
          VOC:	mA+yi+sotaHaq+uwA+$
        GLOSS:	not+they+deserve+they+not

 INPUT STRING:	دول
     IS_TRANS:	dwl
        INDEX:	P51W6
      OFFSETS:	24-27
       TOKENS:	P51W10-P51W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dawol_1]
   UNSPLITVOC:	(dawol)
          POS:	DEM_PRON_P
          VOC:	dawol
        GLOSS:	these/those

 INPUT STRING:	!
     IS_TRANS:	!
        INDEX:	P51W7
      OFFSETS:	28-29
       TOKENS:	P51W11-P51W11
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(!)
          POS:	PUNC
          VOC:	!
        GLOSS:	nogloss

 INPUT STRING:	!
     IS_TRANS:	!
        INDEX:	P51W8
      OFFSETS:	29-30
       TOKENS:	P51W12-P51W12
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(!)
          POS:	PUNC
          VOC:	!
        GLOSS:	nogloss

 INPUT STRING:	حد
     IS_TRANS:	Hd
        INDEX:	P52W1
      OFFSETS:	0-2
       TOKENS:	P52W1-P52W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Had~_1]
   UNSPLITVOC:	(Had~)
          POS:	NOUN
          VOC:	Had~
        GLOSS:	someone

 INPUT STRING:	عارف
     IS_TRANS:	EArf
        INDEX:	P52W2
      OFFSETS:	3-7
       TOKENS:	P52W2-P52W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EArif_1]
   UNSPLITVOC:	(EArif)
          POS:	ADJ.VN
          VOC:	EArif
        GLOSS:	knowing/having knowledge of

 INPUT STRING:	هنفضل
     IS_TRANS:	hnfDl
        INDEX:	P52W3
      OFFSETS:	8-13
       TOKENS:	P52W3-P52W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiDil_1]
   UNSPLITVOC:	(HanifoDal)
          POS:	FUT_PART+IV1P+IV
          VOC:	Ha+ni+foDal
        GLOSS:	will+we+keep/still/remain

 INPUT STRING:	لحد
     IS_TRANS:	lHd
        INDEX:	P52W4
      OFFSETS:	14-17
       TOKENS:	P52W5-P52W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Had~_1]
   UNSPLITVOC:	(liHad~)
          POS:	PREP+NOUN
          VOC:	li+Had~
        GLOSS:	for/to+extent/limit/level/border/frontier/limits

 INPUT STRING:	إمتى
     IS_TRANS:	<mtY
        INDEX:	P52W5
      OFFSETS:	18-22
       TOKENS:	P52W7-P52W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<imotaY_1]
   UNSPLITVOC:	(<imotaY)
          POS:	INTERROG_ADV
          VOC:	<imotaY
        GLOSS:	when

 INPUT STRING:	ف
     IS_TRANS:	f
        INDEX:	P52W6
      OFFSETS:	23-24
       TOKENS:	P52W8-P52W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	مجتمع
     IS_TRANS:	mjtmE
        INDEX:	P52W7
      OFFSETS:	25-30
       TOKENS:	P52W9-P52W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mijotimiE_1]
   UNSPLITVOC:	(mijotimiE)
          POS:	NOUN
          VOC:	mijotimiE
        GLOSS:	society

 INPUT STRING:	يعطى
     IS_TRANS:	yETY
        INDEX:	P53W1
      OFFSETS:	0-4
       TOKENS:	P53W1-P53W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>aEoTaY_1]
   UNSPLITVOC:	(yaEoTiy)
          POS:	IV3MS+IV
          VOC:	ya+EoTiy
        GLOSS:	he/it+give/provide

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P53W2
      OFFSETS:	5-7
       TOKENS:	P53W2-P53W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[mano_1]
   UNSPLITVOC:	(mano)
          POS:	REL_PRON
          VOC:	mano
        GLOSS:	who/whom

 INPUT STRING:	لا
     IS_TRANS:	lA
        INDEX:	P53W3
      OFFSETS:	8-10
       TOKENS:	P53W3-P53W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lA_1]
   UNSPLITVOC:	(lA)
          POS:	NEG_PART
          VOC:	lA
        GLOSS:	no/not

 INPUT STRING:	يستحق
     IS_TRANS:	ystHq
        INDEX:	P53W4
      OFFSETS:	11-16
       TOKENS:	P53W4-P53W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[AisotaHaq~_1]
   UNSPLITVOC:	(yasotaHiq~)
          POS:	IV3MS+IV
          VOC:	ya+sotaHiq~
        GLOSS:	he/it+deserve

 INPUT STRING:	!
     IS_TRANS:	!
        INDEX:	P53W5
      OFFSETS:	17-18
       TOKENS:	P53W5-P53W5
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(!)
          POS:	PUNC
          VOC:	!
        GLOSS:	nogloss

 INPUT STRING:	!
     IS_TRANS:	!
        INDEX:	P53W6
      OFFSETS:	18-19
       TOKENS:	P53W6-P53W6
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(!)
          POS:	PUNC
          VOC:	!
        GLOSS:	nogloss

 INPUT STRING:	والله
     IS_TRANS:	wAllh
        INDEX:	P54W1
      OFFSETS:	0-5
       TOKENS:	P54W1-P54W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(waAll~ah)
          POS:	PREP+NOUN
          VOC:	wa+All~ah
        GLOSS:	with/by+Allah/God

 INPUT STRING:	عندك
     IS_TRANS:	Endk
        INDEX:	P54W2
      OFFSETS:	6-10
       TOKENS:	P54W3-P54W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eanod_1]
   UNSPLITVOC:	(Eanodak)
          POS:	NOUN+POSS_PRON_2MS
          VOC:	Eanod+ak
        GLOSS:	at+your

 INPUT STRING:	حق
     IS_TRANS:	Hq
        INDEX:	P54W3
      OFFSETS:	11-13
       TOKENS:	P54W5-P54W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Haq~_1]
   UNSPLITVOC:	(Haq~)
          POS:	NOUN
          VOC:	Haq~
        GLOSS:	truth/right/against/towards/rights/law

 INPUT STRING:	بس
     IS_TRANS:	bs
        INDEX:	P55W1
      OFFSETS:	0-2
       TOKENS:	P55W1-P55W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bas~_1]
   UNSPLITVOC:	(bas~)
          POS:	CONJ
          VOC:	bas~
        GLOSS:	but

 INPUT STRING:	بصراحه
     IS_TRANS:	bSrAHh
        INDEX:	P55W2
      OFFSETS:	3-9
       TOKENS:	P55W2-P55W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[SarAHap_1]
   UNSPLITVOC:	(biSarAHap)
          POS:	PREP+NOUN+NSUFF_FEM_SG
          VOC:	bi+SarAH+ap
        GLOSS:	with/by+sincerity/candor/frankness/explicitly/openly+[fem.sg.]

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P55W3
      OFFSETS:	10-12
       TOKENS:	P55W4-P55W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	بعض
     IS_TRANS:	bED
        INDEX:	P55W4
      OFFSETS:	13-16
       TOKENS:	P55W5-P55W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baEoD_1]
   UNSPLITVOC:	(baEoD)
          POS:	NOUN_QUANT
          VOC:	baEoD
        GLOSS:	some, a few, little, part

 INPUT STRING:	الناس
     IS_TRANS:	AlnAs
        INDEX:	P55W5
      OFFSETS:	17-22
       TOKENS:	P55W6-P55W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nAs_1]
   UNSPLITVOC:	(Aln~As)
          POS:	DET+NOUN
          VOC:	Al+nAs
        GLOSS:	the+people

 INPUT STRING:	متستحقش
     IS_TRANS:	mtstHq$
        INDEX:	P55W6
      OFFSETS:	23-30
       TOKENS:	P55W7-P55W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[AisotaHaq~_1]
   UNSPLITVOC:	(mAtisotaHaq~i$)
          POS:	NEG_PART+IV3MS+IV+NEG_PART
          VOC:	mA+ti+sotaHaq~+i$
        GLOSS:	not+she/they/it+deserve+not

 INPUT STRING:	انها
     IS_TRANS:	AnhA
        INDEX:	P55W7
      OFFSETS:	31-35
       TOKENS:	P55W10-P55W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~ahA)
          POS:	SUB_CONJ+PRON_3FS
          VOC:	<in~+hA
        GLOSS:	that+it/she

 INPUT STRING:	تاخد
     IS_TRANS:	tAxd
        INDEX:	P55W8
      OFFSETS:	36-40
       TOKENS:	P55W12-P55W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aaxad_1]
   UNSPLITVOC:	(tAxud)
          POS:	IV3FS+IV
          VOC:	t+Axud
        GLOSS:	it/they/she+take

 INPUT STRING:	لقب
     IS_TRANS:	lqb
        INDEX:	P55W9
      OFFSETS:	41-44
       TOKENS:	P55W13-P55W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[laqab_1]
   UNSPLITVOC:	(laqab)
          POS:	NOUN
          VOC:	laqab
        GLOSS:	title/nickname/titles/nicknames

 INPUT STRING:	انسان
     IS_TRANS:	AnsAn
        INDEX:	P55W10
      OFFSETS:	45-50
       TOKENS:	P55W14-P55W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<inosAn_1]
   UNSPLITVOC:	(<inosAn)
          POS:	NOUN
          VOC:	<inosAn
        GLOSS:	human being/human beings

 INPUT STRING:	موضوع
     IS_TRANS:	mwDwE
        INDEX:	P56W1
      OFFSETS:	0-5
       TOKENS:	P56W1-P56W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mawDuwE_1]
   UNSPLITVOC:	(mawDuwE)
          POS:	NOUN
          VOC:	mawDuwE
        GLOSS:	subject/theme/issue

 INPUT STRING:	جميل
     IS_TRANS:	jmyl
        INDEX:	P56W2
      OFFSETS:	6-10
       TOKENS:	P56W2-P56W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jamiyl_1]
   UNSPLITVOC:	(jamiyl)
          POS:	ADJ
          VOC:	jamiyl
        GLOSS:	beautiful/nice/fine

 INPUT STRING:	ومن
     IS_TRANS:	wmn
        INDEX:	P57W1
      OFFSETS:	0-3
       TOKENS:	P57W1-P57W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(wimin)
          POS:	CONJ+PREP
          VOC:	wi+min
        GLOSS:	and+from

 INPUT STRING:	زماااااااااان
     IS_TRANS:	zmAAAAAAAAAAn
        INDEX:	P57W2
      OFFSETS:	4-17
       TOKENS:	P57W3-P57W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[zamAn_1]
   UNSPLITVOC:	(zamAn)
          POS:	NOUN
          VOC:	zamAn
        GLOSS:	time

 INPUT STRING:	مدخلتش
     IS_TRANS:	mdxlt$
        INDEX:	P57W3
      OFFSETS:	18-24
       TOKENS:	P57W4-P57W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[daxal_1]
   UNSPLITVOC:	(mA_daxalti$)
          POS:	NEG_PART+PV+PVSUFF_SUBJ:1S+NEG_PART
          VOC:	mA+daxal+t+$
        GLOSS:	not+enter/be entered+I+not

 INPUT STRING:	المنتدى
     IS_TRANS:	AlmntdY
        INDEX:	P57W4
      OFFSETS:	25-32
       TOKENS:	P57W7-P57W7
