 INPUT STRING:	عذرا
          VOC:	dawliy~+ap
        GLOSS:	international+[fem.sg.]

 INPUT STRING:	قناه
     IS_TRANS:	qnAh
        INDEX:	P21W1
      OFFSETS:	0-4
       TOKENS:	P21W1-P21W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[qanAp_1]
   UNSPLITVOC:	(qanAp)
          POS:	NOUN_PROP
          VOC:	qanAp
        GLOSS:	canal/canals

 INPUT STRING:	السويس
     IS_TRANS:	Alswys
        INDEX:	P21W2
      OFFSETS:	5-11
       TOKENS:	P21W2-P21W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[suwayos_1]
   UNSPLITVOC:	(Alsuwayos)
          POS:	DET+NOUN_PROP
          VOC:	Al+suwayos
        GLOSS:	the+Suez

 INPUT STRING:	دى
     IS_TRANS:	dY
        INDEX:	P21W3
      OFFSETS:	12-14
       TOKENS:	P21W3-P21W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[diy_1]
   UNSPLITVOC:	(diy)
          POS:	DEM_PRON_FS
          VOC:	diy
        GLOSS:	this

 INPUT STRING:	معبر
     IS_TRANS:	mEbr
        INDEX:	P21W4
      OFFSETS:	15-19
       TOKENS:	P21W4-P21W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[miEab~ar_1]
   UNSPLITVOC:	(miEab~ar)
          POS:	NOUN
          VOC:	miEab~ar
        GLOSS:	crossing point/juncture

 INPUT STRING:	دولى
     IS_TRANS:	dwlY
        INDEX:	P21W5
      OFFSETS:	20-24
       TOKENS:	P21W5-P21W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dawliy_1]
   UNSPLITVOC:	(dawliy)
          POS:	ADJ
          VOC:	dawliy
        GLOSS:	international

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P21W6
      OFFSETS:	25-27
       TOKENS:	P21W6-P21W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	ملكيه
     IS_TRANS:	mlkyh
        INDEX:	P21W7
      OFFSETS:	28-33
       TOKENS:	P21W7-P21W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[milokiy~ap_1]
   UNSPLITVOC:	(milokiy~ap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	milokiy~+ap
        GLOSS:	property/ownership+[fem.sg.]

 INPUT STRING:	خاصه
     IS_TRANS:	xASh
        INDEX:	P21W8
      OFFSETS:	34-38
       TOKENS:	P21W8-P21W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xAS~ap_1]
   UNSPLITVOC:	(xAS~ap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	xAS~+ap
        GLOSS:	private/exclusive+i[fem.sing.]

 INPUT STRING:	نعدى
     IS_TRANS:	nEdY
        INDEX:	P21W9
      OFFSETS:	39-43
       TOKENS:	P21W9-P21W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ead~aY_1]
   UNSPLITVOC:	(niEad~iy)
          POS:	IV1P+IV
          VOC:	ni+Ead~iy
        GLOSS:	we+traverse/cross/be traversed/be crossed

 INPUT STRING:	اللى
     IS_TRANS:	AllY
        INDEX:	P21W10
      OFFSETS:	44-48
       TOKENS:	P21W10-P21W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	which

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P21W11
      OFFSETS:	49-52
       TOKENS:	P21W11-P21W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	مزاجنا
     IS_TRANS:	mzAjnA
        INDEX:	P21W12
      OFFSETS:	53-59
       TOKENS:	P21W12-P21W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mazAj_1]
   UNSPLITVOC:	(mazAjnA)
          POS:	NOUN+POSS_PRON_1P
          VOC:	mazAj+nA
        GLOSS:	temperament+our

 INPUT STRING:	واللى
     IS_TRANS:	wAllY
        INDEX:	P21W13
      OFFSETS:	60-65
       TOKENS:	P21W14-P21W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Aill~iy_1]
   UNSPLITVOC:	(wiAill~iy)
          POS:	CONJ+REL_PRON
          VOC:	wi+Aill~iy
        GLOSS:	and+which

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P21W14
      OFFSETS:	66-68
       TOKENS:	P21W16-P21W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P21W15
      OFFSETS:	69-72
       TOKENS:	P21W17-P21W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	مزاجنا
     IS_TRANS:	mzAjnA
        INDEX:	P21W16
      OFFSETS:	73-79
       TOKENS:	P21W18-P21W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mazAj_1]
   UNSPLITVOC:	(mazAjnA)
          POS:	NOUN+POSS_PRON_1P
          VOC:	mazAj+nA
        GLOSS:	temperament+our

 INPUT STRING:	نوقفه
     IS_TRANS:	nwqfh
        INDEX:	P21W17
      OFFSETS:	80-85
       TOKENS:	P21W20-P21W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[waq~af_1]
   UNSPLITVOC:	(niwaq~afuh)
          POS:	IV1P+IV+IVSUFF_DO:3MS
          VOC:	ni+waq~af+uh
        GLOSS:	we+stop/detain+them

 INPUT STRING:	معلش
     IS_TRANS:	mEl$
        INDEX:	P22W1
      OFFSETS:	0-4
       TOKENS:	P22W1-P22W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maEoli$_1]
   UNSPLITVOC:	(maEoli$)
          POS:	INTERJ
          VOC:	maEoli$
        GLOSS:	Never mind

 INPUT STRING:	يعني
     IS_TRANS:	yEny
        INDEX:	P22W2
      OFFSETS:	5-9
       TOKENS:	P22W2-P22W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EanaY_1]
   UNSPLITVOC:	(yaEoniy)
          POS:	IV3MS+IV
          VOC:	ya+Eoniy
        GLOSS:	he/it+mean

 INPUT STRING:	اسمحيلي
     IS_TRANS:	AsmHyly
        INDEX:	P22W3
      OFFSETS:	10-17
       TOKENS:	P22W3-P22W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[samaH_1]
   UNSPLITVOC:	(AisomaHiy_liy)
          POS:	CV+CVSUFF_SUBJ:2FS+PREP+PRON_1S
          VOC:	AisomaH+iy+li+iy
        GLOSS:	allow/permit/authorize/be allowed/be permitted/be authorized+you+to/for+I

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P22W4
      OFFSETS:	18-20
       TOKENS:	P22W6-P22W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	عايزين
     IS_TRANS:	EAyzyn
        INDEX:	P22W5
      OFFSETS:	21-27
       TOKENS:	P22W7-P22W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EAyiz_1]
   UNSPLITVOC:	(EAyoziyn)
          POS:	ADJ.VN+NSUFF_MASC_PL
          VOC:	EAyoz+iyn
        GLOSS:	wanting+[masc.plur.]

 INPUT STRING:	نتشدق
     IS_TRANS:	nt$dq
        INDEX:	P22W6
      OFFSETS:	28-33
       TOKENS:	P22W8-P22W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Aito$ad~aq_1]
   UNSPLITVOC:	(nito$ad~aq)
          POS:	IV1P+IV
          VOC:	ni+to$ad~aq
        GLOSS:	we+boast/speak affectedly

 INPUT STRING:	بالكلام
     IS_TRANS:	bAlklAm
        INDEX:	P22W7
      OFFSETS:	34-41
       TOKENS:	P22W9-P22W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kalAm_1]
   UNSPLITVOC:	(biAlkalAm)
          POS:	PREP+DET+NOUN
          VOC:	bi+Al+kalAm
        GLOSS:	with/by+the+speech/statement/remark/talk/saying

 INPUT STRING:	الكبير
     IS_TRANS:	Alkbyr
        INDEX:	P22W8
      OFFSETS:	42-48
       TOKENS:	P22W11-P22W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kibiyr_1]
   UNSPLITVOC:	(Alkibiyr)
          POS:	DET+ADJ
          VOC:	Al+kibiyr
        GLOSS:	the+large/great/important/major/senior/senior/important

 INPUT STRING:	واحنا
     IS_TRANS:	wAHnA
        INDEX:	P22W9
      OFFSETS:	49-54
       TOKENS:	P22W12-P22W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AiHonA_1]
   UNSPLITVOC:	(wiAiHonA)
          POS:	SUB_CONJ+PRON_1P
          VOC:	wi+AiHonA
        GLOSS:	while+we

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P22W10
      OFFSETS:	55-57
       TOKENS:	P22W14-P22W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	فاهمين
     IS_TRANS:	fAhmyn
        INDEX:	P22W11
      OFFSETS:	58-64
       TOKENS:	P22W15-P22W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fAhim_1]
   UNSPLITVOC:	(fAhomiyn)
          POS:	ADJ+NSUFF_MASC_PL
          VOC:	fAhom+iyn
        GLOSS:	understanding+[masc.plur.]

 INPUT STRING:	يا
     IS_TRANS:	yA
        INDEX:	P23W1
      OFFSETS:	0-2
       TOKENS:	P23W1-P23W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yA_1]
   UNSPLITVOC:	(yA)
          POS:	VOC_PART
          VOC:	yA
        GLOSS:	O, oh

 INPUT STRING:	اختي
     IS_TRANS:	Axty
        INDEX:	P23W2
      OFFSETS:	3-7
       TOKENS:	P23W2-P23W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>uxot_1]
   UNSPLITVOC:	(>uxotiy)
          POS:	NOUN+POSS_PRON_1S
          VOC:	>uxot+iy
        GLOSS:	sister/counterpart/sisters+my

 INPUT STRING:	الكريمه
     IS_TRANS:	Alkrymh
        INDEX:	P23W3
      OFFSETS:	8-15
       TOKENS:	P23W4-P23W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Alkariym_1]
   UNSPLITVOC:	(Alkariymap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+kariym+ap
        GLOSS:	the+distinguished/generous/noble/precious+[fem.sg.]

 INPUT STRING:	الدنيا
     IS_TRANS:	AldnyA
        INDEX:	P23W4
      OFFSETS:	16-22
       TOKENS:	P23W5-P23W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dunoyA_1]
   UNSPLITVOC:	(Ald~unoyA)
          POS:	DET+NOUN
          VOC:	Al+dunoyA
        GLOSS:	the+world

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P23W5
      OFFSETS:	23-25
       TOKENS:	P23W6-P23W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	ماشيه
     IS_TRANS:	mA$yh
        INDEX:	P23W6
      OFFSETS:	26-31
       TOKENS:	P23W7-P23W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mA$iy_1]
   UNSPLITVOC:	(mA$oyap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	mA$oy+ap
        GLOSS:	going/walking/on foot+[fem.sg.]

 INPUT STRING:	كده
     IS_TRANS:	kdh
        INDEX:	P23W7
      OFFSETS:	32-35
       TOKENS:	P23W8-P23W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kidah_1]
   UNSPLITVOC:	(kidah)
          POS:	NOUN
          VOC:	kidah
        GLOSS:	like

 INPUT STRING:	كل
     IS_TRANS:	kl
        INDEX:	P23W8
      OFFSETS:	36-38
       TOKENS:	P23W9-P23W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(kul~)
          POS:	NOUN_QUANT
          VOC:	kul~
        GLOSS:	all

 INPUT STRING:	بلد
     IS_TRANS:	bld
        INDEX:	P23W9
      OFFSETS:	39-42
       TOKENS:	P23W10-P23W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[balad_1]
   UNSPLITVOC:	(balad)
          POS:	NOUN
          VOC:	balad
        GLOSS:	country/country/countries

 INPUT STRING:	علي
     IS_TRANS:	Ely
        INDEX:	P23W10
      OFFSETS:	43-46
       TOKENS:	P23W11-P23W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	مزاجها
     IS_TRANS:	mzAjhA
        INDEX:	P23W11
      OFFSETS:	47-53
       TOKENS:	P23W12-P23W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mazAj_1]
   UNSPLITVOC:	(mazAjhA)
          POS:	NOUN+POSS_PRON_3FS
          VOC:	mazAj+hA
        GLOSS:	temperament+its/their/her

 INPUT STRING:	فيه
     IS_TRANS:	fyh
        INDEX:	P23W12
      OFFSETS:	54-57
       TOKENS:	P23W14-P23W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiyh)
          POS:	PREP+PRON_3MS
          VOC:	fiy+uh
        GLOSS:	in+it

 INPUT STRING:	حاجه
     IS_TRANS:	HAjh
        INDEX:	P23W13
      OFFSETS:	58-62
       TOKENS:	P23W16-P23W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAjap_1]
   UNSPLITVOC:	(HAjap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	HAj+ap
        GLOSS:	thing/belongings+[fem.sg.]

 INPUT STRING:	اسمها
     IS_TRANS:	AsmhA
        INDEX:	P23W14
      OFFSETS:	63-68
       TOKENS:	P23W17-P23W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aisom_1]
   UNSPLITVOC:	(AisomahA)
          POS:	NOUN+POSS_PRON_3FS
          VOC:	Aisom+hA
        GLOSS:	name+it/her

 INPUT STRING:	معاهدات
     IS_TRANS:	mEAhdAt
        INDEX:	P23W15
      OFFSETS:	69-76
       TOKENS:	P23W19-P23W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[muEAhadap_1]
   UNSPLITVOC:	(muEAhadAt)
          POS:	NOUN+NSUFF_FEM_PL
          VOC:	muEAhad+At
        GLOSS:	treaties/accords/pacts+[fem.pl.]

 INPUT STRING:	دولييييييييه
     IS_TRANS:	dwlyyyyyyyyh
        INDEX:	P23W16
      OFFSETS:	77-89
       TOKENS:	P23W20-P23W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[dawliy_1]
   UNSPLITVOC:	(dawliyap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	dawliy+ap
        GLOSS:	international+[fem.sg.]

 INPUT STRING:	مانقدش
     IS_TRANS:	mAnqd$
        INDEX:	P24W1
      OFFSETS:	0-6
       TOKENS:	P24W1-P24W1
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(mAnqd$)
          POS:	TYPO
          VOC:	mAnqd$
        GLOSS:	nogloss

 INPUT STRING:	مانعملش
     IS_TRANS:	mAnEml$
        INDEX:	P24W2
      OFFSETS:	7-14
       TOKENS:	P24W2-P24W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[Eamal_1]
   UNSPLITVOC:	(mAniEomil$)
          POS:	NEG_PART+IV1P+IV+NEG_PART
          VOC:	mA+ni+Eomil+$
        GLOSS:	not+we+follow/do+not

 INPUT STRING:	بيها
     IS_TRANS:	byhA
        INDEX:	P24W3
      OFFSETS:	15-19
       TOKENS:	P24W5-P24W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bi_1]
   UNSPLITVOC:	(biyhA)
          POS:	PREP+PRON_3FS
          VOC:	bi+hA
        GLOSS:	for+her/it

 INPUT STRING:	والا
     IS_TRANS:	wAlA
        INDEX:	P24W4
      OFFSETS:	20-24
       TOKENS:	P24W7-P24W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[walA_1]
   UNSPLITVOC:	(walA)
          POS:	CONJ
          VOC:	walA
        GLOSS:	or

 INPUT STRING:	يعني
     IS_TRANS:	yEny
        INDEX:	P24W5
      OFFSETS:	25-29
       TOKENS:	P24W8-P24W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EanaY_1]
   UNSPLITVOC:	(yaEoniy)
          POS:	IV3MS+IV
          VOC:	ya+Eoniy
        GLOSS:	he/it+mean

 INPUT STRING:	عايزينا
     IS_TRANS:	EAyzynA
        INDEX:	P24W6
      OFFSETS:	30-37
       TOKENS:	P24W9-P24W9
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(EAyzynA)
          POS:	NO_FUNC
          VOC:	EAyzynA
        GLOSS:	nogloss

 INPUT STRING:	ندخل
     IS_TRANS:	ndxl
        INDEX:	P24W7
      OFFSETS:	38-42
       TOKENS:	P24W10-P24W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[daxal_1]
   UNSPLITVOC:	(nidoxul)
          POS:	IV1P+IV
          VOC:	ni+doxul
        GLOSS:	we+enter/be entered

 INPUT STRING:	كمان
     IS_TRANS:	kmAn
        INDEX:	P24W8
      OFFSETS:	43-47
       TOKENS:	P24W11-P24W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kamAn_1]
   UNSPLITVOC:	(kamAn)
          POS:	ADV
          VOC:	kamAn
        GLOSS:	also

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P24W9
      OFFSETS:	48-50
       TOKENS:	P24W12-P24W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	حرب
     IS_TRANS:	Hrb
        INDEX:	P24W10
      OFFSETS:	51-54
       TOKENS:	P24W13-P24W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Harob_1]
   UNSPLITVOC:	(Harob)
          POS:	NOUN
          VOC:	Harob
        GLOSS:	war/warfare/wars

 INPUT STRING:	مع
     IS_TRANS:	mE
        INDEX:	P24W11
      OFFSETS:	55-57
       TOKENS:	P24W14-P24W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maEa_1]
   UNSPLITVOC:	(maEa)
          POS:	NOUN
          VOC:	maEa
        GLOSS:	with

 INPUT STRING:	ايران
     IS_TRANS:	AyrAn
        INDEX:	P24W12
      OFFSETS:	58-63
       TOKENS:	P24W15-P24W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<iyrAn_1]
   UNSPLITVOC:	(<iyrAn)
          POS:	NOUN_PROP
          VOC:	<iyrAn
        GLOSS:	Iran

 INPUT STRING:	اللي
     IS_TRANS:	Ally
        INDEX:	P24W13
      OFFSETS:	64-68
       TOKENS:	P24W16-P24W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	which

 INPUT STRING:	عندها
     IS_TRANS:	EndhA
        INDEX:	P24W14
      OFFSETS:	69-74
       TOKENS:	P24W17-P24W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eanod_1]
   UNSPLITVOC:	(EanodahA)
          POS:	NOUN+POSS_PRON_3FS
          VOC:	Eanod+hA
        GLOSS:	at+its/their/her

 INPUT STRING:	اسلحه
     IS_TRANS:	AslHh
        INDEX:	P24W15
      OFFSETS:	75-80
       TOKENS:	P24W19-P24W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[silAH_1]
   UNSPLITVOC:	(>asoliHap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	>asoliH+ap
        GLOSS:	weapons+[fem.sg.]

 INPUT STRING:	نوويه
     IS_TRANS:	nwwyh
        INDEX:	P24W16
      OFFSETS:	81-86
       TOKENS:	P24W20-P24W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nawawiy_1]
   UNSPLITVOC:	(nawawiy~ap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	nawawiy~+ap
        GLOSS:	nuclear/atomic/nucleic+[fem.sg.]

 INPUT STRING:	تهد
     IS_TRANS:	thd
        INDEX:	P24W17
      OFFSETS:	87-90
       TOKENS:	P24W21-P24W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[had~_1]
   UNSPLITVOC:	(tihid~)
          POS:	IV3FS+IV
          VOC:	ti+hid~
        GLOSS:	it/they/she+destroy

 INPUT STRING:	اي
     IS_TRANS:	Ay
        INDEX:	P24W18
      OFFSETS:	91-93
       TOKENS:	P24W22-P24W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aay~_1]
   UNSPLITVOC:	(>ay~)
          POS:	NOUN_QUANT
          VOC:	>ay~
        GLOSS:	any

 INPUT STRING:	بلد
     IS_TRANS:	bld
        INDEX:	P24W19
      OFFSETS:	94-97
       TOKENS:	P24W23-P24W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[balad_1]
   UNSPLITVOC:	(balad)
          POS:	NOUN
          VOC:	balad
        GLOSS:	country/country/countries

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P24W20
      OFFSETS:	98-100
       TOKENS:	P24W24-P24W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	ثانيه
     IS_TRANS:	vAnyh
        INDEX:	P24W21
      OFFSETS:	101-106
       TOKENS:	P24W25-P24W25
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[vAnoyap_1]
   UNSPLITVOC:	(vAnoyap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	vAnoy+ap
