 INPUT STRING:	اريد
 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P4W4
      OFFSETS:	21-22
       TOKENS:	P4W4-P4W4
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(w)
          POS:	TYPO
          VOC:	w
        GLOSS:	nogloss

 INPUT STRING:	متأثرة
     IS_TRANS:	mt>vrp
        INDEX:	P4W5
      OFFSETS:	23-29
       TOKENS:	P4W5-P4W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mito>av~ar_1]
   UNSPLITVOC:	(mito>av~arap)
          POS:	ADJ.VN+NSUFF_FEM_SG
          VOC:	mito>av~ar+ap
        GLOSS:	influenced/affected+[fem.sg.]

 INPUT STRING:	أصلاً
     IS_TRANS:	>SlAF
        INDEX:	P4W6
      OFFSETS:	30-35
       TOKENS:	P4W6-P4W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>aSol_1]
   UNSPLITVOC:	(>aSolAF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	>aSol+AF
        GLOSS:	originally/primarily+[acc.indef.]

 INPUT STRING:	بالقبطية
     IS_TRANS:	bAlqbTyp
        INDEX:	P4W7
      OFFSETS:	36-44
       TOKENS:	P4W7-P4W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[qiboTiy~_1]
   UNSPLITVOC:	(biAlqiboTiy~ap)
          POS:	PREP+DET+NOUN+NSUFF_FEM_SG
          VOC:	bi+Al+qiboTiy~+ap
        GLOSS:	with/by+the+Coptic+[fem.sg.]

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P4W8
      OFFSETS:	45-46
       TOKENS:	P4W9-P4W9
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(w)
          POS:	TYPO
          VOC:	w
        GLOSS:	nogloss

 INPUT STRING:	النوبية
     IS_TRANS:	Alnwbyp
        INDEX:	P4W9
      OFFSETS:	47-54
       TOKENS:	P4W10-P4W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[nuwbiy~_1]
   UNSPLITVOC:	(Alnuwbiy~ap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+nuwbiy~+ap
        GLOSS:	the+Nubian+[fem.sg.]

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P4W10
      OFFSETS:	55-56
       TOKENS:	P4W11-P4W11
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(w)
          POS:	TYPO
          VOC:	w
        GLOSS:	nogloss

 INPUT STRING:	بكل
     IS_TRANS:	bkl
        INDEX:	P4W11
      OFFSETS:	57-60
       TOKENS:	P4W12-P4W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(bikul~)
          POS:	PREP+NOUN_QUANT
          VOC:	bi+kul~
        GLOSS:	with/by+all/entire/every/whole

 INPUT STRING:	تقاليد
     IS_TRANS:	tqAlyd
        INDEX:	P4W12
      OFFSETS:	61-67
       TOKENS:	P4W14-P4W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[taqAliyd_1]
   UNSPLITVOC:	(taqAliyd)
          POS:	NOUN
          VOC:	taqAliyd
        GLOSS:	customs/traditions

 INPUT STRING:	الحياة
     IS_TRANS:	AlHyAp
        INDEX:	P4W13
      OFFSETS:	68-74
       TOKENS:	P4W15-P4W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[HayAp_1]
   UNSPLITVOC:	(AlHayAp)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+HayA+ap
        GLOSS:	the+life+[fem.sg.]

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P4W14
      OFFSETS:	75-77
       TOKENS:	P4W16-P4W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	كل
     IS_TRANS:	kl
        INDEX:	P4W15
      OFFSETS:	78-80
       TOKENS:	P4W17-P4W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(kul~)
          POS:	NOUN_QUANT
          VOC:	kul~
        GLOSS:	all/entire/every/whole

 INPUT STRING:	ربوع
     IS_TRANS:	rbwE
        INDEX:	P4W16
      OFFSETS:	81-85
       TOKENS:	P4W18-P4W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rubuwE_1]
   UNSPLITVOC:	(rubuwE)
          POS:	NOUN
          VOC:	rubuwE
        GLOSS:	territory/inhabited area

 INPUT STRING:	مصر
     IS_TRANS:	mSr
        INDEX:	P4W17
      OFFSETS:	86-89
       TOKENS:	P4W19-P4W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maSor_1]
   UNSPLITVOC:	(maSor)
          POS:	NOUN_PROP
          VOC:	maSor
        GLOSS:	Egypt

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P4W18
      OFFSETS:	89-90
       TOKENS:	P4W20-P4W20
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P4W19
      OFFSETS:	90-91
       TOKENS:	P4W21-P4W21
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	اللي
     IS_TRANS:	Ally
        INDEX:	P5W1
      OFFSETS:	0-4
       TOKENS:	P5W1-P5W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	who/whow/whom/what/whose/which

 INPUT STRING:	ممكن
     IS_TRANS:	mmkn
        INDEX:	P5W2
      OFFSETS:	5-9
       TOKENS:	P5W2-P5W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mumokin_1]
   UNSPLITVOC:	(mumokin)
          POS:	ADJ
          VOC:	mumokin
        GLOSS:	possible

 INPUT STRING:	نتكلم
     IS_TRANS:	ntklm
        INDEX:	P5W3
      OFFSETS:	10-15
       TOKENS:	P5W3-P5W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aitokal~im_1]
   UNSPLITVOC:	(nitokal~im)
          POS:	IV1P+IV
          VOC:	ni+tokal~im
        GLOSS:	we+talk/speak

 INPUT STRING:	عليه
     IS_TRANS:	Elyh
        INDEX:	P5W4
      OFFSETS:	16-20
       TOKENS:	P5W4-P5W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(Ealayh)
          POS:	PREP+PRON_3MS
          VOC:	EalaY+uh
        GLOSS:	on/above+it/him

 INPUT STRING:	هو
     IS_TRANS:	hw
        INDEX:	P5W5
      OFFSETS:	21-23
       TOKENS:	P5W6-P5W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[huw~a_1]
   UNSPLITVOC:	(huw~a)
          POS:	PRON_3MS
          VOC:	huw~a
        GLOSS:	it/he

 INPUT STRING:	أحياء
     IS_TRANS:	>HyA'
        INDEX:	P5W6
      OFFSETS:	24-29
       TOKENS:	P5W7-P5W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hay~_2]
   UNSPLITVOC:	(>aHoyA')
          POS:	NOUN
          VOC:	>aHoyA'
        GLOSS:	enliven/celebrate

 INPUT STRING:	ثقافات
     IS_TRANS:	vqAfAt
        INDEX:	P5W7
      OFFSETS:	30-36
       TOKENS:	P5W8-P5W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[vaqAfap_1]
   UNSPLITVOC:	(vaqAfAt)
          POS:	NOUN+NSUFF_FEM_PL
          VOC:	vaqAf+At
        GLOSS:	culture/civilization+[fem.pl.]

 INPUT STRING:	أندثرت
     IS_TRANS:	>ndvrt
        INDEX:	P5W8
      OFFSETS:	37-43
       TOKENS:	P5W9-P5W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Aindavar_1]
   UNSPLITVOC:	(Aindavarit)
          POS:	PV_PASS+PVSUFF_SUBJ:3FS
          VOC:	Aindavar+it
        GLOSS:	be obliterated/become extinct/be forgotten+it/they/she

 INPUT STRING:	كنوع
     IS_TRANS:	knwE
        INDEX:	P5W9
      OFFSETS:	44-48
       TOKENS:	P5W10-P5W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nawE_1]
   UNSPLITVOC:	(kanawE)
          POS:	PREP+NOUN
          VOC:	ka+nawE
        GLOSS:	like/such+type/kind/form/types/kinds/forms

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P5W10
      OFFSETS:	49-51
       TOKENS:	P5W12-P5W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	خلق
     IS_TRANS:	xlq
        INDEX:	P5W11
      OFFSETS:	52-55
       TOKENS:	P5W13-P5W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xaloq_1]
   UNSPLITVOC:	(xaloq)
          POS:	NOUN
          VOC:	xaloq
        GLOSS:	creation

 INPUT STRING:	روافد
     IS_TRANS:	rwAfd
        INDEX:	P5W12
      OFFSETS:	56-61
       TOKENS:	P5W14-P5W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[rAfidap_1]
   UNSPLITVOC:	(rawAfid)
          POS:	NOUN
          VOC:	rawAfid
        GLOSS:	support/girders

 INPUT STRING:	ثقافية
     IS_TRANS:	vqAfyp
        INDEX:	P5W13
      OFFSETS:	62-68
       TOKENS:	P5W15-P5W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[vaqAfiy_1]
   UNSPLITVOC:	(vaqAfiy~ap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	vaqAfiy~+ap
        GLOSS:	intellectual/cultural+[fem.sg.]

 INPUT STRING:	جديدة
     IS_TRANS:	jdydp
        INDEX:	P5W14
      OFFSETS:	69-74
       TOKENS:	P5W16-P5W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jidiyd_1]
   UNSPLITVOC:	(jidiydap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	jidiyd+ap
        GLOSS:	new/modern/recent/again/anew/brand new/junior/inexperienced+[fem.sg.]

 INPUT STRING:	تساعدنا
     IS_TRANS:	tsAEdnA
        INDEX:	P5W15
      OFFSETS:	75-82
       TOKENS:	P5W17-P5W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sAEid_1]
   UNSPLITVOC:	(tisAEidnA)
          POS:	IV3FS+IV+IVSUFF_DO:1P
          VOC:	ti+sAEid+nA
        GLOSS:	it/they/she+contribute/assist/support/help+us

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P5W16
      OFFSETS:	83-86
       TOKENS:	P5W19-P5W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	فهم
     IS_TRANS:	fhm
        INDEX:	P5W17
      OFFSETS:	87-90
       TOKENS:	P5W20-P5W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fahom_1]
   UNSPLITVOC:	(fahom)
          POS:	NOUN
          VOC:	fahom
        GLOSS:	understanding

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P5W18
      OFFSETS:	91-92
       TOKENS:	P5W21-P5W21
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(w)
          POS:	TYPO
          VOC:	w
        GLOSS:	nogloss

 INPUT STRING:	إدراك
     IS_TRANS:	<drAk
        INDEX:	P5W19
      OFFSETS:	93-98
       TOKENS:	P5W22-P5W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<idorAk_1]
   UNSPLITVOC:	(<idorAk)
          POS:	NOUN
          VOC:	<idorAk
        GLOSS:	attainment/realization/awareness

 INPUT STRING:	صعوبة
     IS_TRANS:	SEwbp
        INDEX:	P5W20
      OFFSETS:	99-104
       TOKENS:	P5W23-P5W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[SuEuwbap_1]
   UNSPLITVOC:	(SuEuwbap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	SuEuwb+ap
        GLOSS:	difficulty+[fem.sg.]

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P5W21
      OFFSETS:	105-106
       TOKENS:	P5W24-P5W24
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(w)
          POS:	TYPO
          VOC:	w
        GLOSS:	nogloss

 INPUT STRING:	تشبيكات
     IS_TRANS:	t$bykAt
        INDEX:	P5W22
      OFFSETS:	107-114
       TOKENS:	P5W25-P5W25
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[ta$biyk_1]
   UNSPLITVOC:	(ta$biykAt)
          POS:	NOUN+NSUFF_FEM_PL
          VOC:	ta$biyk+At
        GLOSS:	complication/confusion+[fem.pl.]

 INPUT STRING:	هويتنا
     IS_TRANS:	hwytnA
        INDEX:	P5W23
      OFFSETS:	115-121
       TOKENS:	P5W26-P5W27
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hawiy~ap_1]
   UNSPLITVOC:	(hawiy~itnA)
          POS:	NOUN+NSUFF_FEM_SG+POSS_PRON_1P
          VOC:	hawiy~+ap+nA
        GLOSS:	identity+[fem.sg.]+our

 INPUT STRING:	كمصريين
     IS_TRANS:	kmSryyn
        INDEX:	P5W24
      OFFSETS:	122-129
       TOKENS:	P5W28-P5W29
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[maSriy_1]
   UNSPLITVOC:	(kamaSriy~iyn)
          POS:	PREP+NOUN+NSUFF_MASC_PL
          VOC:	ka+maSriy~+iyn
        GLOSS:	like/such+Egyptian/Egyptians+[pl.]

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P5W25
      OFFSETS:	129-130
       TOKENS:	P5W30-P5W30
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P5W26
      OFFSETS:	130-131
       TOKENS:	P5W31-P5W31
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	ساعتها
     IS_TRANS:	sAEthA
        INDEX:	P5W27
      OFFSETS:	132-138
       TOKENS:	P5W32-P5W33
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sAEap_1]
   UNSPLITVOC:	(sAEithA)
          POS:	NOUN+NSUFF_FEM_SG+POSS_PRON_3FS
          VOC:	sAE+ap+hA
        GLOSS:	hour/time/hours/clock/watch/timepiece/clocks/watches+[fem.sg.]+its/their/her

 INPUT STRING:	هنبطل
     IS_TRANS:	hnbTl
        INDEX:	P5W28
      OFFSETS:	139-144
       TOKENS:	P5W34-P5W35
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baT~al_1]
   UNSPLITVOC:	(HanibaT~al)
          POS:	FUT_PART+IV1P+IV
          VOC:	Ha+ni+baT~al
        GLOSS:	will+we+thwart/abolish/be thwarted/be abolished

 INPUT STRING:	نتغنى
     IS_TRANS:	ntgnY
        INDEX:	P5W29
      OFFSETS:	145-150
       TOKENS:	P5W36-P5W36
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[tagan~aY_1]
   UNSPLITVOC:	(natagan~aY)
          POS:	IV1P+IV
          VOC:	na+tagan~aY
        GLOSS:	we+extol/praise

 INPUT STRING:	بكلمة
     IS_TRANS:	bklmp
        INDEX:	P5W30
      OFFSETS:	151-156
       TOKENS:	P5W37-P5W38
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kilomap_1]
   UNSPLITVOC:	(bikilomap)
          POS:	PREP+NOUN+NSUFF_FEM_SG
          VOC:	bi+kilom+ap
        GLOSS:	with/by+talk/remark/speech/saying+[fem.sg.]

 INPUT STRING:	الهوية
     IS_TRANS:	Alhwyp
        INDEX:	P5W31
      OFFSETS:	157-163
       TOKENS:	P5W39-P5W39
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hawiy~ap_1]
   UNSPLITVOC:	(Alhawiy~ap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+hawiy~+ap
        GLOSS:	the+identity+[fem.sg.]

 INPUT STRING:	العربية
     IS_TRANS:	AlErbyp
        INDEX:	P5W32
      OFFSETS:	164-171
       TOKENS:	P5W40-P5W40
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Earabiy~ap_1]
   UNSPLITVOC:	(AlEarabiy~ap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+Earabiy~+ap
        GLOSS:	the+Arabic/Arab+[fem.sg.]

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P5W33
      OFFSETS:	172-173
       TOKENS:	P5W41-P5W41
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(w)
          POS:	TYPO
          VOC:	w
        GLOSS:	nogloss

 INPUT STRING:	كانها
     IS_TRANS:	kAnhA
        INDEX:	P5W34
      OFFSETS:	174-179
       TOKENS:	P5W42-P5W43
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ka<in~_1]
   UNSPLITVOC:	(ka<in~ahA)
          POS:	PSEUDO_VERB+PRON_3FS
          VOC:	ka<in~+hA
        GLOSS:	as if+it/they/she

 INPUT STRING:	الحقيقة
     IS_TRANS:	AlHqyqp
        INDEX:	P5W35
      OFFSETS:	180-187
       TOKENS:	P5W44-P5W44
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Haqiyqap_1]
   UNSPLITVOC:	(AlHaqiyqap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+Haqiyq+ap
        GLOSS:	the+truth/reality/facts+[fem.sg.]

 INPUT STRING:	المطلقة
     IS_TRANS:	AlmTlqp
        INDEX:	P5W36
      OFFSETS:	188-195
       TOKENS:	P5W45-P5W45
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[AlmuTolaq_1]
   UNSPLITVOC:	(AlmuTolaqap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+muTolaq+ap
        GLOSS:	the+absolute/unlimited+[fem.sg.]

 INPUT STRING:	اللي
     IS_TRANS:	Ally
        INDEX:	P5W37
      OFFSETS:	196-200
       TOKENS:	P5W46-P5W46
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	who/whow/whom/what/whose/which

 INPUT STRING:	لازم
     IS_TRANS:	lAzm
        INDEX:	P5W38
      OFFSETS:	201-205
       TOKENS:	P5W47-P5W47
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lAzim_1]
   UNSPLITVOC:	(lAzim)
          POS:	ADJ
          VOC:	lAzim
        GLOSS:	necessary/required/needed

 INPUT STRING:	كلنا
     IS_TRANS:	klnA
        INDEX:	P5W39
      OFFSETS:	206-210
       TOKENS:	P5W48-P5W49
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(kul~inA)
          POS:	NOUN_QUANT+POSS_PRON_1P
          VOC:	kul~i+nA
        GLOSS:	all/entire/every/whole+our

 INPUT STRING:	نرضخ
     IS_TRANS:	nrDx
        INDEX:	P5W40
      OFFSETS:	211-215
       TOKENS:	P5W50-P5W50
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[raDax_1]
   UNSPLITVOC:	(narDax)
          POS:	IV1P+IV
          VOC:	na+rDax
        GLOSS:	we+shatter/crack/yield/submit

 INPUT STRING:	ليها
     IS_TRANS:	lyhA
        INDEX:	P5W41
      OFFSETS:	216-220
       TOKENS:	P5W51-P5W52
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[li_1]
   UNSPLITVOC:	(liyhA)
          POS:	PREP+PRON_3FS
          VOC:	li+hA
        GLOSS:	by/for/with/to+it/them/her

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P5W42
      OFFSETS:	220-221
       TOKENS:	P5W53-P5W53
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P5W43
      OFFSETS:	221-222
       TOKENS:	P5W54-P5W54
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	لكن
     IS_TRANS:	lkn
        INDEX:	P6W1
      OFFSETS:	0-3
       TOKENS:	P6W1-P6W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lakin_1]
   UNSPLITVOC:	(lakin)
          POS:	CONJ
          VOC:	lakin
        GLOSS:	Rather/even/but/yet/however/but rather

 INPUT STRING:	اللي
     IS_TRANS:	Ally
        INDEX:	P6W2
      OFFSETS:	4-8
       TOKENS:	P6W2-P6W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	who/whow/whom/what/whose/which

 INPUT STRING:	عايز
     IS_TRANS:	EAyz
        INDEX:	P6W3
      OFFSETS:	9-13
       TOKENS:	P6W3-P6W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EAyiz_1]
   UNSPLITVOC:	(EAyiz)
          POS:	ADJ.VN
          VOC:	EAyiz
        GLOSS:	wanting

 INPUT STRING:	أحط
     IS_TRANS:	>HT
        INDEX:	P6W4
      OFFSETS:	14-17
       TOKENS:	P6W4-P6W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HaT~_1]
   UNSPLITVOC:	(AaHuT~)
          POS:	IV1S+IV
          VOC:	Aa+HuT~
        GLOSS:	I+descend/land/set down/lower

 INPUT STRING:	تحت
     IS_TRANS:	tHt
        INDEX:	P6W5
      OFFSETS:	18-21
       TOKENS:	P6W5-P6W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[taHot_1]
   UNSPLITVOC:	(taHot)
          POS:	NOUN
          VOC:	taHot
        GLOSS:	under

 INPUT STRING:	خط
     IS_TRANS:	xT
