 INPUT STRING:	يستمر
          POS:	NOUN
          VOC:	kayl
        GLOSS:	dry measure

 INPUT STRING:	وخير
     IS_TRANS:	wxyr
        INDEX:	P14W1
      OFFSETS:	0-4
       TOKENS:	P14W1-P14W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xayr_1]
   UNSPLITVOC:	(wixayr)
          POS:	CONJ+NOUN
          VOC:	wi+xayr
        GLOSS:	and+good

 INPUT STRING:	الكلام
     IS_TRANS:	AlklAm
        INDEX:	P14W2
      OFFSETS:	5-11
       TOKENS:	P14W3-P14W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kalAm_1]
   UNSPLITVOC:	(AlkalAm)
          POS:	DET+NOUN
          VOC:	Al+kalAm
        GLOSS:	the+speech/statement/remark/talk/saying

 INPUT STRING:	ماقل
     IS_TRANS:	mAql
        INDEX:	P14W3
      OFFSETS:	12-16
       TOKENS:	P14W4-P14W4
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(mAql)
          POS:	NO_FUNC
          VOC:	mAql
        GLOSS:	nogloss

 INPUT STRING:	ودل
     IS_TRANS:	wdl
        INDEX:	P14W4
      OFFSETS:	17-20
       TOKENS:	P14W5-P14W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dal~_1]
   UNSPLITVOC:	(widal~)
          POS:	CONJ+PV+PVSUFF_SUBJ:3MS
          VOC:	wi+dal~+(null)
        GLOSS:	and+point/indicate+he/it [verb]

