 INPUT STRING:	لماذا
        LEMMA:	[SabaH_1]
   UNSPLITVOC:	(tiSobaH)
          POS:	IV3FS+IV
          VOC:	ti+SobaH
        GLOSS:	it/they/she+become

 INPUT STRING:	مصر
     IS_TRANS:	mSr
        INDEX:	P5W10
      OFFSETS:	47-50
       TOKENS:	P5W13-P5W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maSor_1]
   UNSPLITVOC:	(maSor)
          POS:	NOUN_PROP
          VOC:	maSor
        GLOSS:	Egypt

 INPUT STRING:	دوله
     IS_TRANS:	dwlh
        INDEX:	P5W11
      OFFSETS:	51-55
       TOKENS:	P5W14-P5W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dawlap_1]
   UNSPLITVOC:	(dawlap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	dawl+ap
        GLOSS:	state/country/states/countries+[fem.sg.]

 INPUT STRING:	ارهابيه
     IS_TRANS:	ArhAbyh
        INDEX:	P5W12
      OFFSETS:	56-63
       TOKENS:	P5W15-P5W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<irohAbiy_1]
   UNSPLITVOC:	(<irohAbiy~ap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	<irohAbiy~+ap
        GLOSS:	terrorist+[fem.sg.]

 INPUT STRING:	او
     IS_TRANS:	Aw
        INDEX:	P5W13
      OFFSETS:	64-66
       TOKENS:	P5W16-P5W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aw_1]
   UNSPLITVOC:	(>aw)
          POS:	CONJ
          VOC:	>aw
        GLOSS:	or

 INPUT STRING:	افغانيه
     IS_TRANS:	AfgAnyh
        INDEX:	P5W14
      OFFSETS:	67-74
       TOKENS:	P5W17-P5W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>afogAniy_1]
   UNSPLITVOC:	(>afogAniy~ap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	>afogAniy~+ap
        GLOSS:	Afghan+[fem.sg.]

 INPUT STRING:	الا
     IS_TRANS:	AlA
        INDEX:	P6W1
      OFFSETS:	0-3
       TOKENS:	P6W1-P6W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[lA_2]
   UNSPLITVOC:	(>alA)
          POS:	INTERROG_PART+NEG_PART
          VOC:	>a+lA
        GLOSS:	does/do/are/is+no/not

 INPUT STRING:	تتعظو
     IS_TRANS:	ttEZw
        INDEX:	P6W2
      OFFSETS:	4-9
       TOKENS:	P6W3-P6W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Ait~aEaZ_1]
   UNSPLITVOC:	(tit~iEZuw)
          POS:	IV2P+IV+IVSUFF_SUBJ:P
          VOC:	ti+t~iEZ+uw
        GLOSS:	you+learn a lesson+you

 INPUT STRING:	مما
     IS_TRANS:	mmA
        INDEX:	P6W3
      OFFSETS:	10-13
       TOKENS:	P6W4-P6W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(minmA)
          POS:	PREP+REL_PRON
          VOC:	min+mA
        GLOSS:	from+what/which

 INPUT STRING:	حدث
     IS_TRANS:	Hdv
        INDEX:	P6W4
      OFFSETS:	14-17
       TOKENS:	P6W6-P6W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hadav_1]
   UNSPLITVOC:	(Hadav)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	Hadav+(null)
        GLOSS:	happen+he/it

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P6W5
      OFFSETS:	18-20
       TOKENS:	P6W7-P6W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	دول
     IS_TRANS:	dwl
        INDEX:	P6W6
      OFFSETS:	21-24
       TOKENS:	P6W8-P6W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dawlap_1]
   UNSPLITVOC:	(duwal)
          POS:	NOUN
          VOC:	duwal
        GLOSS:	states/countries

 INPUT STRING:	التى
     IS_TRANS:	AltY
        INDEX:	P6W7
      OFFSETS:	25-29
       TOKENS:	P6W9-P6W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ail~atiy_1]
   UNSPLITVOC:	(Al~atiy)
          POS:	REL_PRON
          VOC:	Al~atiy
        GLOSS:	which

 INPUT STRING:	قامت
     IS_TRANS:	qAmt
        INDEX:	P6W8
      OFFSETS:	30-34
       TOKENS:	P6W10-P6W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAm_1]
   UNSPLITVOC:	(qAmit)
          POS:	PV+PVSUFF_SUBJ:3FS
          VOC:	qAm+it
        GLOSS:	be based (on)+it/they/she

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P6W9
      OFFSETS:	35-38
       TOKENS:	P6W11-P6W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	جهل
     IS_TRANS:	jhl
        INDEX:	P6W10
      OFFSETS:	39-42
       TOKENS:	P6W12-P6W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jahol_1]
   UNSPLITVOC:	(jahol)
          POS:	NOUN
          VOC:	jahol
        GLOSS:	ignorance

 INPUT STRING:	وتعصب
     IS_TRANS:	wtESb
        INDEX:	P6W11
      OFFSETS:	43-48
       TOKENS:	P6W13-P6W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[taEaS~ub_1]
   UNSPLITVOC:	(witaEaS~ub)
          POS:	CONJ+NOUN
          VOC:	wi+taEaS~ub
        GLOSS:	and+fanaticism/intolerance/chauvinism

 INPUT STRING:	احتلت
     IS_TRANS:	AHtlt
        INDEX:	P6W12
      OFFSETS:	49-54
       TOKENS:	P6W15-P6W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AiHotal~_1]
   UNSPLITVOC:	(AiHotul~it)
          POS:	PV_PASS+PVSUFF_SUBJ:3FS
          VOC:	AiHotul~+it
        GLOSS:	be occupied+it/they/she

 INPUT STRING:	وسرقت
     IS_TRANS:	wsrqt
        INDEX:	P6W13
      OFFSETS:	55-60
       TOKENS:	P6W16-P6W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[saraq_1]
   UNSPLITVOC:	(wisuriqat)
          POS:	CONJ+PV_PASS+PVSUFF_SUBJ:3FS
          VOC:	wi+suriq+at
        GLOSS:	and+be stolen+it/they/she

 INPUT STRING:	وانتهت
     IS_TRANS:	wAntht
        INDEX:	P6W14
      OFFSETS:	61-67
       TOKENS:	P6W18-P6W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AinotahaY_1]
   UNSPLITVOC:	(wiAinotahit)
          POS:	CONJ+PV+PVSUFF_SUBJ:3FS
          VOC:	wi+Ainotah+it
        GLOSS:	and+finish+it/they/she

 INPUT STRING:	ومحيت
     IS_TRANS:	wmHyt
        INDEX:	P6W15
      OFFSETS:	68-73
       TOKENS:	P6W20-P6W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[muHiya_1]
   UNSPLITVOC:	(wimuHiyat)
          POS:	CONJ+PV+PVSUFF_SUBJ:3FS
          VOC:	wi+muHiy+at
        GLOSS:	and+be wiped+she/it

 INPUT STRING:	انتم
     IS_TRANS:	Antm
        INDEX:	P6W16
      OFFSETS:	74-78
       TOKENS:	P6W22-P6W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ainotum_1]
   UNSPLITVOC:	(Ainotum)
          POS:	PRON_2P
          VOC:	Ainotum
        GLOSS:	you

 INPUT STRING:	تنفدون
     IS_TRANS:	tnfdwn
        INDEX:	P6W17
      OFFSETS:	79-85
       TOKENS:	P6W23-P6W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[naf~ad_1]
   UNSPLITVOC:	(tunaf~iduwn)
          POS:	IV2P+IV+IVSUFF_SUBJ:P
          VOC:	tu+naf~id+uwn
        GLOSS:	you+fulfill+you

 INPUT STRING:	مايريده
     IS_TRANS:	mAyrydh
        INDEX:	P6W18
      OFFSETS:	86-93
       TOKENS:	P6W24-P6W24
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(mAyrydh)
          POS:	NO_FUNC
          VOC:	mAyrydh
        GLOSS:	nogloss

 INPUT STRING:	الغرب
     IS_TRANS:	Algrb
        INDEX:	P6W19
      OFFSETS:	94-99
       TOKENS:	P6W25-P6W25
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[garob_1]
   UNSPLITVOC:	(Algarob)
          POS:	DET+NOUN
          VOC:	Al+garob
        GLOSS:	the+west/West/westward/in the West

 INPUT STRING:	لكفايه
     IS_TRANS:	lkfAyh
        INDEX:	P7W1
      OFFSETS:	0-6
       TOKENS:	P7W1-P7W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kifAyap_1]
   UNSPLITVOC:	(likifAyap)
          POS:	PREP+ADJ+NSUFF_FEM_SG
          VOC:	li+kifAy+ap
        GLOSS:	for/to+enough+[fem.sg.]

 INPUT STRING:	تشويه
     IS_TRANS:	t$wyh
        INDEX:	P7W2
      OFFSETS:	7-12
       TOKENS:	P7W3-P7W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ta$owiyh_1]
   UNSPLITVOC:	(ta$owiyh)
          POS:	NOUN
          VOC:	ta$owiyh
        GLOSS:	distortion

 INPUT STRING:	لدين
     IS_TRANS:	ldyn
        INDEX:	P7W3
      OFFSETS:	13-17
       TOKENS:	P7W4-P7W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[diyn_1]
   UNSPLITVOC:	(lidiyn)
          POS:	PREP+NOUN
          VOC:	li+diyn
        GLOSS:	for/to+religion

 INPUT STRING:	وشعارات
     IS_TRANS:	w$EArAt
        INDEX:	P7W4
      OFFSETS:	18-25
       TOKENS:	P7W6-P7W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$iEAr_1]
   UNSPLITVOC:	(wi$iEArAt)
          POS:	CONJ+NOUN+NSUFF_FEM_PL
          VOC:	wi+$iEAr+At
        GLOSS:	and+mottos+[fem.pl.]

 INPUT STRING:	والشباب
     IS_TRANS:	wAl$bAb
        INDEX:	P7W5
      OFFSETS:	26-33
       TOKENS:	P7W8-P7W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$Ab~_1]
   UNSPLITVOC:	(wiAl$abAb)
          POS:	CONJ+DET+NOUN
          VOC:	wi+Al+$abAb
        GLOSS:	and+the+young man/young men

 INPUT STRING:	هو
     IS_TRANS:	hw
        INDEX:	P7W6
      OFFSETS:	34-36
       TOKENS:	P7W10-P7W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[huw~a_1]
   UNSPLITVOC:	(huw~a)
          POS:	PRON_3MS
          VOC:	huw~a
        GLOSS:	he/it

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P7W7
      OFFSETS:	37-39
       TOKENS:	P7W11-P7W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[mano_1]
   UNSPLITVOC:	(mano)
          POS:	REL_PRON
          VOC:	mano
        GLOSS:	who/whom

 INPUT STRING:	يدفع
     IS_TRANS:	ydfE
        INDEX:	P7W8
      OFFSETS:	40-44
       TOKENS:	P7W12-P7W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dafaE_1]
   UNSPLITVOC:	(yadofaE)
          POS:	IV3MS+IV
          VOC:	ya+dofaE
        GLOSS:	he/it+push/motivate/pay/be pushed/be motivated/be paid

 INPUT STRING:	الثمن
     IS_TRANS:	Alvmn
        INDEX:	P7W9
      OFFSETS:	45-50
       TOKENS:	P7W13-P7W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[vaman_1]
   UNSPLITVOC:	(Alvaman)
          POS:	DET+NOUN
          VOC:	Al+vaman
        GLOSS:	the+value/price

 INPUT STRING:	كللا
     IS_TRANS:	kllA
        INDEX:	P8W1
      OFFSETS:	0-4
       TOKENS:	P8W1-P8W1
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~ap_1]
   UNSPLITVOC:	(kulalAF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	kulal+AF
        GLOSS:	bullets/cannon balls+[acc.indef.]

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P8W2
      OFFSETS:	5-7
       TOKENS:	P8W2-P8W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	السلفيين
     IS_TRANS:	Alslfyyn
        INDEX:	P8W3
      OFFSETS:	8-16
       TOKENS:	P8W3-P8W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[salafiy_1]
   UNSPLITVOC:	(Als~alafiy~iyn)
          POS:	DET+NOUN+NSUFF_MASC_PL
          VOC:	Al+salafiy~+iyn
        GLOSS:	the+Salafi+[masc.pl.]

 INPUT STRING:	والاخوان
     IS_TRANS:	wAlAxwAn
        INDEX:	P8W4
      OFFSETS:	17-25
       TOKENS:	P8W4-P8W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>ax~_1]
   UNSPLITVOC:	(wiAl<ixowAn)
          POS:	CONJ+DET+NOUN
          VOC:	wi+Al+<ixowAn
        GLOSS:	and+the+brothers

 INPUT STRING:	لايهنمهم
     IS_TRANS:	lAyhnmhm
        INDEX:	P8W5
      OFFSETS:	26-34
       TOKENS:	P8W6-P8W6
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(lAyhnmhm)
          POS:	TYPO
          VOC:	lAyhnmhm
        GLOSS:	nogloss

 INPUT STRING:	غير
     IS_TRANS:	gyr
        INDEX:	P8W6
      OFFSETS:	35-38
       TOKENS:	P8W7-P8W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[gayor_1]
   UNSPLITVOC:	(gayor)
          POS:	NOUN
          VOC:	gayor
        GLOSS:	not/other

 INPUT STRING:	الوصول
     IS_TRANS:	AlwSwl
        INDEX:	P8W7
      OFFSETS:	39-45
       TOKENS:	P8W8-P8W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wuSuwl_1]
   UNSPLITVOC:	(AlwuSuwl)
          POS:	DET+NOUN
          VOC:	Al+wuSuwl
        GLOSS:	the+arrival/achievement

 INPUT STRING:	الى
     IS_TRANS:	AlY
        INDEX:	P8W8
      OFFSETS:	46-49
       TOKENS:	P8W9-P8W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AilaY_1]
   UNSPLITVOC:	(AilaY)
          POS:	PREP
          VOC:	AilaY
        GLOSS:	to

 INPUT STRING:	حكم
     IS_TRANS:	Hkm
        INDEX:	P8W9
      OFFSETS:	50-53
       TOKENS:	P8W10-P8W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hukom_1]
   UNSPLITVOC:	(Hukom)
          POS:	NOUN
          VOC:	Hukom
        GLOSS:	judgment/decision/verdict/statutes/laws/judgments/decisions//verdicts

 INPUT STRING:	وسلطه
     IS_TRANS:	wslTh
        INDEX:	P8W10
      OFFSETS:	54-59
       TOKENS:	P8W11-P8W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[suloTap_1]
   UNSPLITVOC:	(wisuloTap)
          POS:	CONJ+NOUN+NSUFF_FEM_SG
          VOC:	wi+suloT+ap
        GLOSS:	and+power/authority/rule/authorities/powers/authorities/rules+[fem.sg.]

 INPUT STRING:	لاشئ
     IS_TRANS:	lA$}
        INDEX:	P8W11
      OFFSETS:	60-64
       TOKENS:	P8W13-P8W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[$ay}_1]
   UNSPLITVOC:	(lA$ay})
          POS:	NEG_PART+NOUN
          VOC:	lA+$ay}
        GLOSS:	not+another

 INPUT STRING:	اخر
     IS_TRANS:	Axr
        INDEX:	P8W12
      OFFSETS:	65-68
       TOKENS:	P8W15-P8W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[|axar_1]
   UNSPLITVOC:	(|axar)
          POS:	ADJ
          VOC:	|axar
        GLOSS:	another

 INPUT STRING:	لادين
     IS_TRANS:	lAdyn
        INDEX:	P8W13
      OFFSETS:	69-74
       TOKENS:	P8W16-P8W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[diyn_1]
   UNSPLITVOC:	(lAdiyn)
          POS:	NEG_PART+NOUN
          VOC:	lA+diyn
        GLOSS:	not+religion

 INPUT STRING:	ولاغيره
     IS_TRANS:	wlAgyrh
        INDEX:	P8W14
      OFFSETS:	75-82
       TOKENS:	P8W18-P8W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[giyr_1]
   UNSPLITVOC:	(walAgiyruh)
          POS:	CONJ+NEG_PART+NOUN+POSS_PRON_3MS
          VOC:	wa+lA+giyr+uh
        GLOSS:	and+not+without+his/its

 INPUT STRING:	وبيستخدموا
     IS_TRANS:	wbystxdmwA
        INDEX:	P8W15
      OFFSETS:	83-93
       TOKENS:	P8W22-P8W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aisotaxodim_1]
   UNSPLITVOC:	(wibiyisotaxodimuwA)
          POS:	CONJ+PROG_PART+IV3P+IV+IVSUFF_SUBJ:P
          VOC:	wi+bi+yi+sotaxodim+uwA
        GLOSS:	and+[present-tense]+they+use+they

 INPUT STRING:	الالرهب
     IS_TRANS:	AlAlrhb
        INDEX:	P8W16
      OFFSETS:	94-101
       TOKENS:	P8W25-P8W25
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(AlAlrhb)
          POS:	TYPO
          VOC:	AlAlrhb
        GLOSS:	nogloss

 INPUT STRING:	الفكرى
     IS_TRANS:	AlfkrY
        INDEX:	P8W17
      OFFSETS:	102-108
       TOKENS:	P8W26-P8W26
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fikoriy_1]
   UNSPLITVOC:	(Alfikoriy)
          POS:	DET+ADJ
          VOC:	Al+fikoriy
        GLOSS:	the+intellectual/mental/spiritual

 INPUT STRING:	لتحقيق
     IS_TRANS:	ltHqyq
        INDEX:	P8W18
      OFFSETS:	109-115
       TOKENS:	P8W27-P8W28
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[taHoqiyq_1]
   UNSPLITVOC:	(litaHoqiyq)
          POS:	PREP+NOUN
          VOC:	li+taHoqiyq
        GLOSS:	for/to+achievement/realization

 INPUT STRING:	اهدافهم
     IS_TRANS:	AhdAfhm
        INDEX:	P8W19
      OFFSETS:	116-123
       TOKENS:	P8W29-P8W30
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[hadaf_1]
   UNSPLITVOC:	(AhdAfhum)
          POS:	NOUN+POSS_PRON_3P
          VOC:	AhdAf+hum
        GLOSS:	goals+their

 INPUT STRING:	وغلق
     IS_TRANS:	wglq
        INDEX:	P8W20
      OFFSETS:	124-128
       TOKENS:	P8W31-P8W32
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[galaq_1]
   UNSPLITVOC:	(wigalaq)
          POS:	CONJ+NOUN
          VOC:	wi+galaq
        GLOSS:	and+closing/locking

 INPUT STRING:	العقول
     IS_TRANS:	AlEqwl
        INDEX:	P8W21
      OFFSETS:	129-135
       TOKENS:	P8W33-P8W33
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eaquwl_1]
   UNSPLITVOC:	(AlEaquwl)
          POS:	DET+NOUN
          VOC:	Al+Eaquwl
        GLOSS:	the+senses/intellects/brains

 INPUT STRING:	وخلط
     IS_TRANS:	wxlT
        INDEX:	P8W22
      OFFSETS:	136-140
       TOKENS:	P8W34-P8W35
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xaloT_1]
   UNSPLITVOC:	(wixaloT)
          POS:	CONJ+NOUN
          VOC:	wi+xaloT
        GLOSS:	and+mixture/blending

 INPUT STRING:	الامور
     IS_TRANS:	AlAmwr
        INDEX:	P8W23
      OFFSETS:	141-147
       TOKENS:	P8W36-P8W36
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>amor_1]
   UNSPLITVOC:	(AlAumuwr)
          POS:	DET+NOUN
          VOC:	Al+Aumuwr
        GLOSS:	the+matter/issue/matters/issues

 INPUT STRING:	عندما
     IS_TRANS:	EndmA
        INDEX:	P9W1
      OFFSETS:	0-5
       TOKENS:	P9W1-P9W1
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(EndmA)
          POS:	NO_FUNC
          VOC:	EndmA
        GLOSS:	nogloss

 INPUT STRING:	كان
     IS_TRANS:	kAn
        INDEX:	P9W2
      OFFSETS:	6-9
       TOKENS:	P9W2-P9W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(kAn)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	kAn+(null)
        GLOSS:	be+he/it

 INPUT STRING:	مجتمع
     IS_TRANS:	mjtmE
        INDEX:	P9W3
      OFFSETS:	10-15
       TOKENS:	P9W3-P9W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mijotimiE_1]
   UNSPLITVOC:	(mijotimiE)
          POS:	NOUN
          VOC:	mijotimiE
        GLOSS:	society

 INPUT STRING:	مفتوح
     IS_TRANS:	mftwH
        INDEX:	P9W4
      OFFSETS:	16-21
       TOKENS:	P9W4-P9W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mafotuwH_1]
   UNSPLITVOC:	(mafotuwH)
          POS:	ADJ
          VOC:	mafotuwH
        GLOSS:	open/opened

 INPUT STRING:	قلما
     IS_TRANS:	qlmA
        INDEX:	P9W5
      OFFSETS:	22-26
       TOKENS:	P9W5-P9W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[qal~amA_1]
   UNSPLITVOC:	(qal~amA)
          POS:	PV+SUB_CONJ
          VOC:	qal~a+mA
        GLOSS:	decreased/was rare+that

 INPUT STRING:	كنا
     IS_TRANS:	knA
        INDEX:	P9W6
      OFFSETS:	27-30
       TOKENS:	P9W7-P9W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(kun~A)
          POS:	PV+PVSUFF_SUBJ:1P
          VOC:	kun+~A
        GLOSS:	be+we

 INPUT STRING:	نسمع
     IS_TRANS:	nsmE
        INDEX:	P9W7
      OFFSETS:	31-35
       TOKENS:	P9W8-P9W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[simiE_1]
   UNSPLITVOC:	(nisomaE)
          POS:	IV1P+IV
          VOC:	ni+somaE
        GLOSS:	we+hear

 INPUT STRING:	عن
     IS_TRANS:	En
        INDEX:	P9W8
      OFFSETS:	36-38
