 INPUT STRING:	عجبت
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[badiyE_1]
   UNSPLITVOC:	(badiyE)
          POS:	NOUN_PROP
          VOC:	badiyE
        GLOSS:	Badie

 INPUT STRING:	إلا
     IS_TRANS:	<lA
        INDEX:	P4W10
      OFFSETS:	50-53
       TOKENS:	P4W14-P4W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<il~A_1]
   UNSPLITVOC:	(<il~A)
          POS:	PREP
          VOC:	<il~A
        GLOSS:	only

 INPUT STRING:	أننا
     IS_TRANS:	>nnA
        INDEX:	P4W11
      OFFSETS:	54-58
       TOKENS:	P4W15-P4W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~inA)
          POS:	SUB_CONJ+PRON_1P
          VOC:	<in~+nA
        GLOSS:	that+we

 INPUT STRING:	لن
     IS_TRANS:	ln
        INDEX:	P4W12
      OFFSETS:	59-61
       TOKENS:	P4W17-P4W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[lano_1]
   UNSPLITVOC:	(lano)
          POS:	NEG_PART
          VOC:	lano
        GLOSS:	not, never, nevermore

 INPUT STRING:	نتغافل
     IS_TRANS:	ntgAfl
        INDEX:	P4W13
      OFFSETS:	62-68
       TOKENS:	P4W18-P4W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[togAfil_1]
   UNSPLITVOC:	(nitogAfil)
          POS:	IV1P+IV
          VOC:	ni+togAfil
        GLOSS:	we+pretend not to notice/neglect/disregard

 INPUT STRING:	عن
     IS_TRANS:	En
        INDEX:	P4W14
      OFFSETS:	69-71
       TOKENS:	P4W19-P4W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ean_1]
   UNSPLITVOC:	(Ean)
          POS:	PREP
          VOC:	Ean
        GLOSS:	about/for

 INPUT STRING:	حلم
     IS_TRANS:	Hlm
        INDEX:	P4W15
      OFFSETS:	72-75
       TOKENS:	P4W20-P4W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hilom_1]
   UNSPLITVOC:	(Hilom)
          POS:	NOUN
          VOC:	Hilom
        GLOSS:	dream/dreams

 INPUT STRING:	سنوات
     IS_TRANS:	snwAt
        INDEX:	P4W16
      OFFSETS:	76-81
       TOKENS:	P4W21-P4W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sanap_1]
   UNSPLITVOC:	(sanawAt)
          POS:	NOUN+NSUFF_FEM_PL
          VOC:	sanaw+At
        GLOSS:	year/years+[fem.pl.]

 INPUT STRING:	العمر
     IS_TRANS:	AlEmr
        INDEX:	P4W17
      OFFSETS:	82-87
       TOKENS:	P4W22-P4W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eumor_1]
   UNSPLITVOC:	(AlEumor)
          POS:	DET+NOUN
          VOC:	Al+Eumor
        GLOSS:	the+age/life

 INPUT STRING:	الطويلة
     IS_TRANS:	AlTwylp
        INDEX:	P4W18
      OFFSETS:	88-95
       TOKENS:	P4W23-P4W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[AlTawiyl_1]
   UNSPLITVOC:	(AlTawiylap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+Tawiyl+ap
        GLOSS:	the+tall/long+[fem.sg.]

 INPUT STRING:	التى
     IS_TRANS:	AltY
        INDEX:	P4W19
      OFFSETS:	96-100
       TOKENS:	P4W24-P4W24
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[Al~a*iy_1]
   UNSPLITVOC:	(Al~atiy)
          POS:	REL_PRON
          VOC:	Al~atiy
        GLOSS:	which/who/whom [fem.sg.]

 INPUT STRING:	طالما
     IS_TRANS:	TAlmA
        INDEX:	P4W20
      OFFSETS:	101-106
       TOKENS:	P4W25-P4W25
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[TAlamA_1]
   UNSPLITVOC:	(TAlamA)
          POS:	SUB_CONJ
          VOC:	TAlamA
        GLOSS:	as long as

 INPUT STRING:	انتظرنا
     IS_TRANS:	AntZrnA
        INDEX:	P4W21
      OFFSETS:	107-114
       TOKENS:	P4W26-P4W26
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AinotaZar_1]
   UNSPLITVOC:	(AinotaZarnA)
          POS:	PV+PVSUFF_SUBJ:1P
          VOC:	AinotaZar+nA
        GLOSS:	expect/wait for+we [verb]

 INPUT STRING:	أن
     IS_TRANS:	>n
        INDEX:	P4W22
      OFFSETS:	115-117
       TOKENS:	P4W27-P4W27
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>ano_1]
   UNSPLITVOC:	(>ano)
          POS:	SUB_CONJ
          VOC:	>ano
        GLOSS:	That, to

 INPUT STRING:	يتحقق
     IS_TRANS:	ytHqq
        INDEX:	P4W23
      OFFSETS:	118-123
       TOKENS:	P4W28-P4W28
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[toHaq~aq_2]
   UNSPLITVOC:	(yitoHaq~aq)
          POS:	IV3MS+IV
          VOC:	yi+toHaq~aq
        GLOSS:	he/it+materialize/be realized/be achieved

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P4W24
      OFFSETS:	123-124
       TOKENS:	P4W29-P4W29
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P4W25
      OFFSETS:	124-125
       TOKENS:	P4W30-P4W30
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	أعندما
     IS_TRANS:	>EndmA
        INDEX:	P5W1
      OFFSETS:	0-6
       TOKENS:	P5W1-P5W1
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(>EndmA)
          POS:	NO_FUNC
          VOC:	>EndmA
        GLOSS:	nogloss

 INPUT STRING:	تبحث
     IS_TRANS:	tbHv
        INDEX:	P5W2
      OFFSETS:	7-11
       TOKENS:	P5W2-P5W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baHav_1]
   UNSPLITVOC:	(tiboHav)
          POS:	IV2MS+IV
          VOC:	ti+boHav
        GLOSS:	you [masc.sg.]+discuss/search for

 INPUT STRING:	عن
     IS_TRANS:	En
        INDEX:	P5W3
      OFFSETS:	12-14
       TOKENS:	P5W3-P5W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ean_1]
   UNSPLITVOC:	(Ean)
          POS:	PREP
          VOC:	Ean
        GLOSS:	(away) from, off, about, on, over

 INPUT STRING:	رئيس
     IS_TRANS:	r}ys
        INDEX:	P5W4
      OFFSETS:	15-19
       TOKENS:	P5W4-P5W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ra}iys_1]
   UNSPLITVOC:	(ra}iys)
          POS:	NOUN
          VOC:	ra}iys
        GLOSS:	president/head/chairman

 INPUT STRING:	للبلاد
     IS_TRANS:	llblAd
        INDEX:	P5W5
      OFFSETS:	20-26
       TOKENS:	P5W5-P5W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[balad_1]
   UNSPLITVOC:	(lilbilAd)
          POS:	PREP+DET+NOUN
          VOC:	li+Al+bilAd
        GLOSS:	for/to+the+country/countries

 INPUT STRING:	يكون
     IS_TRANS:	ykwn
        INDEX:	P5W6
      OFFSETS:	27-31
       TOKENS:	P5W7-P5W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(yikuwn)
          POS:	IV3MS+IV
          VOC:	yi+kuwn
        GLOSS:	he/it+be

 INPUT STRING:	أهم
     IS_TRANS:	>hm
        INDEX:	P5W7
      OFFSETS:	32-35
       TOKENS:	P5W8-P5W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aham~_1]
   UNSPLITVOC:	(>aham~)
          POS:	ADJ_COMP
          VOC:	>aham~
        GLOSS:	more/most important

 INPUT STRING:	شرط
     IS_TRANS:	$rT
        INDEX:	P5W8
      OFFSETS:	36-39
       TOKENS:	P5W9-P5W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$aroT_1]
   UNSPLITVOC:	($aroT)
          POS:	NOUN
          VOC:	$aroT
        GLOSS:	precondition/stipulation

 INPUT STRING:	لديك
     IS_TRANS:	ldyk
        INDEX:	P5W9
      OFFSETS:	40-44
       TOKENS:	P5W10-P5W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[ladaY_1]
   UNSPLITVOC:	(ladiyk)
          POS:	NOUN+POSS_PRON_2MS
          VOC:	ladaY+ak
        GLOSS:	with/by+you [masc.sg.]

 INPUT STRING:	أن
     IS_TRANS:	>n
        INDEX:	P5W10
      OFFSETS:	45-47
       TOKENS:	P5W12-P5W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~)
          POS:	SUB_CONJ
          VOC:	<in~
        GLOSS:	that

 INPUT STRING:	يكون
     IS_TRANS:	ykwn
        INDEX:	P5W11
      OFFSETS:	48-52
       TOKENS:	P5W13-P5W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(yikuwn)
          POS:	IV3MS+IV
          VOC:	yi+kuwn
        GLOSS:	he/it+be

 INPUT STRING:	غير
     IS_TRANS:	gyr
        INDEX:	P5W12
      OFFSETS:	53-56
       TOKENS:	P5W14-P5W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[giyr_1]
   UNSPLITVOC:	(giyr)
          POS:	NOUN
          VOC:	giyr
        GLOSS:	not/other

 INPUT STRING:	منتم
     IS_TRANS:	mntm
        INDEX:	P5W13
      OFFSETS:	57-61
       TOKENS:	P5W15-P5W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[munotamiy_1]
   UNSPLITVOC:	(munotam)
          POS:	ADJ
          VOC:	munotam
        GLOSS:	belonging/affiliated/committed

 INPUT STRING:	للتيار
     IS_TRANS:	lltyAr
        INDEX:	P5W14
      OFFSETS:	62-68
       TOKENS:	P5W16-P5W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tay~Ar_1]
   UNSPLITVOC:	(lilt~ay~Ar)
          POS:	PREP+DET+NOUN
          VOC:	li+Al+tay~Ar
        GLOSS:	for/to+the+current/stream

 INPUT STRING:	الاسلامي
     IS_TRANS:	AlAslAmy
        INDEX:	P5W15
      OFFSETS:	69-77
       TOKENS:	P5W18-P5W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<isolAmiy_1]
   UNSPLITVOC:	(Al<isolAmiy)
          POS:	DET+ADJ
          VOC:	Al+<isolAmiy
        GLOSS:	the+Islamic/Islamist/Muslim

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P5W16
      OFFSETS:	77-78
       TOKENS:	P5W19-P5W19
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	nogloss

 INPUT STRING:	فلم
     IS_TRANS:	flm
        INDEX:	P6W1
      OFFSETS:	0-3
       TOKENS:	P6W1-P6W2
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[lima_1]
   UNSPLITVOC:	(falima)
          POS:	CONJ+INTERROG_ADV
          VOC:	fa+lima
        GLOSS:	so/and+why

 INPUT STRING:	ذهب
     IS_TRANS:	*hb
        INDEX:	P6W2
      OFFSETS:	4-7
       TOKENS:	P6W3-P6W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[*ahab_1]
   UNSPLITVOC:	(*ahab)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	*ahab+(null)
        GLOSS:	go/depart+he/it [verb]

 INPUT STRING:	الشعب
     IS_TRANS:	Al$Eb
        INDEX:	P6W3
      OFFSETS:	8-13
       TOKENS:	P6W4-P6W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$aEob_1]
   UNSPLITVOC:	(Al$~aEob)
          POS:	DET+NOUN
          VOC:	Al+$aEob
        GLOSS:	the+people/nation

 INPUT STRING:	المصري
     IS_TRANS:	AlmSry
        INDEX:	P6W4
      OFFSETS:	14-20
       TOKENS:	P6W5-P6W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maSoriy_1]
   UNSPLITVOC:	(AlmaSoriy)
          POS:	DET+ADJ
          VOC:	Al+maSoriy
        GLOSS:	the+Egyptian

 INPUT STRING:	عن
     IS_TRANS:	En
        INDEX:	P6W5
      OFFSETS:	21-23
       TOKENS:	P6W6-P6W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ean_1]
   UNSPLITVOC:	(Ean)
          POS:	PREP
          VOC:	Ean
        GLOSS:	(away) from, off, about, on, over

 INPUT STRING:	بكرة
     IS_TRANS:	bkrp
        INDEX:	P6W6
      OFFSETS:	24-28
       TOKENS:	P6W7-P6W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bakorap_1]
   UNSPLITVOC:	(bakorap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	bakor+ap
        GLOSS:	reel/pulley/winch+[fem.sg.]

 INPUT STRING:	أبيه
     IS_TRANS:	>byh
        INDEX:	P6W7
      OFFSETS:	29-33
       TOKENS:	P6W8-P6W9
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>ab_1]
   UNSPLITVOC:	(>abiyhi)
          POS:	NOUN+POSS_PRON_3MS
          VOC:	>abiy+hi
        GLOSS:	father+its/his

 INPUT STRING:	لانتخابكم
     IS_TRANS:	lAntxAbkm
        INDEX:	P6W8
      OFFSETS:	34-43
       TOKENS:	P6W10-P6W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AinotixAb_1]
   UNSPLITVOC:	(liAinotixAbkum)
          POS:	PREP+NOUN+POSS_PRON_2P
          VOC:	li+AinotixAb+kum
        GLOSS:	for/to+election/selection+your [masc.pl.]

 INPUT STRING:	كتيار
     IS_TRANS:	ktyAr
        INDEX:	P6W9
      OFFSETS:	44-49
       TOKENS:	P6W13-P6W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tay~Ar_1]
   UNSPLITVOC:	(katay~Ar)
          POS:	PREP+NOUN
          VOC:	ka+tay~Ar
        GLOSS:	like/such+current/stream

 INPUT STRING:	إسلامي
     IS_TRANS:	<slAmy
        INDEX:	P6W10
      OFFSETS:	50-56
       TOKENS:	P6W15-P6W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<isolAmiy_1]
   UNSPLITVOC:	(<isolAmiy)
          POS:	ADJ
          VOC:	<isolAmiy
        GLOSS:	Islamic/Islamist/Muslim

 INPUT STRING:	هدفه
     IS_TRANS:	hdfh
        INDEX:	P6W11
      OFFSETS:	57-61
       TOKENS:	P6W16-P6W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hadaf_1]
   UNSPLITVOC:	(hadafuh)
          POS:	NOUN+POSS_PRON_3MS
          VOC:	hadaf+uh
        GLOSS:	goal/objective/intention+its/his

 INPUT STRING:	إعلاء
     IS_TRANS:	<ElA'
        INDEX:	P6W12
      OFFSETS:	62-67
       TOKENS:	P6W18-P6W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<iEolA'_1]
   UNSPLITVOC:	(<iEolA')
          POS:	NOUN
          VOC:	<iEolA'
        GLOSS:	raising/lifting

 INPUT STRING:	كلمة
     IS_TRANS:	klmp
        INDEX:	P6W13
      OFFSETS:	68-72
       TOKENS:	P6W19-P6W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kilomap_1]
   UNSPLITVOC:	(kilomap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	kilom+ap
        GLOSS:	word/remark/speech+[fem.sg.]

 INPUT STRING:	الحق
     IS_TRANS:	AlHq
        INDEX:	P6W14
      OFFSETS:	73-77
       TOKENS:	P6W20-P6W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Haq~_1]
   UNSPLITVOC:	(AlHaq~)
          POS:	DET+NOUN
          VOC:	Al+Haq~
        GLOSS:	the+truth/right

 INPUT STRING:	وتطبيق
     IS_TRANS:	wtTbyq
        INDEX:	P6W15
      OFFSETS:	78-84
       TOKENS:	P6W21-P6W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[taTobiyq_1]
   UNSPLITVOC:	(witaTobiyq)
          POS:	CONJ+NOUN
          VOC:	wi+taTobiyq
        GLOSS:	and+application

 INPUT STRING:	شرع
     IS_TRANS:	$rE
        INDEX:	P6W16
      OFFSETS:	85-88
       TOKENS:	P6W23-P6W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$aroE_1]
   UNSPLITVOC:	($aroE)
          POS:	NOUN
          VOC:	$aroE
        GLOSS:	law

 INPUT STRING:	الله
     IS_TRANS:	Allh
        INDEX:	P6W17
      OFFSETS:	89-93
       TOKENS:	P6W24-P6W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(All~ah)
          POS:	NOUN_PROP
          VOC:	All~ah
        GLOSS:	Allah/God

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P6W18
      OFFSETS:	93-94
       TOKENS:	P6W25-P6W25
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	nogloss

 INPUT STRING:	كيف
     IS_TRANS:	kyf
        INDEX:	P7W1
      OFFSETS:	0-3
       TOKENS:	P7W1-P7W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kayof_1]
   UNSPLITVOC:	(kayof)
          POS:	INTERROG_ADV
          VOC:	kayof
        GLOSS:	how

 INPUT STRING:	لرئيس
     IS_TRANS:	lr}ys
        INDEX:	P7W2
      OFFSETS:	4-9
       TOKENS:	P7W2-P7W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ra}iys_1]
   UNSPLITVOC:	(lira}iys)
          POS:	PREP+NOUN
          VOC:	li+ra}iys
        GLOSS:	for/to+president/head/chairman

 INPUT STRING:	غير
     IS_TRANS:	gyr
        INDEX:	P7W3
      OFFSETS:	10-13
       TOKENS:	P7W4-P7W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[giyr_1]
   UNSPLITVOC:	(giyr)
          POS:	NOUN
          VOC:	giyr
        GLOSS:	not/other

 INPUT STRING:	إسلامي
     IS_TRANS:	<slAmy
        INDEX:	P7W4
      OFFSETS:	14-20
       TOKENS:	P7W5-P7W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<isolAmiy_1]
   UNSPLITVOC:	(<isolAmiy)
          POS:	ADJ
          VOC:	<isolAmiy
        GLOSS:	Islamic/Islamist/Muslim

 INPUT STRING:	أن
     IS_TRANS:	>n
        INDEX:	P7W5
      OFFSETS:	21-23
       TOKENS:	P7W6-P7W6
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>ano_1]
   UNSPLITVOC:	(>ano)
          POS:	SUB_CONJ
          VOC:	>ano
        GLOSS:	That, to

 INPUT STRING:	يطبق
     IS_TRANS:	yTbq
        INDEX:	P7W6
      OFFSETS:	24-28
       TOKENS:	P7W7-P7W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Tab~aq_1]
   UNSPLITVOC:	(yiTab~aq)
          POS:	IV3MS+IV
          VOC:	yi+Tab~aq
        GLOSS:	he/it+apply/implement

 INPUT STRING:	شر
     IS_TRANS:	$r
        INDEX:	P7W7
      OFFSETS:	29-31
       TOKENS:	P7W8-P7W8
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	($r)
          POS:	TYPO
          VOC:	$r
        GLOSS:	nogloss

 INPUT STRING:	ع
     IS_TRANS:	E
        INDEX:	P7W8
      OFFSETS:	32-33
       TOKENS:	P7W9-P7W9
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(E)
          POS:	TYPO
          VOC:	E
        GLOSS:	nogloss

 INPUT STRING:	الله
     IS_TRANS:	Allh
        INDEX:	P7W9
      OFFSETS:	34-38
       TOKENS:	P7W10-P7W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(All~ah)
          POS:	NOUN_PROP
          VOC:	All~ah
        GLOSS:	Allah/God

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P7W10
      OFFSETS:	38-39
       TOKENS:	P7W11-P7W11
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	nogloss

 INPUT STRING:	ولن
     IS_TRANS:	wln
        INDEX:	P8W1
      OFFSETS:	0-3
       TOKENS:	P8W1-P8W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[lano_1]
   UNSPLITVOC:	(wilano)
          POS:	CONJ+NEG_PART
          VOC:	wi+lano
        GLOSS:	and+not, never, nevermore

 INPUT STRING:	أتغافل
     IS_TRANS:	>tgAfl
        INDEX:	P8W2
      OFFSETS:	4-10
       TOKENS:	P8W3-P8W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[tagAfal_1]
   UNSPLITVOC:	(>atagAfal)
          POS:	IV1S+IV
          VOC:	>a+tagAfal
        GLOSS:	I+pretend not to notice/neglect/disregard

 INPUT STRING:	عن
     IS_TRANS:	En
        INDEX:	P8W3
      OFFSETS:	11-13
       TOKENS:	P8W4-P8W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ean_1]
   UNSPLITVOC:	(Ean)
          POS:	PREP
          VOC:	Ean
        GLOSS:	(away) from, off, about, on, over

 INPUT STRING:	شرطك
     IS_TRANS:	$rTk
        INDEX:	P8W4
      OFFSETS:	14-18
       TOKENS:	P8W5-P8W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$aroT_1]
   UNSPLITVOC:	($aroTak)
          POS:	NOUN+POSS_PRON_2MS
          VOC:	$aroT+ak
        GLOSS:	precondition/stipulation+your [masc.sg.]

 INPUT STRING:	الثاني
     IS_TRANS:	AlvAny
        INDEX:	P8W5
      OFFSETS:	19-25
       TOKENS:	P8W7-P8W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[vAniy_1]
   UNSPLITVOC:	(AlvAniy)
          POS:	DET+ADJ_NUM
          VOC:	Al+vAniy
        GLOSS:	the+Second/II

 INPUT STRING:	،
     IS_TRANS:	,
        INDEX:	P8W6
      OFFSETS:	25-26
