 INPUT STRING:	استفتاء
       TOKENS:	P35W11-P35W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAzim_1]
   UNSPLITVOC:	(HAzim)
          POS:	NOUN_PROP
          VOC:	HAzim
        GLOSS:	Hazim

 INPUT STRING:	ابو
     IS_TRANS:	Abw
        INDEX:	P35W10
      OFFSETS:	46-49
       TOKENS:	P35W12-P35W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>abuw_1]
   UNSPLITVOC:	(>abuw)
          POS:	NOUN_PROP
          VOC:	>abuw
        GLOSS:	Abu

 INPUT STRING:	اسماعيل
     IS_TRANS:	AsmAEyl
        INDEX:	P35W11
      OFFSETS:	50-57
       TOKENS:	P35W13-P35W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<isomAEiyl_1]
   UNSPLITVOC:	(<isomAEiyl)
          POS:	NOUN_PROP
          VOC:	<isomAEiyl
        GLOSS:	Ishmael/Ismail

 INPUT STRING:	علشان
     IS_TRANS:	El$An
        INDEX:	P35W12
      OFFSETS:	58-63
       TOKENS:	P35W14-P35W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$An_1]
   UNSPLITVOC:	(Eala$a>on)
          POS:	PREP+NOUN
          VOC:	EalaY+$An
        GLOSS:	on/above+matter/affair/case

 INPUT STRING:	انتى
     IS_TRANS:	AntY
        INDEX:	P35W13
      OFFSETS:	64-68
       TOKENS:	P35W16-P35W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ainotiy_1]
   UNSPLITVOC:	(Ainotiy)
          POS:	PRON_2FS
          VOC:	Ainotiy
        GLOSS:	you [fem.sg.]

 INPUT STRING:	اخترتيه
     IS_TRANS:	Axtrtyh
        INDEX:	P35W14
      OFFSETS:	69-76
       TOKENS:	P35W17-P35W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[AixtAr_1]
   UNSPLITVOC:	(Aixtartiyh)
          POS:	PV+PVSUFF_SUBJ:2FS+PVSUFF_DO:3MS
          VOC:	AixtAr+tiy+h
        GLOSS:	choose/pick/select+you [fem.sg.] [verb]+him/it

 INPUT STRING:	بجد
     IS_TRANS:	bjd
        INDEX:	P36W1
      OFFSETS:	0-3
       TOKENS:	P36W1-P36W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jad~_1]
   UNSPLITVOC:	(bijad~)
          POS:	PREP+NOUN
          VOC:	bi+jad~
        GLOSS:	with/by+seriousness/earnestness

 INPUT STRING:	والله
     IS_TRANS:	wAllh
        INDEX:	P36W2
      OFFSETS:	4-9
       TOKENS:	P36W3-P36W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(waAll~ah)
          POS:	PREP+NOUN_PROP
          VOC:	wa+All~ah
        GLOSS:	with+Allah/God

 INPUT STRING:	عوزه
     IS_TRANS:	Ewzh
        INDEX:	P36W3
      OFFSETS:	10-14
       TOKENS:	P36W5-P36W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[EAwiz_1]
   UNSPLITVOC:	(EAwzap)
          POS:	ADJ.VN+NSUFF_FEM_SG
          VOC:	EAwz+ap
        GLOSS:	wanting/needing+[fem.sg.]

 INPUT STRING:	اعرف
     IS_TRANS:	AErf
        INDEX:	P36W4
      OFFSETS:	15-19
       TOKENS:	P36W6-P36W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eirif_1]
   UNSPLITVOC:	(AaEoraf)
          POS:	IV1S+IV
          VOC:	Aa+Eoraf
        GLOSS:	I+know

 INPUT STRING:	انا
     IS_TRANS:	AnA
        INDEX:	P36W5
      OFFSETS:	20-23
       TOKENS:	P36W7-P36W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(AnA)
          POS:	PRON_1S
          VOC:	AnA
        GLOSS:	I

 INPUT STRING:	هرشح
     IS_TRANS:	hr$H
        INDEX:	P36W6
      OFFSETS:	24-28
       TOKENS:	P36W8-P36W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ra$~aH_1]
   UNSPLITVOC:	(HaAara$~aH)
          POS:	FUT_PART+IV1S+IV
          VOC:	Ha+Aa+ra$~aH
        GLOSS:	will+I+nominate/appoint as candidate

 INPUT STRING:	الشيخ
     IS_TRANS:	Al$yx
        INDEX:	P36W7
      OFFSETS:	29-34
       TOKENS:	P36W10-P36W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$ayx_1]
   UNSPLITVOC:	(Al$~ayx)
          POS:	DET+NOUN
          VOC:	Al+$ayx
        GLOSS:	the+Sheikh/chieftain

 INPUT STRING:	حازم
     IS_TRANS:	HAzm
        INDEX:	P36W8
      OFFSETS:	35-39
       TOKENS:	P36W11-P36W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAzim_1]
   UNSPLITVOC:	(HAzim)
          POS:	NOUN_PROP
          VOC:	HAzim
        GLOSS:	Hazim

 INPUT STRING:	علشان
     IS_TRANS:	El$An
        INDEX:	P36W9
      OFFSETS:	40-45
       TOKENS:	P36W12-P36W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$An_1]
   UNSPLITVOC:	(Eala$a>on)
          POS:	PREP+NOUN
          VOC:	EalaY+$An
        GLOSS:	on/above+matter/affair/case

 INPUT STRING:	متابعه
     IS_TRANS:	mtAbEh
        INDEX:	P36W10
      OFFSETS:	46-52
       TOKENS:	P36W14-P36W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mitAbiE_1]
   UNSPLITVOC:	(mitAboEap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	mitAboE+ap
        GLOSS:	pursuing/following+[fem.sg.]

 INPUT STRING:	برامجه
     IS_TRANS:	brAmjh
        INDEX:	P36W11
      OFFSETS:	53-59
       TOKENS:	P36W15-P36W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[birnAmij_1]
   UNSPLITVOC:	(bArAmijih)
          POS:	NOUN+POSS_PRON_3MS
          VOC:	bArAmij+ih
        GLOSS:	programs+its/his

 INPUT STRING:	وبصراحه
     IS_TRANS:	wbSrAHh
        INDEX:	P36W12
      OFFSETS:	60-67
       TOKENS:	P36W17-P36W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[SarAHap_1]
   UNSPLITVOC:	(wibiSarAHap)
          POS:	CONJ+PREP+NOUN+NSUFF_FEM_SG
          VOC:	wi+bi+SarAH+ap
        GLOSS:	and+with/by+sincerity/candor/frankness+[fem.sg.]

 INPUT STRING:	قريت
     IS_TRANS:	qryt
        INDEX:	P36W13
      OFFSETS:	68-72
       TOKENS:	P36W20-P36W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qarA_1]
   UNSPLITVOC:	(qarayt)
          POS:	PV+PVSUFF_SUBJ:1S
          VOC:	qar+ayt
        GLOSS:	read+I [verb]

 INPUT STRING:	افكاره
     IS_TRANS:	AfkArh
        INDEX:	P36W14
      OFFSETS:	73-79
       TOKENS:	P36W21-P36W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fikorap_1]
   UNSPLITVOC:	(>afokAruh)
          POS:	NOUN+POSS_PRON_3MS
          VOC:	>afokAr+uh
        GLOSS:	ideas/thoughts/concept+his/its

 INPUT STRING:	وبقت
     IS_TRANS:	wbqt
        INDEX:	P36W15
      OFFSETS:	80-84
       TOKENS:	P36W23-P36W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baqaY_1]
   UNSPLITVOC:	(wibaqit)
          POS:	CONJ+PV+PVSUFF_SUBJ:3FS
          VOC:	wi+baq+it
        GLOSS:	and+become+she/it/they [verb]

 INPUT STRING:	واضحه
     IS_TRANS:	wADHh
        INDEX:	P36W16
      OFFSETS:	85-90
       TOKENS:	P36W25-P36W25
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wADiH_1]
   UNSPLITVOC:	(wADoHap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	wADoH+ap
        GLOSS:	clear/obvious/visible+[fem.sg.]

 INPUT STRING:	بالنسبه
     IS_TRANS:	bAlnsbh
        INDEX:	P36W17
      OFFSETS:	91-98
       TOKENS:	P36W26-P36W27
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nisobap_1]
   UNSPLITVOC:	(biAln~isobap)
          POS:	PREP+DET+NOUN+NSUFF_FEM_SG
          VOC:	bi+Al+nisob+ap
        GLOSS:	with/by+the+link/relation (concerning/regarding)+[fem.sg.]

 INPUT STRING:	لى
     IS_TRANS:	lY
        INDEX:	P36W18
      OFFSETS:	99-101
       TOKENS:	P36W28-P36W29
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[li_1]
   UNSPLITVOC:	(liy~a)
          POS:	PREP+PRON_1S
          VOC:	li+iy
        GLOSS:	for/to+me

 INPUT STRING:	ورضيه
     IS_TRANS:	wrDyh
        INDEX:	P36W19
      OFFSETS:	102-107
       TOKENS:	P36W30-P36W31
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[raDiy_1]
   UNSPLITVOC:	(wiraDiy~ap)
          POS:	CONJ+ADJ+NSUFF_FEM_SG
          VOC:	wi+raDiy~+ap
        GLOSS:	and+satisfied/content/accepting+[fem.sg.]

 INPUT STRING:	عنها
     IS_TRANS:	EnhA
        INDEX:	P36W20
      OFFSETS:	108-112
       TOKENS:	P36W32-P36W33
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ean_1]
   UNSPLITVOC:	(EanhA)
          POS:	PREP+PRON_3FS
          VOC:	Ean+hA
        GLOSS:	(away) from, off, about, on, over+her/it/them

 INPUT STRING:	ولكن
     IS_TRANS:	wlkn
        INDEX:	P37W1
      OFFSETS:	0-4
       TOKENS:	P37W1-P37W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lakin_1]
   UNSPLITVOC:	(wilakin)
          POS:	CONJ+CONJ
          VOC:	wi+lakin
        GLOSS:	and+but

 INPUT STRING:	بردو
     IS_TRANS:	brdw
        INDEX:	P37W2
      OFFSETS:	5-9
       TOKENS:	P37W3-P37W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baroDuh_1]
   UNSPLITVOC:	(baroDuh)
          POS:	ADV
          VOC:	baroDuh
        GLOSS:	also/too/nevertheless

 INPUT STRING:	بدور
     IS_TRANS:	bdwr
        INDEX:	P37W3
      OFFSETS:	10-14
       TOKENS:	P37W4-P37W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>aduwr_1]
   UNSPLITVOC:	(baduwr)
          POS:	PROG_PART+IV1S+IV
          VOC:	b+a+duwr
        GLOSS:	[present-tense]+I+turn around

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P37W4
      OFFSETS:	15-18
       TOKENS:	P37W6-P37W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	المرشحين
     IS_TRANS:	Almr$Hyn
        INDEX:	P37W5
      OFFSETS:	19-27
       TOKENS:	P37W7-P37W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mura$~aH_1]
   UNSPLITVOC:	(Almura$~aHiyn)
          POS:	DET+NOUN+NSUFF_MASC_PL
          VOC:	Al+mura$~aH+iyn
        GLOSS:	the+candidate/nominee+[masc.pl.]

 INPUT STRING:	الأخرين
     IS_TRANS:	Al>xryn
        INDEX:	P37W6
      OFFSETS:	28-35
       TOKENS:	P37W8-P37W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>axar_1]
   UNSPLITVOC:	(Al>axoriyn)
          POS:	DET+ADJ+NSUFF_MASC_PL
          VOC:	Al+>axor+iyn
        GLOSS:	the+other/another+[masc.pl.]

 INPUT STRING:	اخد
     IS_TRANS:	Axd
        INDEX:	P37W7
      OFFSETS:	36-39
       TOKENS:	P37W9-P37W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>axad_1]
   UNSPLITVOC:	(|xud)
          POS:	IV1S+IV
          VOC:	>a+>axud
        GLOSS:	I+take/begin

 INPUT STRING:	فكره
     IS_TRANS:	fkrh
        INDEX:	P37W8
      OFFSETS:	40-44
       TOKENS:	P37W10-P37W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fikorap_1]
   UNSPLITVOC:	(fikorap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	fikor+ap
        GLOSS:	idea/notion/concept+[fem.sg.]

 INPUT STRING:	عنهم
     IS_TRANS:	Enhm
        INDEX:	P37W9
      OFFSETS:	45-49
       TOKENS:	P37W11-P37W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ean_1]
   UNSPLITVOC:	(Eanhum)
          POS:	PREP+PRON_3P
          VOC:	Ean+hum
        GLOSS:	(away) from, off, about, on, over+them

 INPUT STRING:	علشان
     IS_TRANS:	El$An
        INDEX:	P37W10
      OFFSETS:	50-55
       TOKENS:	P37W13-P37W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$An_1]
   UNSPLITVOC:	(Eala$a>on)
          POS:	PREP+NOUN
          VOC:	EalaY+$An
        GLOSS:	on/above+matter/affair/case

 INPUT STRING:	لو
     IS_TRANS:	lw
        INDEX:	P37W11
      OFFSETS:	56-58
       TOKENS:	P37W15-P37W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[law_1]
   UNSPLITVOC:	(law)
          POS:	SUB_CONJ
          VOC:	law
        GLOSS:	if

 INPUT STRING:	لا
     IS_TRANS:	lA
        INDEX:	P37W12
      OFFSETS:	59-61
       TOKENS:	P37W16-P37W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lA_1]
   UNSPLITVOC:	(lA)
          POS:	NEG_PART
          VOC:	lA
        GLOSS:	no/not

 INPUT STRING:	قدر
     IS_TRANS:	qdr
        INDEX:	P37W13
      OFFSETS:	62-65
       TOKENS:	P37W17-P37W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qad~ar_1]
   UNSPLITVOC:	(qad~ar)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	qad~ar+(null)
        GLOSS:	allow/make possible/dispose (God)+he/it [verb]

 INPUT STRING:	الله
     IS_TRANS:	Allh
        INDEX:	P37W14
      OFFSETS:	66-70
       TOKENS:	P37W18-P37W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(All~ah)
          POS:	NOUN_PROP
          VOC:	All~ah
        GLOSS:	Allah/God

 INPUT STRING:	الشيخ
     IS_TRANS:	Al$yx
        INDEX:	P37W15
      OFFSETS:	71-76
       TOKENS:	P37W19-P37W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$ayx_1]
   UNSPLITVOC:	(Al$~ayx)
          POS:	DET+NOUN
          VOC:	Al+$ayx
        GLOSS:	the+Sheikh/chieftain

 INPUT STRING:	حازم
     IS_TRANS:	HAzm
        INDEX:	P37W16
      OFFSETS:	77-81
       TOKENS:	P37W20-P37W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAzim_1]
   UNSPLITVOC:	(HAzim)
          POS:	NOUN_PROP
          VOC:	HAzim
        GLOSS:	Hazim

 INPUT STRING:	ربنا
     IS_TRANS:	rbnA
        INDEX:	P37W17
      OFFSETS:	82-86
       TOKENS:	P37W21-P37W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rab~_1]
   UNSPLITVOC:	(rab~inA)
          POS:	NOUN+POSS_PRON_1P
          VOC:	rab~+nA
        GLOSS:	lord/master+our

 INPUT STRING:	ما
     IS_TRANS:	mA
        INDEX:	P37W18
      OFFSETS:	87-89
       TOKENS:	P37W23-P37W23
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[mA_2]
   UNSPLITVOC:	(mA)
          POS:	NEG_PART
          VOC:	mA
        GLOSS:	not

 INPUT STRING:	وفقوش
     IS_TRANS:	wfqw$
        INDEX:	P37W19
      OFFSETS:	90-95
       TOKENS:	P37W24-P37W26
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[waf~aq_1]
   UNSPLITVOC:	(waf~aq()uw$)
          POS:	PV+PVSUFF_SUBJ:3MS+PVSUFF_DO:3MS+NEG_PART
          VOC:	waf~aq+(null)+uw+$
        GLOSS:	grant success+he/it+him/it+not

 INPUT STRING:	بس
     IS_TRANS:	bs
        INDEX:	P38W1
      OFFSETS:	0-2
       TOKENS:	P38W1-P38W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bas~_1]
   UNSPLITVOC:	(bas~)
          POS:	CONJ
          VOC:	bas~
        GLOSS:	but

 INPUT STRING:	ما
     IS_TRANS:	mA
        INDEX:	P38W2
      OFFSETS:	3-5
       TOKENS:	P38W2-P38W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mA_1]
   UNSPLITVOC:	(mA)
          POS:	NEG_PART
          VOC:	mA
        GLOSS:	not

 INPUT STRING:	بلقيش
     IS_TRANS:	blqy$
        INDEX:	P38W3
      OFFSETS:	6-11
       TOKENS:	P38W3-P38W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[lAqaY_1]
   UNSPLITVOC:	(b>alAqiy$)
          POS:	PROG_PART+IV1S+IV+NEG_PART
          VOC:	b+>a+lAqiy+$
        GLOSS:	[present-tense]+I+meet/encounter+not

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P38W4
      OFFSETS:	12-14
       TOKENS:	P38W6-P38W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	حد
     IS_TRANS:	Hd
        INDEX:	P38W5
      OFFSETS:	15-17
       TOKENS:	P38W7-P38W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Had~_1]
   UNSPLITVOC:	(Had~)
          POS:	NOUN
          VOC:	Had~
        GLOSS:	one (of)/someone/anyone/no-one

 INPUT STRING:	افضل
     IS_TRANS:	AfDl
        INDEX:	P38W6
      OFFSETS:	18-22
       TOKENS:	P38W8-P38W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>afoDal_1]
   UNSPLITVOC:	(>afoDal)
          POS:	ADJ_COMP
          VOC:	>afoDal
        GLOSS:	better/best

 INPUT STRING:	منه
     IS_TRANS:	mnh
        INDEX:	P38W7
      OFFSETS:	23-26
       TOKENS:	P38W9-P38W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min~uh)
          POS:	PREP+PRON_3MS
          VOC:	min~+uh
        GLOSS:	from+him/it

 INPUT STRING:	يمكن
     IS_TRANS:	ymkn
        INDEX:	P39W1
      OFFSETS:	0-4
       TOKENS:	P39W1-P39W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>amokan_1]
   UNSPLITVOC:	(yimokin)
          POS:	IV3MS+IV
          VOC:	yi+mokin
        GLOSS:	he/it+be possible/make possible for

 INPUT STRING:	انت
     IS_TRANS:	Ant
        INDEX:	P39W2
      OFFSETS:	5-8
       TOKENS:	P39W2-P39W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>inotiy_1]
   UNSPLITVOC:	(>inotiy)
          POS:	PRON_2FS
          VOC:	>inotiy
        GLOSS:	you [fem.sg.]

 INPUT STRING:	تقدرى
     IS_TRANS:	tqdrY
        INDEX:	P39W3
      OFFSETS:	9-14
       TOKENS:	P39W3-P39W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qidir_1]
   UNSPLITVOC:	(tiqodariy)
          POS:	IV2FS+IV+IVSUFF_SUBJ:2FS
          VOC:	ti+qodar+iy
        GLOSS:	you [fem.sg.]+be able to/be capable of+you [fem.sg.] [verb]

 INPUT STRING:	تفدينى
     IS_TRANS:	tfdynY
        INDEX:	P39W4
      OFFSETS:	15-21
       TOKENS:	P39W4-P39W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[fAd_1]
   UNSPLITVOC:	(tifiydiyniy)
          POS:	IV2FS+IV+IVSUFF_SUBJ:2FS+IVSUFF_DO:1S
          VOC:	ti+fiyd+iy+niy
        GLOSS:	you [fem.sg.]+report/inform/provide+you [fem.sg.] [verb]+me

 INPUT STRING:	بحب
     IS_TRANS:	bHb
        INDEX:	P39W5
      OFFSETS:	22-25
       TOKENS:	P39W6-P39W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Hab~_1]
   UNSPLITVOC:	(baHib~)
          POS:	PROG_PART+IV1S+IV
          VOC:	bi+>a+Hib~
        GLOSS:	[present-tense]+I+love/like/want

 INPUT STRING:	اسمع
     IS_TRANS:	AsmE
        INDEX:	P39W6
      OFFSETS:	26-30
       TOKENS:	P39W8-P39W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[simiE_1]
   UNSPLITVOC:	(AasomaE)
          POS:	IV1S+IV
          VOC:	Aa+somaE
        GLOSS:	I+hear/listen

 INPUT STRING:	وجه
     IS_TRANS:	wjh
        INDEX:	P39W7
      OFFSETS:	31-34
       TOKENS:	P39W9-P39W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wajoh_1]
   UNSPLITVOC:	(wajoh)
          POS:	NOUN
          VOC:	wajoh
        GLOSS:	face

 INPUT STRING:	نظر
     IS_TRANS:	nZr
        INDEX:	P39W8
      OFFSETS:	35-38
       TOKENS:	P39W10-P39W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[naZar_1]
   UNSPLITVOC:	(naZar)
          POS:	NOUN
          VOC:	naZar
        GLOSS:	view/look/seeing/eye-sight

 INPUT STRING:	الأخرين
     IS_TRANS:	Al>xryn
        INDEX:	P39W9
      OFFSETS:	39-46
       TOKENS:	P39W11-P39W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>axar_1]
   UNSPLITVOC:	(Al>axoriyn)
          POS:	DET+ADJ+NSUFF_MASC_PL
          VOC:	Al+>axor+iyn
        GLOSS:	the+other/another+[masc.pl.]

