 INPUT STRING:	تعرض
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[makotab_1]
   UNSPLITVOC:	(makotab)
          POS:	NOUN
          VOC:	makotab
        GLOSS:	bureau/office/department

 INPUT STRING:	النائب
     IS_TRANS:	AlnA}b
        INDEX:	P3W18
      OFFSETS:	102-108
       TOKENS:	P3W21-P3W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nA}ib_1]
   UNSPLITVOC:	(Aln~A}ib)
          POS:	DET+NOUN
          VOC:	Al+nA}ib
        GLOSS:	the+deputy/delegate/vice-

 INPUT STRING:	العام
     IS_TRANS:	AlEAm
        INDEX:	P3W19
      OFFSETS:	109-114
       TOKENS:	P3W22-P3W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EAm_1]
   UNSPLITVOC:	(AlEAm)
          POS:	DET+ADJ
          VOC:	Al+EAm
        GLOSS:	the+general/common/public

 INPUT STRING:	مع
     IS_TRANS:	mE
        INDEX:	P3W20
      OFFSETS:	115-117
       TOKENS:	P3W23-P3W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maEa_1]
   UNSPLITVOC:	(maE)
          POS:	NOUN
          VOC:	maEa
        GLOSS:	with

 INPUT STRING:	مجموعة
     IS_TRANS:	mjmwEp
        INDEX:	P3W21
      OFFSETS:	118-124
       TOKENS:	P3W24-P3W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[majomuwEap_1]
   UNSPLITVOC:	(majomuwEap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	majomuwE+ap
        GLOSS:	collection/group/bloc+[fem.sg.]

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P3W22
      OFFSETS:	125-127
       TOKENS:	P3W25-P3W25
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	زملائه
     IS_TRANS:	zmlA}h
        INDEX:	P3W23
      OFFSETS:	128-134
       TOKENS:	P3W26-P3W27
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[zamiyl_1]
   UNSPLITVOC:	(zumalA}uh)
          POS:	NOUN+POSS_PRON_3MS
          VOC:	zumalA}+uh
        GLOSS:	friends+his/its

 INPUT STRING:	الذين
     IS_TRANS:	Al*yn
        INDEX:	P3W24
      OFFSETS:	135-140
       TOKENS:	P3W28-P3W28
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[Al~a*iy_1]
   UNSPLITVOC:	(Al~a*iyna)
          POS:	REL_PRON
          VOC:	Al~a*iyna
        GLOSS:	who/whom [pl.]

 INPUT STRING:	يطالبون
     IS_TRANS:	yTAlbwn
        INDEX:	P3W25
      OFFSETS:	141-148
       TOKENS:	P3W29-P3W29
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[TAlab_1]
   UNSPLITVOC:	(yuTAlibuwna)
          POS:	IV3MP+IV+IVSUFF_SUBJ:MP_MOOD:I
          VOC:	yu+TAlib+uwna
        GLOSS:	they (people)+demand/require+[masc.pl.]

 INPUT STRING:	بتطهير
     IS_TRANS:	btThyr
        INDEX:	P3W26
      OFFSETS:	149-155
       TOKENS:	P3W30-P3W31
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[taTohiyr_1]
   UNSPLITVOC:	(bitaTohiyr)
          POS:	PREP+NOUN
          VOC:	bi+taTohiyr
        GLOSS:	with/by+purging/disinfecting

 INPUT STRING:	القضاء
     IS_TRANS:	AlqDA'
        INDEX:	P3W27
      OFFSETS:	156-162
       TOKENS:	P3W32-P3W32
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qaDA'_1]
   UNSPLITVOC:	(AlqaDA')
          POS:	DET+NOUN
          VOC:	Al+qaDA'
        GLOSS:	the+justice/judiciary

 INPUT STRING:	،
     IS_TRANS:	,
        INDEX:	P3W28
      OFFSETS:	162-163
       TOKENS:	P3W33-P3W33
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	,

 INPUT STRING:	أن
     IS_TRANS:	>n
        INDEX:	P3W29
      OFFSETS:	164-166
       TOKENS:	P3W34-P3W34
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>an~a_1]
   UNSPLITVOC:	(>an~a)
          POS:	SUB_CONJ
          VOC:	>an~a
        GLOSS:	that

 INPUT STRING:	محمد
     IS_TRANS:	mHmd
        INDEX:	P3W30
      OFFSETS:	167-171
       TOKENS:	P3W35-P3W35
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maHam~ad_1]
   UNSPLITVOC:	(maHam~ad)
          POS:	NOUN_PROP
          VOC:	maHam~ad
        GLOSS:	Muhammad/Mohamed

 INPUT STRING:	جمال
     IS_TRANS:	jmAl
        INDEX:	P3W31
      OFFSETS:	172-176
       TOKENS:	P3W36-P3W36
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jamAl_1]
   UNSPLITVOC:	(jamAl)
          POS:	NOUN_PROP
          VOC:	jamAl
        GLOSS:	Jamal/Gamal

 INPUT STRING:	الناشط
     IS_TRANS:	AlnA$T
        INDEX:	P3W32
      OFFSETS:	177-183
       TOKENS:	P3W37-P3W37
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nA$iT_1]
   UNSPLITVOC:	(Aln~A$iT)
          POS:	DET+NOUN
          VOC:	Al+nA$iT
        GLOSS:	the+activist

 INPUT STRING:	السياسي
     IS_TRANS:	AlsyAsy
        INDEX:	P3W33
      OFFSETS:	184-191
       TOKENS:	P3W38-P3W38
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[siyAsiy~_1]
   UNSPLITVOC:	(AlsiyAsiy~)
          POS:	DET+ADJ
          VOC:	Al+siyAsiy~
        GLOSS:	the+political

 INPUT STRING:	كان
     IS_TRANS:	kAn
        INDEX:	P3W34
      OFFSETS:	192-195
       TOKENS:	P3W39-P3W39
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(kAn)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	kAn+(null)
        GLOSS:	be+he/it

 INPUT STRING:	متواجدًا
     IS_TRANS:	mtwAjdFA
        INDEX:	P3W35
      OFFSETS:	196-204
       TOKENS:	P3W40-P3W40
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[mutawAjid_1]
   UNSPLITVOC:	(mutawAjidAF)
          POS:	ADJ+CASE_INDEF_ACC
          VOC:	mutawAjid+AF
        GLOSS:	present+[acc.indef.]

 INPUT STRING:	فجر
     IS_TRANS:	fjr
        INDEX:	P3W36
      OFFSETS:	205-208
       TOKENS:	P3W41-P3W41
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fajor_1]
   UNSPLITVOC:	(fajor)
          POS:	NOUN
          VOC:	fajor
        GLOSS:	dawn

 INPUT STRING:	أمس
     IS_TRANS:	>ms
        INDEX:	P3W37
      OFFSETS:	209-212
       TOKENS:	P3W42-P3W42
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>amos_1]
   UNSPLITVOC:	(>amos)
          POS:	NOUN
          VOC:	>amos
        GLOSS:	yesterday

 INPUT STRING:	بصحبتهم
     IS_TRANS:	bSHbthm
        INDEX:	P3W38
      OFFSETS:	213-220
       TOKENS:	P3W43-P3W45
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[SuHbap_1]
   UNSPLITVOC:	(biSuHbithum)
          POS:	PREP+NOUN+NSUFF_FEM_SG+POSS_PRON_3P
          VOC:	bi+SuHb+it+hum
        GLOSS:	with+company+[fem.sg.]+their

 INPUT STRING:	لمناقشة
     IS_TRANS:	lmnAq$p
        INDEX:	P3W39
      OFFSETS:	221-228
       TOKENS:	P3W46-P3W47
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[munAqo$ap_1]
   UNSPLITVOC:	(limunAqo$ap)
          POS:	PREP+NOUN+NSUFF_FEM_SG
          VOC:	li+munAqo$+ap
        GLOSS:	for/to+discussion+[fem.sg.]

 INPUT STRING:	تنظيم
     IS_TRANS:	tnZym
        INDEX:	P3W40
      OFFSETS:	229-234
       TOKENS:	P3W48-P3W48
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tanoZiym_1]
   UNSPLITVOC:	(tanoZiym)
          POS:	NOUN
          VOC:	tanoZiym
        GLOSS:	organization/network

 INPUT STRING:	المسيرات
     IS_TRANS:	AlmsyrAt
        INDEX:	P3W41
      OFFSETS:	235-243
       TOKENS:	P3W49-P3W49
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[masiyrap_1]
   UNSPLITVOC:	(AlmasiyrAt)
          POS:	DET+NOUN+NSUFF_FEM_PL
          VOC:	Al+masiyr+At
        GLOSS:	the+marches/parades+[fem.pl.]

 INPUT STRING:	التي
     IS_TRANS:	Alty
        INDEX:	P3W42
      OFFSETS:	244-248
       TOKENS:	P3W50-P3W50
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ail~atiy_1]
   UNSPLITVOC:	(Al~atiy)
          POS:	REL_PRON
          VOC:	Al~atiy
        GLOSS:	which

 INPUT STRING:	ستتوجه
     IS_TRANS:	sttwjh
        INDEX:	P3W43
      OFFSETS:	249-255
       TOKENS:	P3W51-P3W52
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[tawaj~ah_1]
   UNSPLITVOC:	(satatawaj~ah)
          POS:	FUT_PART+IV3FS+IV
          VOC:	sa+ta+tawaj~ah
        GLOSS:	will+she/it+go

 INPUT STRING:	غدا
     IS_TRANS:	gdA
        INDEX:	P3W44
      OFFSETS:	256-259
       TOKENS:	P3W53-P3W53
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[gad_1]
   UNSPLITVOC:	(gadAF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	gad+AF
        GLOSS:	tomorrow+[acc.indef.]

 INPUT STRING:	الاثنين
     IS_TRANS:	AlAvnyn
        INDEX:	P3W45
      OFFSETS:	260-267
       TOKENS:	P3W54-P3W54
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<ivoniyn_1]
   UNSPLITVOC:	(Al<ivoniyn)
          POS:	DET+NOUN
          VOC:	Al+<ivoniyn
        GLOSS:	the+Monday

 INPUT STRING:	للتضامن
     IS_TRANS:	lltDAmn
        INDEX:	P3W46
      OFFSETS:	268-275
       TOKENS:	P3W55-P3W56
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[taDAmun_1]
   UNSPLITVOC:	(lilt~aDAmun)
          POS:	PREP+DET+NOUN
          VOC:	li+Al+taDAmun
        GLOSS:	for/to+the+solidarity/cooperation

 INPUT STRING:	مع
     IS_TRANS:	mE
        INDEX:	P3W47
      OFFSETS:	276-278
       TOKENS:	P3W57-P3W57
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maEa_1]
   UNSPLITVOC:	(maE)
          POS:	NOUN
          VOC:	maEa
        GLOSS:	with

 INPUT STRING:	مطالب
     IS_TRANS:	mTAlb
        INDEX:	P3W48
      OFFSETS:	279-284
       TOKENS:	P3W58-P3W58
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[maTolab_1]
   UNSPLITVOC:	(maTAlib)
          POS:	NOUN
          VOC:	maTAlib
        GLOSS:	demands/desiderata

 INPUT STRING:	القضاة
     IS_TRANS:	AlqDAp
        INDEX:	P3W49
      OFFSETS:	285-291
       TOKENS:	P3W59-P3W59
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[qADiy_1]
   UNSPLITVOC:	(AlquDAp)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+quDA+ap
        GLOSS:	the+judges/magistrates+[fem.sg.]

 INPUT STRING:	المعتصمون
     IS_TRANS:	AlmEtSmwn
        INDEX:	P3W50
      OFFSETS:	292-301
       TOKENS:	P3W60-P3W60
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[muEotaSim_2]
   UNSPLITVOC:	(AlmuEotaSimuwna)
          POS:	DET+NOUN+NSUFF_MASC_PL_NOM
          VOC:	Al+muEotaSim+uwna
        GLOSS:	the+seeking refuge/resorting to+[masc.pl.]

 INPUT STRING:	،
     IS_TRANS:	,
        INDEX:	P3W51
      OFFSETS:	301-302
       TOKENS:	P3W61-P3W61
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	,

 INPUT STRING:	بالإضافة
     IS_TRANS:	bAl<DAfp
        INDEX:	P3W52
      OFFSETS:	303-311
       TOKENS:	P3W62-P3W63
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AiDAfap_1]
   UNSPLITVOC:	(biAlAiDAfap)
          POS:	PREP+DET+NOUN+NSUFF_FEM_SG
          VOC:	bi+Al+AiDAf+ap
        GLOSS:	with/by+the+addition/appending+[fem.sg.]

 INPUT STRING:	إلي
     IS_TRANS:	<ly
        INDEX:	P3W53
      OFFSETS:	312-315
       TOKENS:	P3W64-P3W64
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AilaY_1]
   UNSPLITVOC:	(AilaY)
          POS:	PREP
          VOC:	AilaY
        GLOSS:	to/towards

 INPUT STRING:	مشاركة
     IS_TRANS:	m$Arkp
        INDEX:	P3W54
      OFFSETS:	316-322
       TOKENS:	P3W65-P3W65
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mu$Arokap_1]
   UNSPLITVOC:	(mu$Arokap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	mu$Arok+ap
        GLOSS:	participation/association+[fem.sg.]

 INPUT STRING:	القضاة
     IS_TRANS:	AlqDAp
        INDEX:	P3W55
      OFFSETS:	323-329
       TOKENS:	P3W66-P3W66
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[qADiy_1]
   UNSPLITVOC:	(AlquDAp)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+quDA+ap
        GLOSS:	the+judges/magistrates+[fem.sg.]

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P3W56
      OFFSETS:	330-332
       TOKENS:	P3W67-P3W67
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	تظاهرات
     IS_TRANS:	tZAhrAt
        INDEX:	P3W57
      OFFSETS:	333-340
       TOKENS:	P3W68-P3W68
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[taZAhur_1]
   UNSPLITVOC:	(taZAhurAt)
          POS:	NOUN+NSUFF_FEM_PL
          VOC:	taZAhur+At
        GLOSS:	demonstration/exhibition/simulation+[fem.pl.]

 INPUT STRING:	يوم
     IS_TRANS:	ywm
        INDEX:	P3W58
      OFFSETS:	341-344
       TOKENS:	P3W69-P3W69
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yawm_1]
   UNSPLITVOC:	(yawm)
          POS:	NOUN
          VOC:	yawm
        GLOSS:	today/some day/ever/days

 INPUT STRING:	25
     IS_TRANS:	25
        INDEX:	P3W59
      OFFSETS:	345-347
       TOKENS:	P3W70-P3W70
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(25)
          POS:	NOUN_NUM
          VOC:	25
        GLOSS:	25

 INPUT STRING:	يناير
     IS_TRANS:	ynAyr
        INDEX:	P3W60
      OFFSETS:	348-353
       TOKENS:	P3W71-P3W71
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yanAyir_1]
   UNSPLITVOC:	(yanAyir)
          POS:	NOUN
          VOC:	yanAyir
        GLOSS:	January

 INPUT STRING:	وتحديد
     IS_TRANS:	wtHdyd
        INDEX:	P3W61
      OFFSETS:	354-360
       TOKENS:	P3W72-P3W73
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[taHodiyd_1]
   UNSPLITVOC:	(witaHodiyd)
          POS:	CONJ+NOUN
          VOC:	wi+taHodiyd
        GLOSS:	and+delimitation/specification/definition/specifically

 INPUT STRING:	أماكن
     IS_TRANS:	>mAkn
        INDEX:	P3W62
      OFFSETS:	361-366
       TOKENS:	P3W74-P3W74
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[makAn_1]
   UNSPLITVOC:	(AmAkin)
          POS:	NOUN
          VOC:	AmAkin
        GLOSS:	place/location/position

 INPUT STRING:	التجمع
     IS_TRANS:	AltjmE
        INDEX:	P3W63
      OFFSETS:	367-373
       TOKENS:	P3W75-P3W75
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tajam~uE_1]
   UNSPLITVOC:	(Alt~ajam~uE)
          POS:	DET+NOUN
          VOC:	Al+tajam~uE
        GLOSS:	the+gathering/assembly

 INPUT STRING:	والانطلاق
     IS_TRANS:	wAlAnTlAq
        INDEX:	P3W64
      OFFSETS:	374-383
       TOKENS:	P3W76-P3W77
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AinoTilAq_1]
   UNSPLITVOC:	(wiAlAinoTilAq)
          POS:	CONJ+DET+NOUN
          VOC:	wi+Al+AinoTilAq
        GLOSS:	and+the+departure

 INPUT STRING:	وصولاً
     IS_TRANS:	wSwlAF
        INDEX:	P3W65
      OFFSETS:	384-390
       TOKENS:	P3W78-P3W78
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[wuSuwl_1]
   UNSPLITVOC:	(wuSuwlAF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	wuSuwl+AF
        GLOSS:	arriving+[acc.indef.]

 INPUT STRING:	إلي
     IS_TRANS:	<ly
        INDEX:	P3W66
      OFFSETS:	391-394
       TOKENS:	P3W79-P3W79
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AilaY_1]
   UNSPLITVOC:	(AilaY)
          POS:	PREP
          VOC:	AilaY
        GLOSS:	to/towards

 INPUT STRING:	ميدان
     IS_TRANS:	mydAn
        INDEX:	P3W67
      OFFSETS:	395-400
       TOKENS:	P3W80-P3W80
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[miydAn_1]
   UNSPLITVOC:	(miydAn)
          POS:	NOUN
          VOC:	miydAn
        GLOSS:	square

 INPUT STRING:	التحرير
     IS_TRANS:	AltHryr
        INDEX:	P3W68
      OFFSETS:	401-408
       TOKENS:	P3W81-P3W81
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[taHoriyr_1]
   UNSPLITVOC:	(Alt~aHoriyr)
          POS:	DET+NOUN
          VOC:	Al+taHoriyr
        GLOSS:	the+liberation/liberating/editorship/editing

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P3W69
      OFFSETS:	408-409
       TOKENS:	P3W82-P3W82
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	وأكد
     IS_TRANS:	w>kd
        INDEX:	P4W1
      OFFSETS:	0-4
       TOKENS:	P4W1-P4W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>ak~id_1]
   UNSPLITVOC:	(wi>ak~id)
          POS:	CONJ+PV+PVSUFF_SUBJ:3MS
          VOC:	wi+>ak~id+(null)
        GLOSS:	and+stress+he/it

 INPUT STRING:	الجرحي
     IS_TRANS:	AljrHy
        INDEX:	P4W2
      OFFSETS:	5-11
       TOKENS:	P4W3-P4W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jariyH_1]
   UNSPLITVOC:	(AljaroHaY)
          POS:	DET+NOUN
          VOC:	Al+jaroHaY
        GLOSS:	the+wounded/injured

 INPUT STRING:	أن
     IS_TRANS:	>n
        INDEX:	P4W3
      OFFSETS:	12-14
       TOKENS:	P4W4-P4W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~)
          POS:	SUB_CONJ
          VOC:	<in~
        GLOSS:	that

 INPUT STRING:	هذا
     IS_TRANS:	h*A
        INDEX:	P4W4
      OFFSETS:	15-18
       TOKENS:	P4W5-P4W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ha*A_1]
   UNSPLITVOC:	(ha*A)
          POS:	DEM_PRON_MS
          VOC:	ha*A
        GLOSS:	this

 INPUT STRING:	الحادث
     IS_TRANS:	AlHAdv
        INDEX:	P4W5
      OFFSETS:	19-25
       TOKENS:	P4W6-P4W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAdiv_1]
   UNSPLITVOC:	(AlHAdiv)
          POS:	DET+NOUN
          VOC:	Al+HAdiv
        GLOSS:	the+accident/mishap/accidents/mishaps

 INPUT STRING:	لن
     IS_TRANS:	ln
        INDEX:	P4W6
      OFFSETS:	26-28
       TOKENS:	P4W7-P4W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[lan_1]
   UNSPLITVOC:	(lan)
          POS:	NEG_PART
          VOC:	lan
        GLOSS:	not

 INPUT STRING:	يخيفهم
     IS_TRANS:	yxyfhm
        INDEX:	P4W7
      OFFSETS:	29-35
       TOKENS:	P4W8-P4W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[xaw~if_1]
   UNSPLITVOC:	(yuxiyfhum)
          POS:	IV3MS+IV+IVSUFF_DO:3P
          VOC:	yu+xiyf+hum
        GLOSS:	he/it+make them afraid+them

 INPUT STRING:	بل
     IS_TRANS:	bl
        INDEX:	P5W1
      OFFSETS:	0-2
       TOKENS:	P5W1-P5W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bal_1]
   UNSPLITVOC:	(bal)
          POS:	CONJ
          VOC:	bal
        GLOSS:	Rather, even, but, yet, however

 INPUT STRING:	سيزيدهم
     IS_TRANS:	syzydhm
        INDEX:	P5W2
      OFFSETS:	3-10
       TOKENS:	P5W2-P5W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[zAd_1]
   UNSPLITVOC:	(sayaziydhum)
          POS:	FUT_PART+IV3MS+IV+IVSUFF_DO:3P
          VOC:	sa+ya+ziyd+hum
        GLOSS:	will+he/it+add+they

 INPUT STRING:	أصرارًا
     IS_TRANS:	>SrArFA
        INDEX:	P5W3
      OFFSETS:	11-18
       TOKENS:	P5W5-P5W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>iSrAr_1]
   UNSPLITVOC:	(>aSrArAF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	>aSrAr+AF
        GLOSS:	determination+[acc.indef.]

 INPUT STRING:	وقوة
     IS_TRANS:	wqwp
        INDEX:	P5W4
      OFFSETS:	19-23
       TOKENS:	P5W6-P5W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[quw~ap_1]
   UNSPLITVOC:	(wiquw~ap)
          POS:	CONJ+NOUN+NSUFF_FEM_SG
