 INPUT STRING:	عزة
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xAD_1]
   UNSPLITVOC:	(tixuwD)
          POS:	IV3FS+IV
          VOC:	ti+xuwD
        GLOSS:	it/they/she+wage/embark/carry out

 INPUT STRING:	التجربه
     IS_TRANS:	Altjrbh
        INDEX:	P26W10
      OFFSETS:	48-55
       TOKENS:	P26W13-P26W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tajoribap_1]
   UNSPLITVOC:	(Alt~ajoribap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+tajorib+ap
        GLOSS:	the+experience/experiment/experiences/experiments+[fem.sg.]

 INPUT STRING:	وتتعلم
     IS_TRANS:	wttElm
        INDEX:	P26W11
      OFFSETS:	56-62
       TOKENS:	P26W14-P26W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AitoEal~im_1]
   UNSPLITVOC:	(wititoEal~im)
          POS:	CONJ+IV3FS+IV
          VOC:	wi+ti+toEal~im
        GLOSS:	and+it/they/she+study/learn

 INPUT STRING:	وعلي
     IS_TRANS:	wEly
        INDEX:	P27W1
      OFFSETS:	0-4
       TOKENS:	P27W1-P27W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(wiEalaY)
          POS:	PART+PREP
          VOC:	wi+EalaY
        GLOSS:	[part.]+on/above

 INPUT STRING:	فكره
     IS_TRANS:	fkrh
        INDEX:	P27W2
      OFFSETS:	5-9
       TOKENS:	P27W3-P27W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fikorap_1]
   UNSPLITVOC:	(fikorap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	fikor+ap
        GLOSS:	idea/notion/concept+[fem.sg.]

 INPUT STRING:	اللي
     IS_TRANS:	Ally
        INDEX:	P27W3
      OFFSETS:	10-14
       TOKENS:	P27W4-P27W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	who/which

 INPUT STRING:	عمل
     IS_TRANS:	Eml
        INDEX:	P27W4
      OFFSETS:	15-18
       TOKENS:	P27W5-P27W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eamal_1]
   UNSPLITVOC:	(Eamal)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	Eamal+(null)
        GLOSS:	work/act/function+he/it

 INPUT STRING:	المرأه
     IS_TRANS:	Almr>h
        INDEX:	P27W5
      OFFSETS:	19-25
       TOKENS:	P27W6-P27W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maro>ap_1]
   UNSPLITVOC:	(Almaro>ap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+maro>+ap
        GLOSS:	the+woman+[fem.sg.]

 INPUT STRING:	خصم
     IS_TRANS:	xSm
        INDEX:	P27W6
      OFFSETS:	26-29
       TOKENS:	P27W7-P27W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xiSom_1]
   UNSPLITVOC:	(xiSom)
          POS:	NOUN
          VOC:	xiSom
        GLOSS:	adversary

 INPUT STRING:	للرجل
     IS_TRANS:	llrjl
        INDEX:	P27W7
      OFFSETS:	30-35
       TOKENS:	P27W8-P27W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rijol_1]
   UNSPLITVOC:	(lilr~ijol)
          POS:	PREP+DET+NOUN
          VOC:	li+Al+rijol
        GLOSS:	to/for+the+man

 INPUT STRING:	وعدو
     IS_TRANS:	wEdw
        INDEX:	P27W8
      OFFSETS:	36-40
       TOKENS:	P27W10-P27W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eadiw~_1]
   UNSPLITVOC:	(wiEadiw~)
          POS:	CONJ+NOUN
          VOC:	wi+Eadiw~
        GLOSS:	and+enemy

 INPUT STRING:	له
     IS_TRANS:	lh
        INDEX:	P27W9
      OFFSETS:	41-43
       TOKENS:	P27W12-P27W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[li_1]
   UNSPLITVOC:	(luh)
          POS:	PREP+PRON_3MS
          VOC:	li+uh
        GLOSS:	for/to+it/he

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P27W10
      OFFSETS:	44-46
       TOKENS:	P27W14-P27W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	المجتمع
     IS_TRANS:	AlmjtmE
        INDEX:	P27W11
      OFFSETS:	47-54
       TOKENS:	P27W15-P27W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mijotimiE_1]
   UNSPLITVOC:	(AlmijotimiE)
          POS:	DET+NOUN
          VOC:	Al+mijotimiE
        GLOSS:	the+society

 INPUT STRING:	هوا
     IS_TRANS:	hwA
        INDEX:	P27W12
      OFFSETS:	55-58
       TOKENS:	P27W16-P27W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[huw~a_1]
   UNSPLITVOC:	(huw~a)
          POS:	PRON_3MS
          VOC:	huw~a
        GLOSS:	it/he

 INPUT STRING:	النظام
     IS_TRANS:	AlnZAm
        INDEX:	P27W13
      OFFSETS:	59-65
       TOKENS:	P27W17-P27W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[niZAm_1]
   UNSPLITVOC:	(Aln~iZAm)
          POS:	DET+NOUN
          VOC:	Al+niZAm
        GLOSS:	the+methodology/system/order/methodologies/systems

 INPUT STRING:	اليهودي
     IS_TRANS:	Alyhwdy
        INDEX:	P27W14
      OFFSETS:	66-73
       TOKENS:	P27W18-P27W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yahuwdiy_1]
   UNSPLITVOC:	(Alyahuwdiy)
          POS:	DET+ADJ
          VOC:	Al+yahuwdiy
        GLOSS:	the+Jewish

 INPUT STRING:	اللي
     IS_TRANS:	Ally
        INDEX:	P27W15
      OFFSETS:	74-78
       TOKENS:	P27W19-P27W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	who/which

 INPUT STRING:	كان
     IS_TRANS:	kAn
        INDEX:	P27W16
      OFFSETS:	79-82
       TOKENS:	P27W20-P27W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(kAn)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	kAn+(null)
        GLOSS:	be+he/it

 INPUT STRING:	بيحكم
     IS_TRANS:	byHkm
        INDEX:	P27W17
      OFFSETS:	83-88
       TOKENS:	P27W21-P27W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hakam_1]
   UNSPLITVOC:	(biyuHokum)
          POS:	PROG_PART+IV3MS+IV
          VOC:	bi+yu+Hokum
        GLOSS:	[present-tense]+he/it+rule/govern

 INPUT STRING:	مصر
     IS_TRANS:	mSr
        INDEX:	P27W18
      OFFSETS:	89-92
       TOKENS:	P27W23-P27W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maSor_1]
   UNSPLITVOC:	(maSor)
          POS:	NOUN_PROP
          VOC:	maSor
        GLOSS:	Egypt

 INPUT STRING:	وكلكم
     IS_TRANS:	wklkm
        INDEX:	P28W1
      OFFSETS:	0-5
       TOKENS:	P28W1-P28W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(wikul~ukum)
          POS:	CONJ+NOUN_QUANT+POSS_PRON_2P
          VOC:	wi+kul~+kum
        GLOSS:	and+all, entire, every, whole+your

 INPUT STRING:	عارفين
     IS_TRANS:	EArfyn
        INDEX:	P28W2
      OFFSETS:	6-12
       TOKENS:	P28W4-P28W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EArif_1]
   UNSPLITVOC:	(EArofiyn)
          POS:	ADJ.VN+NSUFF_MASC_PL
          VOC:	EArof+iyn
        GLOSS:	knowing/having knowledge of+[pl.]

 INPUT STRING:	انو
     IS_TRANS:	Anw
        INDEX:	P28W3
      OFFSETS:	13-16
       TOKENS:	P28W5-P28W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~uh)
          POS:	SUB_CONJ+PRON_3MS
          VOC:	<in~+uh
        GLOSS:	that+it/he

 INPUT STRING:	البلد
     IS_TRANS:	Albld
        INDEX:	P28W4
      OFFSETS:	17-22
       TOKENS:	P28W7-P28W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[balad_1]
   UNSPLITVOC:	(Albalad)
          POS:	DET+NOUN
          VOC:	Al+balad
        GLOSS:	the+country/country/countries

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P28W5
      OFFSETS:	23-25
       TOKENS:	P28W8-P28W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	الالف
     IS_TRANS:	AlAlf
        INDEX:	P28W6
      OFFSETS:	26-31
       TOKENS:	P28W9-P28W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>alif_1]
   UNSPLITVOC:	(Al>alif)
          POS:	DET+NOUN
          VOC:	Al+>alif
        GLOSS:	the+alif

 INPUT STRING:	للياء
     IS_TRANS:	llyA'
        INDEX:	P28W7
      OFFSETS:	32-37
       TOKENS:	P28W10-P28W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yA'_1]
   UNSPLITVOC:	(lilyA')
          POS:	PREP+DET+NOUN
          VOC:	li+Al+yA'
        GLOSS:	for/to+the+ya' (Arabic letter)

 INPUT STRING:	الرجاله
     IS_TRANS:	AlrjAlh
        INDEX:	P28W8
      OFFSETS:	38-45
       TOKENS:	P28W12-P28W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rAjil_1]
   UNSPLITVOC:	(Alr~ij~Alap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+rij~Al+ap
        GLOSS:	the+man+[fem.sg.]

 INPUT STRING:	مسيطرين
     IS_TRANS:	msyTryn
        INDEX:	P28W9
      OFFSETS:	46-53
       TOKENS:	P28W13-P28W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[misayTar_1]
   UNSPLITVOC:	(misayTariyn)
          POS:	ADJ.VN+NSUFF_MASC_PL
          VOC:	misayTar+iyn
        GLOSS:	ruling/controlling+[pl.]

 INPUT STRING:	عليها
     IS_TRANS:	ElyhA
        INDEX:	P28W10
      OFFSETS:	54-59
       TOKENS:	P28W14-P28W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalayhA)
          POS:	PREP+PRON_3FS
          VOC:	EalaY+hA
        GLOSS:	on/above+it/them/her

 INPUT STRING:	فيدوبك
     IS_TRANS:	fydwbk
        INDEX:	P29W1
      OFFSETS:	0-6
       TOKENS:	P29W1-P29W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[duwbak_1]
   UNSPLITVOC:	(fayaduwbak)
          POS:	RC_PART+VOC_PART+NOUN
          VOC:	fa+ya+duwbak
        GLOSS:	so then+oh+just

 INPUT STRING:	جت
     IS_TRANS:	jt
        INDEX:	P29W2
      OFFSETS:	7-9
       TOKENS:	P29W4-P29W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jih_1]
   UNSPLITVOC:	(jat)
          POS:	PV+PVSUFF_SUBJ:3FS
          VOC:	ja+t
        GLOSS:	come+it/they/she

 INPUT STRING:	الفرصه
     IS_TRANS:	AlfrSh
        INDEX:	P29W3
      OFFSETS:	10-16
       TOKENS:	P29W5-P29W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[furoSap_1]
   UNSPLITVOC:	(AlfuroSap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+furoS+ap
        GLOSS:	the+opportunity/chance/opportunities/chances+[fem.sg.]

 INPUT STRING:	والنهرده
     IS_TRANS:	wAlnhrdh
        INDEX:	P30W1
      OFFSETS:	0-8
       TOKENS:	P30W1-P30W1
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(wAlnhrdh)
          POS:	NO_FUNC
          VOC:	wAlnhrdh
        GLOSS:	nogloss

 INPUT STRING:	احنا
     IS_TRANS:	AHnA
        INDEX:	P30W2
      OFFSETS:	9-13
       TOKENS:	P30W2-P30W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AiHonA_1]
   UNSPLITVOC:	(AiHonA)
          POS:	PRON_1P
          VOC:	AiHonA
        GLOSS:	we

 INPUT STRING:	بنشرب
     IS_TRANS:	bn$rb
        INDEX:	P30W3
      OFFSETS:	14-19
       TOKENS:	P30W3-P30W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$irib_1]
   UNSPLITVOC:	(bini$orab)
          POS:	PROG_PART+IV1P+IV
          VOC:	bi+ni+$orab
        GLOSS:	[present-tense]+we+drink

 INPUT STRING:	ذنوب
     IS_TRANS:	*nwb
        INDEX:	P30W4
      OFFSETS:	20-24
       TOKENS:	P30W5-P30W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[*anob_1]
   UNSPLITVOC:	(*unuwb)
          POS:	NOUN
          VOC:	*unuwb
        GLOSS:	misdeeds/offenses/faults

 INPUT STRING:	سوزان
     IS_TRANS:	swzAn
        INDEX:	P30W5
      OFFSETS:	25-30
       TOKENS:	P30W6-P30W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[suwzAn_1]
   UNSPLITVOC:	(suwzAn)
          POS:	NOUN_PROP
          VOC:	suwzAn
        GLOSS:	Suzan

 INPUT STRING:	مبارك
     IS_TRANS:	mbArk
        INDEX:	P30W6
      OFFSETS:	31-36
       TOKENS:	P30W7-P30W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mubArak_1]
   UNSPLITVOC:	(mubArak)
          POS:	NOUN_PROP
          VOC:	mubArak
        GLOSS:	Mubarak

 INPUT STRING:	وشلتها
     IS_TRANS:	w$lthA
        INDEX:	P30W7
      OFFSETS:	37-43
       TOKENS:	P30W8-P30W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[$il~ap_1]
   UNSPLITVOC:	(wi$il~aphA)
          POS:	CONJ+NOUN+NSUFF_FEM_SG+POSS_PRON_3FS
          VOC:	wi+$il~+ap+hA
        GLOSS:	and+group/clique+[fem.sg.]+its/their/her

 INPUT STRING:	المعقده
     IS_TRANS:	AlmEqdh
        INDEX:	P30W8
      OFFSETS:	44-51
       TOKENS:	P30W11-P30W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[AlmuEaq~ad_1]
   UNSPLITVOC:	(AlmuEaq~adap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+muEaq~ad+ap
        GLOSS:	the+complicated/intricate+[fem.sg.]

 INPUT STRING:	نفسيا
     IS_TRANS:	nfsyA
        INDEX:	P30W9
      OFFSETS:	52-57
       TOKENS:	P30W12-P30W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nafosiy~_1]
   UNSPLITVOC:	(nafosiy~AF)
          POS:	ADJ+CASE_INDEF_ACC
          VOC:	nafosiy~+AF
        GLOSS:	mental/spiritual/psychological+[acc.indef.]

 INPUT STRING:	مع
     IS_TRANS:	mE
        INDEX:	P31W1
      OFFSETS:	0-2
       TOKENS:	P31W1-P31W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maEa_1]
   UNSPLITVOC:	(maEa)
          POS:	NOUN
          VOC:	maEa
        GLOSS:	something with

 INPUT STRING:	اننا
     IS_TRANS:	AnnA
        INDEX:	P31W2
      OFFSETS:	3-7
       TOKENS:	P31W2-P31W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~inA)
          POS:	SUB_CONJ+PRON_1P
          VOC:	<in~+nA
        GLOSS:	that+we

 INPUT STRING:	لا
     IS_TRANS:	lA
        INDEX:	P31W3
      OFFSETS:	8-10
       TOKENS:	P31W4-P31W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lA_1]
   UNSPLITVOC:	(lA)
          POS:	PSEUDO_VERB
          VOC:	lA
        GLOSS:	no

 INPUT STRING:	ذنب
     IS_TRANS:	*nb
        INDEX:	P31W4
      OFFSETS:	11-14
       TOKENS:	P31W5-P31W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[*anob_1]
   UNSPLITVOC:	(*anob)
          POS:	NOUN
          VOC:	*anob
        GLOSS:	fault/offense/misdeed

 INPUT STRING:	لنا
     IS_TRANS:	lnA
        INDEX:	P31W5
      OFFSETS:	15-18
       TOKENS:	P31W6-P31W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[li_1]
   UNSPLITVOC:	(linA)
          POS:	PREP+PRON_1P
          VOC:	li+nA
        GLOSS:	to/for+we

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P31W6
      OFFSETS:	19-21
       TOKENS:	P31W8-P31W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	اللي
     IS_TRANS:	Ally
        INDEX:	P31W7
      OFFSETS:	22-26
       TOKENS:	P31W9-P31W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	who/which

 INPUT STRING:	حصل
     IS_TRANS:	HSl
        INDEX:	P31W8
      OFFSETS:	27-30
       TOKENS:	P31W10-P31W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HaSal_1]
   UNSPLITVOC:	(HaSal)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	HaSal+(null)
        GLOSS:	occur/happen/take place+he/it

 INPUT STRING:	ومن
     IS_TRANS:	wmn
        INDEX:	P32W1
      OFFSETS:	0-3
       TOKENS:	P32W1-P32W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(wimin)
          POS:	CONJ+PREP
          VOC:	wi+min
        GLOSS:	and+from

 INPUT STRING:	واحده
     IS_TRANS:	wAHdh
        INDEX:	P32W2
      OFFSETS:	4-9
       TOKENS:	P32W3-P32W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wAHodap_1]
   UNSPLITVOC:	(wAHodap)
          POS:	NOUN_NUM+NSUFF_FEM_SG
          VOC:	wAHod+ap
        GLOSS:	one+[fem.sg.]

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P32W3
      OFFSETS:	10-12
       TOKENS:	P32W4-P32W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	سن
     IS_TRANS:	sn
        INDEX:	P32W4
      OFFSETS:	13-15
       TOKENS:	P32W5-P32W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sin~_1]
   UNSPLITVOC:	(sin~)
          POS:	NOUN
          VOC:	sin~
        GLOSS:	age

 INPUT STRING:	امهاتكم
     IS_TRANS:	AmhAtkm
        INDEX:	P32W5
      OFFSETS:	16-23
       TOKENS:	P32W6-P32W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>um~_1]
   UNSPLITVOC:	(>um~ahAtkum)
          POS:	NOUN+NSUFF_FEM_PL+POSS_PRON_2P
          VOC:	>um~ah+At+kum
        GLOSS:	mothers+[fem.pl.]+your

 INPUT STRING:	او
     IS_TRANS:	Aw
        INDEX:	P32W6
      OFFSETS:	24-26
       TOKENS:	P32W8-P32W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aw_1]
   UNSPLITVOC:	(>aw)
          POS:	CONJ
          VOC:	>aw
        GLOSS:	or

 INPUT STRING:	جداتكم
     IS_TRANS:	jdAtkm
        INDEX:	P32W7
      OFFSETS:	27-33
       TOKENS:	P32W9-P32W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jid~_1]
   UNSPLITVOC:	(jid~Atkum)
          POS:	NOUN+NSUFF_FEM_PL+POSS_PRON_2P
          VOC:	jid~+At+kum
        GLOSS:	grandmother+[fem.pl.]+your

 INPUT STRING:	خدو
     IS_TRANS:	xdw
        INDEX:	P32W8
      OFFSETS:	34-37
       TOKENS:	P32W11-P32W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aaxad_1]
   UNSPLITVOC:	(xuduwA)
          POS:	CV+CVSUFF_SUBJ:2P
          VOC:	xud+uwA
        GLOSS:	take+you

 INPUT STRING:	كل
     IS_TRANS:	kl
        INDEX:	P32W9
      OFFSETS:	38-40
       TOKENS:	P32W12-P32W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(kul~)
          POS:	NOUN_QUANT
          VOC:	kul~
        GLOSS:	all, entire, every, whole

 INPUT STRING:	حاجه
     IS_TRANS:	HAjh
        INDEX:	P32W10
      OFFSETS:	41-45
       TOKENS:	P32W13-P32W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAjap_1]
   UNSPLITVOC:	(HAjap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	HAj+ap
        GLOSS:	thing/belongings+[fem.sg.]

 INPUT STRING:	بالسياسه
     IS_TRANS:	bAlsyAsh
        INDEX:	P32W11
      OFFSETS:	46-54
       TOKENS:	P32W14-P32W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[siyAsap_1]
   UNSPLITVOC:	(biAls~iyAsap)
          POS:	PREP+DET+NOUN+NSUFF_FEM_SG
          VOC:	bi+Al+siyAs+ap
        GLOSS:	with/by+the+policy/policies+[fem.sg.]

 INPUT STRING:	واالاقناع
     IS_TRANS:	wAAlAqnAE
        INDEX:	P32W12
      OFFSETS:	55-64
       TOKENS:	P32W16-P32W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[AiqnAE_1]
   UNSPLITVOC:	(wiAlAiqnAE)
          POS:	CONJ+DET+NOUN
          VOC:	wi+Al+AiqnAE
        GLOSS:	and+the+persuasion/convincing

 INPUT STRING:	لانو
     IS_TRANS:	lAnw
        INDEX:	P33W1
      OFFSETS:	0-4
       TOKENS:	P33W1-P33W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(li<in~uh)
          POS:	PREP+SUB_CONJ+PRON_3MS
          VOC:	li+<in~+uh
        GLOSS:	to/for+that+he/it

