 INPUT STRING:	تداول
        GLOSS:	the+feelings/emotions/senses

 INPUT STRING:	والرحمة
     IS_TRANS:	wAlrHmp
        INDEX:	P21W9
      OFFSETS:	38-45
       TOKENS:	P21W10-P21W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[raHomap_1]
   UNSPLITVOC:	(wiAlraHomap)
          POS:	CONJ+DET+NOUN+NSUFF_FEM_SG
          VOC:	wi+Al+raHom+ap
        GLOSS:	and+the+compassion/mercy+[fem.sg.]

 INPUT STRING:	والرفق
     IS_TRANS:	wAlrfq
        INDEX:	P21W10
      OFFSETS:	46-52
       TOKENS:	P21W12-P21W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rifoq_1]
   UNSPLITVOC:	(wiAlrifoq)
          POS:	CONJ+DET+NOUN
          VOC:	wi+Al+rifoq
        GLOSS:	and+the+friendliness/gentleness

 INPUT STRING:	اتشالوا
     IS_TRANS:	At$AlwA
        INDEX:	P21W11
      OFFSETS:	53-60
       TOKENS:	P21W14-P21W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aito$Al_1]
   UNSPLITVOC:	(Aito$AluwA)
          POS:	PV_PASS+PVSUFF_SUBJ:3P
          VOC:	Aito$Al+uwA
        GLOSS:	be removed+they

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P21W12
      OFFSETS:	61-63
       TOKENS:	P21W15-P21W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	قلوبهم
     IS_TRANS:	qlwbhm
        INDEX:	P21W13
      OFFSETS:	64-70
       TOKENS:	P21W16-P21W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qalob_1]
   UNSPLITVOC:	(quluwbhum)
          POS:	NOUN+POSS_PRON_3P
          VOC:	quluwb+hum
        GLOSS:	heart/center/essence+their

 INPUT STRING:	خالص
     IS_TRANS:	xAlS
        INDEX:	P21W14
      OFFSETS:	71-75
       TOKENS:	P21W18-P21W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xAliS_1]
   UNSPLITVOC:	(xAliS)
          POS:	NOUN
          VOC:	xAliS
        GLOSS:	never

 INPUT STRING:	والله
     IS_TRANS:	wAllh
        INDEX:	P22W1
      OFFSETS:	0-5
       TOKENS:	P22W1-P22W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(waAll~ah)
          POS:	PREP+NOUN_PROP
          VOC:	wa+All~ah
        GLOSS:	with+Allah/God

 INPUT STRING:	انا
     IS_TRANS:	AnA
        INDEX:	P22W2
      OFFSETS:	6-9
       TOKENS:	P22W3-P22W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(AnA)
          POS:	PRON_1S
          VOC:	AnA
        GLOSS:	i

 INPUT STRING:	زهقت
     IS_TRANS:	zhqt
        INDEX:	P22W3
      OFFSETS:	10-14
       TOKENS:	P22W4-P22W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[zahaq_1]
   UNSPLITVOC:	(zahaqt)
          POS:	PV+PVSUFF_SUBJ:1S
          VOC:	zahaq+t
        GLOSS:	die/be tired+I

 INPUT STRING:	وقرفت
     IS_TRANS:	wqrft
        INDEX:	P22W4
      OFFSETS:	15-20
       TOKENS:	P22W5-P22W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qirif_1]
   UNSPLITVOC:	(wiqirift)
          POS:	CONJ+PV+PVSUFF_SUBJ:1S
          VOC:	wi+qirif+t
        GLOSS:	and+loathe/detest+I [verb]

 INPUT STRING:	محدش
     IS_TRANS:	mHd$
        INDEX:	P23W1
      OFFSETS:	0-4
       TOKENS:	P23W1-P23W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Had~_1]
   UNSPLITVOC:	(mA_Had~i$)
          POS:	NEG_PART+NOUN+NEG_PART
          VOC:	mA+Had~+$
        GLOSS:	not+some one+not

 INPUT STRING:	عارف
     IS_TRANS:	EArf
        INDEX:	P23W2
      OFFSETS:	5-9
       TOKENS:	P23W4-P23W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EArif_1]
   UNSPLITVOC:	(EArif)
          POS:	ADJ.VN
          VOC:	EArif
        GLOSS:	knowing/having knowledge of

 INPUT STRING:	مين
     IS_TRANS:	myn
        INDEX:	P23W3
      OFFSETS:	10-13
       TOKENS:	P23W5-P23W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(miyn)
          POS:	REL_PRON
          VOC:	miyn
        GLOSS:	who

 INPUT STRING:	مع
     IS_TRANS:	mE
        INDEX:	P23W4
      OFFSETS:	14-16
       TOKENS:	P23W6-P23W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maEa_1]
   UNSPLITVOC:	(maEa)
          POS:	NOUN
          VOC:	maEa
        GLOSS:	something with

 INPUT STRING:	مين
     IS_TRANS:	myn
        INDEX:	P23W5
      OFFSETS:	17-20
       TOKENS:	P23W7-P23W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(miyn)
          POS:	REL_PRON
          VOC:	miyn
        GLOSS:	who

 INPUT STRING:	ومين
     IS_TRANS:	wmyn
        INDEX:	P23W6
      OFFSETS:	21-25
       TOKENS:	P23W8-P23W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(wimiyn)
          POS:	CONJ+REL_PRON
          VOC:	wi+miyn
        GLOSS:	and+who

 INPUT STRING:	ضدد
     IS_TRANS:	Ddd
        INDEX:	P23W7
      OFFSETS:	26-29
       TOKENS:	P23W10-P23W10
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(Ddd)
          POS:	TYPO
          VOC:	Ddd
        GLOSS:	nogloss

 INPUT STRING:	مين
     IS_TRANS:	myn
        INDEX:	P23W8
      OFFSETS:	30-33
       TOKENS:	P23W11-P23W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(miyn)
          POS:	REL_PRON
          VOC:	miyn
        GLOSS:	who

 INPUT STRING:	والبلد
     IS_TRANS:	wAlbld
        INDEX:	P23W9
      OFFSETS:	34-40
       TOKENS:	P23W12-P23W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[balad_1]
   UNSPLITVOC:	(wiAlbalad)
          POS:	CONJ+DET+NOUN
          VOC:	wi+Al+balad
        GLOSS:	and+the+country/country/countries

 INPUT STRING:	كلها
     IS_TRANS:	klhA
        INDEX:	P23W10
      OFFSETS:	41-45
       TOKENS:	P23W14-P23W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[kull_1]
   UNSPLITVOC:	(kul~ahA)
          POS:	NOUN_QUANT+POSS_PRON_3FS
          VOC:	kul~+hA
        GLOSS:	all/whole+its/their/her

 INPUT STRING:	بتخون
     IS_TRANS:	btxwn
        INDEX:	P23W11
      OFFSETS:	46-51
       TOKENS:	P23W16-P23W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[xaw~n_1]
   UNSPLITVOC:	(bitxaw~n)
          POS:	PROG_PART+IV3FS+IV
          VOC:	bi+t+xaw~n
        GLOSS:	[present-tense]+it/they/she+betray

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P23W12
      OFFSETS:	52-54
       TOKENS:	P23W18-P23W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	بعض
     IS_TRANS:	bED
        INDEX:	P23W13
      OFFSETS:	55-58
       TOKENS:	P23W19-P23W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baEoD_1]
   UNSPLITVOC:	(baEoD)
          POS:	NOUN_QUANT
          VOC:	baEoD
        GLOSS:	some, a few, little, part

 INPUT STRING:	المشكله
     IS_TRANS:	Alm$klh
        INDEX:	P24W1
      OFFSETS:	0-7
       TOKENS:	P24W1-P24W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mu$okilap_1]
   UNSPLITVOC:	(Almu$okilap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+mu$okil+ap
        GLOSS:	the+problem/issue+[fem.sg.]

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P24W2
      OFFSETS:	8-10
       TOKENS:	P24W2-P24W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	مين
     IS_TRANS:	myn
        INDEX:	P24W3
      OFFSETS:	11-14
       TOKENS:	P24W3-P24W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(miyn)
          POS:	REL_PRON
          VOC:	miyn
        GLOSS:	who

 INPUT STRING:	ضرب
     IS_TRANS:	Drb
        INDEX:	P24W4
      OFFSETS:	15-18
       TOKENS:	P24W4-P24W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Darab_1]
   UNSPLITVOC:	(Darab)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	Darab+(null)
        GLOSS:	strike/hit/be struck/be hit+he/it

 INPUT STRING:	مين
     IS_TRANS:	myn
        INDEX:	P24W5
      OFFSETS:	19-22
       TOKENS:	P24W5-P24W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(miyn)
          POS:	REL_PRON
          VOC:	miyn
        GLOSS:	who

 INPUT STRING:	المشكله
     IS_TRANS:	Alm$klh
        INDEX:	P24W6
      OFFSETS:	23-30
       TOKENS:	P24W6-P24W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mu$okilap_1]
   UNSPLITVOC:	(Almu$okilap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+mu$okil+ap
        GLOSS:	the+problem/issue+[fem.sg.]

 INPUT STRING:	اني
     IS_TRANS:	Any
        INDEX:	P24W7
      OFFSETS:	31-34
       TOKENS:	P24W7-P24W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>an~_1]
   UNSPLITVOC:	(>an~iy)
          POS:	SUB_CONJ+PRON_1S
          VOC:	>an~+iy
        GLOSS:	that+I

 INPUT STRING:	احنا
     IS_TRANS:	AHnA
        INDEX:	P24W8
      OFFSETS:	35-39
       TOKENS:	P24W9-P24W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AiHonA_1]
   UNSPLITVOC:	(AiHonA)
          POS:	PRON_1P
          VOC:	AiHonA
        GLOSS:	our

 INPUT STRING:	مصريين
     IS_TRANS:	mSryyn
        INDEX:	P24W9
      OFFSETS:	40-46
       TOKENS:	P24W10-P24W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maSoriy_1]
   UNSPLITVOC:	(maSoriy~iyn)
          POS:	ADJ+NSUFF_MASC_PL
          VOC:	maSoriy~+iyn
        GLOSS:	egyptian+[masc.pl.]

 INPUT STRING:	والمشكله
     IS_TRANS:	wAlm$klh
        INDEX:	P25W1
      OFFSETS:	0-8
       TOKENS:	P25W1-P25W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mu$okilap_1]
   UNSPLITVOC:	(wiAlmu$okilap)
          POS:	CONJ+DET+NOUN+NSUFF_FEM_SG
          VOC:	wi+Al+mu$okil+ap
        GLOSS:	and+the+problem/issue+[fem.sg.]

 INPUT STRING:	الاكبر
     IS_TRANS:	AlAkbr
        INDEX:	P25W2
      OFFSETS:	9-15
       TOKENS:	P25W3-P25W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>akobar_1]
   UNSPLITVOC:	(Al>akobar)
          POS:	DET+ADJ_COMP
          VOC:	Al+>akobar
        GLOSS:	the+larger/largest/greater/greatest

 INPUT STRING:	ان
     IS_TRANS:	An
        INDEX:	P25W3
      OFFSETS:	16-18
       TOKENS:	P25W4-P25W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~)
          POS:	SUB_CONJ
          VOC:	<in~
        GLOSS:	that

 INPUT STRING:	الجيش
     IS_TRANS:	Aljy$
        INDEX:	P25W4
      OFFSETS:	19-24
       TOKENS:	P25W5-P25W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jay$_1]
   UNSPLITVOC:	(Aljay$)
          POS:	DET+NOUN
          VOC:	Al+jay$
        GLOSS:	the+army/troops

 INPUT STRING:	ده
     IS_TRANS:	dh
        INDEX:	P25W5
      OFFSETS:	25-27
       TOKENS:	P25W6-P25W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dah_1]
   UNSPLITVOC:	(dah)
          POS:	DEM_PRON_MS
          VOC:	dah
        GLOSS:	this

 INPUT STRING:	اللي
     IS_TRANS:	Ally
        INDEX:	P25W6
      OFFSETS:	28-32
       TOKENS:	P25W7-P25W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	who/whose/which

 INPUT STRING:	فيه
     IS_TRANS:	fyh
        INDEX:	P25W7
      OFFSETS:	33-36
       TOKENS:	P25W8-P25W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiyh)
          POS:	PREP+PRON_3MS
          VOC:	fiy+uh
        GLOSS:	in+it/him

 INPUT STRING:	اولادنا
     IS_TRANS:	AwlAdnA
        INDEX:	P25W8
      OFFSETS:	37-44
       TOKENS:	P25W10-P25W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[walad_1]
   UNSPLITVOC:	(AwolAdnA)
          POS:	NOUN+POSS_PRON_1P
          VOC:	AwolAd+nA
        GLOSS:	child/son+our

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P25W9
      OFFSETS:	45-47
       TOKENS:	P25W12-P25W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	حد
     IS_TRANS:	Hd
        INDEX:	P25W10
      OFFSETS:	48-50
       TOKENS:	P25W13-P25W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Had~_1]
   UNSPLITVOC:	(Had~)
          POS:	NOUN
          VOC:	Had~
        GLOSS:	any person

 INPUT STRING:	غريب
     IS_TRANS:	gryb
        INDEX:	P25W11
      OFFSETS:	51-55
       TOKENS:	P25W14-P25W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[gariyb_1]
   UNSPLITVOC:	(gariyb)
          POS:	ADJ
          VOC:	gariyb
        GLOSS:	strange

 INPUT STRING:	يعني
     IS_TRANS:	yEny
        INDEX:	P25W12
      OFFSETS:	56-60
       TOKENS:	P25W15-P25W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EanaY_1]
   UNSPLITVOC:	(yaEoniy)
          POS:	IV3MS+IV
          VOC:	ya+Eoniy
        GLOSS:	he/it+mean/signify/concern

 INPUT STRING:	كل
     IS_TRANS:	kl
        INDEX:	P25W13
      OFFSETS:	61-63
       TOKENS:	P25W16-P25W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(kul~)
          POS:	NOUN_QUANT
          VOC:	kul~
        GLOSS:	all, entire, every, whole

 INPUT STRING:	بيت
     IS_TRANS:	byt
        INDEX:	P25W14
      OFFSETS:	64-67
       TOKENS:	P25W17-P25W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bayt_1]
   UNSPLITVOC:	(bayt)
          POS:	NOUN
          VOC:	bayt
        GLOSS:	house/houses

 INPUT STRING:	فيه
     IS_TRANS:	fyh
        INDEX:	P25W15
      OFFSETS:	68-71
       TOKENS:	P25W18-P25W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiyh)
          POS:	PREP+PRON_3MS
          VOC:	fiy+uh
        GLOSS:	in+it/him

 INPUT STRING:	حد
     IS_TRANS:	Hd
        INDEX:	P25W16
      OFFSETS:	72-74
       TOKENS:	P25W20-P25W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Had~_1]
   UNSPLITVOC:	(Had~)
          POS:	NOUN
          VOC:	Had~
        GLOSS:	any person

 INPUT STRING:	اكيد
     IS_TRANS:	Akyd
        INDEX:	P25W17
      OFFSETS:	75-79
       TOKENS:	P25W21-P25W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aakiyd_1]
   UNSPLITVOC:	(Akiyd)
          POS:	ADJ
          VOC:	Akiyd
        GLOSS:	certain

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P25W18
      OFFSETS:	80-82
       TOKENS:	P25W22-P25W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	الجيش
     IS_TRANS:	Aljy$
        INDEX:	P25W19
      OFFSETS:	83-88
       TOKENS:	P25W23-P25W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jay$_1]
   UNSPLITVOC:	(Aljay$)
          POS:	DET+NOUN
          VOC:	Al+jay$
        GLOSS:	the+army/troops

 INPUT STRING:	يارب
     IS_TRANS:	yArb
        INDEX:	P26W1
      OFFSETS:	0-4
       TOKENS:	P26W1-P26W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[rab~_1]
   UNSPLITVOC:	(yArab~)
          POS:	VOC_PART+NOUN
          VOC:	yaA+rab~
        GLOSS:	oh+lord/master

 INPUT STRING:	استرها
     IS_TRANS:	AstrhA
        INDEX:	P26W2
      OFFSETS:	5-11
       TOKENS:	P26W3-P26W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[satar_1]
   UNSPLITVOC:	(AusoturhA)
          POS:	CV+CVSUFF_SUBJ:2MS+CVSUFF_DO:3FS
          VOC:	Ausotur+(null)+hA
        GLOSS:	cover/hide+you+it/them/her

 INPUT STRING:	معانا
     IS_TRANS:	mEAnA
        INDEX:	P26W3
      OFFSETS:	12-17
       TOKENS:	P26W5-P26W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maEa_1]
   UNSPLITVOC:	(maEAnA)
          POS:	NOUN+POSS_PRON_1P
          VOC:	maEa+nA
        GLOSS:	with them+our

 INPUT STRING:	وعلي
     IS_TRANS:	wEly
        INDEX:	P26W4
      OFFSETS:	18-22
       TOKENS:	P26W7-P26W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(waEalaY)
          POS:	CONJ+PREP
          VOC:	wa+EalaY
        GLOSS:	and+on/above

 INPUT STRING:	بناتنا
     IS_TRANS:	bnAtnA
        INDEX:	P26W5
      OFFSETS:	23-29
       TOKENS:	P26W9-P26W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[binot_1]
   UNSPLITVOC:	(banAtnA)
          POS:	NOUN+POSS_PRON_1P
          VOC:	banAt+nA
        GLOSS:	daughter/girl/daughters/girls+our

 INPUT STRING:	واخواتنا
     IS_TRANS:	wAxwAtnA
        INDEX:	P26W6
      OFFSETS:	30-38
       TOKENS:	P26W11-P26W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>ax~_1]
   UNSPLITVOC:	(wi<ixowAtnA)
          POS:	CONJ+NOUN+NSUFF_FEM_PL+POSS_PRON_1P
          VOC:	wi+<ixow+At+nA
        GLOSS:	and+sister+[fem.pl.]+our

 INPUT STRING:	يا
     IS_TRANS:	yA
        INDEX:	P27W1
      OFFSETS:	0-2
       TOKENS:	P27W1-P27W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yA_1]
   UNSPLITVOC:	(yA)
          POS:	VOC_PART
          VOC:	yA
        GLOSS:	O, oh

 INPUT STRING:	رب
     IS_TRANS:	rb
        INDEX:	P27W2
      OFFSETS:	3-5
       TOKENS:	P27W2-P27W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rab~_1]
   UNSPLITVOC:	(rab~)
          POS:	NOUN
          VOC:	rab~
        GLOSS:	lord/master

 INPUT STRING:	نهدنا
     IS_TRANS:	nhdnA
        INDEX:	P27W3
      OFFSETS:	6-11
       TOKENS:	P27W3-P27W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[had~_1]
   UNSPLITVOC:	(nihid~inA)
          POS:	IV1P+IV+IVSUFF_DO:1P
          VOC:	ni+hid~+nA
        GLOSS:	we+guide/lead+us

 INPUT STRING:	ونصبر
     IS_TRANS:	wnSbr
        INDEX:	P27W4
      OFFSETS:	12-17
       TOKENS:	P27W5-P27W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Sabar_1]
   UNSPLITVOC:	(winuSobur)
          POS:	CONJ+IV1P+IV
          VOC:	wi+nu+Sobur
        GLOSS:	and+we+be patient/endure

 INPUT STRING:	شويه
     IS_TRANS:	$wyh
        INDEX:	P27W5
      OFFSETS:	18-22
       TOKENS:	P27W7-P27W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[$uway~ap_1]
   UNSPLITVOC:	($uway~ap)
          POS:	NOUN_QUANT+NSUFF_FEM_SG
          VOC:	$uway~+ap
        GLOSS:	a little bit+[fem.sg.]

 INPUT STRING:	خليها
     IS_TRANS:	xlyhA
        INDEX:	P27W6
      OFFSETS:	23-28
       TOKENS:	P27W8-P27W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xal~aY_1]
   UNSPLITVOC:	(xal~iyhA)
          POS:	CV+CVSUFF_SUBJ:2MS+CVSUFF_DO:3FS
          VOC:	xal~iy+(null)+hA
        GLOSS:	release/evacuate/allow/be released/be evacuated/be allowed+you+it/them/her

 INPUT STRING:	تعدي
     IS_TRANS:	tEdy
        INDEX:	P27W7
      OFFSETS:	29-33
       TOKENS:	P27W10-P27W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ead~aY_1]
   UNSPLITVOC:	(tiEad~iy)
          POS:	IV3FS+IV
          VOC:	ti+Ead~iy
        GLOSS:	it/they/she+traverse/cross/be traversed/be crossed

