 INPUT STRING:	وصيـــــــــــــــه
        GLOSS:	so

 INPUT STRING:	إسمعوا
     IS_TRANS:	<smEwA
        INDEX:	P7W4
      OFFSETS:	10-16
       TOKENS:	P7W4-P7W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[simiE_1]
   UNSPLITVOC:	(AisomaEuwA)
          POS:	CV+CVSUFF_SUBJ:2P
          VOC:	AisomaE+uwA
        GLOSS:	listen+they

 INPUT STRING:	اللى
     IS_TRANS:	AllY
        INDEX:	P7W5
      OFFSETS:	17-21
       TOKENS:	P7W5-P7W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	that

 INPUT STRING:	حقوله
     IS_TRANS:	Hqwlh
        INDEX:	P7W6
      OFFSETS:	22-27
       TOKENS:	P7W6-P7W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(HaAaquwluh)
          POS:	FUT_PART+IV1S+IV+IVSUFF_DO:3MS
          VOC:	Ha+Aa+quwl+uh
        GLOSS:	will+I+said/say/be said/say/(for example)+them

 INPUT STRING:	كويس
     IS_TRANS:	kwys
        INDEX:	P7W7
      OFFSETS:	28-32
       TOKENS:	P7W9-P7W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[kway~is_1]
   UNSPLITVOC:	(kway~is)
          POS:	ADJ
          VOC:	kway~is
        GLOSS:	good

 INPUT STRING:	جمال
     IS_TRANS:	jmAl
        INDEX:	P8W1
      OFFSETS:	1-5
       TOKENS:	P8W1-P8W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jamAl_1]
   UNSPLITVOC:	(jamAl)
          POS:	NOUN_PROP
          VOC:	jamAl
        GLOSS:	Gamal

 INPUT STRING:	:
     IS_TRANS:	:
        INDEX:	P8W2
      OFFSETS:	5-6
       TOKENS:	P8W2-P8W2
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(:)
          POS:	PUNC
          VOC:	:
        GLOSS:	:

 INPUT STRING:	سامعينك
     IS_TRANS:	sAmEynk
        INDEX:	P8W3
      OFFSETS:	7-14
       TOKENS:	P8W3-P8W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sAmiE_1]
   UNSPLITVOC:	(sAmoEiynak)
          POS:	ADJ+NSUFF_MASC_PL+PRON_2MS
          VOC:	sAmoE+iyn+ak
        GLOSS:	listening/able to hear+two+you

 INPUT STRING:	يابابا
     IS_TRANS:	yAbAbA
        INDEX:	P8W4
      OFFSETS:	15-21
       TOKENS:	P8W5-P8W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[bAbA_1]
   UNSPLITVOC:	(yAbAbA)
          POS:	VOC_PART+NOUN
          VOC:	yaA+bAbA
        GLOSS:	oh+Pope/father

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P8W5
      OFFSETS:	22-23
       TOKENS:	P8W7-P8W7
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P8W6
      OFFSETS:	23-24
       TOKENS:	P8W8-P8W8
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P8W7
      OFFSETS:	24-25
       TOKENS:	P8W9-P8W9
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	إتكلم
     IS_TRANS:	<tklm
        INDEX:	P8W8
      OFFSETS:	26-31
       TOKENS:	P8W10-P8W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aitokal~im_1]
   UNSPLITVOC:	(Aitokal~im)
          POS:	CV+CVSUFF_SUBJ:2MS
          VOC:	Aitokal~im+(null)
        GLOSS:	speak+you

 INPUT STRING:	حسنى
     IS_TRANS:	HsnY
        INDEX:	P9W1
      OFFSETS:	1-5
       TOKENS:	P9W1-P9W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Husoniy_1]
   UNSPLITVOC:	(Husoniy)
          POS:	NOUN_PROP
          VOC:	Husoniy
        GLOSS:	Hosni

 INPUT STRING:	:
     IS_TRANS:	:
        INDEX:	P9W2
      OFFSETS:	5-6
       TOKENS:	P9W2-P9W2
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(:)
          POS:	PUNC
          VOC:	:
        GLOSS:	:

 INPUT STRING:	مصر
     IS_TRANS:	mSr
        INDEX:	P9W3
      OFFSETS:	7-10
       TOKENS:	P9W3-P9W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[maSr_1]
   UNSPLITVOC:	(maSr)
          POS:	NOUN_PROP
          VOC:	maSr
        GLOSS:	Egypt

 INPUT STRING:	دى
     IS_TRANS:	dY
        INDEX:	P9W4
      OFFSETS:	11-13
       TOKENS:	P9W4-P9W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[diy_1]
   UNSPLITVOC:	(diy)
          POS:	DEM_PRON_FS
          VOC:	diy
        GLOSS:	this

 INPUT STRING:	كنز
     IS_TRANS:	knz
        INDEX:	P9W5
      OFFSETS:	14-17
       TOKENS:	P9W5-P9W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[kinz_1]
   UNSPLITVOC:	(kinz)
          POS:	NOUN
          VOC:	kinz
        GLOSS:	treasure

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P9W6
      OFFSETS:	17-18
       TOKENS:	P9W6-P9W6
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P9W7
      OFFSETS:	18-19
       TOKENS:	P9W7-P9W7
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	ياولاد
     IS_TRANS:	yAwlAd
        INDEX:	P9W8
      OFFSETS:	20-26
       TOKENS:	P9W8-P9W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[walad_1]
   UNSPLITVOC:	(yAwilAd)
          POS:	VOC_PART+NOUN
          VOC:	yaA+wilAd
        GLOSS:	oh+child/son

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P9W9
      OFFSETS:	27-28
       TOKENS:	P9W10-P9W10
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P9W10
      OFFSETS:	28-29
       TOKENS:	P9W11-P9W11
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P9W11
      OFFSETS:	29-30
       TOKENS:	P9W12-P9W12
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	إمكسوا
     IS_TRANS:	<mkswA
        INDEX:	P9W12
      OFFSETS:	31-37
       TOKENS:	P9W13-P9W13
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(<mkswA)
          POS:	TYPO
          VOC:	<mkswA
        GLOSS:	nogloss

 INPUT STRING:	فيها
     IS_TRANS:	fyhA
        INDEX:	P9W13
      OFFSETS:	38-42
       TOKENS:	P9W14-P9W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiyhA)
          POS:	PREP+PRON_3FS
          VOC:	fiy+hA
        GLOSS:	in+she/it

 INPUT STRING:	بإيديكم
     IS_TRANS:	b<ydykm
        INDEX:	P9W14
      OFFSETS:	43-50
       TOKENS:	P9W16-P9W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<iyd_1]
   UNSPLITVOC:	(bi<iydaykum)
          POS:	PREP+NOUN+POSS_PRON_2P
          VOC:	bi+<iyday+kum
        GLOSS:	with/by+hand+your

 INPUT STRING:	وسنانكم
     IS_TRANS:	wsnAnkm
        INDEX:	P9W15
      OFFSETS:	51-58
       TOKENS:	P9W19-P9W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sin~ap_1]
   UNSPLITVOC:	(wisinAnkum)
          POS:	CONJ+NOUN+POSS_PRON_2P
          VOC:	wi+sinAn+kum
        GLOSS:	and+nogloss+nogloss

 INPUT STRING:	بنسرق
     IS_TRANS:	bnsrq
        INDEX:	P9W16
      OFFSETS:	59-64
       TOKENS:	P9W22-P9W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[saraq_1]
   UNSPLITVOC:	(binisoraq)
          POS:	PROG_PART+IV1P+IV
          VOC:	bi+ni+soraq
        GLOSS:	[present-tense]+we+accuse of theft

 INPUT STRING:	فيها
     IS_TRANS:	fyhA
        INDEX:	P9W17
      OFFSETS:	65-69
       TOKENS:	P9W24-P9W25
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiyhA)
          POS:	PREP+PRON_3FS
          VOC:	fiy+hA
        GLOSS:	in+she/it

 INPUT STRING:	بقالنا
     IS_TRANS:	bqAlnA
        INDEX:	P9W18
      OFFSETS:	70-76
       TOKENS:	P9W26-P9W28
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[baqaY_1]
   UNSPLITVOC:	(bqA_linA)
          POS:	PV+PVSUFF_SUBJ:3MS+PREP+PRON_1P
          VOC:	bqA+(null)+li+nA
        GLOSS:	remain+he/it+to/for+us

 INPUT STRING:	سنين
     IS_TRANS:	snyn
        INDEX:	P9W19
      OFFSETS:	77-81
       TOKENS:	P9W29-P9W29
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sanap_1]
   UNSPLITVOC:	(siniyn)
          POS:	NOUN+NSUFF_MASC_PL
          VOC:	sin+iyn
        GLOSS:	year/years+two

 INPUT STRING:	وسنين
     IS_TRANS:	wsnyn
        INDEX:	P9W20
      OFFSETS:	82-87
       TOKENS:	P9W30-P9W31
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sanap_1]
   UNSPLITVOC:	(wisiniyn)
          POS:	CONJ+NOUN+NSUFF_MASC_PL
          VOC:	wi+sin+iyn
        GLOSS:	and+year+two

 INPUT STRING:	ولسه
     IS_TRANS:	wlsh
        INDEX:	P9W21
      OFFSETS:	88-92
       TOKENS:	P9W32-P9W33
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[lis~ah_1]
   UNSPLITVOC:	(walsh)
          POS:	PREP+ADV
          VOC:	wa+lsh
        GLOSS:	with+still

 INPUT STRING:	بتدينا
     IS_TRANS:	btdynA
        INDEX:	P9W22
      OFFSETS:	93-99
       TOKENS:	P9W34-P9W36
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aid~aY_1]
   UNSPLITVOC:	(bitid~iynA)
          POS:	PROG_PART+IV3FS+IV+IVSUFF_DO:1P
          VOC:	bi+ti+d~iy+nA
        GLOSS:	[present-tense]+it/they/she+condemn/borrow/profess+us

 INPUT STRING:	علاء
     IS_TRANS:	ElA'
        INDEX:	P10W1
      OFFSETS:	1-5
       TOKENS:	P10W1-P10W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalA'_1]
   UNSPLITVOC:	(EalA')
          POS:	NOUN_PROP
          VOC:	EalA'
        GLOSS:	Alaa

 INPUT STRING:	:
     IS_TRANS:	:
        INDEX:	P10W2
      OFFSETS:	5-6
       TOKENS:	P10W2-P10W2
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(:)
          POS:	PUNC
          VOC:	:
        GLOSS:	:

 INPUT STRING:	هيا
     IS_TRANS:	hyA
        INDEX:	P10W3
      OFFSETS:	7-10
       TOKENS:	P10W3-P10W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hiy~a_1]
   UNSPLITVOC:	(hiy~a)
          POS:	PRON_3FS
          VOC:	hiy~a
        GLOSS:	she/it

 INPUT STRING:	دى
     IS_TRANS:	dY
        INDEX:	P10W4
      OFFSETS:	11-13
       TOKENS:	P10W4-P10W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[diy_1]
   UNSPLITVOC:	(diy)
          POS:	DEM_PRON_FS
          VOC:	diy
        GLOSS:	this

 INPUT STRING:	البركة
     IS_TRANS:	Albrkp
        INDEX:	P10W5
      OFFSETS:	14-20
       TOKENS:	P10W5-P10W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[barakap_1]
   UNSPLITVOC:	(Albarakap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+barak+ap
        GLOSS:	the+blessing/blessings+[fem.sg.]

 INPUT STRING:	اللى
     IS_TRANS:	AllY
        INDEX:	P10W6
      OFFSETS:	21-25
       TOKENS:	P10W6-P10W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	that

 INPUT STRING:	بيقولوا
     IS_TRANS:	byqwlwA
        INDEX:	P10W7
      OFFSETS:	26-33
       TOKENS:	P10W7-P10W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(biyiquwluwA)
          POS:	PROG_PART+IV3P+IV+IVSUFF_SUBJ:P
          VOC:	bi+yi+quwl+uwA
        GLOSS:	[present-tense]+they+said/say/be said/say/(for example)+we

 INPUT STRING:	عليها
     IS_TRANS:	ElyhA
        INDEX:	P10W8
      OFFSETS:	34-39
       TOKENS:	P10W9-P10W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalayhA)
          POS:	PREP+PRON_3FS
          VOC:	EalaY+hA
        GLOSS:	on/above+she/it

 INPUT STRING:	يابابا
     IS_TRANS:	yAbAbA
        INDEX:	P10W9
      OFFSETS:	40-46
       TOKENS:	P10W11-P10W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[bAbA_1]
   UNSPLITVOC:	(yAbAbA)
          POS:	VOC_PART+NOUN
          VOC:	yaA+bAbA
        GLOSS:	oh+Pope/father

 INPUT STRING:	حسنى
     IS_TRANS:	HsnY
        INDEX:	P11W1
      OFFSETS:	1-5
       TOKENS:	P11W1-P11W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Husoniy_1]
   UNSPLITVOC:	(Husoniy)
          POS:	NOUN_PROP
          VOC:	Husoniy
        GLOSS:	Hosni

 INPUT STRING:	:
     IS_TRANS:	:
        INDEX:	P11W2
      OFFSETS:	5-6
       TOKENS:	P11W2-P11W2
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(:)
          POS:	PUNC
          VOC:	:
        GLOSS:	:

 INPUT STRING:	أيوه
     IS_TRANS:	>ywh
        INDEX:	P11W3
      OFFSETS:	7-11
       TOKENS:	P11W3-P11W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>ayowah_1]
   UNSPLITVOC:	(>ayowah)
          POS:	INTERJ
          VOC:	>ayowah
        GLOSS:	yes

 INPUT STRING:	يابنى
     IS_TRANS:	yAbnY
        INDEX:	P11W4
      OFFSETS:	12-17
       TOKENS:	P11W4-P11W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Aibn_1]
   UNSPLITVOC:	(yaAibniy)
          POS:	VOC_PART+NOUN+POSS_PRON_1S
          VOC:	ya+Aibn+iy
        GLOSS:	oh+son+my

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P11W5
      OFFSETS:	18-19
       TOKENS:	P11W7-P11W7
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P11W6
      OFFSETS:	19-20
       TOKENS:	P11W8-P11W8
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P11W7
      OFFSETS:	20-21
       TOKENS:	P11W9-P11W9
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P11W8
      OFFSETS:	21-22
       TOKENS:	P11W10-P11W10
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	ربنا
     IS_TRANS:	rbnA
        INDEX:	P11W9
      OFFSETS:	23-27
       TOKENS:	P11W11-P11W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[rab~_1]
   UNSPLITVOC:	(rbinA)
          POS:	NOUN+POSS_PRON_1P
          VOC:	rb+nA
        GLOSS:	god+our

 INPUT STRING:	يبارك
     IS_TRANS:	ybArk
        INDEX:	P11W10
      OFFSETS:	28-33
       TOKENS:	P11W13-P11W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bArik_1]
   UNSPLITVOC:	(yabArik)
          POS:	IV3MS+IV
          VOC:	ya+bArik
        GLOSS:	he/it+bless

 INPUT STRING:	لكم
     IS_TRANS:	lkm
        INDEX:	P11W11
      OFFSETS:	34-37
       TOKENS:	P11W14-P11W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[li_1]
   UNSPLITVOC:	(lukum)
          POS:	NOUN+POSS_PRON_2P
          VOC:	l+kum
        GLOSS:	for/to+your

 INPUT STRING:	ولعيالكم
     IS_TRANS:	wlEyAlkm
        INDEX:	P11W12
      OFFSETS:	38-46
       TOKENS:	P11W16-P11W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[EyAl_1]
   UNSPLITVOC:	(wiliEyAlkum)
          POS:	CONJ+PREP+NOUN+POSS_PRON_2P
          VOC:	wi+li+EyAl+kum
        GLOSS:	and+for/to+kids+your

 INPUT STRING:	فيها
     IS_TRANS:	fyhA
        INDEX:	P11W13
      OFFSETS:	47-51
       TOKENS:	P11W20-P11W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiyhA)
          POS:	PREP+PRON_3FS
          VOC:	fiy+hA
        GLOSS:	in+she/it

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P11W14
      OFFSETS:	52-53
       TOKENS:	P11W22-P11W22
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P11W15
      OFFSETS:	53-54
       TOKENS:	P11W23-P11W23
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P11W16
      OFFSETS:	54-55
       TOKENS:	P11W24-P11W24
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P11W17
      OFFSETS:	55-56
       TOKENS:	P11W25-P11W25
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	ودلوقتى
     IS_TRANS:	wdlwqtY
        INDEX:	P11W18
      OFFSETS:	57-64
       TOKENS:	P11W26-P11W27
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dilowaqotiy_1]
   UNSPLITVOC:	(widilowaqotiy)
          POS:	CONJ+ADV
          VOC:	wi+dilowaqotiy
        GLOSS:	and+now

 INPUT STRING:	علاء
     IS_TRANS:	ElA'
        INDEX:	P12W1
      OFFSETS:	1-5
       TOKENS:	P12W1-P12W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalA'_1]
   UNSPLITVOC:	(EalA')
          POS:	NOUN_PROP
          VOC:	EalA'
        GLOSS:	Alaa

 INPUT STRING:	:
     IS_TRANS:	:
        INDEX:	P12W2
      OFFSETS:	5-6
       TOKENS:	P12W2-P12W2
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(:)
          POS:	PUNC
          VOC:	:
        GLOSS:	:

 INPUT STRING:	إنته
     IS_TRANS:	<nth
        INDEX:	P12W3
      OFFSETS:	7-11
       TOKENS:	P12W3-P12W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<intah_1]
   UNSPLITVOC:	(<intah)
          POS:	PRON_2MS
          VOC:	<intah
        GLOSS:	you

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P12W4
      OFFSETS:	12-15
       TOKENS:	P12W4-P12W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	الهوى
     IS_TRANS:	AlhwY
        INDEX:	P12W5
      OFFSETS:	16-21
       TOKENS:	P12W5-P12W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hawaY_1]
   UNSPLITVOC:	(AlhawaY)
          POS:	DET+NOUN
          VOC:	Al+hawaY
        GLOSS:	the+affection/inclination/preference/desires/wishes/inclinations/air

 INPUT STRING:	يابابا
     IS_TRANS:	yAbAbA
        INDEX:	P12W6
      OFFSETS:	22-28
       TOKENS:	P12W6-P12W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[bAbA_1]
