 INPUT STRING:	الســـــــــــلام
     IS_TRANS:	mmkn
        INDEX:	P21W11
      OFFSETS:	57-61
       TOKENS:	P21W14-P21W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mumokin_1]
   UNSPLITVOC:	(mumokin)
          POS:	ADJ
          VOC:	mumokin
        GLOSS:	possible

 INPUT STRING:	ياخدوا
     IS_TRANS:	yAxdwA
        INDEX:	P21W12
      OFFSETS:	62-68
       TOKENS:	P21W15-P21W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>axa*_1]
   UNSPLITVOC:	(yAxo*uwA)
          POS:	IV3P+IV+IVSUFF_SUBJ:P
          VOC:	yA+xo*+uwA
        GLOSS:	they+take+they

 INPUT STRING:	سنتين
     IS_TRANS:	sntyn
        INDEX:	P21W13
      OFFSETS:	69-74
       TOKENS:	P21W16-P21W16
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(sntyn)
          POS:	NO_FUNC
          VOC:	sntyn
        GLOSS:	nogloss

 INPUT STRING:	ليه
     IS_TRANS:	lyh
        INDEX:	P21W14
      OFFSETS:	75-78
       TOKENS:	P21W17-P21W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[layoh_1]
   UNSPLITVOC:	(layoh)
          POS:	REL_ADV
          VOC:	layoh
        GLOSS:	why

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P21W15
      OFFSETS:	79-80
       TOKENS:	P21W18-P21W18
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	لو
     IS_TRANS:	lw
        INDEX:	P22W1
      OFFSETS:	0-2
       TOKENS:	P22W1-P22W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[law_1]
   UNSPLITVOC:	(law)
          POS:	SUB_CONJ
          VOC:	law
        GLOSS:	if

 INPUT STRING:	عندكوا
     IS_TRANS:	EndkwA
        INDEX:	P22W2
      OFFSETS:	3-9
       TOKENS:	P22W2-P22W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Eind_1]
   UNSPLITVOC:	(EindakuwA)
          POS:	NOUN+POSS_PRON_2P
          VOC:	Eindak+uwA
        GLOSS:	with/at+you

 INPUT STRING:	اجابه
     IS_TRANS:	AjAbh
        INDEX:	P22W3
      OFFSETS:	10-15
       TOKENS:	P22W4-P22W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<ijAbap_1]
   UNSPLITVOC:	(<ijAbap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	<ijAb+ap
        GLOSS:	answer/response/consent+[fem.sg.]

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P22W4
      OFFSETS:	15-16
       TOKENS:	P22W5-P22W5
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P22W5
      OFFSETS:	16-17
       TOKENS:	P22W6-P22W6
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	متبخلوش
     IS_TRANS:	mtbxlw$
        INDEX:	P22W6
      OFFSETS:	18-25
       TOKENS:	P22W7-P22W7
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(mtbxlw$)
          POS:	NO_FUNC
          VOC:	mtbxlw$
        GLOSS:	nogloss

 INPUT STRING:	عليا
     IS_TRANS:	ElyA
        INDEX:	P22W7
      OFFSETS:	26-30
       TOKENS:	P22W8-P22W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY~yA)
          POS:	PREP+PRON_1S
          VOC:	EalaY~+yA
        GLOSS:	on /above+me

 INPUT STRING:	بيها
     IS_TRANS:	byhA
        INDEX:	P22W8
      OFFSETS:	31-35
       TOKENS:	P22W10-P22W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bi_1]
   UNSPLITVOC:	(biyhA)
          POS:	PREP+PRON_3FS
          VOC:	bi+hA
        GLOSS:	with+her/it

 INPUT STRING:	!
     IS_TRANS:	!
        INDEX:	P22W9
      OFFSETS:	36-37
       TOKENS:	P22W12-P22W12
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(!)
          POS:	PUNC
          VOC:	!
        GLOSS:	!

 INPUT STRING:	عدو
     IS_TRANS:	Edw
        INDEX:	P23W1
      OFFSETS:	0-3
       TOKENS:	P23W1-P23W1
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Eaduw~_1]
   UNSPLITVOC:	(Eaduw~)
          POS:	NOUN
          VOC:	Eaduw~
        GLOSS:	enemy

 INPUT STRING:	الثورة
     IS_TRANS:	Alvwrp
        INDEX:	P23W2
      OFFSETS:	4-10
       TOKENS:	P23W2-P23W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[vawrap_1]
   UNSPLITVOC:	(Alv~awrap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+vawr+ap
        GLOSS:	the+revolution/uprising+[fem.sg.]

 INPUT STRING:	الاول
     IS_TRANS:	AlAwl
        INDEX:	P23W3
      OFFSETS:	11-16
       TOKENS:	P23W3-P23W3
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>aw~al_2]
   UNSPLITVOC:	(Al>aw~al)
          POS:	DET+ADJ_NUM
          VOC:	Al+>aw~al
        GLOSS:	the+first

 INPUT STRING:	هو
     IS_TRANS:	hw
        INDEX:	P23W4
      OFFSETS:	17-19
       TOKENS:	P23W4-P23W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[huw~a_1]
   UNSPLITVOC:	(huw~a)
          POS:	PRON_3MS
          VOC:	huw~a
        GLOSS:	he/it

 INPUT STRING:	اللى
     IS_TRANS:	AllY
        INDEX:	P23W5
      OFFSETS:	20-24
       TOKENS:	P23W5-P23W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	which

 INPUT STRING:	متخيل
     IS_TRANS:	mtxyl
        INDEX:	P23W6
      OFFSETS:	25-30
       TOKENS:	P23W6-P23W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[mutaxay~il_1]
   UNSPLITVOC:	(mutaxay~il)
          POS:	ADJ.VN
          VOC:	mutaxay~il
        GLOSS:	imagined/supposed

 INPUT STRING:	انه
     IS_TRANS:	Anh
        INDEX:	P23W7
      OFFSETS:	31-34
       TOKENS:	P23W7-P23W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~uh)
          POS:	SUB_CONJ+PRON_3MS
          VOC:	<in~+uh
        GLOSS:	that+he/it

 INPUT STRING:	عايش
     IS_TRANS:	EAy$
        INDEX:	P23W8
      OFFSETS:	35-39
       TOKENS:	P23W9-P23W9
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[EA}i$_1]
   UNSPLITVOC:	(EAyi$)
          POS:	ADJ
          VOC:	EAyi$
        GLOSS:	living/alive

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P23W9
      OFFSETS:	40-42
       TOKENS:	P23W10-P23W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	مؤامرة
     IS_TRANS:	m&Amrp
        INDEX:	P23W10
      OFFSETS:	43-49
       TOKENS:	P23W11-P23W11
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[mu&Amarap_1]
   UNSPLITVOC:	(mu&Amarap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	mu&Amar+ap
        GLOSS:	plot/conspiracy+[fem.sg.]

 INPUT STRING:	والكل
     IS_TRANS:	wAlkl
        INDEX:	P23W11
      OFFSETS:	50-55
       TOKENS:	P23W12-P23W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(wiAlkul~)
          POS:	CONJ+DET+NOUN_QUANT
          VOC:	wi+Al+kul~
        GLOSS:	and+the+all, entire, every, whole

 INPUT STRING:	بيكرهوا
     IS_TRANS:	bykrhwA
        INDEX:	P23W12
      OFFSETS:	56-63
       TOKENS:	P23W14-P23W14
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(bykrhwA)
          POS:	NO_FUNC
          VOC:	bykrhwA
        GLOSS:	nogloss

 INPUT STRING:	واللى
     IS_TRANS:	wAllY
        INDEX:	P24W1
      OFFSETS:	0-5
       TOKENS:	P24W1-P24W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Aill~iy_1]
   UNSPLITVOC:	(wiAill~iy)
          POS:	CONJ+REL_PRON
          VOC:	wi+Aill~iy
        GLOSS:	and+which

 INPUT STRING:	صوته
     IS_TRANS:	Swth
        INDEX:	P24W2
      OFFSETS:	6-10
       TOKENS:	P24W3-P24W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[Suwt_1]
   UNSPLITVOC:	(Suwtuh)
          POS:	NOUN+POSS_PRON_3MS
          VOC:	Suwt+uh
        GLOSS:	voice/sound/voices/sounds+his/its

 INPUT STRING:	عالى
     IS_TRANS:	EAlY
        INDEX:	P24W3
      OFFSETS:	11-15
       TOKENS:	P24W5-P24W5
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EAliy_1]
   UNSPLITVOC:	(EAliy)
          POS:	ADJ
          VOC:	EAliy
        GLOSS:	high/elevated

 INPUT STRING:	بمناسبة
     IS_TRANS:	bmnAsbp
        INDEX:	P24W4
      OFFSETS:	16-23
       TOKENS:	P24W6-P24W7
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[munAsabap_1]
   UNSPLITVOC:	(bimunAsabap)
          POS:	PREP+NOUN+NSUFF_FEM_SG
          VOC:	bi+munAsab+ap
        GLOSS:	with/by+occasion/opportunity+[fem.sg.]

 INPUT STRING:	ومن
     IS_TRANS:	wmn
        INDEX:	P24W5
      OFFSETS:	24-27
       TOKENS:	P24W8-P24W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(wimin)
          POS:	CONJ+PREP
          VOC:	wi+min
        GLOSS:	and+from

 INPUT STRING:	غير
     IS_TRANS:	gyr
        INDEX:	P24W6
      OFFSETS:	28-31
       TOKENS:	P24W10-P24W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[giyr_1]
   UNSPLITVOC:	(giyr)
          POS:	NOUN
          VOC:	giyr
        GLOSS:	not/other

 INPUT STRING:	مناسبة
     IS_TRANS:	mnAsbp
        INDEX:	P24W7
      OFFSETS:	32-38
       TOKENS:	P24W11-P24W11
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[munAsabap_1]
   UNSPLITVOC:	(munAsabap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	munAsab+ap
        GLOSS:	occasion/opportunity+[fem.sg.]

 INPUT STRING:	واللى
     IS_TRANS:	wAllY
        INDEX:	P24W8
      OFFSETS:	39-44
       TOKENS:	P24W12-P24W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Aill~iy_1]
   UNSPLITVOC:	(wiAill~iy)
          POS:	CONJ+REL_PRON
          VOC:	wi+Aill~iy
        GLOSS:	and+which

 INPUT STRING:	موش
     IS_TRANS:	mw$
        INDEX:	P24W9
      OFFSETS:	45-48
       TOKENS:	P24W14-P24W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[muw$_1]
   UNSPLITVOC:	(muw$)
          POS:	NEG_PART
          VOC:	muw$
        GLOSS:	not

 INPUT STRING:	بيسيب
     IS_TRANS:	bysyb
        INDEX:	P24W10
      OFFSETS:	49-54
       TOKENS:	P24W15-P24W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sAb_1]
   UNSPLITVOC:	(biyisiyb)
          POS:	PROG_PART+IV3MS+IV
          VOC:	bi+yi+siyb
        GLOSS:	[present-tense]+he/it+leave

 INPUT STRING:	الميادين
     IS_TRANS:	AlmyAdyn
        INDEX:	P24W11
      OFFSETS:	55-63
       TOKENS:	P24W17-P24W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[miydAn_1]
   UNSPLITVOC:	(AlmayAdiyn)
          POS:	DET+NOUN+NSUFF_MASC_PL
          VOC:	Al+mayAd+iyn
        GLOSS:	the+squares+[masc.pl.]

 INPUT STRING:	واللى
     IS_TRANS:	wAllY
        INDEX:	P25W1
      OFFSETS:	0-5
       TOKENS:	P25W1-P25W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Aill~iy_1]
   UNSPLITVOC:	(wiAill~iy)
          POS:	CONJ+REL_PRON
          VOC:	wi+Aill~iy
        GLOSS:	and+which

 INPUT STRING:	عمال
     IS_TRANS:	EmAl
        INDEX:	P25W2
      OFFSETS:	6-10
       TOKENS:	P25W3-P25W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eam~Al_1]
   UNSPLITVOC:	(Eam~Al)
          POS:	ADJ
          VOC:	Eam~Al
        GLOSS:	going on/still

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P25W3
      OFFSETS:	11-14
       TOKENS:	P25W4-P25W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	بطال
     IS_TRANS:	bTAl
        INDEX:	P25W4
      OFFSETS:	15-19
       TOKENS:	P25W5-P25W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baT~Al_1]
   UNSPLITVOC:	(baT~Al)
          POS:	ADJ
          VOC:	baT~Al
        GLOSS:	useless

 INPUT STRING:	اشتباكات
     IS_TRANS:	A$tbAkAt
        INDEX:	P25W5
      OFFSETS:	20-28
       TOKENS:	P25W6-P25W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ai$otibAk_1]
   UNSPLITVOC:	(Ai$otibAkAt)
          POS:	NOUN+NSUFF_FEM_PL
          VOC:	Ai$otibAk+At
        GLOSS:	skirmishes/clashes+[fem.pl.]

 INPUT STRING:	مع
     IS_TRANS:	mE
        INDEX:	P25W6
      OFFSETS:	29-31
       TOKENS:	P25W7-P25W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maEa_1]
   UNSPLITVOC:	(maEa)
          POS:	NOUN
          VOC:	maEa
        GLOSS:	some thing with

 INPUT STRING:	اى
     IS_TRANS:	AY
        INDEX:	P25W7
      OFFSETS:	32-34
       TOKENS:	P25W8-P25W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aay~_1]
   UNSPLITVOC:	(>ay~)
          POS:	NOUN_QUANT
          VOC:	>ay~
        GLOSS:	Any

 INPUT STRING:	سلطة
     IS_TRANS:	slTp
        INDEX:	P25W8
      OFFSETS:	35-39
       TOKENS:	P25W9-P25W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[suloTap_1]
   UNSPLITVOC:	(suloTap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	suloT+ap
        GLOSS:	power/authority/rule/authorities/powers/authorities/rules+[fem.sg.]

 INPUT STRING:	واللى
     IS_TRANS:	wAllY
        INDEX:	P26W1
      OFFSETS:	0-5
       TOKENS:	P26W1-P26W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Aill~iy_1]
   UNSPLITVOC:	(wiAill~iy)
          POS:	CONJ+REL_PRON
          VOC:	wi+Aill~iy
        GLOSS:	and+which

 INPUT STRING:	بيخون
     IS_TRANS:	byxwn
        INDEX:	P26W2
      OFFSETS:	6-11
       TOKENS:	P26W3-P26W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xAn_1]
   UNSPLITVOC:	(biyixuwn)
          POS:	PROG_PART+IV3MS+IV
          VOC:	bi+yi+xuwn
        GLOSS:	[present_tense]+he/it+betray

 INPUT STRING:	واللى
     IS_TRANS:	wAllY
        INDEX:	P26W3
      OFFSETS:	12-17
       TOKENS:	P26W5-P26W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Aill~iy_1]
   UNSPLITVOC:	(wiAill~iy)
          POS:	CONJ+REL_PRON
          VOC:	wi+Aill~iy
        GLOSS:	and+which

 INPUT STRING:	انقلب
     IS_TRANS:	Anqlb
        INDEX:	P26W4
      OFFSETS:	18-23
       TOKENS:	P26W7-P26W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ainoqalab_1]
   UNSPLITVOC:	(Ainoqalab)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	Ainoqalab+(null)
        GLOSS:	turn around/be reversed/be inverted+he/it [verb]

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P26W5
      OFFSETS:	24-27
       TOKENS:	P26W8-P26W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	شركاء
     IS_TRANS:	$rkA'
        INDEX:	P26W6
      OFFSETS:	28-33
       TOKENS:	P26W9-P26W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$iriyk_1]
   UNSPLITVOC:	($urakA')
          POS:	NOUN
          VOC:	$urakA'
        GLOSS:	partners/associates

 INPUT STRING:	الثورة
     IS_TRANS:	Alvwrp
        INDEX:	P26W7
      OFFSETS:	34-40
       TOKENS:	P26W10-P26W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[vawrap_1]
   UNSPLITVOC:	(Alv~awrap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+vawr+ap
        GLOSS:	the+revolution/uprising+[fem.sg.]

 INPUT STRING:	واتهمهم
     IS_TRANS:	wAthmhm
        INDEX:	P26W8
      OFFSETS:	41-48
       TOKENS:	P26W11-P26W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[{it~aham_1]
   UNSPLITVOC:	(wi{it~ahamhum)
          POS:	CONJ+PV+PVSUFF_SUBJ:3P
          VOC:	wi+{it~aham+hum
        GLOSS:	and+accuse+them

 INPUT STRING:	بحب
     IS_TRANS:	bHb
        INDEX:	P26W9
      OFFSETS:	49-52
       TOKENS:	P26W13-P26W14
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hub~_1]
   UNSPLITVOC:	(biHub~)
          POS:	PREP+NOUN
          VOC:	bi+Hub~
        GLOSS:	with/by+love/affection

 INPUT STRING:	الكرسى
     IS_TRANS:	AlkrsY
        INDEX:	P26W10
      OFFSETS:	53-59
       TOKENS:	P26W15-P26W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kurosiy_1]
   UNSPLITVOC:	(Alkurosiy)
          POS:	DET+NOUN
          VOC:	Al+kurosiy
        GLOSS:	the+chair/seat

 INPUT STRING:	واتهم
     IS_TRANS:	wAthm
        INDEX:	P26W11
      OFFSETS:	60-65
       TOKENS:	P26W16-P26W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ait~aham_1]
   UNSPLITVOC:	(wiAit~aham)
          POS:	CONJ+PV+PVSUFF_SUBJ:3MS
          VOC:	wi+Ait~aham+(null)
        GLOSS:	and+accuse+he/it [verb]

 INPUT STRING:	الجيش
     IS_TRANS:	Aljy$
        INDEX:	P26W12
      OFFSETS:	66-71
       TOKENS:	P26W18-P26W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jay$_1]
   UNSPLITVOC:	(Aljay$)
          POS:	DET+NOUN
          VOC:	Al+jay$
        GLOSS:	the+army/troops

 INPUT STRING:	بأنه
     IS_TRANS:	b>nh
        INDEX:	P26W13
      OFFSETS:	72-76
       TOKENS:	P26W19-P26W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>in~_1]
   UNSPLITVOC:	(bi>in~uh)
          POS:	PREP+SUB_CONJ+PRON_3MS
          VOC:	bi+>in~+uh
        GLOSS:	with+that+it/he

 INPUT STRING:	جيش
     IS_TRANS:	jy$
        INDEX:	P27W1
      OFFSETS:	0-3
       TOKENS:	P27W1-P27W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jay$_1]
   UNSPLITVOC:	(jay$)
          POS:	NOUN
          VOC:	jay$
        GLOSS:	army/troops

 INPUT STRING:	مبارك
     IS_TRANS:	mbArk
        INDEX:	P27W2
      OFFSETS:	4-9
       TOKENS:	P27W2-P27W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mubArak_1]
   UNSPLITVOC:	(mubArak)
          POS:	NOUN_PROP
          VOC:	mubArak
        GLOSS:	MUBARAK

 INPUT STRING:	واللى
     IS_TRANS:	wAllY
        INDEX:	P27W3
      OFFSETS:	10-15
       TOKENS:	P27W3-P27W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Aill~iy_1]
   UNSPLITVOC:	(wiAill~iy)
          POS:	CONJ+REL_PRON
          VOC:	wi+Aill~iy
        GLOSS:	and+which

 INPUT STRING:	موش
     IS_TRANS:	mw$
        INDEX:	P27W4
      OFFSETS:	16-19
       TOKENS:	P27W5-P27W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[muw$_1]
   UNSPLITVOC:	(muw$)
          POS:	NEG_PART
          VOC:	muw$
        GLOSS:	not

 INPUT STRING:	عاجبوا
     IS_TRANS:	EAjbwA
        INDEX:	P27W5
      OFFSETS:	20-26
       TOKENS:	P27W6-P27W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EAjab_1]
   UNSPLITVOC:	(EAjobuwA)
          POS:	PV+PVSUFF_SUBJ:3P
          VOC:	EAjob+uwA
        GLOSS:	like+they/he

 INPUT STRING:	حاجة
     IS_TRANS:	HAjp
        INDEX:	P27W6
      OFFSETS:	27-31
       TOKENS:	P27W7-P27W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAjap_1]
   UNSPLITVOC:	(HAjap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	HAj+ap
        GLOSS:	thing/belongings+[fem.sg.]

 INPUT STRING:	وهو
     IS_TRANS:	whw
        INDEX:	P27W7
      OFFSETS:	32-35
       TOKENS:	P27W8-P27W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[huw~a_1]
   UNSPLITVOC:	(wihuw~a)
          POS:	CONJ+PRON_3MS
          VOC:	wi+huw~a
