 INPUT STRING:	اولا
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lam~A_1]
   UNSPLITVOC:	(lam~A)
          POS:	SUB_CONJ
          VOC:	lam~A
        GLOSS:	as, when

 INPUT STRING:	يسيب
     IS_TRANS:	ysyb
        INDEX:	P7W8
      OFFSETS:	40-44
       TOKENS:	P7W8-P7W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sAb_1]
   UNSPLITVOC:	(yisiyb)
          POS:	IV3MS+IV
          VOC:	yi+siyb
        GLOSS:	he/it+leave/let

 INPUT STRING:	السلطة
     IS_TRANS:	AlslTp
        INDEX:	P7W9
      OFFSETS:	45-51
       TOKENS:	P7W9-P7W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[suloTap_1]
   UNSPLITVOC:	(Als~uloTap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+suloT+ap
        GLOSS:	the+power/authority/rule/authorities/powers/authorities/rules+[fem.sg.]

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P7W10
      OFFSETS:	52-54
       TOKENS:	P7W10-P7W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	معناة
     IS_TRANS:	mEnAp
        INDEX:	P7W11
      OFFSETS:	55-60
       TOKENS:	P7W11-P7W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maEonaY_1]
   UNSPLITVOC:	(maEonAh)
          POS:	NOUN+POSS_PRON_3MS
          VOC:	maEonA+uh
        GLOSS:	meaning/sense+his/its

 INPUT STRING:	ان
     IS_TRANS:	An
        INDEX:	P7W12
      OFFSETS:	61-63
       TOKENS:	P7W13-P7W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~)
          POS:	SUB_CONJ
          VOC:	<in~
        GLOSS:	that

 INPUT STRING:	البلد
     IS_TRANS:	Albld
        INDEX:	P7W13
      OFFSETS:	64-69
       TOKENS:	P7W14-P7W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[balad_1]
   UNSPLITVOC:	(Albalad)
          POS:	DET+NOUN
          VOC:	Al+balad
        GLOSS:	the+country/country/countries

 INPUT STRING:	هتدمر
     IS_TRANS:	htdmr
        INDEX:	P7W14
      OFFSETS:	70-75
       TOKENS:	P7W15-P7W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<idam~ar_1]
   UNSPLITVOC:	(Hatidam~ar)
          POS:	FUT_PART+IV3FS+IV_PASS
          VOC:	Ha+ti+dam~ar
        GLOSS:	will+it/they/she+be destroyed

 INPUT STRING:	الحصل
     IS_TRANS:	AlHSl
        INDEX:	P8W1
      OFFSETS:	0-5
       TOKENS:	P8W1-P8W1
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(AlHSl)
          POS:	TYPO
          VOC:	AlHSl
        GLOSS:	nogloss

 INPUT STRING:	النهاردة
     IS_TRANS:	AlnhArdp
        INDEX:	P8W2
      OFFSETS:	6-14
       TOKENS:	P8W2-P8W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nahArodah_1]
   UNSPLITVOC:	(Aln~ahArodah)
          POS:	DET+NOUN
          VOC:	Al+nahArodah
        GLOSS:	the+today

 INPUT STRING:	فتنا
     IS_TRANS:	ftnA
        INDEX:	P8W3
      OFFSETS:	15-19
       TOKENS:	P8W3-P8W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fitonap_1]
   UNSPLITVOC:	(fitonaA)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	fiton+ap
        GLOSS:	sedition/dissension/discord+[fem.sg.]

 INPUT STRING:	اشتعلت
     IS_TRANS:	A$tElt
        INDEX:	P8W4
      OFFSETS:	20-26
       TOKENS:	P8W4-P8W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ai$otaEal_1]
   UNSPLITVOC:	(Ai$otiEolit)
          POS:	PV+PVSUFF_SUBJ:3FS
          VOC:	Ai$otiEol+it
        GLOSS:	flare up/catch fire+it/they/she

 INPUT STRING:	لكى
     IS_TRANS:	lkY
        INDEX:	P8W5
      OFFSETS:	27-30
       TOKENS:	P8W5-P8W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[kay_1]
   UNSPLITVOC:	(likay)
          POS:	PREP+SUB_CONJ
          VOC:	li+kay
        GLOSS:	in order+that

 INPUT STRING:	تحمى
     IS_TRANS:	tHmY
        INDEX:	P8W6
      OFFSETS:	31-35
       TOKENS:	P8W7-P8W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hamay_1]
   UNSPLITVOC:	(tiHomiy)
          POS:	IV3FS+IV
          VOC:	ti+Homiy
        GLOSS:	it/they/she+defend/protect

 INPUT STRING:	الفسااااد
     IS_TRANS:	AlfsAAAAd
        INDEX:	P8W7
      OFFSETS:	36-45
       TOKENS:	P8W8-P8W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[fasAd_1]
   UNSPLITVOC:	(AlfasAd)
          POS:	DET+NOUN
          VOC:	Al+fasAd
        GLOSS:	the+corruption

 INPUT STRING:	الموجود
     IS_TRANS:	Almwjwd
        INDEX:	P8W8
      OFFSETS:	46-53
       TOKENS:	P8W9-P8W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mawjuwd_1]
   UNSPLITVOC:	(Almawjuwd)
          POS:	DET+ADJ
          VOC:	Al+mawjuwd
        GLOSS:	the+present/existing/found

 INPUT STRING:	دققو
     IS_TRANS:	dqqw
        INDEX:	P9W1
      OFFSETS:	0-4
       TOKENS:	P9W1-P9W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[daq~aq_1]
   UNSPLITVOC:	(daq~iquwA)
          POS:	CV+CVSUFF_SUBJ:2P
          VOC:	daq~iq+uwA
        GLOSS:	be prcise/be exact+you [verb][pl.]

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P9W2
      OFFSETS:	5-7
       TOKENS:	P9W2-P9W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	المشهد
     IS_TRANS:	Alm$hd
        INDEX:	P9W3
      OFFSETS:	8-14
       TOKENS:	P9W3-P9W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ma$ohad_1]
   UNSPLITVOC:	(Alma$ohad)
          POS:	DET+NOUN
          VOC:	Al+ma$ohad
        GLOSS:	the+scene

 INPUT STRING:	والجماهير
     IS_TRANS:	wAljmAhyr
        INDEX:	P9W4
      OFFSETS:	15-24
       TOKENS:	P9W4-P9W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jumohuwr_1]
   UNSPLITVOC:	(wiAljamAhiyr)
          POS:	CONJ+DET+NOUN
          VOC:	wi+Al+jamAhiyr
        GLOSS:	and+the+masses

 INPUT STRING:	نزلة
     IS_TRANS:	nzlp
        INDEX:	P9W5
      OFFSETS:	25-29
       TOKENS:	P9W6-P9W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nAzil_1]
   UNSPLITVOC:	(nazolap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	nazol+ap
        GLOSS:	descending+[fem.sg.]

 INPUT STRING:	الامن
     IS_TRANS:	AlAmn
        INDEX:	P9W6
      OFFSETS:	30-35
       TOKENS:	P9W7-P9W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>amon_1]
   UNSPLITVOC:	(Al>amon)
          POS:	DET+NOUN
          VOC:	Al+>amon
        GLOSS:	the+security/safety

 INPUT STRING:	الم
     IS_TRANS:	Alm
        INDEX:	P9W7
      OFFSETS:	36-39
       TOKENS:	P9W8-P9W8
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(Alm)
          POS:	TYPO
          VOC:	Alm
        GLOSS:	nogloss

 INPUT STRING:	ركزى
     IS_TRANS:	rkzY
        INDEX:	P9W8
      OFFSETS:	40-44
       TOKENS:	P9W9-P9W9
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(rkzY)
          POS:	TYPO
          VOC:	rkzY
        GLOSS:	nogloss

 INPUT STRING:	عامل
     IS_TRANS:	EAml
        INDEX:	P9W9
      OFFSETS:	45-49
       TOKENS:	P9W10-P9W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EAmil_1]
   UNSPLITVOC:	(EAmil)
          POS:	ADJ
          VOC:	EAmil
        GLOSS:	active/operating/working/making

 INPUT STRING:	سد
     IS_TRANS:	sd
        INDEX:	P9W10
      OFFSETS:	50-52
       TOKENS:	P9W11-P9W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sud~_1]
   UNSPLITVOC:	(sud~)
          POS:	NOUN
          VOC:	sud~
        GLOSS:	dam

 INPUT STRING:	الناس
     IS_TRANS:	AlnAs
        INDEX:	P9W11
      OFFSETS:	53-58
       TOKENS:	P9W12-P9W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nAs_1]
   UNSPLITVOC:	(Aln~As)
          POS:	DET+NOUN
          VOC:	Al+nAs
        GLOSS:	the+people

 INPUT STRING:	نزلة
     IS_TRANS:	nzlp
        INDEX:	P9W12
      OFFSETS:	59-63
       TOKENS:	P9W13-P9W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nAzil_1]
   UNSPLITVOC:	(nazolap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	nazol+ap
        GLOSS:	descending+[fem.sg.]

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P9W13
      OFFSETS:	64-66
       TOKENS:	P9W14-P9W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	المدرج
     IS_TRANS:	Almdrj
        INDEX:	P9W14
      OFFSETS:	67-73
       TOKENS:	P9W15-P9W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mudar~aj_1]
   UNSPLITVOC:	(Almudar~aj)
          POS:	DET+NOUN
          VOC:	Al+mudar~aj
        GLOSS:	the+amphitheater/bleachers

 INPUT STRING:	حتى
     IS_TRANS:	HtY
        INDEX:	P9W15
      OFFSETS:	74-77
       TOKENS:	P9W16-P9W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hat~aY_1]
   UNSPLITVOC:	(Hat~aY)
          POS:	PART
          VOC:	Hat~aY
        GLOSS:	even/including

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P9W16
      OFFSETS:	78-80
       TOKENS:	P9W17-P9W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	بيحولو
     IS_TRANS:	byHwlw
        INDEX:	P9W17
      OFFSETS:	81-87
       TOKENS:	P9W18-P9W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Haw~il_1]
   UNSPLITVOC:	(biyiHaw~iluwA)
          POS:	PROG_PART+IV3P+IV+IVSUFF_SUBJ:P
          VOC:	bi+yi+Haw~il+uwA
        GLOSS:	[present-tense]+they+try/attempt+[pl.]

 INPUT STRING:	يحوشوهم
     IS_TRANS:	yHw$whm
        INDEX:	P9W18
      OFFSETS:	88-95
       TOKENS:	P9W20-P9W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Haw~i$_1]
   UNSPLITVOC:	(yiHaw~i$uwhum)
          POS:	IV3P+IV+IVSUFF_SUBJ:P+IVSUFF_DO:3P
          VOC:	yi+Haw~i$+uwA+hum
        GLOSS:	they+prevent+[pl.]+them

 INPUT STRING:	وقفين
     IS_TRANS:	wqfyn
        INDEX:	P9W19
      OFFSETS:	96-101
       TOKENS:	P9W22-P9W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wAqif_1]
   UNSPLITVOC:	(waqofiyn)
          POS:	ADJ.VN+NSUFF_MASC_PL
          VOC:	waqof+iyn
        GLOSS:	standing up+[pl.]

 INPUT STRING:	زي
     IS_TRANS:	zy
        INDEX:	P9W20
      OFFSETS:	102-104
       TOKENS:	P9W23-P9W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[zay~_1]
   UNSPLITVOC:	(zay~)
          POS:	NOUN
          VOC:	zay~
        GLOSS:	like/such as

 INPUT STRING:	يافطات
     IS_TRANS:	yAfTAt
        INDEX:	P9W21
      OFFSETS:	105-111
       TOKENS:	P9W24-P9W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yAfoTAp_1]
   UNSPLITVOC:	(yAfoTAt)
          POS:	NOUN+NSUFF_FEM_PL
          VOC:	yAfoT+At
        GLOSS:	placard/sign+[fem.pl.]

 INPUT STRING:	الاعلاين
     IS_TRANS:	AlAElAyn
        INDEX:	P9W22
      OFFSETS:	112-120
       TOKENS:	P9W25-P9W25
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(AlAElAyn)
          POS:	TYPO
          VOC:	AlAElAyn
        GLOSS:	nogloss

 INPUT STRING:	الى
     IS_TRANS:	AlY
        INDEX:	P9W23
      OFFSETS:	121-124
       TOKENS:	P9W26-P9W26
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	which/who/whom

 INPUT STRING:	ب
     IS_TRANS:	b
        INDEX:	P9W24
      OFFSETS:	125-126
       TOKENS:	P9W27-P9W27
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(b)
          POS:	TYPO
          VOC:	b
        GLOSS:	nogloss

 INPUT STRING:	تكون
     IS_TRANS:	tkwn
        INDEX:	P9W25
      OFFSETS:	127-131
       TOKENS:	P9W28-P9W28
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(tikuwn)
          POS:	IV3FS+IV
          VOC:	ti+kuwn
        GLOSS:	it/they/she+be

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P9W26
      OFFSETS:	132-135
       TOKENS:	P9W29-P9W29
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	التراك
     IS_TRANS:	AltrAk
        INDEX:	P9W27
      OFFSETS:	136-142
       TOKENS:	P9W30-P9W30
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(AltrAk)
          POS:	FOREIGN
          VOC:	AltrAk
        GLOSS:	nogloss

 INPUT STRING:	دول
     IS_TRANS:	dwl
        INDEX:	P10W1
      OFFSETS:	0-3
       TOKENS:	P10W1-P10W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dawol_1]
   UNSPLITVOC:	(dawol)
          POS:	DEM_PRON_P
          VOC:	dawol
        GLOSS:	these/those

 INPUT STRING:	اخديييين
     IS_TRANS:	Axdyyyyn
        INDEX:	P10W2
      OFFSETS:	4-12
       TOKENS:	P10W2-P10W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[|xid_1]
   UNSPLITVOC:	(|xdiyn)
          POS:	ADJ+NSUFF_MASC_PL
          VOC:	|xd+iyn
        GLOSS:	taking+[pl.]

 INPUT STRING:	امر
     IS_TRANS:	Amr
        INDEX:	P10W3
      OFFSETS:	13-16
       TOKENS:	P10W3-P10W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>amor_1]
   UNSPLITVOC:	(>amor)
          POS:	NOUN.VN
          VOC:	>amor
        GLOSS:	order/command/orders/commands

 INPUT STRING:	انهم
     IS_TRANS:	Anhm
        INDEX:	P10W4
      OFFSETS:	17-21
       TOKENS:	P10W4-P10W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~uhum)
          POS:	SUB_CONJ+PRON_3P
          VOC:	<in~+hum
        GLOSS:	that+they

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P10W5
      OFFSETS:	22-24
       TOKENS:	P10W6-P10W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	يتحركوووو
     IS_TRANS:	ytHrkwwww
        INDEX:	P10W6
      OFFSETS:	25-34
       TOKENS:	P10W7-P10W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<itHar~ak_1]
   UNSPLITVOC:	(yitHar~akuwA)
          POS:	IV3P+IV+IVSUFF_SUBJ:P
          VOC:	yi+tHar~ak+uwA
        GLOSS:	they+move+[pl.]

 INPUT STRING:	ولا
     IS_TRANS:	wlA
        INDEX:	P10W7
      OFFSETS:	35-38
       TOKENS:	P10W8-P10W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lA_1]
   UNSPLITVOC:	(walA)
          POS:	CONJ+NEG_PART
          VOC:	wa+lA
        GLOSS:	and+no/not

 INPUT STRING:	ليهم
     IS_TRANS:	lyhm
        INDEX:	P10W8
      OFFSETS:	39-43
       TOKENS:	P10W10-P10W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[li_1]
   UNSPLITVOC:	(liyhum)
          POS:	PREP+PRON_3P
          VOC:	li+hum
        GLOSS:	to/for+them

 INPUT STRING:	دعوة
     IS_TRANS:	dEwp
        INDEX:	P10W9
      OFFSETS:	44-48
       TOKENS:	P10W12-P10W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[daEowap_1]
   UNSPLITVOC:	(daEowap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	daEow+ap
        GLOSS:	matter/affair/case+[fem.sg.]

 INPUT STRING:	بل
     IS_TRANS:	bl
        INDEX:	P10W10
      OFFSETS:	49-51
       TOKENS:	P10W13-P10W13
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(bl)
          POS:	TYPO
          VOC:	bl
        GLOSS:	nogloss

 INPUT STRING:	ها
     IS_TRANS:	hA
        INDEX:	P10W11
      OFFSETS:	52-54
       TOKENS:	P10W14-P10W14
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(hA)
          POS:	TYPO
          VOC:	hA
        GLOSS:	nogloss

 INPUT STRING:	يحصل
     IS_TRANS:	yHSl
        INDEX:	P10W12
      OFFSETS:	55-59
       TOKENS:	P10W15-P10W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HaSal_1]
   UNSPLITVOC:	(yiHoSal)
          POS:	IV3MS+IV
          VOC:	yi+HoSal
        GLOSS:	he/it+occur/happen/take place

 INPUT STRING:	لان
     IS_TRANS:	lAn
        INDEX:	P11W1
      OFFSETS:	0-3
       TOKENS:	P11W1-P11W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(li<in~)
          POS:	PREP+SUB_CONJ
          VOC:	li+<in~
        GLOSS:	for/to+that

 INPUT STRING:	الى
     IS_TRANS:	AlY
        INDEX:	P11W2
      OFFSETS:	4-7
       TOKENS:	P11W3-P11W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	which/who/whom

 INPUT STRING:	حص
     IS_TRANS:	HS
        INDEX:	P11W3
      OFFSETS:	8-10
       TOKENS:	P11W4-P11W4
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(HS)
          POS:	TYPO
          VOC:	HS
        GLOSS:	nogloss

 INPUT STRING:	ل
     IS_TRANS:	l
        INDEX:	P11W4
      OFFSETS:	11-12
       TOKENS:	P11W5-P11W5
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(l)
          POS:	TYPO
          VOC:	l
        GLOSS:	nogloss

 INPUT STRING:	كان
     IS_TRANS:	kAn
        INDEX:	P11W5
      OFFSETS:	13-16
       TOKENS:	P11W6-P11W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(kAn)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	kAn+(null)
        GLOSS:	be+he/it

 INPUT STRING:	مترتب
     IS_TRANS:	mtrtb
        INDEX:	P11W6
      OFFSETS:	17-22
       TOKENS:	P11W7-P11W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mitorat~ib_1]
   UNSPLITVOC:	(mitorat~ib)
          POS:	ADJ
          VOC:	mitorat~ib
        GLOSS:	arranged/organized

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P11W7
      OFFSETS:	23-25
       TOKENS:	P11W8-P11W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	اتوبيسات
     IS_TRANS:	AtwbysAt
        INDEX:	P11W8
      OFFSETS:	26-34
       TOKENS:	P11W9-P11W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Autuwbiys_1]
   UNSPLITVOC:	(AutuwbiysAt)
          POS:	NOUN+NSUFF_FEM_PL
          VOC:	Autuwbiys+At
        GLOSS:	buses+[fem.pl.]

 INPUT STRING:	اجت
     IS_TRANS:	Ajt
        INDEX:	P11W9
      OFFSETS:	35-38
       TOKENS:	P11W10-P11W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AijA_1]
   UNSPLITVOC:	(Aijit)
          POS:	PV+PVSUFF_SUBJ:3FS
          VOC:	Aij+it
        GLOSS:	come+it/they/she

 INPUT STRING:	بورسعيد
     IS_TRANS:	bwrsEyd
        INDEX:	P11W10
      OFFSETS:	39-46
       TOKENS:	P11W11-P11W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[buwrsaEiyd_1]
   UNSPLITVOC:	(buwrsaEiyd)
          POS:	NOUN_PROP
          VOC:	buwrsaEiyd
        GLOSS:	Boursaid

 INPUT STRING:	كا
     IS_TRANS:	kA
        INDEX:	P11W11
      OFFSETS:	47-49
       TOKENS:	P11W12-P11W12
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
