 INPUT STRING:	متى
     IS_TRANS:	Drwrp
        INDEX:	P28W22
      OFFSETS:	112-117
       TOKENS:	P28W27-P28W27
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Daruwrap_1]
   UNSPLITVOC:	(Daruwrap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	Daruwr+ap
        GLOSS:	necessity/need/imperative+[fem.sg.]

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P28W23
      OFFSETS:	118-119
       TOKENS:	P28W28-P28W28
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(w)
          POS:	TYPO
          VOC:	w
        GLOSS:	nogloss

 INPUT STRING:	مشروع
     IS_TRANS:	m$rwE
        INDEX:	P28W24
      OFFSETS:	120-125
       TOKENS:	P28W29-P28W29
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ma$oruwE_1]
   UNSPLITVOC:	(ma$oruwE)
          POS:	ADJ
          VOC:	ma$oruwE
        GLOSS:	lawful/legal

