 INPUT STRING:	سلاموا
       TOKENS:	P41W3-P41W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HATiT_1]
   UNSPLITVOC:	(HAT~ap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	HAT~+ap
        GLOSS:	putting down+[fem.sg.]

 INPUT STRING:	صوره
     IS_TRANS:	Swrh
        INDEX:	P41W3
      OFFSETS:	10-14
       TOKENS:	P41W4-P41W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Suwrap_1]
   UNSPLITVOC:	(Suwrap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	Suwr+ap
        GLOSS:	picture/image/illustration/photo+[fem.sg.]

 INPUT STRING:	التعليقات
     IS_TRANS:	AltElyqAt
        INDEX:	P41W4
      OFFSETS:	15-24
       TOKENS:	P41W5-P41W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[taEoliyq_1]
   UNSPLITVOC:	(Alt~aEoliyqAt)
          POS:	DET+NOUN+NSUFF_FEM_PL
          VOC:	Al+taEoliyq+At
        GLOSS:	the+comments/remarks+[fem.pl.]

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P41W5
      OFFSETS:	25-27
       TOKENS:	P41W6-P41W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	تويتر
     IS_TRANS:	twytr
        INDEX:	P41W6
      OFFSETS:	28-33
       TOKENS:	P41W7-P41W7
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[twytr_1]
   UNSPLITVOC:	(twytr)
          POS:	FOREIGN
          VOC:	twytr
        GLOSS:	twitter

 INPUT STRING:	بس
     IS_TRANS:	bs
        INDEX:	P41W7
      OFFSETS:	34-36
       TOKENS:	P41W8-P41W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bas~_1]
   UNSPLITVOC:	(bas~)
          POS:	CONJ
          VOC:	bas~
        GLOSS:	but

 INPUT STRING:	الاداره
     IS_TRANS:	AlAdArh
        INDEX:	P41W8
      OFFSETS:	37-44
       TOKENS:	P41W9-P41W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AidArap_1]
   UNSPLITVOC:	(AlAidArap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+AidAr+ap
        GLOSS:	the+administration/management/bureau+[fem.sg.]

 INPUT STRING:	حذفتها
     IS_TRANS:	H*fthA
        INDEX:	P41W9
      OFFSETS:	45-51
       TOKENS:	P41W10-P41W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Ha*af_1]
   UNSPLITVOC:	(Ha*afithA)
          POS:	PV+PVSUFF_SUBJ:3FS+PVSUFF_DO:3FS
          VOC:	Ha*af+it+hA
        GLOSS:	delete/discard+it/they/she [verb]+it/them/her

 INPUT STRING:	!
     IS_TRANS:	!
        INDEX:	P41W10
      OFFSETS:	52-53
       TOKENS:	P41W12-P41W12
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(!)
          POS:	PUNC
          VOC:	!
        GLOSS:	!

 INPUT STRING:	!
     IS_TRANS:	!
        INDEX:	P41W11
      OFFSETS:	53-54
       TOKENS:	P41W13-P41W13
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(!)
          POS:	PUNC
          VOC:	!
        GLOSS:	!

 INPUT STRING:	!
     IS_TRANS:	!
        INDEX:	P41W12
      OFFSETS:	54-55
       TOKENS:	P41W14-P41W14
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(!)
          POS:	PUNC
          VOC:	!
        GLOSS:	!

 INPUT STRING:	تمااااااااااااااااااااااااااام
     IS_TRANS:	tmAAAAAAAAAAAAAAAAAAAAAAAAAAAm
        INDEX:	P42W1
      OFFSETS:	0-30
       TOKENS:	P42W1-P42W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[tamAm_1]
   UNSPLITVOC:	(tamAm)
          POS:	ADJ
          VOC:	tamAm
        GLOSS:	exact/complete

 INPUT STRING:	الله
     IS_TRANS:	Allh
        INDEX:	P42W2
      OFFSETS:	31-35
       TOKENS:	P42W2-P42W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(All~ah)
          POS:	NOUN_PROP
          VOC:	All~ah
        GLOSS:	Allah/God

 INPUT STRING:	ينور
     IS_TRANS:	ynwr
        INDEX:	P42W3
      OFFSETS:	36-40
       TOKENS:	P42W3-P42W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[naw~ar_1]
   UNSPLITVOC:	(yinaw~ar)
          POS:	IV3MS+IV
          VOC:	yi+naw~ar
        GLOSS:	he/it+shed light/enlighten

 INPUT STRING:	عليكي
     IS_TRANS:	Elyky
        INDEX:	P42W4
      OFFSETS:	41-46
       TOKENS:	P42W4-P42W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(Ealaykiy)
          POS:	PREP+PRON_2FS
          VOC:	EalaY+ik
        GLOSS:	on/above+you [fem.sg.]

 INPUT STRING:	هوا
     IS_TRANS:	hwA
        INDEX:	P42W5
      OFFSETS:	47-50
       TOKENS:	P42W6-P42W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[huw~a_1]
   UNSPLITVOC:	(huw~a)
          POS:	PRON_3MS
          VOC:	huw~a
        GLOSS:	he/it

 INPUT STRING:	كده
     IS_TRANS:	kdh
        INDEX:	P42W6
      OFFSETS:	51-54
       TOKENS:	P42W7-P42W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kidah_1]
   UNSPLITVOC:	(kidah)
          POS:	NOUN
          VOC:	kidah
        GLOSS:	like that

 INPUT STRING:	بالظبط
     IS_TRANS:	bAlZbT
        INDEX:	P42W7
      OFFSETS:	55-61
       TOKENS:	P42W8-P42W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ZaboT_1]
   UNSPLITVOC:	(biAlZ~aboT)
          POS:	PREP+DET+NOUN
          VOC:	bi+Al+ZaboT
        GLOSS:	with/by+the+adjusting/regulating/precision

