 INPUT STRING:	حدث
      OFFSETS:	96-98
       TOKENS:	P4W20-P4W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	أبو
     IS_TRANS:	>bw
        INDEX:	P4W19
      OFFSETS:	99-102
       TOKENS:	P4W21-P4W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>abuw_1]
   UNSPLITVOC:	(>abuw)
          POS:	NOUN_PROP
          VOC:	>abuw
        GLOSS:	Abu

 INPUT STRING:	قير
     IS_TRANS:	qyr
        INDEX:	P4W20
      OFFSETS:	103-106
       TOKENS:	P4W22-P4W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qiyr_1]
   UNSPLITVOC:	(qiyr)
          POS:	NOUN_PROP
          VOC:	qiyr
        GLOSS:	Qir

 INPUT STRING:	لغاية
     IS_TRANS:	lgAyp
        INDEX:	P4W21
      OFFSETS:	107-112
       TOKENS:	P4W23-P4W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[gAyap_1]
   UNSPLITVOC:	(ligAyap)
          POS:	PREP+NOUN+NSUFF_FEM_SG
          VOC:	li+gAy+ap
        GLOSS:	for/to+goal/objective/purpose/intention/goals/objectives+[fem.sg.]

 INPUT STRING:	محطة
     IS_TRANS:	mHTp
        INDEX:	P4W22
      OFFSETS:	113-117
       TOKENS:	P4W25-P4W25
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maHaT~ap_1]
   UNSPLITVOC:	(maHaT~ap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	maHaT~+ap
        GLOSS:	station/stop/layover+[fem.sg.]

 INPUT STRING:	مصر
     IS_TRANS:	mSr
        INDEX:	P4W23
      OFFSETS:	118-121
       TOKENS:	P4W26-P4W26
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maSor_1]
   UNSPLITVOC:	(maSor)
          POS:	NOUN_PROP
          VOC:	maSor
        GLOSS:	Egypt

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P4W24
      OFFSETS:	122-123
       TOKENS:	P4W27-P4W27
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wi_1]
   UNSPLITVOC:	(wi)
          POS:	CONJ
          VOC:	wi
        GLOSS:	and

 INPUT STRING:	تخدم
     IS_TRANS:	txdm
        INDEX:	P4W25
      OFFSETS:	124-128
       TOKENS:	P4W28-P4W28
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xadam_1]
   UNSPLITVOC:	(tixodim)
          POS:	IV3FS+IV
          VOC:	ti+xodim
        GLOSS:	she/it+serve/assist

 INPUT STRING:	العديد
     IS_TRANS:	AlEdyd
        INDEX:	P4W26
      OFFSETS:	129-135
       TOKENS:	P4W29-P4W29
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eadiyd_1]
   UNSPLITVOC:	(AlEadiyd)
          POS:	DET+ADJ
          VOC:	Al+Eadiyd
        GLOSS:	the+numerous/many

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P4W27
      OFFSETS:	136-137
       TOKENS:	P4W30-P4W30
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wi_1]
   UNSPLITVOC:	(wi)
          POS:	CONJ
          VOC:	wi
        GLOSS:	and

 INPUT STRING:	العديد
     IS_TRANS:	AlEdyd
        INDEX:	P4W28
      OFFSETS:	138-144
       TOKENS:	P4W31-P4W31
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eadiyd_1]
   UNSPLITVOC:	(AlEadiyd)
          POS:	DET+ADJ
          VOC:	Al+Eadiyd
        GLOSS:	the+numerous/many

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P4W29
      OFFSETS:	145-147
       TOKENS:	P4W32-P4W32
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	سكان
     IS_TRANS:	skAn
        INDEX:	P4W30
      OFFSETS:	148-152
       TOKENS:	P4W33-P4W33
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sAkin_1]
   UNSPLITVOC:	(suk~An)
          POS:	NOUN
          VOC:	suk~An
        GLOSS:	residents/inhabitants

 INPUT STRING:	الأسكندرية
     IS_TRANS:	Al>skndryp
        INDEX:	P4W31
      OFFSETS:	153-163
       TOKENS:	P4W34-P4W34
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aisokinodiriy~ap_1]
   UNSPLITVOC:	(AlAisokinodiriy~ap)
          POS:	DET+NOUN_PROP+NSUFF_FEM_SG
          VOC:	Al+Aisokinodiriy~+ap
        GLOSS:	the+Alxandria+[fem.sg.]

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P4W32
      OFFSETS:	164-165
       TOKENS:	P4W35-P4W35
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P4W33
      OFFSETS:	165-166
       TOKENS:	P4W36-P4W36
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P4W34
      OFFSETS:	166-167
       TOKENS:	P4W37-P4W37
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P4W35
      OFFSETS:	167-168
       TOKENS:	P4W38-P4W38
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	قام
     IS_TRANS:	qAm
        INDEX:	P5W1
      OFFSETS:	1-4
       TOKENS:	P5W1-P5W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAm_1]
   UNSPLITVOC:	(qAm)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	qAm+(null)
        GLOSS:	be based (on)+he/it

 INPUT STRING:	اللصوص
     IS_TRANS:	AllSwS
        INDEX:	P5W2
      OFFSETS:	5-11
       TOKENS:	P5W2-P5W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[lis~_1]
   UNSPLITVOC:	(AlluSuwS)
          POS:	DET+NOUN
          VOC:	Al+luSuwS
        GLOSS:	the+thieves

 INPUT STRING:	بأحتلال
     IS_TRANS:	b>HtlAl
        INDEX:	P5W3
      OFFSETS:	12-19
       TOKENS:	P5W3-P5W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AiHotilAl_1]
   UNSPLITVOC:	(biAiHotilAl)
          POS:	PREP+NOUN
          VOC:	bi+AiHotilAl
        GLOSS:	with/by+occupation

 INPUT STRING:	اخر
     IS_TRANS:	Axr
        INDEX:	P5W4
      OFFSETS:	20-23
       TOKENS:	P5W5-P5W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[|axir_1]
   UNSPLITVOC:	(|axir)
          POS:	ADJ
          VOC:	|axir
        GLOSS:	last

 INPUT STRING:	عربيتين
     IS_TRANS:	Erbytyn
        INDEX:	P5W5
      OFFSETS:	24-31
       TOKENS:	P5W6-P5W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Earabiy~ap_1]
   UNSPLITVOC:	(Earabiy~atayn)
          POS:	NOUN+NSUFF_FEM_DU
          VOC:	Earabiy~+atayn
        GLOSS:	cars+two

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P5W6
      OFFSETS:	32-34
       TOKENS:	P5W7-P5W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	القطار
     IS_TRANS:	AlqTAr
        INDEX:	P5W7
      OFFSETS:	35-41
       TOKENS:	P5W8-P5W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qiTAr_1]
   UNSPLITVOC:	(AlqiTAr)
          POS:	DET+NOUN
          VOC:	Al+qiTAr
        GLOSS:	the+train

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P5W8
      OFFSETS:	42-43
       TOKENS:	P5W9-P5W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wi_1]
   UNSPLITVOC:	(wi)
          POS:	CONJ
          VOC:	wi
        GLOSS:	and

 INPUT STRING:	ركز
     IS_TRANS:	rkz
        INDEX:	P5W9
      OFFSETS:	44-47
       TOKENS:	P5W10-P5W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rak~iz_1]
   UNSPLITVOC:	(rak~iz)
          POS:	CV+CVSUFF_SUBJ:2MS
          VOC:	rak~iz+(null)
        GLOSS:	focus/concentrate/emphasize+you

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P5W10
      OFFSETS:	48-51
       TOKENS:	P5W11-P5W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	موضوع
     IS_TRANS:	mwDwE
        INDEX:	P5W11
      OFFSETS:	52-57
       TOKENS:	P5W12-P5W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mawDuwE_1]
   UNSPLITVOC:	(mawDuwE)
          POS:	NOUN
          VOC:	mawDuwE
        GLOSS:	subject/theme/issue

 INPUT STRING:	عربيتين
     IS_TRANS:	Erbytyn
        INDEX:	P5W12
      OFFSETS:	58-65
       TOKENS:	P5W13-P5W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Earabiy~ap_1]
   UNSPLITVOC:	(Earabiy~atayn)
          POS:	NOUN+NSUFF_FEM_DU
          VOC:	Earabiy~+atayn
        GLOSS:	cars+two

 INPUT STRING:	بحالهم
     IS_TRANS:	bHAlhm
        INDEX:	P5W13
      OFFSETS:	66-72
       TOKENS:	P5W14-P5W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAl_1]
   UNSPLITVOC:	(biHAlhum)
          POS:	PREP+NOUN+POSS_PRON_3P
          VOC:	bi+HAl+hum
        GLOSS:	with/by+situation/condition/case/situations/conditions/cases+their

 INPUT STRING:	!
     IS_TRANS:	!
        INDEX:	P5W14
      OFFSETS:	73-74
       TOKENS:	P5W17-P5W17
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(!)
          POS:	PUNC
          VOC:	!
        GLOSS:	!

 INPUT STRING:	!
     IS_TRANS:	!
        INDEX:	P5W15
      OFFSETS:	74-75
       TOKENS:	P5W18-P5W18
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(!)
          POS:	PUNC
          VOC:	!
        GLOSS:	!

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P6W1
      OFFSETS:	1-2
       TOKENS:	P6W1-P6W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wi_1]
   UNSPLITVOC:	(wi)
          POS:	CONJ
          VOC:	wi
        GLOSS:	and

 INPUT STRING:	قاموا
     IS_TRANS:	qAmwA
        INDEX:	P6W2
      OFFSETS:	3-8
       TOKENS:	P6W2-P6W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAm_1]
   UNSPLITVOC:	(qAmuwA)
          POS:	PV+PVSUFF_SUBJ:3P
          VOC:	qAm+uwA
        GLOSS:	be based (on)+they

 INPUT STRING:	بتهديد
     IS_TRANS:	bthdyd
        INDEX:	P6W3
      OFFSETS:	9-15
       TOKENS:	P6W3-P6W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tahodiyd_1]
   UNSPLITVOC:	(bitahodiyd)
          POS:	PREP+NOUN
          VOC:	bi+tahodiyd
        GLOSS:	with/by+threatening/menacing

 INPUT STRING:	جميع
     IS_TRANS:	jmyE
        INDEX:	P6W4
      OFFSETS:	16-20
       TOKENS:	P6W5-P6W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[jamiyE_1]
   UNSPLITVOC:	(jamiyE)
          POS:	NOUN_QUANT
          VOC:	jamiyE
        GLOSS:	all, entire, every, whole

 INPUT STRING:	الركاب
     IS_TRANS:	AlrkAb
        INDEX:	P6W5
      OFFSETS:	21-27
       TOKENS:	P6W6-P6W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rikAb_1]
   UNSPLITVOC:	(Alr~ikAb)
          POS:	DET+NOUN
          VOC:	Al+rikAb
        GLOSS:	the+riders/passengers

 INPUT STRING:	بالأسلحة
     IS_TRANS:	bAl>slHp
        INDEX:	P6W6
      OFFSETS:	28-36
       TOKENS:	P6W7-P6W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[silAH_1]
   UNSPLITVOC:	(biAl>asliHap)
          POS:	PREP+DET+NOUN+NSUFF_FEM_SG
          VOC:	bi+Al+>asliH+ap
        GLOSS:	with/by+the+weapons+[fem.sg.]

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P6W7
      OFFSETS:	37-38
       TOKENS:	P6W9-P6W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wi_1]
   UNSPLITVOC:	(wi)
          POS:	CONJ
          VOC:	wi
        GLOSS:	and

 INPUT STRING:	قاموا
     IS_TRANS:	qAmwA
        INDEX:	P6W8
      OFFSETS:	39-44
       TOKENS:	P6W10-P6W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAm_1]
   UNSPLITVOC:	(qAmuwA)
          POS:	PV+PVSUFF_SUBJ:3P
          VOC:	qAm+uwA
        GLOSS:	be based (on)+they

 INPUT STRING:	بسرقة
     IS_TRANS:	bsrqp
        INDEX:	P6W9
      OFFSETS:	45-50
       TOKENS:	P6W11-P6W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[siroqap_1]
   UNSPLITVOC:	(bisiroqap)
          POS:	PREP+NOUN+NSUFF_FEM_SG
          VOC:	bi+siroq+ap
        GLOSS:	with/by+stealing/theft/heist+[fem.sg.]

 INPUT STRING:	كل
     IS_TRANS:	kl
        INDEX:	P6W10
      OFFSETS:	51-53
       TOKENS:	P6W13-P6W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(kul~)
          POS:	NOUN_QUANT
          VOC:	kul~
        GLOSS:	all/the entire

 INPUT STRING:	ما
     IS_TRANS:	mA
        INDEX:	P6W11
      OFFSETS:	54-56
       TOKENS:	P6W14-P6W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mA_1]
   UNSPLITVOC:	(mA)
          POS:	REL_PRON
          VOC:	mA
        GLOSS:	what/which

 INPUT STRING:	يحمله
     IS_TRANS:	yHmlh
        INDEX:	P6W12
      OFFSETS:	57-62
       TOKENS:	P6W15-P6W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Hamal_1]
   UNSPLITVOC:	(yiHmiluh)
          POS:	IV3MS+IV+IVSUFF_DO:3MS
          VOC:	yi+Hmil+uh
        GLOSS:	he/it+carry/bear/transport+him/it

 INPUT STRING:	الركاب
     IS_TRANS:	AlrkAb
        INDEX:	P6W13
      OFFSETS:	63-69
       TOKENS:	P6W17-P6W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rikAb_1]
   UNSPLITVOC:	(Alr~ikAb)
          POS:	DET+NOUN
          VOC:	Al+rikAb
        GLOSS:	the+rider/passengers

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P6W14
      OFFSETS:	70-72
       TOKENS:	P6W18-P6W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	موبايلات
     IS_TRANS:	mwbAylAt
        INDEX:	P6W15
      OFFSETS:	73-81
       TOKENS:	P6W19-P6W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[muwbAyil_1]
   UNSPLITVOC:	(muwbAyolAt)
          POS:	NOUN+NSUFF_FEM_PL
          VOC:	muwbAyol+At
        GLOSS:	cell phones/mobiles+[fem.pl.]

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P6W16
      OFFSETS:	82-83
       TOKENS:	P6W20-P6W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wi_1]
   UNSPLITVOC:	(wi)
          POS:	CONJ
          VOC:	wi
        GLOSS:	and

 INPUT STRING:	ذهب
     IS_TRANS:	*hb
        INDEX:	P6W17
      OFFSETS:	84-87
       TOKENS:	P6W21-P6W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[*ahab_1]
   UNSPLITVOC:	(*ahab)
          POS:	NOUN
          VOC:	*ahab
        GLOSS:	gold

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P6W18
      OFFSETS:	88-89
       TOKENS:	P6W22-P6W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wi_1]
   UNSPLITVOC:	(wi)
          POS:	CONJ
          VOC:	wi
        GLOSS:	and

 INPUT STRING:	فلوس
     IS_TRANS:	flws
        INDEX:	P6W19
      OFFSETS:	90-94
       TOKENS:	P6W23-P6W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[filuws_1]
   UNSPLITVOC:	(filuws)
          POS:	NOUN
          VOC:	filuws
        GLOSS:	money

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P6W20
      OFFSETS:	95-96
       TOKENS:	P6W24-P6W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wi_1]
   UNSPLITVOC:	(wi)
          POS:	CONJ
          VOC:	wi
        GLOSS:	and

 INPUT STRING:	كل
     IS_TRANS:	kl
        INDEX:	P6W21
      OFFSETS:	97-99
       TOKENS:	P6W25-P6W25
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(kul~)
          POS:	NOUN_QUANT
          VOC:	kul~
        GLOSS:	all/the entire

 INPUT STRING:	شئ
     IS_TRANS:	$}
        INDEX:	P6W22
      OFFSETS:	100-102
       TOKENS:	P6W26-P6W26
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[$iy}_1]
   UNSPLITVOC:	($iy})
          POS:	NOUN
          VOC:	$iy}
        GLOSS:	thing/something

 INPUT STRING:	!
     IS_TRANS:	!
        INDEX:	P6W23
      OFFSETS:	103-104
       TOKENS:	P6W27-P6W27
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(!)
          POS:	PUNC
          VOC:	!
        GLOSS:	!

 INPUT STRING:	!
     IS_TRANS:	!
        INDEX:	P6W24
      OFFSETS:	104-105
       TOKENS:	P6W28-P6W28
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(!)
          POS:	PUNC
          VOC:	!
        GLOSS:	!

 INPUT STRING:	!
     IS_TRANS:	!
        INDEX:	P6W25
      OFFSETS:	105-106
       TOKENS:	P6W29-P6W29
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(!)
          POS:	PUNC
          VOC:	!
        GLOSS:	!

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P7W1
      OFFSETS:	1-2
       TOKENS:	P7W1-P7W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wi_1]
   UNSPLITVOC:	(wi)
          POS:	CONJ
          VOC:	wi
        GLOSS:	and

 INPUT STRING:	اى
     IS_TRANS:	AY
        INDEX:	P7W2
      OFFSETS:	3-5
       TOKENS:	P7W2-P7W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aay~_1]
   UNSPLITVOC:	(>ay~)
          POS:	NOUN_QUANT
          VOC:	>ay~
        GLOSS:	any

 INPUT STRING:	راكب
     IS_TRANS:	rAkb
        INDEX:	P7W3
      OFFSETS:	6-10
       TOKENS:	P7W3-P7W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rAkib_1]
   UNSPLITVOC:	(rAkib)
          POS:	NOUN
          VOC:	rAkib
        GLOSS:	rider/passenger/riders/passengers

 INPUT STRING:	يعترض
     IS_TRANS:	yEtrD
        INDEX:	P7W4
      OFFSETS:	11-16
       TOKENS:	P7W4-P7W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[AiEtaraD_1]
   UNSPLITVOC:	(yiEtiriD)
          POS:	IV3MS+IV
          VOC:	yi+EtiriD
        GLOSS:	he/it+object to/be opposed to/be inserted in

 INPUT STRING:	او
     IS_TRANS:	Aw
        INDEX:	P7W5
      OFFSETS:	17-19
       TOKENS:	P7W5-P7W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aw_1]
   UNSPLITVOC:	(>aw)
          POS:	CONJ
          VOC:	>aw
        GLOSS:	or

 INPUT STRING:	يقاوم
     IS_TRANS:	yqAwm
        INDEX:	P7W6
      OFFSETS:	20-25
       TOKENS:	P7W6-P7W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAwim_1]
   UNSPLITVOC:	(yiqAwim)
          POS:	IV3MS+IV
          VOC:	yi+qAwim
        GLOSS:	he/it+resist/oppose

 INPUT STRING:	يتعرض
     IS_TRANS:	ytErD
        INDEX:	P7W7
      OFFSETS:	26-31
       TOKENS:	P7W7-P7W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AitoEar~aD_1]
   UNSPLITVOC:	(yitoEar~aD)
          POS:	IV3MS+IV
          VOC:	yi+toEar~aD
        GLOSS:	he/it+be exposed

 INPUT STRING:	للضرب
     IS_TRANS:	llDrb
        INDEX:	P7W8
      OFFSETS:	32-37
       TOKENS:	P7W8-P7W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Darob_1]
   UNSPLITVOC:	(lilD~arob)
          POS:	PREP+DET+NOUN
          VOC:	li+Al+Darob
        GLOSS:	for/to+the+beating/hitting/striking

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P7W9
      OFFSETS:	38-39
       TOKENS:	P7W10-P7W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wi_1]
   UNSPLITVOC:	(wi)
          POS:	CONJ
          VOC:	wi
        GLOSS:	and

 INPUT STRING:	اعتقد
     IS_TRANS:	AEtqd
        INDEX:	P7W10
      OFFSETS:	40-45
