 INPUT STRING:	ولدت
 INPUT STRING:	ذهبت
     IS_TRANS:	*hbt
        INDEX:	P4W4
      OFFSETS:	21-25
       TOKENS:	P4W4-P4W4
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[*ahab-a_1]
   UNSPLITVOC:	(*ahabotu)
          POS:	PV+PVSUFF_SUBJ:1S
          VOC:	*ahab+tu
        GLOSS:	go/depart+I [verb]

 INPUT STRING:	الي
     IS_TRANS:	Aly
        INDEX:	P4W5
      OFFSETS:	26-29
       TOKENS:	P4W5-P4W5
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<ilaY_1]
   UNSPLITVOC:	(<ilaY)
          POS:	PREP
          VOC:	<ilaY
        GLOSS:	to/towards

 INPUT STRING:	لجنه
     IS_TRANS:	ljnh
        INDEX:	P4W6
      OFFSETS:	30-34
       TOKENS:	P4W6-P4W6
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lajonap_1]
   UNSPLITVOC:	(lajonap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	lajon+ap
        GLOSS:	council/committee/commission+[fem.sg.]

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P4W7
      OFFSETS:	35-37
       TOKENS:	P4W7-P4W7
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	اللجان
     IS_TRANS:	AlljAn
        INDEX:	P4W8
      OFFSETS:	38-44
       TOKENS:	P4W8-P4W8
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[lajonap_1]
   UNSPLITVOC:	(AllijAn)
          POS:	DET+NOUN
          VOC:	Al+lijAn
        GLOSS:	the+councils/committees/commissions

 INPUT STRING:	القريبه
     IS_TRANS:	Alqrybh
        INDEX:	P4W9
      OFFSETS:	45-52
       TOKENS:	P4W9-P4W9
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[qariyb_1]
   UNSPLITVOC:	(Alqariybap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+qariyb+ap
        GLOSS:	the+near/close+[fem.sg.]

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P4W10
      OFFSETS:	53-55
       TOKENS:	P4W10-P4W10
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	بيتي
     IS_TRANS:	byty
        INDEX:	P4W11
      OFFSETS:	56-60
       TOKENS:	P4W11-P4W12
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[bayot_3]
   UNSPLITVOC:	(bayotiy)
          POS:	NOUN+POSS_PRON_1S
          VOC:	bayot+iy
        GLOSS:	house+my

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P4W12
      OFFSETS:	61-62
       TOKENS:	P4W13-P4W13
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wa_1]
   UNSPLITVOC:	(wa)
          POS:	CONJ
          VOC:	wa
        GLOSS:	and

 INPUT STRING:	شاهدت
     IS_TRANS:	$Ahdt
        INDEX:	P4W13
      OFFSETS:	63-68
       TOKENS:	P4W14-P4W14
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[$Ahad_1]
   UNSPLITVOC:	($Ahadotu)
          POS:	PV+PVSUFF_SUBJ:1S
          VOC:	$Ahad+tu
        GLOSS:	watch/observe/witness+I [verb]

 INPUT STRING:	الناخبين
     IS_TRANS:	AlnAxbyn
        INDEX:	P4W14
      OFFSETS:	69-77
       TOKENS:	P4W15-P4W15
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[nAxib_1]
   UNSPLITVOC:	(AlnAxibiyna)
          POS:	DET+ADJ+NSUFF_MASC_PL_ACC
          VOC:	Al+nAxib+iyna
        GLOSS:	the+voter/elector+[masc.pl.acc.]

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P4W15
      OFFSETS:	78-79
       TOKENS:	P4W16-P4W16
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wa_1]
   UNSPLITVOC:	(wa)
          POS:	CONJ
          VOC:	wa
        GLOSS:	and

 INPUT STRING:	هم
     IS_TRANS:	hm
        INDEX:	P4W16
      OFFSETS:	80-82
       TOKENS:	P4W17-P4W17
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[hum_1]
   UNSPLITVOC:	(hum)
          POS:	PRON_3MP
          VOC:	hum
        GLOSS:	they [masc.pl]

 INPUT STRING:	ياتون
     IS_TRANS:	yAtwn
        INDEX:	P4W17
      OFFSETS:	83-88
       TOKENS:	P4W18-P4W18
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>ataY-i_1]
   UNSPLITVOC:	(ya>otuwna)
          POS:	IV3MP+IV+IVSUFF_SUBJ:MP_MOOD:I
          VOC:	ya+>ot+uwna
        GLOSS:	they (people)+arrive/come/reach+[masc.pl.]

 INPUT STRING:	للادلاء
     IS_TRANS:	llAdlA'
        INDEX:	P4W18
      OFFSETS:	89-96
       TOKENS:	P4W19-P4W20
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<idolA'_1]
   UNSPLITVOC:	(lil<idolA')
          POS:	PREP+DET+NOUN
          VOC:	li+Al+<idolA'
        GLOSS:	to/for+the+delivery/presentation/granting

 INPUT STRING:	باصواتهم
     IS_TRANS:	bASwAthm
        INDEX:	P4W19
      OFFSETS:	97-105
       TOKENS:	P4W21-P4W23
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Sawot_1]
   UNSPLITVOC:	(bi>aSowAtihim)
          POS:	PREP+NOUN+CASE_DEF_GEN+POSS_PRON_3MP
          VOC:	bi+>aSowAt+i+him
        GLOSS:	with/by+votes+[def.gen.]+their

 INPUT STRING:	,
     IS_TRANS:	,
        INDEX:	P4W20
      OFFSETS:	105-106
       TOKENS:	P4W24-P4W24
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	,

 INPUT STRING:	وقفت
     IS_TRANS:	wqft
        INDEX:	P4W21
      OFFSETS:	107-111
       TOKENS:	P4W25-P4W25
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[waqaf-i_1]
   UNSPLITVOC:	(waqafotu)
          POS:	PV+PVSUFF_SUBJ:1S
          VOC:	waqaf+tu
        GLOSS:	stop/cease/stand+I [verb]

 INPUT STRING:	امام
     IS_TRANS:	AmAm
        INDEX:	P4W22
      OFFSETS:	112-116
       TOKENS:	P4W26-P4W26
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>amAm_1]
   UNSPLITVOC:	(>amAm)
          POS:	NOUN
          VOC:	>amAm
        GLOSS:	front/forward

 INPUT STRING:	اللجنة
     IS_TRANS:	Alljnp
        INDEX:	P4W23
      OFFSETS:	117-123
       TOKENS:	P4W27-P4W27
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[lajonap_1]
   UNSPLITVOC:	(Allajonap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+lajon+ap
        GLOSS:	the+council/committee/commission+[fem.sg.]

 INPUT STRING:	وبدأت
     IS_TRANS:	wbd>t
        INDEX:	P4W24
      OFFSETS:	124-129
       TOKENS:	P4W28-P4W29
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[bada>-a_1]
   UNSPLITVOC:	(wabada>otu)
          POS:	CONJ+PV+PVSUFF_SUBJ:1S
          VOC:	wa+bada>+tu
        GLOSS:	and+start/begin+I [verb]

 INPUT STRING:	احلم
     IS_TRANS:	AHlm
        INDEX:	P4W25
      OFFSETS:	130-134
       TOKENS:	P4W30-P4W30
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Halam-u_1]
   UNSPLITVOC:	(>aHolumu)
          POS:	IV1S+IV+IVSUFF_MOOD:I
          VOC:	>a+Holum+u
        GLOSS:	I+dream+[ind.]

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P4W26
      OFFSETS:	134-135
       TOKENS:	P4W31-P4W31
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	تخيلت
     IS_TRANS:	txylt
        INDEX:	P5W1
      OFFSETS:	0-5
       TOKENS:	P5W1-P5W1
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[taxay~al_1]
   UNSPLITVOC:	(taxay~alotu)
          POS:	PV+PVSUFF_SUBJ:1S
          VOC:	taxay~al+tu
        GLOSS:	imagine/suppose+I [verb]

 INPUT STRING:	انني
     IS_TRANS:	Anny
        INDEX:	P5W2
      OFFSETS:	6-10
       TOKENS:	P5W2-P5W3
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>an~a_1]
   UNSPLITVOC:	(>an~aniy)
          POS:	SUB_CONJ+PRON_1S
          VOC:	>an~a+niy
        GLOSS:	that+I

 INPUT STRING:	استيقظت
     IS_TRANS:	AstyqZt
        INDEX:	P5W3
      OFFSETS:	11-18
       TOKENS:	P5W4-P5W4
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[{isotayoqaZ_1]
   UNSPLITVOC:	(AisotayoqaZotu)
          POS:	PV+PVSUFF_SUBJ:1S
          VOC:	{isotayoqaZ+tu
        GLOSS:	wake up/be roused/be alert+I [verb]

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P5W4
      OFFSETS:	19-21
       TOKENS:	P5W5-P5W5
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	اليوم
     IS_TRANS:	Alywm
        INDEX:	P5W5
      OFFSETS:	22-27
       TOKENS:	P5W6-P5W6
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[yawom_1]
   UNSPLITVOC:	(Alyawom)
          POS:	DET+NOUN
          VOC:	Al+yawom
        GLOSS:	the+day

 INPUT STRING:	التالي
     IS_TRANS:	AltAly
        INDEX:	P5W6
      OFFSETS:	28-34
       TOKENS:	P5W7-P5W7
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[tAliy_1]
   UNSPLITVOC:	(AltAliy)
          POS:	DET+ADJ
          VOC:	Al+tAliy
        GLOSS:	the+following/subsequent

 INPUT STRING:	لانتخابات
     IS_TRANS:	lAntxAbAt
        INDEX:	P5W7
      OFFSETS:	35-44
       TOKENS:	P5W8-P5W9
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[{inotixAb_1]
   UNSPLITVOC:	(liAinotixAbAt)
          POS:	PREP+NOUN+NSUFF_FEM_PL
          VOC:	li+{inotixAb+At
        GLOSS:	for/to+elections/selections+[fem.pl.]

 INPUT STRING:	الرئاسة
     IS_TRANS:	Alr}Asp
        INDEX:	P5W8
      OFFSETS:	45-52
       TOKENS:	P5W10-P5W10
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[ri}Asap_1]
   UNSPLITVOC:	(Alri}Asap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+ri}As+ap
        GLOSS:	the+presidency/leadership/chairmanship+[fem.sg.]

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P5W9
      OFFSETS:	53-54
       TOKENS:	P5W11-P5W11
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wa_1]
   UNSPLITVOC:	(wa)
          POS:	CONJ
          VOC:	wa
        GLOSS:	and

 INPUT STRING:	فتحت
     IS_TRANS:	ftHt
        INDEX:	P5W10
      OFFSETS:	55-59
       TOKENS:	P5W12-P5W12
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[fataH-a_1]
   UNSPLITVOC:	(fataHotu)
          POS:	PV+PVSUFF_SUBJ:1S
          VOC:	fataH+tu
        GLOSS:	open/conquer+I [verb]

 INPUT STRING:	التليفزيون
     IS_TRANS:	Altlyfzywn
        INDEX:	P5W11
      OFFSETS:	60-70
       TOKENS:	P5W13-P5W13
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[tilofizyuwn_1]
   UNSPLITVOC:	(Altiliyfizyuwn)
          POS:	DET+NOUN
          VOC:	Al+tiliyfizyuwn
        GLOSS:	the+television

 INPUT STRING:	علي
     IS_TRANS:	Ely
        INDEX:	P5W12
      OFFSETS:	71-74
       TOKENS:	P5W14-P5W14
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	الجزيرة
     IS_TRANS:	Aljzyrp
        INDEX:	P5W13
      OFFSETS:	75-82
       TOKENS:	P5W15-P5W15
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[jaziyrap_2]
   UNSPLITVOC:	(Aljaziyrap)
          POS:	DET+NOUN_PROP+NSUFF_FEM_SG
          VOC:	Al+jaziyr+ap
        GLOSS:	the+Jazeera+[fem.sg.]

 INPUT STRING:	فوجدت
     IS_TRANS:	fwjdt
        INDEX:	P5W14
      OFFSETS:	83-88
       TOKENS:	P5W16-P5W17
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[wajad-i_1]
   UNSPLITVOC:	(fawajadotu)
          POS:	CONJ+PV+PVSUFF_SUBJ:1S
          VOC:	fa+wajad+tu
        GLOSS:	so/and+find+I [verb]

 INPUT STRING:	الاخبار
     IS_TRANS:	AlAxbAr
        INDEX:	P5W15
      OFFSETS:	89-96
       TOKENS:	P5W18-P5W18
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xabar_1]
   UNSPLITVOC:	(Al>axobAr)
          POS:	DET+NOUN
          VOC:	Al+>axobAr
        GLOSS:	the+news/reports

 INPUT STRING:	تعلن
     IS_TRANS:	tEln
        INDEX:	P5W16
      OFFSETS:	97-101
       TOKENS:	P5W19-P5W19
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>aEolan_1]
   UNSPLITVOC:	(tuEolinu)
          POS:	IV3FS+IV+IVSUFF_MOOD:I
          VOC:	tu+Eolin+u
        GLOSS:	it/they/she+announce/declare+[ind.]

 INPUT STRING:	عن
     IS_TRANS:	En
        INDEX:	P5W17
      OFFSETS:	102-104
       TOKENS:	P5W20-P5W20
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ean_1]
   UNSPLITVOC:	(Ean)
          POS:	PREP
          VOC:	Ean
        GLOSS:	(away) from, off, about, on, over

 INPUT STRING:	فوز
     IS_TRANS:	fwz
        INDEX:	P5W18
      OFFSETS:	105-108
       TOKENS:	P5W21-P5W21
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[fawoz_1]
   UNSPLITVOC:	(fawoz)
          POS:	NOUN
          VOC:	fawoz
        GLOSS:	victory

 INPUT STRING:	الدكتور
     IS_TRANS:	Aldktwr
        INDEX:	P5W19
      OFFSETS:	109-116
       TOKENS:	P5W22-P5W22
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[dukotuwr_1]
   UNSPLITVOC:	(Aldukotuwr)
          POS:	DET+NOUN
          VOC:	Al+dukotuwr
        GLOSS:	the+doctor/Doctor/Dr.

 INPUT STRING:	ايمن
     IS_TRANS:	Aymn
        INDEX:	P5W20
      OFFSETS:	117-121
       TOKENS:	P5W23-P5W23
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>ayoman_1]
   UNSPLITVOC:	(>ayoman)
          POS:	NOUN_PROP
          VOC:	>ayoman
        GLOSS:	Ayman/Aiman

 INPUT STRING:	نور
     IS_TRANS:	nwr
        INDEX:	P5W21
      OFFSETS:	122-125
       TOKENS:	P5W24-P5W24
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nuwr_1]
   UNSPLITVOC:	(nuwr)
          POS:	NOUN_PROP
          VOC:	nuwr
        GLOSS:	Nour/Noor

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P5W22
      OFFSETS:	126-128
       TOKENS:	P5W25-P5W25
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	انتخابات
     IS_TRANS:	AntxAbAt
        INDEX:	P5W23
      OFFSETS:	129-137
       TOKENS:	P5W26-P5W26
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[{inotixAb_1]
   UNSPLITVOC:	(AinotixAbAt)
          POS:	NOUN+NSUFF_FEM_PL
          VOC:	{inotixAb+At
        GLOSS:	elections/selections+[fem.pl.]

 INPUT STRING:	الرئاسة
     IS_TRANS:	Alr}Asp
        INDEX:	P5W24
      OFFSETS:	138-145
       TOKENS:	P5W27-P5W27
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[ri}Asap_1]
   UNSPLITVOC:	(Alri}Asap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+ri}As+ap
        GLOSS:	the+presidency/leadership/chairmanship+[fem.sg.]

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P5W25
      OFFSETS:	145-146
       TOKENS:	P5W28-P5W28
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	لماذا
     IS_TRANS:	lmA*A
        INDEX:	P6W1
      OFFSETS:	2-7
       TOKENS:	P6W1-P6W1
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[limA*A_1]
   UNSPLITVOC:	(limA*A)
          POS:	INTERROG_ADV
          VOC:	limA*A
        GLOSS:	why

 INPUT STRING:	ايمن
     IS_TRANS:	Aymn
        INDEX:	P6W2
      OFFSETS:	8-12
       TOKENS:	P6W2-P6W2
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>ayoman_1]
   UNSPLITVOC:	(>ayoman)
          POS:	NOUN_PROP
          VOC:	>ayoman
        GLOSS:	Ayman/Aiman

 INPUT STRING:	نور
     IS_TRANS:	nwr
        INDEX:	P6W3
      OFFSETS:	13-16
       TOKENS:	P6W3-P6W3
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nuwr_1]
   UNSPLITVOC:	(nuwr)
          POS:	NOUN_PROP
          VOC:	nuwr
        GLOSS:	Nour/Noor

 INPUT STRING:	بالذات
     IS_TRANS:	bAl*At
        INDEX:	P6W4
      OFFSETS:	17-23
       TOKENS:	P6W4-P6W5
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[*At_1]
   UNSPLITVOC:	(biAl*At)
          POS:	PREP+DET+NOUN
          VOC:	bi+Al+*At
        GLOSS:	with/by+the+exactly/precisely

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P6W5
      OFFSETS:	24-25
       TOKENS:	P6W6-P6W6
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	لانه
     IS_TRANS:	lAnh
        INDEX:	P6W6
      OFFSETS:	26-30
       TOKENS:	P6W7-P6W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(li<in~uh)
          POS:	PREP+SUB_CONJ+PRON_3MS
          VOC:	li+<in~+uh
        GLOSS:	to/for+that+it/he

 INPUT STRING:	كان
     IS_TRANS:	kAn
        INDEX:	P6W7
      OFFSETS:	31-34
       TOKENS:	P6W10-P6W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(kAn)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	kAn+(null)
        GLOSS:	be+he/it

 INPUT STRING:	اقرب
     IS_TRANS:	Aqrb
        INDEX:	P6W8
      OFFSETS:	35-39
       TOKENS:	P6W11-P6W11
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aqorab_1]
   UNSPLITVOC:	(>aqorab)
          POS:	ADJ_COMP
          VOC:	>aqorab
        GLOSS:	soonest/nearer/nearest/more/most likely

 INPUT STRING:	المرشحين
     IS_TRANS:	Almr$Hyn
        INDEX:	P6W9
      OFFSETS:	40-48
       TOKENS:	P6W12-P6W12
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[mura$~aH_1]
   UNSPLITVOC:	(Almura$~aHiyna)
          POS:	DET+ADJ+NSUFF_MASC_PL_GEN
          VOC:	Al+mura$~aH+iyna
        GLOSS:	the+nominated/selected+[masc.pl.gen.]

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P6W10
      OFFSETS:	50-51
       TOKENS:	P6W13-P6W13
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	لم
     IS_TRANS:	lm
        INDEX:	P7W1
      OFFSETS:	0-2
       TOKENS:	P7W1-P7W1
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[lamo_1]
   UNSPLITVOC:	(lamo)
          POS:	NEG_PART
          VOC:	lamo
        GLOSS:	did not

 INPUT STRING:	اصدق
     IS_TRANS:	ASdq
        INDEX:	P7W2
      OFFSETS:	3-7
       TOKENS:	P7W2-P7W2
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Sad~aq_1]
   UNSPLITVOC:	(>uSad~iqo)
          POS:	IV1S+IV+IVSUFF_MOOD:J
          VOC:	>u+Sad~iq+o
        GLOSS:	I+believe/give credence to/confirm+[jus.]

 INPUT STRING:	نفسي
     IS_TRANS:	nfsy
        INDEX:	P7W3
      OFFSETS:	8-12
       TOKENS:	P7W3-P7W4
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nafos_1]
   UNSPLITVOC:	(nafosiy)
          POS:	NOUN+POSS_PRON_1S
          VOC:	nafos+iy
        GLOSS:	same/self+my

 INPUT STRING:	,
     IS_TRANS:	,
        INDEX:	P7W4
      OFFSETS:	12-13
       TOKENS:	P7W5-P7W5
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	,

 INPUT STRING:	معقول
     IS_TRANS:	mEqwl
        INDEX:	P7W5
      OFFSETS:	14-19
       TOKENS:	P7W6-P7W6
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maEoquwl_1]
   UNSPLITVOC:	(maEoquwl)
          POS:	ADJ
          VOC:	maEoquwl
        GLOSS:	plausible/logical/reasonable

 INPUT STRING:	هذا
     IS_TRANS:	h*A
        INDEX:	P7W6
      OFFSETS:	20-23
       TOKENS:	P7W7-P7W7
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[h`*A_1]
   UNSPLITVOC:	(h`*A)
          POS:	DEM_PRON_MS
          VOC:	h`*A
        GLOSS:	this [masc.sg.]

