 INPUT STRING:	ماتأخذونيش
        LEMMA:	[$ayo'_1]
   UNSPLITVOC:	(Al$~a})
          POS:	DET+NOUN
          VOC:	Al+$a}
        GLOSS:	the+something/thing

 INPUT STRING:	اللى
     IS_TRANS:	AllY
        INDEX:	P7W6
      OFFSETS:	23-27
       TOKENS:	P7W6-P7W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	who/whose/which

 INPUT STRING:	بيعلنوا
     IS_TRANS:	byElnwA
        INDEX:	P7W7
      OFFSETS:	28-35
       TOKENS:	P7W7-P7W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aEolan_1]
   UNSPLITVOC:	(biyiEolinuwA)
          POS:	PROG_PART+IV3P+IV+IVSUFF_SUBJ:P
          VOC:	bi+yi+Eolin+uwA
        GLOSS:	[present-tense]+they+announce/declare/be announced/be declared+we

 INPUT STRING:	عنه
     IS_TRANS:	Enh
        INDEX:	P7W8
      OFFSETS:	36-39
       TOKENS:	P7W9-P7W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ean_1]
   UNSPLITVOC:	(Ean~uh)
          POS:	PREP+PRON_3MS
          VOC:	Ean~+uh
        GLOSS:	(away) from, off, about, on, over+him/it

 INPUT STRING:	ده
     IS_TRANS:	dh
        INDEX:	P7W9
      OFFSETS:	40-42
       TOKENS:	P7W11-P7W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dah_1]
   UNSPLITVOC:	(dah)
          POS:	DEM_PRON_MS
          VOC:	dah
        GLOSS:	this

 INPUT STRING:	شئ
     IS_TRANS:	$}
        INDEX:	P7W10
      OFFSETS:	43-45
       TOKENS:	P7W12-P7W12
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[$ayo'_1]
   UNSPLITVOC:	($a})
          POS:	NOUN
          VOC:	$a}
        GLOSS:	something/thing

 INPUT STRING:	هزلى
     IS_TRANS:	hzlY
        INDEX:	P7W11
      OFFSETS:	46-50
       TOKENS:	P7W13-P7W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hazoliy_1]
   UNSPLITVOC:	(hazoliy)
          POS:	ADJ
          VOC:	hazoliy
        GLOSS:	comical/amusing

 INPUT STRING:	اكتر
     IS_TRANS:	Aktr
        INDEX:	P7W12
      OFFSETS:	51-55
       TOKENS:	P7W14-P7W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>akotar_1]
   UNSPLITVOC:	(>akotar)
          POS:	ADJ_COMP
          VOC:	>akotar
        GLOSS:	more, most, majority

 INPUT STRING:	منه
     IS_TRANS:	mnh
        INDEX:	P7W13
      OFFSETS:	56-59
       TOKENS:	P7W15-P7W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min~uh)
          POS:	PREP+PRON_3MS
          VOC:	min~+uh
        GLOSS:	from+him/it

 INPUT STRING:	شئ
     IS_TRANS:	$}
        INDEX:	P7W14
      OFFSETS:	60-62
       TOKENS:	P7W17-P7W17
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[$ayo'_1]
   UNSPLITVOC:	($a})
          POS:	NOUN
          VOC:	$a}
        GLOSS:	something/thing

 INPUT STRING:	آخر
     IS_TRANS:	|xr
        INDEX:	P7W15
      OFFSETS:	63-66
       TOKENS:	P7W18-P7W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[|axar_1]
   UNSPLITVOC:	(|axar)
          POS:	ADJ
          VOC:	|axar
        GLOSS:	another

 INPUT STRING:	لأنهم
     IS_TRANS:	l>nhm
        INDEX:	P7W16
      OFFSETS:	67-72
       TOKENS:	P7W19-P7W21
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[li>an~a_1]
   UNSPLITVOC:	(li>an~ahum)
          POS:	PREP+SUB_CONJ+PRON_3MP
          VOC:	li+>an~a+hum
        GLOSS:	for+that+they [masc.pl.]

 INPUT STRING:	بيقدموا
     IS_TRANS:	byqdmwA
        INDEX:	P7W17
      OFFSETS:	73-80
       TOKENS:	P7W22-P7W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qad~im_1]
   UNSPLITVOC:	(biyiqad~imuwA)
          POS:	PROG_PART+IV3P+IV+IVSUFF_SUBJ:P
          VOC:	bi+yi+qad~im+uwA
        GLOSS:	[present-tense]+they+offer/present/introduce+we

 INPUT STRING:	للنظام
     IS_TRANS:	llnZAm
        INDEX:	P7W18
      OFFSETS:	81-87
       TOKENS:	P7W24-P7W25
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[niZAm_1]
   UNSPLITVOC:	(liln~iZAm)
          POS:	PREP+DET+NOUN
          VOC:	li+Al+niZAm
        GLOSS:	for/to+the+regime/government

 INPUT STRING:	وعلى
     IS_TRANS:	wElY
        INDEX:	P7W19
      OFFSETS:	88-92
       TOKENS:	P7W26-P7W27
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(waEalaY)
          POS:	CONJ+PREP
          VOC:	wa+EalaY
        GLOSS:	and+on/above

 INPUT STRING:	صينية
     IS_TRANS:	Synyp
        INDEX:	P7W20
      OFFSETS:	93-98
       TOKENS:	P7W28-P7W28
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Siyniy~ap_1]
   UNSPLITVOC:	(Siyniy~ap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	Siyniy~+ap
        GLOSS:	tray+[fem.sg.]

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P7W21
      OFFSETS:	99-101
       TOKENS:	P7W29-P7W29
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	دهب
     IS_TRANS:	dhb
        INDEX:	P7W22
      OFFSETS:	102-105
       TOKENS:	P7W30-P7W30
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dahab_1]
   UNSPLITVOC:	(dahab)
          POS:	NOUN
          VOC:	dahab
        GLOSS:	gold

 INPUT STRING:	مايتيح
     IS_TRANS:	mAytyH
        INDEX:	P7W23
      OFFSETS:	106-112
       TOKENS:	P7W31-P7W31
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(mAytyH)
          POS:	NO_FUNC
          VOC:	mAytyH
        GLOSS:	nogloss

 INPUT STRING:	له
     IS_TRANS:	lh
        INDEX:	P7W24
      OFFSETS:	113-115
       TOKENS:	P7W32-P7W33
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[li_1]
   UNSPLITVOC:	(luh)
          POS:	PREP+PRON_3MS
          VOC:	li+uh
        GLOSS:	for+him

 INPUT STRING:	التكييف
     IS_TRANS:	Altkyyf
        INDEX:	P7W25
      OFFSETS:	116-123
       TOKENS:	P7W34-P7W34
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[takoyiyf_1]
   UNSPLITVOC:	(Alt~akoyiyf)
          POS:	DET+NOUN
          VOC:	Al+takoyiyf
        GLOSS:	the+conditioning

 INPUT STRING:	القانونى
     IS_TRANS:	AlqAnwnY
        INDEX:	P7W26
      OFFSETS:	124-132
       TOKENS:	P7W35-P7W35
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAnuwniy_1]
   UNSPLITVOC:	(AlqAnuwniy)
          POS:	DET+ADJ
          VOC:	Al+qAnuwniy
        GLOSS:	the+legal/law-related/statutory

 INPUT STRING:	لكبحهم
     IS_TRANS:	lkbHhm
        INDEX:	P7W27
      OFFSETS:	133-139
       TOKENS:	P7W36-P7W38
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[kaboH_1]
   UNSPLITVOC:	(likaboHuhum)
          POS:	PREP+NOUN+POSS_PRON_3P
          VOC:	li+kaboH+uhum
        GLOSS:	for+controling/preventing/restraining+they

 INPUT STRING:	كذلك
     IS_TRANS:	k*lk
        INDEX:	P7W28
      OFFSETS:	140-144
       TOKENS:	P7W39-P7W40
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[*alika_1]
   UNSPLITVOC:	(ka*alika)
          POS:	PREP+DEM_PRON_MS
          VOC:	ka+*alika
        GLOSS:	like/such as+that

 INPUT STRING:	الفرصة
     IS_TRANS:	AlfrSp
        INDEX:	P7W29
      OFFSETS:	145-151
       TOKENS:	P7W41-P7W41
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[furoSap_1]
   UNSPLITVOC:	(AlfuroSap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+furoS+ap
        GLOSS:	the+opportunity/chance/opportunities/chances+[fem.sg.]

 INPUT STRING:	الكبرى
     IS_TRANS:	AlkbrY
        INDEX:	P7W30
      OFFSETS:	152-158
       TOKENS:	P7W42-P7W42
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>akobar_1]
   UNSPLITVOC:	(AlkuboraY)
          POS:	DET+ADJ_COMP
          VOC:	Al+kuboraY
        GLOSS:	the+larger/largest/greater/greatest

 INPUT STRING:	لإخراج
     IS_TRANS:	l<xrAj
        INDEX:	P7W31
      OFFSETS:	159-165
       TOKENS:	P7W43-P7W44
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<ixorAj_1]
   UNSPLITVOC:	(li<ixorAj)
          POS:	PREP+NOUN
          VOC:	li+<ixorAj
        GLOSS:	for/to+production/extraction/ousting

 INPUT STRING:	السيناريو
     IS_TRANS:	AlsynAryw
        INDEX:	P7W32
      OFFSETS:	166-175
       TOKENS:	P7W45-P7W45
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[siynariyuw_1]
   UNSPLITVOC:	(Alsiynariyuw)
          POS:	DET+NOUN
          VOC:	Al+siynariyuw
        GLOSS:	the+scenario

 INPUT STRING:	كيفما
     IS_TRANS:	kyfmA
        INDEX:	P7W33
      OFFSETS:	176-181
       TOKENS:	P7W46-P7W46
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[kayofamA_1]
   UNSPLITVOC:	(kayofamA)
          POS:	REL_ADV
          VOC:	kayofamA
        GLOSS:	whichever/however

 INPUT STRING:	يشاء
     IS_TRANS:	y$A'
        INDEX:	P7W34
      OFFSETS:	182-186
       TOKENS:	P7W47-P7W47
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[$A'_1]
   UNSPLITVOC:	(ya$A')
          POS:	IV3MS+IV
          VOC:	ya+$A'
        GLOSS:	he/it+want/desire/wish

 INPUT STRING:	ليظهرهم
     IS_TRANS:	lyZhrhm
        INDEX:	P7W35
      OFFSETS:	187-194
       TOKENS:	P7W48-P7W48
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(lyZhrhm)
          POS:	NO_FUNC
          VOC:	lyZhrhm
        GLOSS:	nogloss

 INPUT STRING:	به
     IS_TRANS:	bh
        INDEX:	P7W36
      OFFSETS:	195-197
       TOKENS:	P7W49-P7W50
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[bi_1]
   UNSPLITVOC:	(bihi)
          POS:	PREP+PRON_3MS
          VOC:	bi+hi
        GLOSS:	with/by+it/him

 INPUT STRING:	هذا
     IS_TRANS:	h*A
        INDEX:	P8W1
      OFFSETS:	0-3
       TOKENS:	P8W1-P8W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ha*A_1]
   UNSPLITVOC:	(ha*A)
          POS:	DEM_PRON_MS
          VOC:	ha*A
        GLOSS:	this

 INPUT STRING:	النموذج
     IS_TRANS:	Alnmw*j
        INDEX:	P8W2
      OFFSETS:	4-11
       TOKENS:	P8W2-P8W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[namuw*aj_1]
   UNSPLITVOC:	(Aln~amuw*aj)
          POS:	DET+NOUN
          VOC:	Al+namuw*aj
        GLOSS:	the+sample/model

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P8W3
      OFFSETS:	12-14
       TOKENS:	P8W3-P8W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	العمل
     IS_TRANS:	AlEml
        INDEX:	P8W4
      OFFSETS:	15-20
       TOKENS:	P8W4-P8W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eamal_1]
   UNSPLITVOC:	(AlEamal)
          POS:	DET+NOUN
          VOC:	Al+Eamal
        GLOSS:	the+work/action

 INPUT STRING:	الوطنى
     IS_TRANS:	AlwTnY
        INDEX:	P8W5
      OFFSETS:	21-27
       TOKENS:	P8W5-P8W5
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[waTaniy~_1]
   UNSPLITVOC:	(AlwaTaniy~)
          POS:	DET+ADJ
          VOC:	Al+waTaniy~
        GLOSS:	the+national

 INPUT STRING:	لامثيل
     IS_TRANS:	lAmvyl
        INDEX:	P8W6
      OFFSETS:	28-34
       TOKENS:	P8W6-P8W6
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(lAmvyl)
          POS:	NO_FUNC
          VOC:	lAmvyl
        GLOSS:	nogloss

 INPUT STRING:	له
     IS_TRANS:	lh
        INDEX:	P8W7
      OFFSETS:	35-37
       TOKENS:	P8W7-P8W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[li_1]
   UNSPLITVOC:	(luh)
          POS:	PREP+PRON_3MS
          VOC:	li+uh
        GLOSS:	for+him

 INPUT STRING:	عبر
     IS_TRANS:	Ebr
        INDEX:	P8W8
      OFFSETS:	38-41
       TOKENS:	P8W9-P8W9
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Eabor_1]
   UNSPLITVOC:	(Eabor)
          POS:	NOUN
          VOC:	Eabor
        GLOSS:	across/over/via/by means of/crossing

 INPUT STRING:	التاريخ
     IS_TRANS:	AltAryx
        INDEX:	P8W9
      OFFSETS:	42-49
       TOKENS:	P8W10-P8W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tAriyx_1]
   UNSPLITVOC:	(Alt~Ariyx)
          POS:	DET+NOUN
          VOC:	Al+tAriyx
        GLOSS:	the+date/history

 INPUT STRING:	وعواقبه
     IS_TRANS:	wEwAqbh
        INDEX:	P8W10
      OFFSETS:	50-57
       TOKENS:	P8W11-P8W13
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[EAqibap_1]
   UNSPLITVOC:	(waEawAqibahu)
          POS:	PART+NOUN+CASE_DEF_ACC+POSS_PRON_3MS
          VOC:	wa+EawAqib+a+hu
        GLOSS:	[part.]+results/consequences+[def.acc.]+its/his

 INPUT STRING:	وخيمة
     IS_TRANS:	wxymp
        INDEX:	P8W11
      OFFSETS:	58-63
       TOKENS:	P8W14-P8W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[waxiym_1]
   UNSPLITVOC:	(waxiymap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	waxiym+ap
        GLOSS:	unhealthy/indigestible+[fem.sg.]

 INPUT STRING:	وتلك
     IS_TRANS:	wtlk
        INDEX:	P9W1
      OFFSETS:	0-4
       TOKENS:	P9W1-P9W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[*`lika_1]
   UNSPLITVOC:	(watiloka)
          POS:	PART+DEM_PRON_F
          VOC:	wa+tiloka
        GLOSS:	[part.]+that/those

 INPUT STRING:	العواقب
     IS_TRANS:	AlEwAqb
        INDEX:	P9W2
      OFFSETS:	5-12
       TOKENS:	P9W3-P9W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EAqibap_1]
   UNSPLITVOC:	(AlEawAqib)
          POS:	DET+NOUN
          VOC:	Al+EawAqib
        GLOSS:	the+result/consequence/results/consequences

 INPUT STRING:	بكل
     IS_TRANS:	bkl
        INDEX:	P9W3
      OFFSETS:	13-16
       TOKENS:	P9W4-P9W5
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(bikul~)
          POS:	PART+NOUN_QUANT
          VOC:	bi+kul~
        GLOSS:	[part.]+all, entire, every, whole

 INPUT STRING:	أسف
     IS_TRANS:	>sf
        INDEX:	P9W4
      OFFSETS:	17-20
       TOKENS:	P9W6-P9W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>asaf_1]
   UNSPLITVOC:	(>asaf)
          POS:	NOUN
          VOC:	>asaf
        GLOSS:	regret/sorry

 INPUT STRING:	تصب
     IS_TRANS:	tSb
        INDEX:	P9W5
      OFFSETS:	21-24
       TOKENS:	P9W7-P9W7
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(tSb)
          POS:	NO_FUNC
          VOC:	tSb
        GLOSS:	nogloss

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P9W6
      OFFSETS:	25-27
       TOKENS:	P9W8-P9W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	معاناة
     IS_TRANS:	mEAnAp
        INDEX:	P9W7
      OFFSETS:	28-34
       TOKENS:	P9W9-P9W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[muEAnap_1]
   UNSPLITVOC:	(muEAnap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	muEAn+ap
        GLOSS:	suffering+[fem.sg.]

 INPUT STRING:	البسطاء
     IS_TRANS:	AlbsTA'
        INDEX:	P9W8
      OFFSETS:	35-42
       TOKENS:	P9W10-P9W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[basiyT_1]
   UNSPLITVOC:	(AlbusaTA')
          POS:	DET+NOUN
          VOC:	Al+busaTA'
        GLOSS:	the+simple/plain

 INPUT STRING:	فقط
     IS_TRANS:	fqT
        INDEX:	P9W9
      OFFSETS:	43-46
       TOKENS:	P9W11-P9W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[faqaT_1]
   UNSPLITVOC:	(faqaT)
          POS:	ADV
          VOC:	faqaT
        GLOSS:	only

 INPUT STRING:	وفى
     IS_TRANS:	wfY
        INDEX:	P9W10
      OFFSETS:	47-50
       TOKENS:	P9W12-P9W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(wafiy)
          POS:	CONJ+PREP
          VOC:	wa+fiy
        GLOSS:	and+in

 INPUT STRING:	مصلحة
     IS_TRANS:	mSlHp
        INDEX:	P9W11
      OFFSETS:	51-56
       TOKENS:	P9W14-P9W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maSolaHap_1]
   UNSPLITVOC:	(maSolaHap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	maSolaH+ap
        GLOSS:	interest/advantage/favor+[fem.sg.]

 INPUT STRING:	النظام
     IS_TRANS:	AlnZAm
        INDEX:	P9W12
      OFFSETS:	57-63
       TOKENS:	P9W15-P9W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[niZAm_1]
   UNSPLITVOC:	(Aln~iZAm)
          POS:	DET+NOUN
          VOC:	Al+niZAm
        GLOSS:	the+regime/government

 INPUT STRING:	نمط
     IS_TRANS:	nmT
        INDEX:	P10W1
      OFFSETS:	0-3
       TOKENS:	P10W1-P10W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[namaT_1]
   UNSPLITVOC:	(namaT)
          POS:	NOUN
          VOC:	namaT
        GLOSS:	type/kind/manner/form

 INPUT STRING:	الالحاح
     IS_TRANS:	AlAlHAH
        INDEX:	P10W2
      OFFSETS:	4-11
       TOKENS:	P10W2-P10W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<iloHAH_1]
   UNSPLITVOC:	(Al<iloHAH)
          POS:	DET+NOUN
          VOC:	Al+<iloHAH
        GLOSS:	the+insistence/importunateness/harassment/harangue

 INPUT STRING:	الذى
     IS_TRANS:	Al*Y
        INDEX:	P10W3
      OFFSETS:	12-16
       TOKENS:	P10W3-P10W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ail~a*iy_1]
   UNSPLITVOC:	(Al~a*iy)
          POS:	REL_PRON
          VOC:	Al~a*iy
        GLOSS:	which/who/whom[masc.sg.]

 INPUT STRING:	يصر
     IS_TRANS:	ySr
        INDEX:	P10W4
      OFFSETS:	17-20
       TOKENS:	P10W4-P10W4
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(ySr)
          POS:	NO_FUNC
          VOC:	ySr
        GLOSS:	nogloss

 INPUT STRING:	عليه
     IS_TRANS:	Elyh
        INDEX:	P10W5
      OFFSETS:	21-25
       TOKENS:	P10W5-P10W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(Ealayh)
          POS:	PREP+PRON_3MS
          VOC:	EalaY+uh
        GLOSS:	on/above+gloss

 INPUT STRING:	هؤلاء
     IS_TRANS:	h&lA'
        INDEX:	P10W6
      OFFSETS:	26-31
       TOKENS:	P10W7-P10W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[h`*A_1]
   UNSPLITVOC:	(h`&ulA'i)
          POS:	DEM_PRON_P
          VOC:	h`&ulA'i
        GLOSS:	these

 INPUT STRING:	غير
     IS_TRANS:	gyr
        INDEX:	P10W7
      OFFSETS:	32-35
       TOKENS:	P10W8-P10W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[gayr_1]
   UNSPLITVOC:	(gayr)
          POS:	NOUN
          VOC:	gayr
        GLOSS:	not/other

 INPUT STRING:	مقنع
     IS_TRANS:	mqnE
        INDEX:	P10W8
      OFFSETS:	36-40
       TOKENS:	P10W9-P10W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[muqoniE_1]
   UNSPLITVOC:	(muqoniE)
          POS:	ADJ
          VOC:	muqoniE
        GLOSS:	convincing/persuasive

 INPUT STRING:	لأحد
     IS_TRANS:	l>Hd
        INDEX:	P10W9
      OFFSETS:	41-45
       TOKENS:	P10W10-P10W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aHad_1]
   UNSPLITVOC:	(li>aHad)
          POS:	PREP+NOUN
          VOC:	li+>aHad
        GLOSS:	for/to+one of /someone/ anyone/no-one/ones

 INPUT STRING:	لأن
     IS_TRANS:	l>n
        INDEX:	P10W10
      OFFSETS:	46-49
       TOKENS:	P10W12-P10W13
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[li>an~a_1]
   UNSPLITVOC:	(li>an~a)
          POS:	PREP+SUB_CONJ
          VOC:	li+>an~a
        GLOSS:	for+that

 INPUT STRING:	الجميع
     IS_TRANS:	AljmyE
        INDEX:	P10W11
      OFFSETS:	50-56
       TOKENS:	P10W14-P10W14
