 INPUT STRING:	وكما
     IS_TRANS:	mn
        INDEX:	P27W3
      OFFSETS:	11-13
       TOKENS:	P27W3-P27W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	موقف
     IS_TRANS:	mwqf
        INDEX:	P27W4
      OFFSETS:	14-18
       TOKENS:	P27W4-P27W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mawqif_1]
   UNSPLITVOC:	(mawqif)
          POS:	NOUN
          VOC:	mawqif
        GLOSS:	position

 INPUT STRING:	الإخوان
     IS_TRANS:	Al<xwAn
        INDEX:	P27W5
      OFFSETS:	19-26
       TOKENS:	P27W5-P27W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<ixowAn_1]
   UNSPLITVOC:	(AlAixowAn)
          POS:	DET+NOUN_PROP
          VOC:	Al+<ixowAn
        GLOSS:	the+Ekhwan

 INPUT STRING:	مع
     IS_TRANS:	mE
        INDEX:	P27W6
      OFFSETS:	27-29
       TOKENS:	P27W6-P27W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maEa_1]
   UNSPLITVOC:	(maE)
          POS:	NOUN
          VOC:	maE
        GLOSS:	something with/together

 INPUT STRING:	إني
     IS_TRANS:	<ny
        INDEX:	P27W7
      OFFSETS:	30-33
       TOKENS:	P27W7-P27W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<in_1]
   UNSPLITVOC:	(<in~iy)
          POS:	SUB_CONJ+PRON_1S
          VOC:	<in~+iy
        GLOSS:	that+i

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P27W8
      OFFSETS:	35-37
       TOKENS:	P27W9-P27W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	موافقاه
     IS_TRANS:	mwAfqAh
        INDEX:	P27W9
      OFFSETS:	38-45
       TOKENS:	P27W10-P27W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[muwAfiq_1]
   UNSPLITVOC:	(muwAfqah)
          POS:	ADJ+NSUFF_FEM_SG+POSS_PRON_3MS
          VOC:	muwAfq+ap+h
        GLOSS:	agreeing/consenting/corresponding to+[fem.sg.]+its/his

 INPUT STRING:	لإني
     IS_TRANS:	l<ny
        INDEX:	P27W10
      OFFSETS:	47-51
       TOKENS:	P27W12-P27W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<in_1]
   UNSPLITVOC:	(li<in~iy)
          POS:	PREP+SUB_CONJ+PRON_1S
          VOC:	li+<in~+iy
        GLOSS:	for/to+that+i

 INPUT STRING:	متفهماه
     IS_TRANS:	mtfhmAh
        INDEX:	P27W11
      OFFSETS:	52-59
       TOKENS:	P27W15-P27W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[mutafah~im_1]
   UNSPLITVOC:	(mutafah~imah)
          POS:	ADJ+NSUFF_FEM_SG+POSS_PRON_3MS
          VOC:	mutafah~im+ap+h
        GLOSS:	reasonable/understanding+[fem.sg.]+its/his

 INPUT STRING:	كويس
     IS_TRANS:	kwys
        INDEX:	P27W12
      OFFSETS:	60-64
       TOKENS:	P27W17-P27W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kuway~is_1]
   UNSPLITVOC:	(kuw~ayis)
          POS:	ADJ
          VOC:	kuw~ayis
        GLOSS:	well

 INPUT STRING:	جدا
     IS_TRANS:	jdA
        INDEX:	P27W13
      OFFSETS:	65-68
       TOKENS:	P27W18-P27W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jid~_1]
   UNSPLITVOC:	(jid~AF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	jid~+AF
        GLOSS:	very/much+[acc.indef.]

 INPUT STRING:	ومش
     IS_TRANS:	wm$
        INDEX:	P28W1
      OFFSETS:	0-3
       TOKENS:	P28W1-P28W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(wimi$)
          POS:	CONJ+NEG_PART
          VOC:	wi+mi$
        GLOSS:	and+not

 INPUT STRING:	مستغربة
     IS_TRANS:	mstgrbp
        INDEX:	P28W2
      OFFSETS:	4-11
       TOKENS:	P28W3-P28W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[misotagorab_1]
   UNSPLITVOC:	(misotagorabap)
          POS:	ADJ.VN+NSUFF_FEM_SG
          VOC:	misotagorab+ap
        GLOSS:	finding strange+[fem.sg.]

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P28W3
      OFFSETS:	12-14
       TOKENS:	P28W4-P28W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	موقف
     IS_TRANS:	mwqf
        INDEX:	P28W4
      OFFSETS:	15-19
       TOKENS:	P28W5-P28W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mawqif_1]
   UNSPLITVOC:	(mawqif)
          POS:	NOUN
          VOC:	mawqif
        GLOSS:	position

 INPUT STRING:	كتير
     IS_TRANS:	ktyr
        INDEX:	P28W5
      OFFSETS:	20-24
       TOKENS:	P28W6-P28W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kitiyr_1]
   UNSPLITVOC:	(kitiyr)
          POS:	ADJ
          VOC:	kitiyr
        GLOSS:	many/much/numerous/a lot/very

 INPUT STRING:	اتعودت
     IS_TRANS:	AtEwdt
        INDEX:	P28W6
      OFFSETS:	25-31
       TOKENS:	P28W7-P28W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AitoEaw~id_1]
   UNSPLITVOC:	(AitoEaw~idt)
          POS:	PV+PVSUFF_SUBJ:1S
          VOC:	AitoEaw~id+t
        GLOSS:	get used/be familiar with+I

 INPUT STRING:	إنهم
     IS_TRANS:	<nhm
        INDEX:	P28W7
      OFFSETS:	32-36
       TOKENS:	P28W8-P28W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~uhum)
          POS:	SUB_CONJ+PRON_3P
          VOC:	<in~+hum
        GLOSS:	that+they

 INPUT STRING:	يستنوا
     IS_TRANS:	ystnwA
        INDEX:	P28W8
      OFFSETS:	37-43
       TOKENS:	P28W10-P28W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aisotan~aY_1]
   UNSPLITVOC:	(yisotan~uwA)
          POS:	IV3P+IV+IVSUFF_SUBJ:P
          VOC:	yi+sotan~+uwA
        GLOSS:	they+wait+[pl.]

 INPUT STRING:	أي
     IS_TRANS:	>y
        INDEX:	P28W9
      OFFSETS:	44-46
       TOKENS:	P28W11-P28W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aay~_1]
   UNSPLITVOC:	(>ay~)
          POS:	NOUN_QUANT
          VOC:	>ay~
        GLOSS:	any

 INPUT STRING:	موقف
     IS_TRANS:	mwqf
        INDEX:	P28W10
      OFFSETS:	47-51
       TOKENS:	P28W12-P28W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mawqif_1]
   UNSPLITVOC:	(mawqif)
          POS:	NOUN
          VOC:	mawqif
        GLOSS:	position

 INPUT STRING:	ملتبس
     IS_TRANS:	mltbs
        INDEX:	P28W11
      OFFSETS:	52-57
       TOKENS:	P28W13-P28W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mulotabis_1]
   UNSPLITVOC:	(mulotabis)
          POS:	ADJ
          VOC:	mulotabis
        GLOSS:	intricate/ambiguous/unclear

 INPUT STRING:	الفهم
     IS_TRANS:	Alfhm
        INDEX:	P28W12
      OFFSETS:	58-63
       TOKENS:	P28W14-P28W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fahom_1]
   UNSPLITVOC:	(Alfahom)
          POS:	DET+NOUN
          VOC:	Al+fahom
        GLOSS:	the+understanding

 INPUT STRING:	للإخوان
     IS_TRANS:	ll<xwAn
        INDEX:	P28W13
      OFFSETS:	64-71
       TOKENS:	P28W15-P28W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<ixowAn_1]
   UNSPLITVOC:	(lilAixowAn)
          POS:	PREP+DET+NOUN_PROP
          VOC:	li+Al+<ixowAn
        GLOSS:	for/to+the+Ekhwan

 INPUT STRING:	أو
     IS_TRANS:	>w
        INDEX:	P28W14
      OFFSETS:	72-74
       TOKENS:	P28W17-P28W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aw_1]
   UNSPLITVOC:	(>aw)
          POS:	CONJ
          VOC:	>aw
        GLOSS:	or

 INPUT STRING:	حتى
     IS_TRANS:	HtY
        INDEX:	P28W15
      OFFSETS:	75-78
       TOKENS:	P28W18-P28W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hat~aY_1]
   UNSPLITVOC:	(Hat~aY)
          POS:	PART
          VOC:	Hat~aY
        GLOSS:	even/including

 INPUT STRING:	غيرهم
     IS_TRANS:	gyrhm
        INDEX:	P28W16
      OFFSETS:	79-84
       TOKENS:	P28W19-P28W19
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(gyrhm)
          POS:	NO_FUNC
          VOC:	gyrhm
        GLOSS:	nogloss

 INPUT STRING:	عشان
     IS_TRANS:	E$An
        INDEX:	P29W1
      OFFSETS:	0-4
       TOKENS:	P29W1-P29W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$An_1]
   UNSPLITVOC:	(Ea$a>on)
          POS:	PREP+NOUN
          VOC:	Ea+$An
        GLOSS:	for+that

 INPUT STRING:	يسبوا
     IS_TRANS:	ysbwA
        INDEX:	P29W2
      OFFSETS:	5-10
       TOKENS:	P29W3-P29W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[sab~_1]
   UNSPLITVOC:	(yisab~uwA)
          POS:	IV3P+IV+IVSUFF_SUBJ:P
          VOC:	yi+sab~+uwA
        GLOSS:	they (people)+curse/swear+[pl.]

 INPUT STRING:	ويقذفوا
     IS_TRANS:	wyq*fwA
        INDEX:	P29W3
      OFFSETS:	11-18
       TOKENS:	P29W4-P29W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[qa*af_1]
   UNSPLITVOC:	(wayaqo*ifuwA)
          POS:	CONJ+IV3P+IV+IVSUFF_SUBJ:P
          VOC:	wa+ya+qo*if+uwA
        GLOSS:	and+they (people)+throw/pelt/slander+[pl.]

 INPUT STRING:	ويخوّنوا
     IS_TRANS:	wyxw~nwA
        INDEX:	P29W4
      OFFSETS:	19-27
       TOKENS:	P29W6-P29W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xAn_1]
   UNSPLITVOC:	(wiyixuwnuwA)
          POS:	CONJ+IV3P+IV+IVSUFF_SUBJ:P
          VOC:	wi+yi+xuwn+uwA
        GLOSS:	and+they+distrust/consider faithless+[pl.]

 INPUT STRING:	وممكن
     IS_TRANS:	wmmkn
        INDEX:	P29W5
      OFFSETS:	28-33
       TOKENS:	P29W8-P29W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mumokin_1]
   UNSPLITVOC:	(wimumokin)
          POS:	CONJ+ADJ
          VOC:	wi+mumokin
        GLOSS:	and+possible

 INPUT STRING:	يستبيحوا
     IS_TRANS:	ystbyHwA
        INDEX:	P29W6
      OFFSETS:	34-42
       TOKENS:	P29W10-P29W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<istabAH_1]
   UNSPLITVOC:	(yisotabiyHuwA)
          POS:	IV3P+IV+IVSUFF_SUBJ:P
          VOC:	yi+sotabiyH+uwA
        GLOSS:	they (people)+behave licentiously+[pl.]

 INPUT STRING:	دماءهم
     IS_TRANS:	dmA'hm
        INDEX:	P29W7
      OFFSETS:	43-49
       TOKENS:	P29W11-P29W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[dam_1]
   UNSPLITVOC:	(dimA'hum)
          POS:	NOUN+POSS_PRON_3P
          VOC:	dimA'+hum
        GLOSS:	blood+their

 INPUT STRING:	كمان
     IS_TRANS:	kmAn
        INDEX:	P29W8
      OFFSETS:	50-54
       TOKENS:	P29W13-P29W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kamAn_1]
   UNSPLITVOC:	(kamAn)
          POS:	ADV
          VOC:	kamAn
        GLOSS:	also/too

 INPUT STRING:	ومش
     IS_TRANS:	wm$
        INDEX:	P30W1
      OFFSETS:	0-3
       TOKENS:	P30W1-P30W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(wimi$)
          POS:	CONJ+NEG_PART
          VOC:	wi+mi$
        GLOSS:	and+not

 INPUT STRING:	مستغربة
     IS_TRANS:	mstgrbp
        INDEX:	P30W2
      OFFSETS:	4-11
       TOKENS:	P30W3-P30W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[misotagorab_1]
   UNSPLITVOC:	(misotagorabap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	misotagorab+ap
        GLOSS:	finding strange+[fem.sg.]

 INPUT STRING:	لما
     IS_TRANS:	lmA
        INDEX:	P30W3
      OFFSETS:	12-15
       TOKENS:	P30W4-P30W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lam~A_1]
   UNSPLITVOC:	(lam~A)
          POS:	SUB_CONJ
          VOC:	lam~A
        GLOSS:	as, when

 INPUT STRING:	الاقي
     IS_TRANS:	AlAqy
        INDEX:	P30W4
      OFFSETS:	16-21
       TOKENS:	P30W5-P30W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lAqaY_1]
   UNSPLITVOC:	(AalAqiy)
          POS:	IV1S+IV
          VOC:	Aa+lAqiy
        GLOSS:	I+find

 INPUT STRING:	ناس
     IS_TRANS:	nAs
        INDEX:	P30W5
      OFFSETS:	22-25
       TOKENS:	P30W6-P30W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nAs_1]
   UNSPLITVOC:	(nAs)
          POS:	NOUN
          VOC:	nAs
        GLOSS:	people

 INPUT STRING:	مؤيدة
     IS_TRANS:	m&ydp
        INDEX:	P30W6
      OFFSETS:	26-31
       TOKENS:	P30W7-P30W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mu&ay~id_1]
   UNSPLITVOC:	(mu&ay~idap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	mu&ay~id+ap
        GLOSS:	supporting+[fem.sg.]

 INPUT STRING:	جدا
     IS_TRANS:	jdA
        INDEX:	P30W7
      OFFSETS:	32-35
       TOKENS:	P30W8-P30W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jid~_1]
   UNSPLITVOC:	(jid~AF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	jid~+AF
        GLOSS:	very/much+[acc.indef.]

 INPUT STRING:	لموقفهم
     IS_TRANS:	lmwqfhm
        INDEX:	P30W8
      OFFSETS:	36-43
       TOKENS:	P30W9-P30W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mawqif_1]
   UNSPLITVOC:	(limawqifhum)
          POS:	PREP+NOUN+POSS_PRON_3P
          VOC:	li+mawqif+hum
        GLOSS:	for/to+position+their

 INPUT STRING:	اللي
     IS_TRANS:	Ally
        INDEX:	P30W9
      OFFSETS:	44-48
       TOKENS:	P30W12-P30W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	who/which

 INPUT STRING:	انا
     IS_TRANS:	AnA
        INDEX:	P30W10
      OFFSETS:	49-52
       TOKENS:	P30W13-P30W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(AnA)
          POS:	PRON_1S
          VOC:	AnA
        GLOSS:	I

 INPUT STRING:	شخصيا
     IS_TRANS:	$xSyA
        INDEX:	P30W11
      OFFSETS:	53-58
       TOKENS:	P30W14-P30W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$axoSiy~_1]
   UNSPLITVOC:	($axoSiy~AF)
          POS:	ADJ+CASE_INDEF_ACC
          VOC:	$axoSiy~+AF
        GLOSS:	private/personal/in person/personally+[acc.indef.]

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P30W12
      OFFSETS:	59-61
       TOKENS:	P30W15-P30W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	معاه
     IS_TRANS:	mEAh
        INDEX:	P30W13
      OFFSETS:	62-66
       TOKENS:	P30W16-P30W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maEa_1]
   UNSPLITVOC:	(maEAh)
          POS:	NOUN+POSS_PRON_3MS
          VOC:	maEa+uh
        GLOSS:	something with/together+his/its

 INPUT STRING:	ومش
     IS_TRANS:	wm$
        INDEX:	P31W1
      OFFSETS:	0-3
       TOKENS:	P31W1-P31W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(wimi$)
          POS:	CONJ+NEG_PART
          VOC:	wi+mi$
        GLOSS:	and+not

 INPUT STRING:	مستغربة
     IS_TRANS:	mstgrbp
        INDEX:	P31W2
      OFFSETS:	4-11
       TOKENS:	P31W3-P31W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[misotagorab_1]
   UNSPLITVOC:	(misotagorabap)
          POS:	ADJ.VN+NSUFF_FEM_SG
          VOC:	misotagorab+ap
        GLOSS:	finding strange+[fem.sg.]

 INPUT STRING:	إن
     IS_TRANS:	<n
        INDEX:	P31W3
      OFFSETS:	12-14
       TOKENS:	P31W4-P31W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[<in_1]
   UNSPLITVOC:	(<in~)
          POS:	SUB_CONJ
          VOC:	<in~
        GLOSS:	that

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P31W4
      OFFSETS:	15-17
       TOKENS:	P31W5-P31W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiyh)
          POS:	PREP+PRON_3MS
          VOC:	fiy+uh
        GLOSS:	there is+it/him

 INPUT STRING:	ناس
     IS_TRANS:	nAs
        INDEX:	P31W5
      OFFSETS:	18-21
       TOKENS:	P31W7-P31W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nAs_1]
   UNSPLITVOC:	(nAs)
          POS:	NOUN
          VOC:	nAs
        GLOSS:	people

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P31W6
      OFFSETS:	22-24
       TOKENS:	P31W8-P31W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	الميدان
     IS_TRANS:	AlmydAn
        INDEX:	P31W7
      OFFSETS:	25-32
       TOKENS:	P31W9-P31W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[miydAn_1]
   UNSPLITVOC:	(AlmiydAn)
          POS:	DET+NOUN_PROP
          VOC:	Al+miydAn
        GLOSS:	the+Midan

 INPUT STRING:	رافضة
     IS_TRANS:	rAfDp
        INDEX:	P31W8
      OFFSETS:	33-38
       TOKENS:	P31W10-P31W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[rAfiD_1]
   UNSPLITVOC:	(rAfDap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	rAfD+ap
        GLOSS:	rejecting/refusing+[fem.sg.]

 INPUT STRING:	لقرارهم
     IS_TRANS:	lqrArhm
        INDEX:	P31W9
      OFFSETS:	39-46
       TOKENS:	P31W11-P31W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qarAr_1]
   UNSPLITVOC:	(liqarArhum)
          POS:	PREP+NOUN+POSS_PRON_3P
          VOC:	li+qarAr+hum
        GLOSS:	for/to+decision/resolution+their

 INPUT STRING:	وحازز
     IS_TRANS:	wHAzz
        INDEX:	P31W10
      OFFSETS:	47-52
       TOKENS:	P31W14-P31W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAziz_1]
   UNSPLITVOC:	(wiHAziz)
          POS:	CONJ+ADJ.VN
          VOC:	wi+HAziz
        GLOSS:	and+affecting

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P31W11
      OFFSETS:	53-55
       TOKENS:	P31W16-P31W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	نفسها
     IS_TRANS:	nfshA
        INDEX:	P31W12
      OFFSETS:	56-61
       TOKENS:	P31W17-P31W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nafos_1]
   UNSPLITVOC:	(nafosahA)
          POS:	NOUN+POSS_PRON_3FS
          VOC:	nafos+hA
        GLOSS:	soul/souls+its/their/her

 INPUT STRING:	أوي
     IS_TRANS:	>wy
        INDEX:	P31W13
      OFFSETS:	62-65
       TOKENS:	P31W19-P31W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[qawiy~_1]
   UNSPLITVOC:	(>awiy~)
          POS:	ADJ
          VOC:	qawiy~
        GLOSS:	strong/powerful

 INPUT STRING:	إنهم
     IS_TRANS:	<nhm
        INDEX:	P31W14
      OFFSETS:	66-70
       TOKENS:	P31W20-P31W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~uhum)
          POS:	SUB_CONJ+PRON_3P
          VOC:	<in~+hum
        GLOSS:	that+they

 INPUT STRING:	ما
     IS_TRANS:	mA
        INDEX:	P31W15
      OFFSETS:	71-73
       TOKENS:	P31W22-P31W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mA_1]
   UNSPLITVOC:	(mA)
          POS:	NEG_PART
          VOC:	mA
        GLOSS:	not

 INPUT STRING:	نزلوش
     IS_TRANS:	nzlw$
        INDEX:	P31W16
      OFFSETS:	74-79
       TOKENS:	P31W23-P31W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nizil_1]
   UNSPLITVOC:	(nizoluw$)
          POS:	PV+PVSUFF_SUBJ:3P+NEG_PART
          VOC:	nizol+uwA+$
        GLOSS:	descend+they+not

 INPUT STRING:	معاهم
     IS_TRANS:	mEAhm
        INDEX:	P31W17
      OFFSETS:	80-85
       TOKENS:	P31W25-P31W26
