 INPUT STRING:	احالة
     IS_TRANS:	En
        INDEX:	P12W4
      OFFSETS:	21-23
       TOKENS:	P12W6-P12W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ean_1]
   UNSPLITVOC:	(Ean)
          POS:	PREP
          VOC:	Ean
        GLOSS:	(away) from, off, about, on, over

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P12W5
      OFFSETS:	24-26
       TOKENS:	P12W7-P12W7
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[mano_1]
   UNSPLITVOC:	(mano)
          POS:	REL_PRON
          VOC:	mano
        GLOSS:	who/whom

 INPUT STRING:	اطلق
     IS_TRANS:	ATlq
        INDEX:	P12W6
      OFFSETS:	27-31
       TOKENS:	P12W8-P12W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aTolaq_1]
   UNSPLITVOC:	(>aTolaq)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	>aTolaq+(null)
        GLOSS:	release/fire/be released/be fired+he/it

 INPUT STRING:	النار
     IS_TRANS:	AlnAr
        INDEX:	P12W7
      OFFSETS:	32-37
       TOKENS:	P12W9-P12W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nAr_1]
   UNSPLITVOC:	(Aln~Ar)
          POS:	DET+NOUN
          VOC:	Al+nAr
        GLOSS:	the+fire/shooting

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P12W8
      OFFSETS:	37-38
       TOKENS:	P12W10-P12W10
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	وفي
     IS_TRANS:	wfy
        INDEX:	P13W1
      OFFSETS:	1-4
       TOKENS:	P13W1-P13W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(wafiy)
          POS:	CONJ+PREP
          VOC:	wa+fiy
        GLOSS:	and+in

 INPUT STRING:	حال
     IS_TRANS:	HAl
        INDEX:	P13W2
      OFFSETS:	5-8
       TOKENS:	P13W3-P13W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAl_1]
   UNSPLITVOC:	(HAl)
          POS:	NOUN
          VOC:	HAl
        GLOSS:	situation/condition/case/situations/conditions/cases

 INPUT STRING:	ادينوا
     IS_TRANS:	AdynwA
        INDEX:	P13W3
      OFFSETS:	9-15
       TOKENS:	P13W4-P13W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>aDan_1]
   UNSPLITVOC:	(AdynuwA)
          POS:	PV_PASS+PVSUFF_SUBJ:3P
          VOC:	Audiyn+uwA
        GLOSS:	be guilty+they

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P13W4
      OFFSETS:	16-18
       TOKENS:	P13W5-P13W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	هذه
     IS_TRANS:	h*h
        INDEX:	P13W5
      OFFSETS:	19-22
       TOKENS:	P13W6-P13W6
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(h*h)
          POS:	NO_FUNC
          VOC:	h*h
        GLOSS:	nogloss

 INPUT STRING:	التهم
     IS_TRANS:	Althm
        INDEX:	P13W6
      OFFSETS:	23-28
       TOKENS:	P13W7-P13W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tuhomap_1]
   UNSPLITVOC:	(Alt~uham)
          POS:	DET+NOUN
          VOC:	Al+tuham
        GLOSS:	the+accusations/charges

 INPUT STRING:	فسيواجه
     IS_TRANS:	fsywAjh
        INDEX:	P13W7
      OFFSETS:	29-36
       TOKENS:	P13W8-P13W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[wAjih_1]
   UNSPLITVOC:	(fasayuwAjih)
          POS:	CONJ+FUT_PART+IV3MS+IV
          VOC:	fa+sa+yu+wAjih
        GLOSS:	so/and+will+he/it+encounter

 INPUT STRING:	الاربعة
     IS_TRANS:	AlArbEp
        INDEX:	P13W8
      OFFSETS:	37-44
       TOKENS:	P13W11-P13W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ArobaEap_1]
   UNSPLITVOC:	(AlArobaEap)
          POS:	DET+NOUN_NUM+NSUFF_FEM_SG
          VOC:	Al+ArobaE+ap
        GLOSS:	the+four+[fem.sg.]

 INPUT STRING:	عقوبات
     IS_TRANS:	EqwbAt
        INDEX:	P13W9
      OFFSETS:	45-51
       TOKENS:	P13W12-P13W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Euquwbap_1]
   UNSPLITVOC:	(EuquwbAt)
          POS:	NOUN+NSUFF_FEM_PL
          VOC:	Euquwb+At
        GLOSS:	punishment/sanction/punitive measure/sanctions/punitive measures+[fem.pl.]

 INPUT STRING:	تصل
     IS_TRANS:	tSl
        INDEX:	P13W10
      OFFSETS:	52-55
       TOKENS:	P13W13-P13W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[waSal_1]
   UNSPLITVOC:	(tSl)
          POS:	IV3FS+IV
          VOC:	t+Sil
        GLOSS:	it/they/she+arrive/reach

 INPUT STRING:	الى
     IS_TRANS:	AlY
        INDEX:	P13W11
      OFFSETS:	56-59
       TOKENS:	P13W14-P13W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AilaY_1]
   UNSPLITVOC:	(AilaY)
          POS:	PREP
          VOC:	AilaY
        GLOSS:	to

 INPUT STRING:	الاعدام
     IS_TRANS:	AlAEdAm
        INDEX:	P13W12
      OFFSETS:	60-67
       TOKENS:	P13W15-P13W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<iEodAm_1]
   UNSPLITVOC:	(Al<iEodAm)
          POS:	DET+NOUN
          VOC:	Al+<iEodAm
        GLOSS:	the+execution/capital punishment

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P13W13
      OFFSETS:	68-69
       TOKENS:	P13W16-P13W16
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	يشار
     IS_TRANS:	y$Ar
        INDEX:	P14W1
      OFFSETS:	1-5
       TOKENS:	P14W1-P14W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>a$Ar_1]
   UNSPLITVOC:	(y$Ar)
          POS:	PV_PASS+PVSUFF_SUBJ:3MS
          VOC:	yu$Ar+(null)
        GLOSS:	mention+he/it

 INPUT STRING:	الى
     IS_TRANS:	AlY
        INDEX:	P14W2
      OFFSETS:	6-9
       TOKENS:	P14W2-P14W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AilaY_1]
   UNSPLITVOC:	(AilaY)
          POS:	PREP
          VOC:	AilaY
        GLOSS:	to

 INPUT STRING:	ان
     IS_TRANS:	An
        INDEX:	P14W3
      OFFSETS:	10-12
       TOKENS:	P14W3-P14W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~)
          POS:	SUB_CONJ
          VOC:	<in~
        GLOSS:	that

 INPUT STRING:	الاحتجاجات
     IS_TRANS:	AlAHtjAjAt
        INDEX:	P14W4
      OFFSETS:	13-23
       TOKENS:	P14W4-P14W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AiHotijAj_1]
   UNSPLITVOC:	(AlAiHotijAjAt)
          POS:	DET+NOUN+NSUFF_FEM_PL
          VOC:	Al+AiHotijAj+At
        GLOSS:	the+protest+[fem.pl.]

 INPUT STRING:	الضخمة
     IS_TRANS:	AlDxmp
        INDEX:	P14W5
      OFFSETS:	24-30
       TOKENS:	P14W5-P14W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Daxom_1]
   UNSPLITVOC:	(AlD~axomap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+Daxom+ap
        GLOSS:	the+large/voluminous+[fem.sg.]

 INPUT STRING:	التي
     IS_TRANS:	Alty
        INDEX:	P14W6
      OFFSETS:	31-35
       TOKENS:	P14W6-P14W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ail~atiy_1]
   UNSPLITVOC:	(Al~atiy)
          POS:	REL_PRON
          VOC:	Al~atiy
        GLOSS:	that

 INPUT STRING:	شهدتها
     IS_TRANS:	$hdthA
        INDEX:	P14W7
      OFFSETS:	36-42
       TOKENS:	P14W7-P14W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$ihid_1]
   UNSPLITVOC:	($ihodithA)
          POS:	PV+PVSUFF_SUBJ:3FS+PVSUFF_DO:3FS
          VOC:	$ihod+it+hA
        GLOSS:	witness+it/they/she+it/them/her

 INPUT STRING:	شوارع
     IS_TRANS:	$wArE
        INDEX:	P14W8
      OFFSETS:	43-48
       TOKENS:	P14W9-P14W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$AriE_1]
   UNSPLITVOC:	($awAriE)
          POS:	NOUN
          VOC:	$awAriE
        GLOSS:	street/streets

 INPUT STRING:	القاهرة
     IS_TRANS:	AlqAhrp
        INDEX:	P14W9
      OFFSETS:	49-56
       TOKENS:	P14W10-P14W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAhirap_1]
   UNSPLITVOC:	(AlqAhirap)
          POS:	DET+NOUN_PROP+NSUFF_FEM_SG
          VOC:	Al+qAhir+ap
        GLOSS:	the+Cairo+[fem.sg.]

 INPUT STRING:	ومدن
     IS_TRANS:	wmdn
        INDEX:	P14W10
      OFFSETS:	57-61
       TOKENS:	P14W11-P14W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mid~an_1]
   UNSPLITVOC:	(wimid~an)
          POS:	CONJ+NOUN
          VOC:	wi+mid~an
        GLOSS:	and+cities

 INPUT STRING:	مصر
     IS_TRANS:	mSr
        INDEX:	P14W11
      OFFSETS:	62-65
       TOKENS:	P14W13-P14W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maSor_1]
   UNSPLITVOC:	(maSor)
          POS:	NOUN_PROP
          VOC:	maSor
        GLOSS:	Egypt

 INPUT STRING:	،
     IS_TRANS:	,
        INDEX:	P14W12
      OFFSETS:	65-66
       TOKENS:	P14W14-P14W14
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	,

 INPUT STRING:	والتي
     IS_TRANS:	wAlty
        INDEX:	P14W13
      OFFSETS:	67-72
       TOKENS:	P14W15-P14W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ail~atiy_1]
   UNSPLITVOC:	(waAl~atiy)
          POS:	CONJ+REL_PRON
          VOC:	wa+Al~atiy
        GLOSS:	and+that

 INPUT STRING:	انطلقت
     IS_TRANS:	AnTlqt
        INDEX:	P14W14
      OFFSETS:	73-79
       TOKENS:	P14W17-P14W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[AinTalaq_1]
   UNSPLITVOC:	(AinTalaqit)
          POS:	PV+PVSUFF_SUBJ:3FS
          VOC:	AinTalaq+it
        GLOSS:	get started/be launched+she/it

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P14W15
      OFFSETS:	80-82
       TOKENS:	P14W18-P14W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	الخامس
     IS_TRANS:	AlxAms
        INDEX:	P14W16
      OFFSETS:	83-89
       TOKENS:	P14W19-P14W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xAmis_1]
   UNSPLITVOC:	(AlxAmis)
          POS:	DET+ADJ
          VOC:	Al+xAmis
        GLOSS:	the+fifth/in fifth place

 INPUT STRING:	والعشرين
     IS_TRANS:	wAlE$ryn
        INDEX:	P14W17
      OFFSETS:	90-98
       TOKENS:	P14W20-P14W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ei$oriyn_1]
   UNSPLITVOC:	(wiAlEi$oriyn)
          POS:	CONJ+DET+NOUN_NUM
          VOC:	wi+Al+Ei$oriyn
        GLOSS:	and+the+twenties

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P14W18
      OFFSETS:	99-101
       TOKENS:	P14W22-P14W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	يناير
     IS_TRANS:	ynAyr
        INDEX:	P14W19
      OFFSETS:	102-107
       TOKENS:	P14W23-P14W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yanAyir_1]
   UNSPLITVOC:	(yanAyir)
          POS:	NOUN
          VOC:	yanAyir
        GLOSS:	January

 INPUT STRING:	،
     IS_TRANS:	,
        INDEX:	P14W20
      OFFSETS:	107-108
       TOKENS:	P14W24-P14W24
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	,

 INPUT STRING:	وما
     IS_TRANS:	wmA
        INDEX:	P14W21
      OFFSETS:	109-112
       TOKENS:	P14W25-P14W26
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mA_1]
   UNSPLITVOC:	(wamA)
          POS:	CONJ+REL_PRON
          VOC:	wa+mA
        GLOSS:	and+what/which

 INPUT STRING:	تخللها
     IS_TRANS:	txllhA
        INDEX:	P14W22
      OFFSETS:	113-119
       TOKENS:	P14W27-P14W28
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[taxal~al_1]
   UNSPLITVOC:	(taxal~alhA)
          POS:	PV+PVSUFF_SUBJ:3MS+PVSUFF_DO:3FS
          VOC:	taxal~al+(null)+hA
        GLOSS:	interrupt+he/it+her

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P14W23
      OFFSETS:	120-122
       TOKENS:	P14W29-P14W29
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	مواجهات
     IS_TRANS:	mwAjhAt
        INDEX:	P14W24
      OFFSETS:	123-130
       TOKENS:	P14W30-P14W30
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[muwAjahap_1]
   UNSPLITVOC:	(muwAjahAt)
          POS:	NOUN+NSUFF_FEM_PL
          VOC:	muwAjah+At
        GLOSS:	confrontations/encounters+[fem.pl.]

 INPUT STRING:	مع
     IS_TRANS:	mE
        INDEX:	P14W25
      OFFSETS:	131-133
       TOKENS:	P14W31-P14W31
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[maE_1]
   UNSPLITVOC:	(maE)
          POS:	NOUN
          VOC:	maEa
        GLOSS:	something with

 INPUT STRING:	قوات
     IS_TRANS:	qwAt
        INDEX:	P14W26
      OFFSETS:	134-138
       TOKENS:	P14W32-P14W32
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[quw~ap_1]
   UNSPLITVOC:	(quw~At)
          POS:	NOUN+NSUFF_FEM_PL
          VOC:	quw~+At
        GLOSS:	power/strength/force/violence/armed forces/power/forces+[fem.pl.]

 INPUT STRING:	الامن
     IS_TRANS:	AlAmn
        INDEX:	P14W27
      OFFSETS:	139-144
       TOKENS:	P14W33-P14W33
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>amon_1]
   UNSPLITVOC:	(Al>amon)
          POS:	DET+NOUN
          VOC:	Al+>amon
        GLOSS:	the+security/safety

 INPUT STRING:	الحكومية
     IS_TRANS:	AlHkwmyp
        INDEX:	P14W28
      OFFSETS:	145-153
       TOKENS:	P14W34-P14W34
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hukuwmiy_1]
   UNSPLITVOC:	(AlHukuwmiy~ap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+Hukuwmiy~+ap
        GLOSS:	the+governmental/state/official+[fem.sg.]

 INPUT STRING:	وبعض
     IS_TRANS:	wbED
        INDEX:	P14W29
      OFFSETS:	154-158
       TOKENS:	P14W35-P14W36
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baEoD_1]
   UNSPLITVOC:	(wabaEoD)
          POS:	PREP+NOUN
          VOC:	wa+baEoD
        GLOSS:	with+some, a few, little, part

 INPUT STRING:	الاعوان
     IS_TRANS:	AlAEwAn
        INDEX:	P14W30
      OFFSETS:	159-166
       TOKENS:	P14W37-P14W37
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aEowAn_1]
   UNSPLITVOC:	(Al>aEowAn)
          POS:	DET+NOUN
          VOC:	Al+>aEowAn
        GLOSS:	the+assistants/aids

 INPUT STRING:	ممن
     IS_TRANS:	mmn
        INDEX:	P14W31
      OFFSETS:	167-170
       TOKENS:	P14W38-P14W39
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[mim~an_1]
   UNSPLITVOC:	(mim~an)
          POS:	PREP+REL_PRON
          VOC:	min+man
        GLOSS:	from+whom

 INPUT STRING:	عرفوا
     IS_TRANS:	ErfwA
        INDEX:	P14W32
      OFFSETS:	171-176
       TOKENS:	P14W40-P14W40
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Eirif_1]
   UNSPLITVOC:	(ErfuwA)
          POS:	PV_PASS+PVSUFF_SUBJ:3P
          VOC:	Eurif+uwA
        GLOSS:	be known/be recognized+they

 INPUT STRING:	بالبلطجية
     IS_TRANS:	bAlblTjyp
        INDEX:	P14W33
      OFFSETS:	177-186
       TOKENS:	P14W41-P14W42
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baloTajiy_1]
   UNSPLITVOC:	(biAlbaloTajiy~ap)
          POS:	PREP+DET+ADJ+NSUFF_FEM_SG
          VOC:	bi+Al+baloTajiy~+ap
        GLOSS:	with/by+the+gangster/ruffian+[fem.sg.]

 INPUT STRING:	،
     IS_TRANS:	,
        INDEX:	P14W34
      OFFSETS:	186-187
       TOKENS:	P14W43-P14W43
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	,

 INPUT STRING:	اسفرت
     IS_TRANS:	Asfrt
        INDEX:	P14W35
      OFFSETS:	188-193
       TOKENS:	P14W44-P14W44
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>asofar_1]
   UNSPLITVOC:	(>asofarit)
          POS:	PV+PVSUFF_SUBJ:3FS
          VOC:	>asofar+it
        GLOSS:	cause/produce/result in+it/they/she

 INPUT STRING:	عن
     IS_TRANS:	En
        INDEX:	P14W36
      OFFSETS:	194-196
       TOKENS:	P14W45-P14W45
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ean_1]
   UNSPLITVOC:	(Ean)
          POS:	PREP
          VOC:	Ean
        GLOSS:	(away) from, off, about, on, over

 INPUT STRING:	مقتل
     IS_TRANS:	mqtl
        INDEX:	P14W37
      OFFSETS:	197-201
       TOKENS:	P14W46-P14W46
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maqotal_1]
   UNSPLITVOC:	(maqotal)
          POS:	NOUN
          VOC:	maqotal
        GLOSS:	murder/killing

 INPUT STRING:	ما
     IS_TRANS:	mA
        INDEX:	P14W38
      OFFSETS:	202-204
       TOKENS:	P14W47-P14W47
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mA_1]
   UNSPLITVOC:	(mA)
          POS:	REL_PRON
          VOC:	mA
        GLOSS:	what/which

 INPUT STRING:	لا
     IS_TRANS:	lA
        INDEX:	P14W39
      OFFSETS:	205-207
       TOKENS:	P14W48-P14W48
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lA_1]
   UNSPLITVOC:	(lA)
          POS:	NEG_PART
          VOC:	lA
        GLOSS:	no/not

 INPUT STRING:	يقل
     IS_TRANS:	yql
        INDEX:	P14W40
      OFFSETS:	208-211
       TOKENS:	P14W49-P14W49
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qal~_1]
   UNSPLITVOC:	(yiqil~)
          POS:	IV3MS+IV
          VOC:	yi+qil~
        GLOSS:	he/it+be less/decrease/diminish

 INPUT STRING:	عن
     IS_TRANS:	En
        INDEX:	P14W41
      OFFSETS:	212-214
       TOKENS:	P14W50-P14W50
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ean_1]
   UNSPLITVOC:	(Ean)
          POS:	PREP
          VOC:	Ean
        GLOSS:	(away) from, off, about, on, over

 INPUT STRING:	384
     IS_TRANS:	384
        INDEX:	P14W42
      OFFSETS:	215-218
       TOKENS:	P14W51-P14W51
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(384)
          POS:	ADJ_NUM
          VOC:	384
        GLOSS:	384

 INPUT STRING:	قتيلا
     IS_TRANS:	qtylA
        INDEX:	P14W43
      OFFSETS:	219-224
       TOKENS:	P14W52-P14W52
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qatiyl_1]
   UNSPLITVOC:	(qatiylAF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	qatiyl+AF
        GLOSS:	casualty/dead person/killed person+[acc.indef.]

 INPUT STRING:	واكثر
     IS_TRANS:	wAkvr
        INDEX:	P14W44
      OFFSETS:	225-230
       TOKENS:	P14W53-P14W54
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aakovar_1]
   UNSPLITVOC:	(wi>akovar)
          POS:	CONJ+NOUN_QUANT
          VOC:	wi+>akovar
        GLOSS:	and+more/most

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P14W45
      OFFSETS:	231-233
       TOKENS:	P14W55-P14W55
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	ستة
     IS_TRANS:	stp
        INDEX:	P14W46
      OFFSETS:	234-237
       TOKENS:	P14W56-P14W56
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sit~ap_1]
   UNSPLITVOC:	(sit~ap)
          POS:	NOUN_NUM+NSUFF_FEM_SG
          VOC:	sit~+ap
        GLOSS:	six+[fem.sg.]

 INPUT STRING:	آلاف
     IS_TRANS:	|lAf
        INDEX:	P14W47
      OFFSETS:	238-242
       TOKENS:	P14W57-P14W57
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Aalf_1]
   UNSPLITVOC:	(|lAf)
          POS:	NOUN_QUANT
