 INPUT STRING:	إعتراف
   UNSPLITVOC:	(qil~ithA)
          POS:	NOUN+NSUFF_FEM_SG+POSS_PRON_3FS
          VOC:	qil~+ap+hA
        GLOSS:	scarcity/lack of/small number or amount of+[fem.sg.]+its/their/her

 INPUT STRING:	دمعة
     IS_TRANS:	dmEp
        INDEX:	P21W1
      OFFSETS:	1-5
       TOKENS:	P21W1-P21W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[damoEap_1]
   UNSPLITVOC:	(damoEap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	damoE+ap
        GLOSS:	teardrop/teardrops+[fem.sg.]

 INPUT STRING:	حزن
     IS_TRANS:	Hzn
        INDEX:	P21W2
      OFFSETS:	6-9
       TOKENS:	P21W2-P21W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Huzon_1]
   UNSPLITVOC:	(Huzon)
          POS:	NOUN
          VOC:	Huzon
        GLOSS:	sadness

 INPUT STRING:	تسلم
     IS_TRANS:	tslm
        INDEX:	P21W3
      OFFSETS:	10-14
       TOKENS:	P21W3-P21W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sal~im_1]
   UNSPLITVOC:	(tisal~im)
          POS:	IV2MS+IV
          VOC:	ti+sal~im
        GLOSS:	you+be safe/be faultless

 INPUT STRING:	علي
     IS_TRANS:	Ely
        INDEX:	P21W4
      OFFSETS:	15-18
       TOKENS:	P21W4-P21W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	نقل
     IS_TRANS:	nql
        INDEX:	P21W5
      OFFSETS:	19-22
       TOKENS:	P21W5-P21W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[naqol_1]
   UNSPLITVOC:	(naqol)
          POS:	NOUN
          VOC:	naqol
        GLOSS:	transportation/transfer/transmission/relaying/quoting

 INPUT STRING:	الخبر
     IS_TRANS:	Alxbr
        INDEX:	P21W6
      OFFSETS:	23-28
       TOKENS:	P21W6-P21W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xabar_1]
   UNSPLITVOC:	(Alxabar)
          POS:	DET+NOUN
          VOC:	Al+xabar
        GLOSS:	the+news/report

 INPUT STRING:	تحياتي
     IS_TRANS:	tHyAty
        INDEX:	P22W1
      OFFSETS:	1-7
       TOKENS:	P22W1-P22W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[taHiy~ap_1]
   UNSPLITVOC:	(taHiy~Atiy)
          POS:	NOUN+NSUFF_FEM_PL+POSS_PRON_1S
          VOC:	taHiy~+At+iy
        GLOSS:	greeting/salute+[fem.pl.]+my

 INPUT STRING:	اولا
     IS_TRANS:	AwlA
        INDEX:	P23W1
      OFFSETS:	1-5
       TOKENS:	P23W1-P23W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aw~al_1]
   UNSPLITVOC:	(>aw~alAF)
          POS:	ADJ+CASE_INDEF_ACC
          VOC:	>aw~al+AF
        GLOSS:	first of all/primarily/in the first place+[acc.indef.]

 INPUT STRING:	هى
     IS_TRANS:	hY
        INDEX:	P23W2
      OFFSETS:	6-8
       TOKENS:	P23W2-P23W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hiy~a_1]
   UNSPLITVOC:	(hiy~a)
          POS:	PRON_3FS
          VOC:	hiy~a
        GLOSS:	it/she

 INPUT STRING:	اقالة
     IS_TRANS:	AqAlp
        INDEX:	P23W3
      OFFSETS:	9-14
       TOKENS:	P23W3-P23W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<iqAlap_1]
   UNSPLITVOC:	(<iqAlap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	<iqAl+ap
        GLOSS:	dismissal/discharge/firing+[fem.sg.]

 INPUT STRING:	وليست
     IS_TRANS:	wlyst
        INDEX:	P23W4
      OFFSETS:	15-20
       TOKENS:	P23W4-P23W5
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[layosa_1]
   UNSPLITVOC:	(walayosat)
          POS:	CONJ+PV+PVSUFF_SUBJ:3FS
          VOC:	wa+layos+at
        GLOSS:	and+not be+it/they/she [verb]

 INPUT STRING:	استقالة
     IS_TRANS:	AstqAlp
        INDEX:	P23W5
      OFFSETS:	21-28
       TOKENS:	P23W6-P23W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AisotiqAlap_1]
   UNSPLITVOC:	(AisotiqAlap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	AisotiqAl+ap
        GLOSS:	resignation/retirement+[fem.sg.]

 INPUT STRING:	ثانيا
     IS_TRANS:	vAnyA
        INDEX:	P24W1
      OFFSETS:	1-6
       TOKENS:	P24W1-P24W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[vAniyAF_1]
   UNSPLITVOC:	(vAniyAF)
          POS:	ADJ+CASE_INDEF_ACC
          VOC:	vAniy+AF
        GLOSS:	secondly+[acc.indef.]

 INPUT STRING:	هى
     IS_TRANS:	hY
        INDEX:	P24W2
      OFFSETS:	7-9
       TOKENS:	P24W2-P24W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hiy~a_1]
   UNSPLITVOC:	(hiy~a)
          POS:	PRON_3FS
          VOC:	hiy~a
        GLOSS:	it/she

 INPUT STRING:	بداية
     IS_TRANS:	bdAyp
        INDEX:	P24W3
      OFFSETS:	10-15
       TOKENS:	P24W3-P24W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bidAyap_1]
   UNSPLITVOC:	(bidAyap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	bidAy+ap
        GLOSS:	beginning/start+[fem.sg.]

 INPUT STRING:	طيبه
     IS_TRANS:	Tybh
        INDEX:	P24W4
      OFFSETS:	16-20
       TOKENS:	P24W4-P24W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Tay~ib_1]
   UNSPLITVOC:	(Tay~ibap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	Tay~ib+ap
        GLOSS:	good/pleasant+[fem.sg.]

 INPUT STRING:	ونتمنى
     IS_TRANS:	wntmnY
        INDEX:	P24W5
      OFFSETS:	21-27
       TOKENS:	P24W5-P24W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aitoman~aY_1]
   UNSPLITVOC:	(winitoman~aY)
          POS:	CONJ+IV1P+IV
          VOC:	wi+ni+toman~aY
        GLOSS:	and+we+hope

 INPUT STRING:	بعدها
     IS_TRANS:	bEdhA
        INDEX:	P24W6
      OFFSETS:	28-33
       TOKENS:	P24W7-P24W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baEod_1]
   UNSPLITVOC:	(baEodahA)
          POS:	NOUN+POSS_PRON_3FS
          VOC:	baEod+hA
        GLOSS:	after+its/their/her

 INPUT STRING:	اقالة
     IS_TRANS:	AqAlp
        INDEX:	P24W7
      OFFSETS:	34-39
       TOKENS:	P24W9-P24W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<iqAlap_1]
   UNSPLITVOC:	(<iqAlap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	<iqAl+ap
        GLOSS:	dismissal/discharge/firing+[fem.sg.]

 INPUT STRING:	اى
     IS_TRANS:	AY
        INDEX:	P24W8
      OFFSETS:	40-42
       TOKENS:	P24W10-P24W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aay~_1]
   UNSPLITVOC:	(>ay~)
          POS:	NOUN_QUANT
          VOC:	>ay~
        GLOSS:	any

 INPUT STRING:	مسئول
     IS_TRANS:	ms}wl
        INDEX:	P24W9
      OFFSETS:	43-48
       TOKENS:	P24W11-P24W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maso}uwl_1]
   UNSPLITVOC:	(maso}uwl)
          POS:	NOUN
          VOC:	maso}uwl
        GLOSS:	official/functionary

 INPUT STRING:	يفشل
     IS_TRANS:	yf$l
        INDEX:	P24W10
      OFFSETS:	49-53
       TOKENS:	P24W12-P24W12
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[fa$il-a_1]
   UNSPLITVOC:	(yafo$alu)
          POS:	IV3MS+IV+IVSUFF_MOOD:I
          VOC:	ya+fo$al+u
        GLOSS:	he/it+fail/be unsuccessful+[ind.]

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P24W11
      OFFSETS:	54-56
       TOKENS:	P24W13-P24W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	اداء
     IS_TRANS:	AdA'
        INDEX:	P24W12
      OFFSETS:	57-61
       TOKENS:	P24W14-P24W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>adA'_1]
   UNSPLITVOC:	(>adA')
          POS:	NOUN
          VOC:	>adA'
        GLOSS:	performance/fulfillment

 INPUT STRING:	واجبه
     IS_TRANS:	wAjbh
        INDEX:	P24W13
      OFFSETS:	62-67
       TOKENS:	P24W15-P24W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[wAjib_1]
   UNSPLITVOC:	(wAjbuh)
          POS:	NOUN+POSS_PRON_3MS
          VOC:	wAjb+uh
        GLOSS:	duty+its/his

 INPUT STRING:	لااله
     IS_TRANS:	lAAlh
        INDEX:	P25W1
      OFFSETS:	1-6
       TOKENS:	P25W1-P25W1
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(lAAlh)
          POS:	NO_FUNC
          VOC:	lAAlh
        GLOSS:	nogloss

 INPUT STRING:	الا
     IS_TRANS:	AlA
        INDEX:	P25W2
      OFFSETS:	7-10
       TOKENS:	P25W2-P25W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<il~A_1]
   UNSPLITVOC:	(<il~A)
          POS:	RESTRIC_PART
          VOC:	<il~A
        GLOSS:	except for

 INPUT STRING:	الله
     IS_TRANS:	Allh
        INDEX:	P25W3
      OFFSETS:	11-15
       TOKENS:	P25W3-P25W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(All~ah)
          POS:	NOUN_PROP
          VOC:	All~ah
        GLOSS:	Allah/God

 INPUT STRING:	الوزير
     IS_TRANS:	Alwzyr
        INDEX:	P26W1
      OFFSETS:	1-7
       TOKENS:	P26W1-P26W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[waziyr_1]
   UNSPLITVOC:	(Alwaziyr)
          POS:	DET+NOUN
          VOC:	Al+waziyr
        GLOSS:	the+minister

 INPUT STRING:	استقال
     IS_TRANS:	AstqAl
        INDEX:	P26W2
      OFFSETS:	8-14
       TOKENS:	P26W2-P26W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[{isotaqAl_1]
   UNSPLITVOC:	({isotaqAl)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	{isotaqAl+null
        GLOSS:	resign+he/it [verb]

 INPUT STRING:	وده
     IS_TRANS:	wdh
        INDEX:	P26W3
      OFFSETS:	15-18
       TOKENS:	P26W3-P26W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dah_1]
   UNSPLITVOC:	(widah)
          POS:	CONJ+DEM_PRON_MS
          VOC:	wi+dah
        GLOSS:	and+this

 INPUT STRING:	حقه
     IS_TRANS:	Hqh
        INDEX:	P26W4
      OFFSETS:	19-22
       TOKENS:	P26W5-P26W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Haq~_1]
   UNSPLITVOC:	(Haq~uh)
          POS:	NOUN+POSS_PRON_3MS
          VOC:	Haq~+uh
        GLOSS:	right, prerogative, truth+his/its

 INPUT STRING:	لييه
     IS_TRANS:	lyyh
        INDEX:	P27W1
      OFFSETS:	1-5
       TOKENS:	P27W1-P27W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[liyh_1]
   UNSPLITVOC:	(liyh)
          POS:	INTERROG_ADV
          VOC:	liyh
        GLOSS:	why

 INPUT STRING:	تعاملوه
     IS_TRANS:	tEAmlwh
        INDEX:	P27W2
      OFFSETS:	6-13
       TOKENS:	P27W2-P27W3
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[EAmal_1]
   UNSPLITVOC:	(tuEAmiluwhu)
          POS:	IV2MP+IV+IVSUFF_SUBJ:MP_MOOD:SJ+IVSUFF_DO:3MS
          VOC:	tu+EAmil+uw+hu
        GLOSS:	you [masc.pl.]+treat/deal with+[masc.pl.]+it/him

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P27W3
      OFFSETS:	14-17
       TOKENS:	P27W4-P27W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	انه
     IS_TRANS:	Anh
        INDEX:	P27W4
      OFFSETS:	18-21
       TOKENS:	P27W5-P27W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~uh)
          POS:	SUB_CONJ+PRON_3MS
          VOC:	<in~+uh
        GLOSS:	that+it/he

 INPUT STRING:	السبب
     IS_TRANS:	Alsbb
        INDEX:	P27W5
      OFFSETS:	22-27
       TOKENS:	P27W7-P27W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sabab_1]
   UNSPLITVOC:	(Als~abab)
          POS:	DET+NOUN
          VOC:	Al+sabab
        GLOSS:	the+reason/cause/because of/due to

 INPUT STRING:	يعني
     IS_TRANS:	yEny
        INDEX:	P28W1
      OFFSETS:	1-5
       TOKENS:	P28W1-P28W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EanaY_1]
   UNSPLITVOC:	(yaEoniy)
          POS:	IV3MS+IV
          VOC:	ya+Eoniy
        GLOSS:	he/it+afflict/be afflicted

 INPUT STRING:	كدا
     IS_TRANS:	kdA
        INDEX:	P28W2
      OFFSETS:	6-9
       TOKENS:	P28W2-P28W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[kidA_1]
   UNSPLITVOC:	(kidA)
          POS:	ADV
          VOC:	kidA
        GLOSS:	likewise

 INPUT STRING:	بكل
     IS_TRANS:	bkl
        INDEX:	P28W3
      OFFSETS:	10-13
       TOKENS:	P28W3-P28W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(bikul~)
          POS:	PREP+NOUN
          VOC:	bi+kul~
        GLOSS:	with/by+all, entire, every, whole

 INPUT STRING:	بساطه
     IS_TRANS:	bsATh
        INDEX:	P28W4
      OFFSETS:	14-19
       TOKENS:	P28W5-P28W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[basATap_1]
   UNSPLITVOC:	(basATap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	basAT+ap
        GLOSS:	frankness/sincerity/simplicity/plainness+[fem.sg.]

 INPUT STRING:	هرب
     IS_TRANS:	hrb
        INDEX:	P28W5
      OFFSETS:	20-23
       TOKENS:	P28W6-P28W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hirib_1]
   UNSPLITVOC:	(hirib)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	hirib+(null)
        GLOSS:	escape+he/it

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P28W6
      OFFSETS:	24-26
       TOKENS:	P28W7-P28W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	المسؤولية
     IS_TRANS:	Alms&wlyp
        INDEX:	P28W7
      OFFSETS:	27-36
       TOKENS:	P28W8-P28W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maso&uwliy~ap_1]
   UNSPLITVOC:	(Almaso&uwliy~ap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+maso&uwliy~+ap
        GLOSS:	the+responsibility+[fem.sg.]

 INPUT STRING:	بعد
     IS_TRANS:	bEd
        INDEX:	P30W1
      OFFSETS:	1-4
       TOKENS:	P30W1-P30W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baEod_1]
   UNSPLITVOC:	(baEod)
          POS:	NOUN
          VOC:	baEod
        GLOSS:	after

 INPUT STRING:	خراب
     IS_TRANS:	xrAb
        INDEX:	P30W2
      OFFSETS:	5-9
       TOKENS:	P30W2-P30W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xarAb_1]
   UNSPLITVOC:	(xarAb)
          POS:	NOUN
          VOC:	xarAb
        GLOSS:	ruins/destroyed

 INPUT STRING:	مالطة
     IS_TRANS:	mAlTp
        INDEX:	P30W3
      OFFSETS:	10-15
       TOKENS:	P30W3-P30W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mAloTap_1]
   UNSPLITVOC:	(mAloTap)
          POS:	NOUN_PROP+NSUFF_FEM_SG
          VOC:	mAloT+ap
        GLOSS:	Malta+[fem.sg.]

 INPUT STRING:	أنا
     IS_TRANS:	>nA
        INDEX:	P31W1
      OFFSETS:	1-4
       TOKENS:	P31W1-P31W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(AnA)
          POS:	PRON_1S
          VOC:	AnA
        GLOSS:	I

 INPUT STRING:	أفتكر
     IS_TRANS:	>ftkr
        INDEX:	P31W2
      OFFSETS:	5-10
       TOKENS:	P31W2-P31W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aifotakar_1]
   UNSPLITVOC:	(Aafotikir)
          POS:	IV1S+IV
          VOC:	Aa+fotikir
        GLOSS:	I+remember

 INPUT STRING:	أخر
     IS_TRANS:	>xr
        INDEX:	P31W3
      OFFSETS:	11-14
       TOKENS:	P31W3-P31W3
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(>xr)
          POS:	TYPO
          VOC:	>xr
        GLOSS:	nogloss

 INPUT STRING:	حالة
     IS_TRANS:	HAlp
        INDEX:	P31W4
      OFFSETS:	15-19
       TOKENS:	P31W4-P31W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAlap_1]
   UNSPLITVOC:	(HAlap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	HAl+ap
        GLOSS:	condition/case/situation/cases/situations/instances+[fem.sg.]

 INPUT STRING:	إستقالة
     IS_TRANS:	<stqAlp
        INDEX:	P31W5
      OFFSETS:	20-27
       TOKENS:	P31W5-P31W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AisotiqAlap_1]
   UNSPLITVOC:	(AisotiqAlap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	AisotiqAl+ap
        GLOSS:	resignation/retirement+[fem.sg.]

 INPUT STRING:	أو
     IS_TRANS:	>w
        INDEX:	P31W6
      OFFSETS:	28-30
       TOKENS:	P31W6-P31W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aw_1]
   UNSPLITVOC:	(>aw)
          POS:	CONJ
          VOC:	>aw
        GLOSS:	or

 INPUT STRING:	إقالة
     IS_TRANS:	<qAlp
        INDEX:	P31W7
      OFFSETS:	31-36
       TOKENS:	P31W7-P31W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<iqAlap_1]
   UNSPLITVOC:	(<iqAlap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	<iqAl+ap
        GLOSS:	dismissal/discharge/firing+[fem.sg.]

 INPUT STRING:	كانت
     IS_TRANS:	kAnt
        INDEX:	P31W8
      OFFSETS:	37-41
       TOKENS:	P31W8-P31W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(kAnit)
          POS:	PV+PVSUFF_SUBJ:3FS
          VOC:	kAn+it
        GLOSS:	be+it/they/she

 INPUT STRING:	سنة
     IS_TRANS:	snp
        INDEX:	P31W9
      OFFSETS:	42-45
       TOKENS:	P31W9-P31W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sanap_1]
   UNSPLITVOC:	(sanap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	san+ap
        GLOSS:	year+[fem.sg.]

 INPUT STRING:	1986
     IS_TRANS:	1986
        INDEX:	P31W10
      OFFSETS:	46-50
       TOKENS:	P31W10-P31W10
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(1986)
          POS:	NOUN_NUM
          VOC:	1986
        GLOSS:	1986

 INPUT STRING:	لما
     IS_TRANS:	lmA
        INDEX:	P31W11
      OFFSETS:	51-54
       TOKENS:	P31W11-P31W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lam~A_1]
   UNSPLITVOC:	(lam~A)
          POS:	SUB_CONJ
          VOC:	lam~A
        GLOSS:	as, when

 INPUT STRING:	تم
     IS_TRANS:	tm
        INDEX:	P31W12
      OFFSETS:	55-57
       TOKENS:	P31W12-P31W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tam~_1]
   UNSPLITVOC:	(tam~)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	tam~+(null)
        GLOSS:	conclude/take place+he/it

 INPUT STRING:	إقالة
     IS_TRANS:	<qAlp
        INDEX:	P31W13
      OFFSETS:	58-63
       TOKENS:	P31W13-P31W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<iqAlap_1]
   UNSPLITVOC:	(<iqAlap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	<iqAl+ap
        GLOSS:	dismissal/discharge/firing+[fem.sg.]

 INPUT STRING:	اللواء
     IS_TRANS:	AllwA'
        INDEX:	P31W14
      OFFSETS:	64-70
       TOKENS:	P31W14-P31W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[liwA'_1]
   UNSPLITVOC:	(AlliwA')
          POS:	DET+NOUN
          VOC:	Al+liwA'
        GLOSS:	the+major general

 INPUT STRING:	أحمد
     IS_TRANS:	>Hmd
        INDEX:	P31W15
      OFFSETS:	71-75
       TOKENS:	P31W15-P31W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aHomad_1]
   UNSPLITVOC:	(>aHomad)
          POS:	NOUN_PROP
          VOC:	>aHomad
        GLOSS:	Ahmad/Ahmed

 INPUT STRING:	رشدى
     IS_TRANS:	r$dY
        INDEX:	P31W16
      OFFSETS:	76-80
       TOKENS:	P31W16-P31W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ru$odiy_1]
   UNSPLITVOC:	(ru$odiy)
          POS:	NOUN_PROP
          VOC:	ru$odiy
        GLOSS:	Rushdi

 INPUT STRING:	عقب
     IS_TRANS:	Eqb
        INDEX:	P31W17
      OFFSETS:	81-84
