 INPUT STRING:	الموقف
        LEMMA:	[rak~ib_1]
   UNSPLITVOC:	(rak~ibit)
          POS:	PV+PVSUFF_SUBJ:3FS
          VOC:	rak~ib+it
        GLOSS:	put together+it/they/she

 INPUT STRING:	لنا
     IS_TRANS:	lnA
        INDEX:	P7W12
      OFFSETS:	66-69
       TOKENS:	P7W13-P7W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[li_1]
   UNSPLITVOC:	(linA)
          POS:	PREP+PRON_1P
          VOC:	li+nA
        GLOSS:	for/to+us

 INPUT STRING:	الفيلم
     IS_TRANS:	Alfylm
        INDEX:	P7W13
      OFFSETS:	70-76
       TOKENS:	P7W15-P7W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiylm_1]
   UNSPLITVOC:	(Alfiylm)
          POS:	DET+NOUN
          VOC:	Al+fiylm
        GLOSS:	the+film/movie/films/movies

 INPUT STRING:	وخرجنا
     IS_TRANS:	wxrjnA
        INDEX:	P8W1
      OFFSETS:	0-6
       TOKENS:	P8W1-P8W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xaraj_1]
   UNSPLITVOC:	(wixarajnA)
          POS:	CONJ+PV+PVSUFF_SUBJ:1P
          VOC:	wi+xaraj+nA
        GLOSS:	and+oust/remove+we

 INPUT STRING:	وبنصور
     IS_TRANS:	wbnSwr
        INDEX:	P8W2
      OFFSETS:	7-13
       TOKENS:	P8W3-P8W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Saw~ar_1]
   UNSPLITVOC:	(wibiniSaw~ar)
          POS:	CONJ+PROG_PART+IV1P+IV
          VOC:	wi+bi+ni+Saw~ar
        GLOSS:	and+[present-tense]+we+film/photograph/be filmed/be photographed

 INPUT STRING:	بقا
     IS_TRANS:	bqA
        INDEX:	P8W3
      OFFSETS:	15-18
       TOKENS:	P8W6-P8W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[baqaA_1]
   UNSPLITVOC:	(baqaA)
          POS:	ADV
          VOC:	baqaA
        GLOSS:	then

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P8W4
      OFFSETS:	19-21
       TOKENS:	P8W7-P8W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	الشارع
     IS_TRANS:	Al$ArE
        INDEX:	P8W5
      OFFSETS:	22-28
       TOKENS:	P8W8-P8W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$AriE_1]
   UNSPLITVOC:	(Al$~AriE)
          POS:	DET+NOUN
          VOC:	Al+$AriE
        GLOSS:	the+street/streets

 INPUT STRING:	ومقولكوش
     IS_TRANS:	wmqwlkw$
        INDEX:	P9W1
      OFFSETS:	0-8
       TOKENS:	P9W1-P9W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(wimA_Aaquwlkuw$)
          POS:	CONJ+NEG_PART+IV1S+IV+IVSUFF_DO:2P+NEG_PART
          VOC:	wi+mA+Aa+quwl+kuw+$
        GLOSS:	and+not+I+said/say/be said/say/(for example)+you+not

 INPUT STRING:	علي
     IS_TRANS:	Ely
        INDEX:	P9W2
      OFFSETS:	9-12
       TOKENS:	P9W6-P9W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	التريقة
     IS_TRANS:	Altryqp
        INDEX:	P9W3
      OFFSETS:	13-20
       TOKENS:	P9W7-P9W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[taroyaqap_1]
   UNSPLITVOC:	(Alt~aroyaqap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+taroyaq+ap
        GLOSS:	the+mocking+[fem.sg.]

 INPUT STRING:	اللي
     IS_TRANS:	Ally
        INDEX:	P9W4
      OFFSETS:	21-25
       TOKENS:	P9W8-P9W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	which/who/whom

 INPUT STRING:	اخدتها
     IS_TRANS:	AxdthA
        INDEX:	P9W5
      OFFSETS:	26-32
       TOKENS:	P9W9-P9W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aaxad_1]
   UNSPLITVOC:	(>axadtahA)
          POS:	PV+PVSUFF_SUBJ:1S+PVSUFF_DO:3FS
          VOC:	>axad+t+hA
        GLOSS:	take it+I+it/them/her

 INPUT STRING:	انا
     IS_TRANS:	AnA
        INDEX:	P9W6
      OFFSETS:	33-36
       TOKENS:	P9W11-P9W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(AnA)
          POS:	PRON_1S
          VOC:	AnA
        GLOSS:	i

 INPUT STRING:	وزميلاتى
     IS_TRANS:	wzmylAtY
        INDEX:	P9W7
      OFFSETS:	37-45
       TOKENS:	P9W12-P9W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[zamiyl_1]
   UNSPLITVOC:	(wizamiylAtiy)
          POS:	CONJ+NOUN+NSUFF_FEM_PL+POSS_PRON_1S
          VOC:	wi+zamiyl+At+iy
        GLOSS:	and+colleague/associate/companion+[fem.pl.]+my

 INPUT STRING:	طبعا
     IS_TRANS:	TbEA
        INDEX:	P10W1
      OFFSETS:	0-4
       TOKENS:	P10W1-P10W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[TabEAF_1]
   UNSPLITVOC:	(TabEAF)
          POS:	NOUN
          VOC:	TabEAF
        GLOSS:	of course/naturally

 INPUT STRING:	احنا
     IS_TRANS:	AHnA
        INDEX:	P10W2
      OFFSETS:	5-9
       TOKENS:	P10W2-P10W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AiHonA_1]
   UNSPLITVOC:	(AiHonA)
          POS:	PRON_1P
          VOC:	AiHonA
        GLOSS:	we

 INPUT STRING:	كلنا
     IS_TRANS:	klnA
        INDEX:	P10W3
      OFFSETS:	10-14
       TOKENS:	P10W3-P10W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[kull_1]
   UNSPLITVOC:	(kul~inA)
          POS:	NOUN_QUANT+POSS_PRON_1P
          VOC:	kul~+nA
        GLOSS:	all/entrire/evcery/whole+our

 INPUT STRING:	بنات
     IS_TRANS:	bnAt
        INDEX:	P10W4
      OFFSETS:	15-19
       TOKENS:	P10W5-P10W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[binot_1]
   UNSPLITVOC:	(banAt)
          POS:	NOUN
          VOC:	banAt
        GLOSS:	daughter/girl/daughters/girls

 INPUT STRING:	ومفيش
     IS_TRANS:	wmfy$
        INDEX:	P10W5
      OFFSETS:	20-25
       TOKENS:	P10W6-P10W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(wimafiy$)
          POS:	CONJ+NEG_PART+PREP+NEG_PART
          VOC:	wi+ma+fiy+$
        GLOSS:	and+not+in+not

 INPUT STRING:	معانا
     IS_TRANS:	mEAnA
        INDEX:	P10W6
      OFFSETS:	26-31
       TOKENS:	P10W10-P10W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maEa_1]
   UNSPLITVOC:	(maEAnA)
          POS:	NOUN+POSS_PRON_1P
          VOC:	maEa+nA
        GLOSS:	with+us

 INPUT STRING:	شاب
     IS_TRANS:	$Ab
        INDEX:	P10W7
      OFFSETS:	32-35
       TOKENS:	P10W12-P10W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$Ab~_1]
   UNSPLITVOC:	($Ab~)
          POS:	NOUN
          VOC:	$Ab~
        GLOSS:	young man/young men

 INPUT STRING:	ومعاكسات
     IS_TRANS:	wmEAksAt
        INDEX:	P11W1
      OFFSETS:	0-8
       TOKENS:	P11W1-P11W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[muEAkosap_1]
   UNSPLITVOC:	(wimuEAkosAt)
          POS:	CONJ+NOUN+NSUFF_FEM_PL
          VOC:	wi+muEAkos+At
        GLOSS:	and+disturbance/molestation+[fem.pl.]

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P11W2
      OFFSETS:	9-11
       TOKENS:	P11W3-P11W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	اللي
     IS_TRANS:	Ally
        INDEX:	P11W3
      OFFSETS:	12-16
       TOKENS:	P11W4-P11W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	which/who/whom

 INPUT STRING:	رايح
     IS_TRANS:	rAyH
        INDEX:	P11W4
      OFFSETS:	17-21
       TOKENS:	P11W5-P11W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rAyiH_1]
   UNSPLITVOC:	(rAyiH)
          POS:	ADJ
          VOC:	rAyiH
        GLOSS:	going

 INPUT STRING:	واللي
     IS_TRANS:	wAlly
        INDEX:	P11W5
      OFFSETS:	22-27
       TOKENS:	P11W6-P11W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[All~iy_1]
   UNSPLITVOC:	(wiAll~iy)
          POS:	CONJ+REL_PRON
          VOC:	wi+All~iy
        GLOSS:	and+which/who/whom

 INPUT STRING:	جاي
     IS_TRANS:	jAy
        INDEX:	P11W6
      OFFSETS:	28-31
       TOKENS:	P11W8-P11W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jAy_1]
   UNSPLITVOC:	(jAy)
          POS:	ADJ
          VOC:	jAy
        GLOSS:	coming

 INPUT STRING:	وشتايم
     IS_TRANS:	w$tAym
        INDEX:	P12W1
      OFFSETS:	0-6
       TOKENS:	P12W1-P12W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$atiymap_1]
   UNSPLITVOC:	(wi$atAyim)
          POS:	CONJ+NOUN
          VOC:	wi+$atAyim
        GLOSS:	and+swearing

 INPUT STRING:	وانتوا
     IS_TRANS:	wAntwA
        INDEX:	P12W2
      OFFSETS:	7-13
       TOKENS:	P12W3-P12W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[AinotuwA_1]
   UNSPLITVOC:	(waAinotuwA)
          POS:	CONJ+PRON_2P
          VOC:	wa+AinotuwA
        GLOSS:	and+you

 INPUT STRING:	طبعا
     IS_TRANS:	TbEA
        INDEX:	P12W3
      OFFSETS:	14-18
       TOKENS:	P12W5-P12W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[TabEAF_1]
   UNSPLITVOC:	(TabEAF)
          POS:	NOUN
          VOC:	TabEAF
        GLOSS:	of course/naturally

 INPUT STRING:	عارفين
     IS_TRANS:	EArfyn
        INDEX:	P12W4
      OFFSETS:	19-25
       TOKENS:	P12W6-P12W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EArif_1]
   UNSPLITVOC:	(EArofiyn)
          POS:	ADJ.VN+NSUFF_MASC_PL
          VOC:	EArof+iyn
        GLOSS:	knowing/having knowledge of+[masc.pl.]

 INPUT STRING:	الشباب
     IS_TRANS:	Al$bAb
        INDEX:	P12W5
      OFFSETS:	26-32
       TOKENS:	P12W7-P12W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[$Ab_1]
   UNSPLITVOC:	(Al$abAb)
          POS:	DET+NOUN
          VOC:	Al+$abAb
        GLOSS:	the+young man/young men

 INPUT STRING:	المصري
     IS_TRANS:	AlmSry
        INDEX:	P12W6
      OFFSETS:	33-39
       TOKENS:	P12W8-P12W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maSoriy_1]
   UNSPLITVOC:	(AlmaSoriy)
          POS:	DET+ADJ
          VOC:	Al+maSoriy
        GLOSS:	the+Egyptian

 INPUT STRING:	اللي
     IS_TRANS:	Ally
        INDEX:	P12W7
      OFFSETS:	40-44
       TOKENS:	P12W9-P12W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	which/who/whom

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P12W8
      OFFSETS:	45-47
       TOKENS:	P12W10-P12W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	لاقي
     IS_TRANS:	lAqy
        INDEX:	P12W9
      OFFSETS:	48-52
       TOKENS:	P12W11-P12W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lAqiy_1]
   UNSPLITVOC:	(lAqiy)
          POS:	NOUN
          VOC:	lAqiy
        GLOSS:	finding

 INPUT STRING:	شغل
     IS_TRANS:	$gl
        INDEX:	P12W10
      OFFSETS:	53-56
       TOKENS:	P12W12-P12W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$ugol_1]
   UNSPLITVOC:	($ugol)
          POS:	NOUN
          VOC:	$ugol
        GLOSS:	work/activity/occupation/work/labor/business

 INPUT STRING:	بيغمل
     IS_TRANS:	bygml
        INDEX:	P12W11
      OFFSETS:	57-62
       TOKENS:	P12W13-P12W13
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(bygml)
          POS:	TYPO
          VOC:	bygml
        GLOSS:	nogloss

 INPUT STRING:	ايه
     IS_TRANS:	Ayh
        INDEX:	P12W12
      OFFSETS:	63-66
       TOKENS:	P12W14-P12W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Aiyh_1]
   UNSPLITVOC:	(<iyh)
          POS:	INTERROG_PRON
          VOC:	<iyh
        GLOSS:	what

 INPUT STRING:	طبعا
     IS_TRANS:	TbEA
        INDEX:	P13W1
      OFFSETS:	0-4
       TOKENS:	P13W1-P13W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[TabEAF_1]
   UNSPLITVOC:	(TabEAF)
          POS:	NOUN
          VOC:	TabEAF
        GLOSS:	of course/naturally

 INPUT STRING:	اصورنا
     IS_TRANS:	ASwrnA
        INDEX:	P13W2
      OFFSETS:	5-11
       TOKENS:	P13W2-P13W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Saw~ar_1]
   UNSPLITVOC:	(AaSaw~arnA)
          POS:	IV1S+IV+IVSUFF_DO:1P
          VOC:	Aa+Saw~ar+nA
        GLOSS:	I+film/photograph/be filmed/be photographed+us

 INPUT STRING:	بالموبايلات
     IS_TRANS:	bAlmwbAylAt
        INDEX:	P13W3
      OFFSETS:	12-23
       TOKENS:	P13W4-P13W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[muwbAyl_1]
   UNSPLITVOC:	(biAlmuwbAylAt)
          POS:	PREP+DET+NOUN+NSUFF_FEM_PL
          VOC:	bi+Al+muwbAyl+At
        GLOSS:	with+the+mobile+[fem.plur.]

 INPUT STRING:	واحنا
     IS_TRANS:	wAHnA
        INDEX:	P13W4
      OFFSETS:	24-29
       TOKENS:	P13W6-P13W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AiHonA_1]
   UNSPLITVOC:	(wiAiHonA)
          POS:	CONJ+PRON_1P
          VOC:	wi+AiHonA
        GLOSS:	and+we

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P13W5
      OFFSETS:	30-32
       TOKENS:	P13W8-P13W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	واخدين
     IS_TRANS:	wAxdyn
        INDEX:	P13W6
      OFFSETS:	33-39
       TOKENS:	P13W9-P13W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wAxid_1]
   UNSPLITVOC:	(wAxodiyn)
          POS:	ADJ+NSUFF_MASC_PL
          VOC:	wAxod+iyn
        GLOSS:	taking+[masc.pl.]

 INPUT STRING:	بالنا
     IS_TRANS:	bAlnA
        INDEX:	P13W7
      OFFSETS:	40-45
       TOKENS:	P13W10-P13W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bAl_1]
   UNSPLITVOC:	(bAlnA)
          POS:	NOUN+POSS_PRON_1P
          VOC:	bAl+nA
        GLOSS:	mind/attention+our

 INPUT STRING:	مع
     IS_TRANS:	mE
        INDEX:	P14W1
      OFFSETS:	0-2
       TOKENS:	P14W1-P14W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maEa_1]
   UNSPLITVOC:	(maEa)
          POS:	NOUN
          VOC:	maEa
        GLOSS:	something with

 INPUT STRING:	اننا
     IS_TRANS:	AnnA
        INDEX:	P14W2
      OFFSETS:	3-7
       TOKENS:	P14W2-P14W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~inA)
          POS:	SUB_CONJ+PRON_1P
          VOC:	<in~+nA
        GLOSS:	that+we

 INPUT STRING:	كنا
     IS_TRANS:	knA
        INDEX:	P14W3
      OFFSETS:	8-11
       TOKENS:	P14W4-P14W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(kun~A)
          POS:	PV+PVSUFF_SUBJ:1P
          VOC:	kun+~A
        GLOSS:	be+we

 INPUT STRING:	بنستأذن
     IS_TRANS:	bnst>*n
        INDEX:	P14W4
      OFFSETS:	12-19
       TOKENS:	P14W5-P14W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aisota>o*in_1]
   UNSPLITVOC:	(binisota>o*in)
          POS:	PROG_PART+IV1P+IV
          VOC:	bi+ni+sota>o*in
        GLOSS:	[present-tense]+we+permission

 INPUT STRING:	لما
     IS_TRANS:	lmA
        INDEX:	P14W5
      OFFSETS:	20-23
       TOKENS:	P14W7-P14W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lam~A_1]
   UNSPLITVOC:	(lam~A)
          POS:	SUB_CONJ
          VOC:	lam~A
        GLOSS:	as, when

 INPUT STRING:	بنصور
     IS_TRANS:	bnSwr
        INDEX:	P14W6
      OFFSETS:	24-29
       TOKENS:	P14W8-P14W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Saw~ar_1]
   UNSPLITVOC:	(biniSaw~ar)
          POS:	PROG_PART+IV1P+IV
          VOC:	bi+ni+Saw~ar
        GLOSS:	[present-tense]+we+film/photograph/be filmed/be photographed

 INPUT STRING:	المهم
     IS_TRANS:	Almhm
        INDEX:	P15W1
      OFFSETS:	0-5
       TOKENS:	P15W1-P15W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[muhim~_1]
   UNSPLITVOC:	(Almuhim~)
          POS:	DET+NOUN
          VOC:	Al+muhim~
        GLOSS:	the+main thing/most important thing

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P15W2
      OFFSETS:	6-8
       TOKENS:	P15W2-P15W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	اليوم
     IS_TRANS:	Alywm
        INDEX:	P15W3
      OFFSETS:	9-14
       TOKENS:	P15W3-P15W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yawm_1]
   UNSPLITVOC:	(Alyawm)
          POS:	DET+NOUN
          VOC:	Al+yawm
        GLOSS:	the+today/some day/ever/days/day

 INPUT STRING:	اللي
     IS_TRANS:	Ally
        INDEX:	P15W4
      OFFSETS:	15-19
       TOKENS:	P15W4-P15W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	which/who/whom

 INPUT STRING:	بعديه
     IS_TRANS:	bEdyh
        INDEX:	P15W5
      OFFSETS:	20-25
       TOKENS:	P15W5-P15W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baEod_1]
   UNSPLITVOC:	(baEodiyh)
          POS:	NOUN+POSS_PRON_3MS
          VOC:	baEodiy+uh
        GLOSS:	after+it/he

 INPUT STRING:	اخدت
     IS_TRANS:	Axdt
        INDEX:	P15W6
      OFFSETS:	26-30
       TOKENS:	P15W7-P15W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aaxad_1]
   UNSPLITVOC:	(>axadt)
          POS:	PV+PVSUFF_SUBJ:1S
          VOC:	>axad+t
        GLOSS:	take+I

 INPUT STRING:	الكاميرا
     IS_TRANS:	AlkAmyrA
        INDEX:	P15W7
      OFFSETS:	31-39
       TOKENS:	P15W8-P15W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAmiyrA_1]
   UNSPLITVOC:	(AlkAmiyrA)
          POS:	DET+NOUN
          VOC:	Al+kAmiyrA
        GLOSS:	the+camera

 INPUT STRING:	انا
     IS_TRANS:	AnA
        INDEX:	P15W8
      OFFSETS:	40-43
       TOKENS:	P15W9-P15W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(AnA)
          POS:	PRON_1S
          VOC:	AnA
        GLOSS:	i

 INPUT STRING:	وزميلتى
     IS_TRANS:	wzmyltY
        INDEX:	P15W9
      OFFSETS:	44-51
       TOKENS:	P15W10-P15W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[zamiyl_1]
   UNSPLITVOC:	(wizamiylatiy)
          POS:	CONJ+NOUN+NSUFF_FEM_PL+POSS_PRON_1S
          VOC:	wi+zamiyl+at+iy
        GLOSS:	and+collegue+[fem.plur.]+mine

 INPUT STRING:	لاستوديو
     IS_TRANS:	lAstwdyw
        INDEX:	P15W10
      OFFSETS:	52-60
       TOKENS:	P15W13-P15W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<isotuwdyuw_1]
   UNSPLITVOC:	(li<isotuwdyuw)
          POS:	PREP+NOUN
          VOC:	li+<isotuwdyuw
        GLOSS:	for/to+studio

 INPUT STRING:	تانى
     IS_TRANS:	tAnY
        INDEX:	P15W11
      OFFSETS:	61-65
       TOKENS:	P15W15-P15W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tAniy_1]
   UNSPLITVOC:	(tAniy)
          POS:	NOUN
          VOC:	tAniy
        GLOSS:	another

 INPUT STRING:	عشان
     IS_TRANS:	E$An
        INDEX:	P15W12
      OFFSETS:	66-70
       TOKENS:	P15W16-P15W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
