 INPUT STRING:	نظرية
      COMMENT:	[]
        LEMMA:	[hay~aS_1]
   UNSPLITVOC:	(yihyS)
          POS:	IV3MS+IV
          VOC:	yi+hay~aS
        GLOSS:	he/it+enjoy

 INPUT STRING:	ويهلل
     IS_TRANS:	wyhll
        INDEX:	P28W11
      OFFSETS:	48-53
       TOKENS:	P28W13-P28W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hal~il_1]
   UNSPLITVOC:	(wiyihal~il)
          POS:	CONJ+IV3MS+IV
          VOC:	wi+yi+hal~il
        GLOSS:	and+he/it+rejoice/applaud

 INPUT STRING:	والله
     IS_TRANS:	wAllh
        INDEX:	P28W12
      OFFSETS:	54-59
       TOKENS:	P28W15-P28W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(waAll~ah)
          POS:	PREP+NOUN_PROP
          VOC:	wa+All~ah
        GLOSS:	with+Allah/God

 INPUT STRING:	الراجل
     IS_TRANS:	AlrAjl
        INDEX:	P28W13
      OFFSETS:	60-66
       TOKENS:	P28W17-P28W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rAjil_1]
   UNSPLITVOC:	(Alr~Ajil)
          POS:	DET+NOUN
          VOC:	Al+rAjil
        GLOSS:	the+man

 INPUT STRING:	دة
     IS_TRANS:	dp
        INDEX:	P28W14
      OFFSETS:	67-69
       TOKENS:	P28W18-P28W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dah_1]
   UNSPLITVOC:	(dah)
          POS:	DEM_PRON_MS
          VOC:	dah
        GLOSS:	this

 INPUT STRING:	بيضحك
     IS_TRANS:	byDHk
        INDEX:	P28W15
      OFFSETS:	70-75
       TOKENS:	P28W19-P28W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DiHik_1]
   UNSPLITVOC:	(biyiDoHak)
          POS:	PROG_PART+IV3MS+IV
          VOC:	bi+yi+DoHak
        GLOSS:	[present-tense]+he/it+laugh

 INPUT STRING:	علينا
     IS_TRANS:	ElynA
        INDEX:	P28W16
      OFFSETS:	76-81
       TOKENS:	P28W21-P28W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaynA)
          POS:	PREP+PRON_1P
          VOC:	EalaY+nA
        GLOSS:	on/above+us

 INPUT STRING:	30
     IS_TRANS:	30
        INDEX:	P29W1
      OFFSETS:	2-4
       TOKENS:	P29W1-P29W1
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(30)
          POS:	ADJ_NUM
          VOC:	30
        GLOSS:	30

 INPUT STRING:	%
     IS_TRANS:	%
        INDEX:	P29W2
      OFFSETS:	4-5
       TOKENS:	P29W2-P29W2
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(%)
          POS:	PUNC
          VOC:	%
        GLOSS:	%

 INPUT STRING:	يعملوا
     IS_TRANS:	yEmlwA
        INDEX:	P29W3
      OFFSETS:	6-12
       TOKENS:	P29W3-P29W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eamal_1]
   UNSPLITVOC:	(yiEomiluwA)
          POS:	IV3P+IV+IVSUFF_SUBJ:P
          VOC:	yi+Eomil+uwA
        GLOSS:	they+do/make+we

 INPUT STRING:	اية
     IS_TRANS:	Ayp
        INDEX:	P29W4
      OFFSETS:	13-16
       TOKENS:	P29W4-P29W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aayoh_1]
   UNSPLITVOC:	(>ayoh)
          POS:	INTERROG_PRON
          VOC:	>ayoh
        GLOSS:	what

 INPUT STRING:	يعنى
     IS_TRANS:	yEnY
        INDEX:	P29W5
      OFFSETS:	17-21
       TOKENS:	P29W5-P29W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EanaY_1]
   UNSPLITVOC:	(yaEoniy)
          POS:	IV3MS+IV
          VOC:	ya+Eoniy
        GLOSS:	he/it+mean

 INPUT STRING:	لو
     IS_TRANS:	lw
        INDEX:	P29W6
      OFFSETS:	22-24
       TOKENS:	P29W6-P29W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[law_1]
   UNSPLITVOC:	(law)
          POS:	SUB_CONJ
          VOC:	law
        GLOSS:	if

 INPUT STRING:	واحد
     IS_TRANS:	wAHd
        INDEX:	P29W7
      OFFSETS:	25-29
       TOKENS:	P29W7-P29W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wAHid_1]
   UNSPLITVOC:	(wAHid)
          POS:	NOUN_NUM
          VOC:	wAHid
        GLOSS:	one

 INPUT STRING:	مرتبة
     IS_TRANS:	mrtbp
        INDEX:	P29W8
      OFFSETS:	30-35
       TOKENS:	P29W8-P29W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[murat~ab_1]
   UNSPLITVOC:	(murat~abuh)
          POS:	NOUN+POSS_PRON_3MS
          VOC:	murat~ab+uh
        GLOSS:	salary/pay+his/its

 INPUT STRING:	500
     IS_TRANS:	500
        INDEX:	P29W9
      OFFSETS:	36-39
       TOKENS:	P29W10-P29W10
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(500)
          POS:	ADJ_NUM
          VOC:	500
        GLOSS:	500

 INPUT STRING:	جنية
     IS_TRANS:	jnyp
        INDEX:	P29W10
      OFFSETS:	40-44
       TOKENS:	P29W11-P29W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jinayh_1]
   UNSPLITVOC:	(jinayh)
          POS:	NOUN
          VOC:	jinayh
        GLOSS:	pound

 INPUT STRING:	ياخد
     IS_TRANS:	yAxd
        INDEX:	P29W11
      OFFSETS:	45-49
       TOKENS:	P29W12-P29W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aaxad_1]
   UNSPLITVOC:	(yAxud)
          POS:	IV3MS+IV
          VOC:	y+Axud
        GLOSS:	he/it+take

 INPUT STRING:	زيادة
     IS_TRANS:	zyAdp
        INDEX:	P29W12
      OFFSETS:	50-55
       TOKENS:	P29W13-P29W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ziyAdap_1]
   UNSPLITVOC:	(ziyAdap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	ziyAd+ap
        GLOSS:	increase/addition+[fem.sg.]

 INPUT STRING:	كام
     IS_TRANS:	kAm
        INDEX:	P29W13
      OFFSETS:	56-59
       TOKENS:	P29W14-P29W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAm_1]
   UNSPLITVOC:	(kAm)
          POS:	INTERROG_PRON
          VOC:	kAm
        GLOSS:	how many/how much

 INPUT STRING:	150
     IS_TRANS:	150
        INDEX:	P29W14
      OFFSETS:	60-63
       TOKENS:	P29W15-P29W15
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(150)
          POS:	ADJ_NUM
          VOC:	150
        GLOSS:	150

 INPUT STRING:	جنية
     IS_TRANS:	jnyp
        INDEX:	P29W15
      OFFSETS:	64-68
       TOKENS:	P29W16-P29W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jinayh_1]
   UNSPLITVOC:	(jinayh)
          POS:	NOUN
          VOC:	jinayh
        GLOSS:	pound

 INPUT STRING:	ودول
     IS_TRANS:	wdwl
        INDEX:	P29W16
      OFFSETS:	69-73
       TOKENS:	P29W17-P29W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dawol_1]
   UNSPLITVOC:	(widawol)
          POS:	CONJ+DEM_PRON_P
          VOC:	wi+dawol
        GLOSS:	and+these

 INPUT STRING:	يعملوا
     IS_TRANS:	yEmlwA
        INDEX:	P29W17
      OFFSETS:	74-80
       TOKENS:	P29W19-P29W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eamal_1]
   UNSPLITVOC:	(yiEomiluwA)
          POS:	IV3P+IV+IVSUFF_SUBJ:P
          VOC:	yi+Eomil+uwA
        GLOSS:	they+do/make+we

 INPUT STRING:	اية
     IS_TRANS:	Ayp
        INDEX:	P29W18
      OFFSETS:	81-84
       TOKENS:	P29W20-P29W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aayoh_1]
   UNSPLITVOC:	(>ayoh)
          POS:	INTERROG_PRON
          VOC:	>ayoh
        GLOSS:	what

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P29W19
      OFFSETS:	85-87
       TOKENS:	P29W21-P29W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	الزمن
     IS_TRANS:	Alzmn
        INDEX:	P29W20
      OFFSETS:	88-93
       TOKENS:	P29W22-P29W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[zaman_1]
   UNSPLITVOC:	(Alz~aman)
          POS:	DET+NOUN
          VOC:	Al+zaman
        GLOSS:	the+time/period/duration

 INPUT STRING:	الاغبر
     IS_TRANS:	AlAgbr
        INDEX:	P29W21
      OFFSETS:	94-100
       TOKENS:	P29W23-P29W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>agobar_1]
   UNSPLITVOC:	(Al>agobar)
          POS:	DET+ADJ
          VOC:	Al+>agobar
        GLOSS:	the+dust-colored

 INPUT STRING:	اللى
     IS_TRANS:	AllY
        INDEX:	P29W22
      OFFSETS:	101-105
       TOKENS:	P29W24-P29W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	that

 INPUT STRING:	احنا
     IS_TRANS:	AHnA
        INDEX:	P29W23
      OFFSETS:	106-110
       TOKENS:	P29W25-P29W25
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AiHonA_1]
   UNSPLITVOC:	(AiHonA)
          POS:	PRON_1P
          VOC:	AiHonA
        GLOSS:	we

 INPUT STRING:	فية
     IS_TRANS:	fyp
        INDEX:	P29W24
      OFFSETS:	111-114
       TOKENS:	P29W26-P29W27
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiyh)
          POS:	PREP+PRON_3MS
          VOC:	fiy+uh
        GLOSS:	in+he/it

 INPUT STRING:	دة
     IS_TRANS:	dp
        INDEX:	P29W25
      OFFSETS:	115-117
       TOKENS:	P29W28-P29W28
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dah_1]
   UNSPLITVOC:	(dah)
          POS:	DEM_PRON_MS
          VOC:	dah
        GLOSS:	this

 INPUT STRING:	بسطلهم
     IS_TRANS:	bsTlhm
        INDEX:	P30W1
      OFFSETS:	1-7
       TOKENS:	P30W1-P30W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[baS~_1]
   UNSPLITVOC:	(baSiyTlihum)
          POS:	PV+PVSUFF_SUBJ:1S+PREP+PRON_3P
          VOC:	baS+iyT+li+hum
        GLOSS:	spread/simplify/be spread/be simplified+I+to/for+they

 INPUT STRING:	باستغراب
     IS_TRANS:	bAstgrAb
        INDEX:	P30W2
      OFFSETS:	8-16
       TOKENS:	P30W4-P30W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AisotigorAb_1]
   UNSPLITVOC:	(biAisotigorAb)
          POS:	PREP+NOUN
          VOC:	bi+AisotigorAb
        GLOSS:	with/by+astonishment/surprise

 INPUT STRING:	اوى
     IS_TRANS:	AwY
        INDEX:	P30W3
      OFFSETS:	17-20
       TOKENS:	P30W6-P30W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[AwaY]
   UNSPLITVOC:	(AwaY)
          POS:	ADJ
          VOC:	AwaY
        GLOSS:	much

 INPUT STRING:	دة
     IS_TRANS:	dp
        INDEX:	P30W4
      OFFSETS:	21-23
       TOKENS:	P30W7-P30W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dah_1]
   UNSPLITVOC:	(dah)
          POS:	DEM_PRON_MS
          VOC:	dah
        GLOSS:	this

 INPUT STRING:	احنا
     IS_TRANS:	AHnA
        INDEX:	P30W5
      OFFSETS:	24-28
       TOKENS:	P30W8-P30W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AiHonA_1]
   UNSPLITVOC:	(AiHonA)
          POS:	PRON_1P
          VOC:	AiHonA
        GLOSS:	we

 INPUT STRING:	كنا
     IS_TRANS:	knA
        INDEX:	P30W6
      OFFSETS:	29-32
       TOKENS:	P30W9-P30W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(kun~A)
          POS:	PV+PVSUFF_SUBJ:1P
          VOC:	kun+~A
        GLOSS:	be+we

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P30W7
      OFFSETS:	33-35
       TOKENS:	P30W10-P30W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	شوية
     IS_TRANS:	$wyp
        INDEX:	P30W8
      OFFSETS:	36-40
       TOKENS:	P30W11-P30W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$uway~ap_1]
   UNSPLITVOC:	($uway~ap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	$uway~+ap
        GLOSS:	a little bit+[fem.sg.]

 INPUT STRING:	بنقول
     IS_TRANS:	bnqwl
        INDEX:	P30W9
      OFFSETS:	41-46
       TOKENS:	P30W12-P30W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(biniquwl)
          POS:	PROG_PART+IV1P+IV
          VOC:	bi+ni+quwl
        GLOSS:	[present-tense]+we+said/say/be said/say/(for example)

 INPUT STRING:	15
     IS_TRANS:	15
        INDEX:	P30W10
      OFFSETS:	47-49
       TOKENS:	P30W14-P30W14
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(15)
          POS:	ADJ_NUM
          VOC:	15
        GLOSS:	15

 INPUT STRING:	%
     IS_TRANS:	%
        INDEX:	P30W11
      OFFSETS:	49-50
       TOKENS:	P30W15-P30W15
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(%)
          POS:	PUNC
          VOC:	%
        GLOSS:	%

 INPUT STRING:	دة
     IS_TRANS:	dp
        INDEX:	P30W12
      OFFSETS:	51-53
       TOKENS:	P30W16-P30W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dah_1]
   UNSPLITVOC:	(dah)
          POS:	DEM_PRON_MS
          VOC:	dah
        GLOSS:	this

 INPUT STRING:	عدل
     IS_TRANS:	Edl
        INDEX:	P30W13
      OFFSETS:	54-57
       TOKENS:	P30W17-P30W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eadol_1]
   UNSPLITVOC:	(Eadol)
          POS:	NOUN
          VOC:	Eadol
        GLOSS:	justice/fairness

 INPUT STRING:	وفضل
     IS_TRANS:	wfDl
        INDEX:	P30W14
      OFFSETS:	58-62
       TOKENS:	P30W18-P30W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[faDol_1]
   UNSPLITVOC:	(wifaDol)
          POS:	CONJ+NOUN
          VOC:	wi+faDol
        GLOSS:	and+distinction/quality

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P30W15
      OFFSETS:	63-65
       TOKENS:	P30W20-P30W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	ربنا
     IS_TRANS:	rbnA
        INDEX:	P30W16
      OFFSETS:	66-70
       TOKENS:	P30W21-P30W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rab~_1]
   UNSPLITVOC:	(rab~inA)
          POS:	NOUN+POSS_PRON_1P
          VOC:	rab~+nA
        GLOSS:	lord/master+our

 INPUT STRING:	بس
     IS_TRANS:	bs
        INDEX:	P30W17
      OFFSETS:	71-73
       TOKENS:	P30W23-P30W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bas~_1]
   UNSPLITVOC:	(bas~)
          POS:	CONJ
          VOC:	bas~
        GLOSS:	but

 INPUT STRING:	هو
     IS_TRANS:	hw
        INDEX:	P30W18
      OFFSETS:	74-76
       TOKENS:	P30W24-P30W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[huw~a_1]
   UNSPLITVOC:	(huw~a)
          POS:	PRON_3MS
          VOC:	huw~a
        GLOSS:	he/it

 INPUT STRING:	يعمل
     IS_TRANS:	yEml
        INDEX:	P30W19
      OFFSETS:	77-81
       TOKENS:	P30W25-P30W25
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eamal_1]
   UNSPLITVOC:	(yiEomil)
          POS:	IV3MS+IV
          VOC:	yi+Eomil
        GLOSS:	he/it+do/make

 INPUT STRING:	كدة
     IS_TRANS:	kdp
        INDEX:	P30W20
      OFFSETS:	82-85
       TOKENS:	P30W26-P30W26
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kidah_1]
   UNSPLITVOC:	(kidah)
          POS:	NOUN
          VOC:	kidah
        GLOSS:	this way

 INPUT STRING:	ولما
     IS_TRANS:	wlmA
        INDEX:	P30W21
      OFFSETS:	86-90
       TOKENS:	P30W27-P30W28
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lam~A_1]
   UNSPLITVOC:	(wilam~A)
          POS:	SUB_CONJ+SUB_CONJ
          VOC:	wi+lam~A
        GLOSS:	while+as, when

 INPUT STRING:	يعمل
     IS_TRANS:	yEml
        INDEX:	P30W22
      OFFSETS:	91-95
       TOKENS:	P30W29-P30W29
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eamal_1]
   UNSPLITVOC:	(yiEomil)
          POS:	IV3MS+IV
          VOC:	yi+Eomil
        GLOSS:	he/it+do/make

 INPUT STRING:	30
     IS_TRANS:	30
        INDEX:	P30W23
      OFFSETS:	96-98
       TOKENS:	P30W30-P30W30
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(30)
          POS:	ADJ_NUM
          VOC:	30
        GLOSS:	30

 INPUT STRING:	%
     IS_TRANS:	%
        INDEX:	P30W24
      OFFSETS:	99-100
       TOKENS:	P30W31-P30W31
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(%)
          POS:	PUNC
          VOC:	%
        GLOSS:	%

 INPUT STRING:	يبقى
     IS_TRANS:	ybqY
        INDEX:	P30W25
      OFFSETS:	101-105
       TOKENS:	P30W32-P30W32
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baqaY_1]
   UNSPLITVOC:	(yiboqaY)
          POS:	IV3MS+IV
          VOC:	yi+boqaY
        GLOSS:	he/it+remain

 INPUT STRING:	نصب
     IS_TRANS:	nSb
        INDEX:	P30W26
      OFFSETS:	106-109
       TOKENS:	P30W33-P30W33
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[naSob_1]
   UNSPLITVOC:	(naSob)
          POS:	NOUN
          VOC:	naSob
        GLOSS:	exertion/hard work/planted flags

 INPUT STRING:	وضحك
     IS_TRANS:	wDHk
        INDEX:	P30W27
      OFFSETS:	110-114
       TOKENS:	P30W34-P30W35
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DiHok_1]
   UNSPLITVOC:	(wiDiHok)
          POS:	CONJ+NOUN
          VOC:	wi+DiHok
        GLOSS:	and+laughter

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P30W28
      OFFSETS:	115-118
       TOKENS:	P30W36-P30W36
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	الدقون
     IS_TRANS:	Aldqwn
        INDEX:	P30W29
      OFFSETS:	119-125
       TOKENS:	P30W37-P30W37
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[daqon_1]
   UNSPLITVOC:	(Ald~uquwn)
          POS:	DET+NOUN
          VOC:	Al+duquwn
        GLOSS:	the+beard

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P30W30
      OFFSETS:	126-128
       TOKENS:	P30W38-P30W38
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	فاهمها
     IS_TRANS:	fAhmhA
        INDEX:	P30W31
      OFFSETS:	129-135
       TOKENS:	P30W39-P30W40
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fAhim_1]
   UNSPLITVOC:	(fAhimhA)
          POS:	ADJ+PRON_3FS
          VOC:	fAhim+hA
        GLOSS:	understanding+it/them/her

 INPUT STRING:	دى
     IS_TRANS:	dY
        INDEX:	P30W32
      OFFSETS:	136-138
       TOKENS:	P30W41-P30W41
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[diy_1]
   UNSPLITVOC:	(diy)
          POS:	DEM_PRON_FS
          VOC:	diy
        GLOSS:	this

 INPUT STRING:	ولا
     IS_TRANS:	wlA
        INDEX:	P30W33
      OFFSETS:	139-142
       TOKENS:	P30W42-P30W42
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wal~A_1]
   UNSPLITVOC:	(wal~A)
          POS:	CONJ
          VOC:	wal~A
        GLOSS:	or

 INPUT STRING:	هيا
     IS_TRANS:	hyA
        INDEX:	P30W34
      OFFSETS:	143-146
       TOKENS:	P30W43-P30W43
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hiy~a_1]
   UNSPLITVOC:	(hiy~a)
          POS:	PRON_3FS
          VOC:	hiy~a
        GLOSS:	she/it

 INPUT STRING:	خلاص
     IS_TRANS:	xlAS
        INDEX:	P30W35
      OFFSETS:	147-151
       TOKENS:	P30W44-P30W44
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xalAS_1]
   UNSPLITVOC:	(xalAS)
          POS:	NOUN
          VOC:	xalAS
        GLOSS:	deliverance/salvation/settlement

 INPUT STRING:	بقت
     IS_TRANS:	bqt
        INDEX:	P30W36
      OFFSETS:	152-155
       TOKENS:	P30W45-P30W45
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baqaY_1]
