 INPUT STRING:	السياسة
   UNSPLITVOC:	(tihaz~a>hA)
          POS:	IV3FS+IV+IVSUFF_DO:3FS
          VOC:	ti+haz~a>+hA
        GLOSS:	it/they/she+scoff/mock+it/them/her

 INPUT STRING:	كانت
     IS_TRANS:	kAnt
        INDEX:	P7W1
      OFFSETS:	0-4
       TOKENS:	P7W1-P7W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(kAnit)
          POS:	PV+PVSUFF_SUBJ:3FS
          VOC:	kAn+it
        GLOSS:	be+it/they/she [verb]

 INPUT STRING:	لايمكن
     IS_TRANS:	lAymkn
        INDEX:	P7W2
      OFFSETS:	5-11
       TOKENS:	P7W2-P7W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>amokan_1]
   UNSPLITVOC:	(lA_yumokin)
          POS:	NEG_PART+IV3MS+IV
          VOC:	lA+yu+mokin
        GLOSS:	not+he/it+be possible/make possible for

 INPUT STRING:	تسيب
     IS_TRANS:	tsyb
        INDEX:	P7W3
      OFFSETS:	12-16
       TOKENS:	P7W4-P7W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sAb_1]
   UNSPLITVOC:	(tisiyb)
          POS:	IV3FS+IV
          VOC:	ti+siyb
        GLOSS:	it/they/she+leave/let/flow

 INPUT STRING:	عرب
     IS_TRANS:	Erb
        INDEX:	P7W4
      OFFSETS:	17-20
       TOKENS:	P7W5-P7W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Earabiy_1]
   UNSPLITVOC:	(Earab)
          POS:	NOUN
          VOC:	Earab
        GLOSS:	Arabs

 INPUT STRING:	مسلمين
     IS_TRANS:	mslmyn
        INDEX:	P7W5
      OFFSETS:	21-27
       TOKENS:	P7W6-P7W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[musolim_1]
   UNSPLITVOC:	(musolimiyn)
          POS:	ADJ+NSUFF_MASC_PL
          VOC:	musolim+iyn
        GLOSS:	Muslim+[masc.pl.]

 INPUT STRING:	ينتصروا
     IS_TRANS:	yntSrwA
        INDEX:	P7W6
      OFFSETS:	28-35
       TOKENS:	P7W7-P7W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AinotaSar_1]
   UNSPLITVOC:	(yinotiSoruwA)
          POS:	IV3P+IV+IVSUFF_SUBJ:P
          VOC:	yi+notiSor+uwA
        GLOSS:	they (people)+be victorious+[pl.]

 INPUT STRING:	عليها
     IS_TRANS:	ElyhA
        INDEX:	P7W7
      OFFSETS:	36-41
       TOKENS:	P7W8-P7W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalayhA)
          POS:	PREP+PRON_3FS
          VOC:	EalaY+hA
        GLOSS:	on/above+her/it/them

 INPUT STRING:	ممكن
     IS_TRANS:	mmkn
        INDEX:	P7W8
      OFFSETS:	42-46
       TOKENS:	P7W10-P7W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mumokin_1]
   UNSPLITVOC:	(mumokin)
          POS:	ADJ
          VOC:	mumokin
        GLOSS:	possible

 INPUT STRING:	حد
     IS_TRANS:	Hd
        INDEX:	P7W9
      OFFSETS:	47-49
       TOKENS:	P7W11-P7W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Had~_1]
   UNSPLITVOC:	(Had~)
          POS:	NOUN
          VOC:	Had~
        GLOSS:	someone

 INPUT STRING:	فيكم
     IS_TRANS:	fykm
        INDEX:	P7W10
      OFFSETS:	50-54
       TOKENS:	P7W12-P7W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiykum)
          POS:	PREP+PRON_2P
          VOC:	fiy+kum
        GLOSS:	in+you [pl.]

 INPUT STRING:	يقولى
     IS_TRANS:	yqwlY
        INDEX:	P7W11
      OFFSETS:	55-60
       TOKENS:	P7W14-P7W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(yiquwl~iy)
          POS:	IV3MS+IV+PREP+PRON_1S
          VOC:	yi+quwl+li+iy
        GLOSS:	he/it+say+to+me

 INPUT STRING:	إنى
     IS_TRANS:	<nY
        INDEX:	P7W12
      OFFSETS:	61-64
       TOKENS:	P7W17-P7W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~iy)
          POS:	SUB_CONJ+PRON_1S
          VOC:	<in~+iy
        GLOSS:	that+I

 INPUT STRING:	مكبرة
     IS_TRANS:	mkbrp
        INDEX:	P7W13
      OFFSETS:	65-70
       TOKENS:	P7W19-P7W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[mukab~ir_1]
   UNSPLITVOC:	(mikab~arap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	mikab~ar+ap
        GLOSS:	amplifying/magnifying+[fem.sg.]

 INPUT STRING:	الموضوع
     IS_TRANS:	AlmwDwE
        INDEX:	P7W14
      OFFSETS:	71-78
       TOKENS:	P7W20-P7W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mawDuwE_1]
   UNSPLITVOC:	(AlmawDuwE)
          POS:	DET+NOUN
          VOC:	Al+mawDuwE
        GLOSS:	the+subject/theme/issue

 INPUT STRING:	وان
     IS_TRANS:	wAn
        INDEX:	P7W15
      OFFSETS:	79-82
       TOKENS:	P7W21-P7W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(wi<in~)
          POS:	CONJ+SUB_CONJ
          VOC:	wi+<in~
        GLOSS:	and+that

 INPUT STRING:	الحكاية
     IS_TRANS:	AlHkAyp
        INDEX:	P7W16
      OFFSETS:	83-90
       TOKENS:	P7W23-P7W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HikAyap_1]
   UNSPLITVOC:	(AlHikAyap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+HikAy+ap
        GLOSS:	the+story/account+[fem.sg.]

 INPUT STRING:	مافيهاش
     IS_TRANS:	mAfyhA$
        INDEX:	P7W17
      OFFSETS:	91-98
       TOKENS:	P7W24-P7W24
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(mAfyhA$)
          POS:	NO_FUNC
          VOC:	mAfyhA$
        GLOSS:	nogloss

 INPUT STRING:	سياسة
     IS_TRANS:	syAsp
        INDEX:	P7W18
      OFFSETS:	99-104
       TOKENS:	P7W25-P7W25
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[siyAsap_1]
   UNSPLITVOC:	(siyAsap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	siyAs+ap
        GLOSS:	politics+[fem.sg.]

 INPUT STRING:	هقولكم
     IS_TRANS:	hqwlkm
        INDEX:	P7W19
      OFFSETS:	105-111
       TOKENS:	P7W26-P7W29
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(haquwl~ukum)
          POS:	FUT_PART+IV1S+IV+PREP+PRON_2P
          VOC:	ha+>a+quwl+li+kum
        GLOSS:	will+I+say+to+you [pl.]

 INPUT STRING:	لا
     IS_TRANS:	lA
        INDEX:	P7W20
      OFFSETS:	112-114
       TOKENS:	P7W30-P7W30
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lA_1]
   UNSPLITVOC:	(lA)
          POS:	INTERJ
          VOC:	lA
        GLOSS:	no

 INPUT STRING:	الحكاية
     IS_TRANS:	AlHkAyp
        INDEX:	P7W21
      OFFSETS:	115-122
       TOKENS:	P7W31-P7W31
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HikAyap_1]
   UNSPLITVOC:	(AlHikAyap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+HikAy+ap
        GLOSS:	the+story/account+[fem.sg.]

 INPUT STRING:	أصلها
     IS_TRANS:	>SlhA
        INDEX:	P7W22
      OFFSETS:	123-128
       TOKENS:	P7W32-P7W33
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aSol_1]
   UNSPLITVOC:	(>aSolahA)
          POS:	NOUN+POSS_PRON_3FS
          VOC:	>aSol+hA
        GLOSS:	origin/source/root+its/their/her

 INPUT STRING:	سياسة
     IS_TRANS:	syAsp
        INDEX:	P7W23
      OFFSETS:	129-134
       TOKENS:	P7W34-P7W34
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[siyAsap_1]
   UNSPLITVOC:	(siyAsap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	siyAs+ap
        GLOSS:	politics+[fem.sg.]

 INPUT STRING:	كلكم
     IS_TRANS:	klkm
        INDEX:	P8W1
      OFFSETS:	0-4
       TOKENS:	P8W1-P8W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(kul~kum)
          POS:	NOUN_QUANT+POSS_PRON_2P
          VOC:	kul~+kum
        GLOSS:	all/every/entire/whole+your [pl.]

 INPUT STRING:	شوفتوا
     IS_TRANS:	$wftwA
        INDEX:	P8W2
      OFFSETS:	5-11
       TOKENS:	P8W3-P8W3
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	($wftwA)
          POS:	NO_FUNC
          VOC:	$wftwA
        GLOSS:	nogloss

 INPUT STRING:	لاعيبية
     IS_TRANS:	lAEybyp
        INDEX:	P8W3
      OFFSETS:	12-19
       TOKENS:	P8W4-P8W4
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(lAEybyp)
          POS:	TYPO
          VOC:	lAEybyp
        GLOSS:	nogloss

 INPUT STRING:	مصر
     IS_TRANS:	mSr
        INDEX:	P8W4
      OFFSETS:	20-23
       TOKENS:	P8W5-P8W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maSor_1]
   UNSPLITVOC:	(maSor)
          POS:	NOUN_PROP
          VOC:	maSor
        GLOSS:	Egypt

 INPUT STRING:	وهى
     IS_TRANS:	whY
        INDEX:	P8W5
      OFFSETS:	24-27
       TOKENS:	P8W6-P8W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ahiy_1]
   UNSPLITVOC:	(wihiy)
          POS:	SUB_CONJ+DEM_PRON_FS
          VOC:	wi+hiy
        GLOSS:	while+she/it/they

 INPUT STRING:	نازلة
     IS_TRANS:	nAzlp
        INDEX:	P8W6
      OFFSETS:	28-33
       TOKENS:	P8W8-P8W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nAzil_1]
   UNSPLITVOC:	(nAzolap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	nAzol+ap
        GLOSS:	staying/lodged+[fem.sg.]

 INPUT STRING:	بداية
     IS_TRANS:	bdAyp
        INDEX:	P8W7
      OFFSETS:	34-39
       TOKENS:	P8W9-P8W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bidAyap_1]
   UNSPLITVOC:	(bidAyap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	bidAy+ap
        GLOSS:	beginning/start+[fem.sg.]

 INPUT STRING:	الماتش
     IS_TRANS:	AlmAt$
        INDEX:	P8W8
      OFFSETS:	40-46
       TOKENS:	P8W10-P8W10
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(AlmAt$)
          POS:	FOREIGN
          VOC:	AlmAt$
        GLOSS:	nogloss

 INPUT STRING:	والدموع
     IS_TRANS:	wAldmwE
        INDEX:	P8W9
      OFFSETS:	47-54
       TOKENS:	P8W11-P8W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[damoE_1]
   UNSPLITVOC:	(wiAldumuwE)
          POS:	CONJ+DET+NOUN
          VOC:	wi+Al+dumuwE
        GLOSS:	and+the+tears

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P8W10
      OFFSETS:	55-57
       TOKENS:	P8W13-P8W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	عينيهم
     IS_TRANS:	Eynyhm
        INDEX:	P8W11
      OFFSETS:	58-64
       TOKENS:	P8W14-P8W14
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(Eynyhm)
          POS:	NO_FUNC
          VOC:	Eynyhm
        GLOSS:	nogloss

 INPUT STRING:	وكأنهم
     IS_TRANS:	wk>nhm
        INDEX:	P8W12
      OFFSETS:	65-71
       TOKENS:	P8W15-P8W15
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(wk>nhm)
          POS:	NO_FUNC
          VOC:	wk>nhm
        GLOSS:	nogloss

 INPUT STRING:	مقهورين
     IS_TRANS:	mqhwryn
        INDEX:	P8W13
      OFFSETS:	72-79
       TOKENS:	P8W16-P8W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maqohuwr_1]
   UNSPLITVOC:	(maqohuwriyn)
          POS:	ADJ+NSUFF_MASC_PL
          VOC:	maqohuwr+iyn
        GLOSS:	defeated/humiliated/down-and-out+[masc.pl.]

 INPUT STRING:	ومجبرين
     IS_TRANS:	wmjbryn
        INDEX:	P8W14
      OFFSETS:	80-87
       TOKENS:	P8W17-P8W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[majbuwr_1]
   UNSPLITVOC:	(wimajbuwriyn)
          POS:	CONJ+ADJ+NSUFF_MASC_PL
          VOC:	wi+majbuwr+iyn
        GLOSS:	and+forced/compelled+[masc.pl.]

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P8W15
      OFFSETS:	88-91
       TOKENS:	P8W19-P8W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	شىء
     IS_TRANS:	$Y'
        INDEX:	P8W16
      OFFSETS:	92-95
       TOKENS:	P8W20-P8W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[$iy'_1]
   UNSPLITVOC:	($iy')
          POS:	NOUN
          VOC:	$iy'
        GLOSS:	something/thing/things

 INPUT STRING:	معين
     IS_TRANS:	mEyn
        INDEX:	P8W17
      OFFSETS:	96-100
       TOKENS:	P8W21-P8W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[muEay~an_1]
   UNSPLITVOC:	(muEay~an)
          POS:	ADJ
          VOC:	muEay~an
        GLOSS:	fixed/determined/prescribed

 INPUT STRING:	بعكس
     IS_TRANS:	bEks
        INDEX:	P9W1
      OFFSETS:	0-4
       TOKENS:	P9W1-P9W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eakos_1]
   UNSPLITVOC:	(biEakos)
          POS:	PREP+NOUN
          VOC:	bi+Eakos
        GLOSS:	with/by+opposite/contrary

 INPUT STRING:	ماتش
     IS_TRANS:	mAt$
        INDEX:	P9W2
      OFFSETS:	5-9
       TOKENS:	P9W3-P9W3
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(mAt$)
          POS:	FOREIGN
          VOC:	mAt$
        GLOSS:	nogloss

 INPUT STRING:	ايطاليا
     IS_TRANS:	AyTAlyA
        INDEX:	P9W3
      OFFSETS:	10-17
       TOKENS:	P9W4-P9W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<iyTAloyA_1]
   UNSPLITVOC:	(<iyTAloyA)
          POS:	NOUN_PROP
          VOC:	<iyTAloyA
        GLOSS:	Italy

 INPUT STRING:	اللى
     IS_TRANS:	AllY
        INDEX:	P9W4
      OFFSETS:	18-22
       TOKENS:	P9W5-P9W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	which/who/whom

 INPUT STRING:	كانوا
     IS_TRANS:	kAnwA
        INDEX:	P9W5
      OFFSETS:	23-28
       TOKENS:	P9W6-P9W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(kAnuwA)
          POS:	PV+PVSUFF_SUBJ:3P
          VOC:	kAn+uwA
        GLOSS:	be+they [verb]

 INPUT STRING:	نازلين
     IS_TRANS:	nAzlyn
        INDEX:	P9W6
      OFFSETS:	29-35
       TOKENS:	P9W7-P9W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nAzil_1]
   UNSPLITVOC:	(nAzoliyn)
          POS:	ADJ.VN+NSUFF_MASC_PL
          VOC:	nAzol+iyn
        GLOSS:	staying/lodged+[masc.pl.]

 INPUT STRING:	فيه
     IS_TRANS:	fyh
        INDEX:	P9W7
      OFFSETS:	36-39
       TOKENS:	P9W8-P9W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiyh)
          POS:	PREP+PRON_3MS
          VOC:	fiy+uh
        GLOSS:	in+it/him

 INPUT STRING:	متفائلين
     IS_TRANS:	mtfA}lyn
        INDEX:	P9W8
      OFFSETS:	40-48
       TOKENS:	P9W10-P9W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mutafA}il_1]
   UNSPLITVOC:	(mutafA}oliyn)
          POS:	ADJ.VN+NSUFF_MASC_PL
          VOC:	mutafA}ol+iyn
        GLOSS:	optimistic+[masc.pl.]

 INPUT STRING:	وبيضحكوا
     IS_TRANS:	wbyDHkwA
        INDEX:	P9W9
      OFFSETS:	49-57
       TOKENS:	P9W11-P9W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DiHik_1]
   UNSPLITVOC:	(wibiyiDoHakuwA)
          POS:	CONJ+PROG_PART+IV3P+IV+IVSUFF_SUBJ:P
          VOC:	wi+bi+yi+DoHak+uwA
        GLOSS:	and+[present-tense]+they+laughing+[masc.pl.]

 INPUT STRING:	وعندهم
     IS_TRANS:	wEndhm
        INDEX:	P9W10
      OFFSETS:	58-64
       TOKENS:	P9W14-P9W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eanod_1]
   UNSPLITVOC:	(wiEanoduhum)
          POS:	CONJ+NOUN+POSS_PRON_3P
          VOC:	wi+Eanod+hum
        GLOSS:	and+have+their

 INPUT STRING:	روح
     IS_TRANS:	rwH
        INDEX:	P9W11
      OFFSETS:	65-68
       TOKENS:	P9W17-P9W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rawH_1]
   UNSPLITVOC:	(rawH)
          POS:	NOUN
          VOC:	rawH
        GLOSS:	spirit/soul

 INPUT STRING:	حماسية
     IS_TRANS:	HmAsyp
        INDEX:	P9W12
      OFFSETS:	69-75
       TOKENS:	P9W18-P9W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HamAsiy_1]
   UNSPLITVOC:	(HamAsiy~ap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	HamAsiy~+ap
        GLOSS:	zealous/fervent+[fem.sg.]

 INPUT STRING:	قارنوا
     IS_TRANS:	qArnwA
        INDEX:	P9W13
      OFFSETS:	76-82
       TOKENS:	P9W19-P9W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qArin_1]
   UNSPLITVOC:	(qAronuwA)
          POS:	CV+CVSUFF_SUBJ:2P
          VOC:	qAron+uwA
        GLOSS:	compare+you [pl.] [verb]

 INPUT STRING:	وانتوا
     IS_TRANS:	wAntwA
        INDEX:	P9W14
      OFFSETS:	83-89
       TOKENS:	P9W20-P9W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ainotuw_1]
   UNSPLITVOC:	(wiAinotuw)
          POS:	CONJ+PRON_2P
          VOC:	wi+Ainotuw
        GLOSS:	and+you [pl.]

 INPUT STRING:	تعرفوا
     IS_TRANS:	tErfwA
        INDEX:	P9W15
      OFFSETS:	90-96
       TOKENS:	P9W22-P9W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eirif_1]
   UNSPLITVOC:	(tiEorafuwA)
          POS:	IV2P+IV+IVSUFF_SUBJ:P
          VOC:	ti+Eoraf+uwA
        GLOSS:	you [pl.]+know+[pl.]

 INPUT STRING:	ولا
     IS_TRANS:	wlA
        INDEX:	P10W1
      OFFSETS:	0-3
       TOKENS:	P10W1-P10W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wal~A_1]
   UNSPLITVOC:	(wal~A)
          POS:	CONJ
          VOC:	wal~A
        GLOSS:	or

 INPUT STRING:	حسن
     IS_TRANS:	Hsn
        INDEX:	P10W2
      OFFSETS:	4-7
       TOKENS:	P10W2-P10W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hasan_1]
   UNSPLITVOC:	(Hasan)
          POS:	NOUN_PROP
          VOC:	Hasan
        GLOSS:	Hassan

 INPUT STRING:	شحاتة
     IS_TRANS:	$HAtp
        INDEX:	P10W3
      OFFSETS:	8-13
       TOKENS:	P10W3-P10W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$iHAtap_1]
   UNSPLITVOC:	($iHAtap)
          POS:	NOUN_PROP+NSUFF_FEM_SG
          VOC:	$iHAt+ap
        GLOSS:	Shihata+[fem.sg.]

 INPUT STRING:	اللى
     IS_TRANS:	AllY
        INDEX:	P10W4
      OFFSETS:	14-18
       TOKENS:	P10W4-P10W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	which/who/whom

 INPUT STRING:	ماأنفعلش
     IS_TRANS:	mA>nfEl$
        INDEX:	P10W5
      OFFSETS:	19-27
       TOKENS:	P10W5-P10W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AinofaEal_1]
   UNSPLITVOC:	(mA_AinofaEal$)
          POS:	NEG_PART+PV+PVSUFF_SUBJ:3MS+NEG_PART
          VOC:	mA+AinofaEal+(null)+$
        GLOSS:	not+become agitated+he/it [verb]+not

 INPUT STRING:	مع
     IS_TRANS:	mE
        INDEX:	P10W6
      OFFSETS:	28-30
       TOKENS:	P10W8-P10W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maEa_1]
   UNSPLITVOC:	(maEa)
          POS:	NOUN
          VOC:	maEa
        GLOSS:	something with

 INPUT STRING:	ولا
     IS_TRANS:	wlA
        INDEX:	P10W7
      OFFSETS:	31-34
       TOKENS:	P10W9-P10W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[lA_2]
   UNSPLITVOC:	(walA)
          POS:	CONJ+NEG_PART
          VOC:	wa+lA
        GLOSS:	and+no/not

 INPUT STRING:	كورة
     IS_TRANS:	kwrp
        INDEX:	P10W8
      OFFSETS:	35-39
       TOKENS:	P10W11-P10W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
