 INPUT STRING:	يقول
      OFFSETS:	162-164
       TOKENS:	P13W47-P13W47
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	البى
     IS_TRANS:	AlbY
        INDEX:	P13W35
      OFFSETS:	165-169
       TOKENS:	P13W48-P13W48
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(AlbY)
          POS:	FOREIGN
          VOC:	AlbY
        GLOSS:	nogloss

 INPUT STRING:	بى
     IS_TRANS:	bY
        INDEX:	P13W36
      OFFSETS:	170-172
       TOKENS:	P13W49-P13W49
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(bY)
          POS:	FOREIGN
          VOC:	bY
        GLOSS:	nogloss

 INPUT STRING:	سى
     IS_TRANS:	sY
        INDEX:	P13W37
      OFFSETS:	173-175
       TOKENS:	P13W50-P13W50
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(sY)
          POS:	FOREIGN
          VOC:	sY
        GLOSS:	nogloss

 INPUT STRING:	الى
     IS_TRANS:	AlY
        INDEX:	P13W38
      OFFSETS:	176-179
       TOKENS:	P13W51-P13W51
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AilaY_1]
   UNSPLITVOC:	(AilaY)
          POS:	PREP
          VOC:	AilaY
        GLOSS:	to/towards

 INPUT STRING:	الجزيرة
     IS_TRANS:	Aljzyrp
        INDEX:	P13W39
      OFFSETS:	180-187
       TOKENS:	P13W52-P13W52
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[jiziyrap_1]
   UNSPLITVOC:	(Aljiziyrap)
          POS:	DET+NOUN_PROP+NSUFF_FEM_SG
          VOC:	Al+jiziyr+ap
        GLOSS:	the+aljazira/Jazeera/jazira+[fem.sg.]

 INPUT STRING:	حيث
     IS_TRANS:	Hyv
        INDEX:	P13W40
      OFFSETS:	188-191
       TOKENS:	P13W53-P13W53
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hayov_1]
   UNSPLITVOC:	(Hayov)
          POS:	REL_ADV
          VOC:	Hayov
        GLOSS:	where/since/given that/where by

 INPUT STRING:	يتحلى
     IS_TRANS:	ytHlY
        INDEX:	P13W41
      OFFSETS:	192-197
       TOKENS:	P13W54-P13W54
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[taHal~aY_1]
   UNSPLITVOC:	(yataHal~aY)
          POS:	IV3MS+IV
          VOC:	ya+taHal~aY
        GLOSS:	he/it+be adorned/be furnished/remaining (patient, confident)

 INPUT STRING:	بمهنية
     IS_TRANS:	bmhnyp
        INDEX:	P13W42
      OFFSETS:	198-204
       TOKENS:	P13W55-P13W56
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[mihan~iyap_1]
   UNSPLITVOC:	(bimihan~iyap)
          POS:	PREP+NOUN+NSUFF_FEM_SG
          VOC:	bi+mihan~iy+ap
        GLOSS:	with/by+profession/vocation/occupation+[fem.sg.]

 INPUT STRING:	عالية
     IS_TRANS:	EAlyp
        INDEX:	P13W43
      OFFSETS:	205-210
       TOKENS:	P13W57-P13W57
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EAliy_1]
   UNSPLITVOC:	(EAloyap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	EAloy+ap
        GLOSS:	high/elevated+[fem.sg.]

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P13W44
      OFFSETS:	210-211
       TOKENS:	P13W58-P13W58
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P13W45
      OFFSETS:	211-212
       TOKENS:	P13W59-P13W59
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	وهذا
     IS_TRANS:	wh*A
        INDEX:	P14W1
      OFFSETS:	0-4
       TOKENS:	P14W1-P14W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ha*A_1]
   UNSPLITVOC:	(waha*A)
          POS:	CONJ+DEM_PRON_MS
          VOC:	wa+ha*A
        GLOSS:	and+these/this

 INPUT STRING:	ما
     IS_TRANS:	mA
        INDEX:	P14W2
      OFFSETS:	5-7
       TOKENS:	P14W3-P14W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mA_1]
   UNSPLITVOC:	(mA)
          POS:	REL_PRON
          VOC:	mA
        GLOSS:	what

 INPUT STRING:	أردت
     IS_TRANS:	>rdt
        INDEX:	P14W3
      OFFSETS:	8-12
       TOKENS:	P14W4-P14W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>arAd_1]
   UNSPLITVOC:	(>aradt)
          POS:	PV+PVSUFF_SUBJ:1S
          VOC:	>arad+t
        GLOSS:	want/desire/intend/be desired/be intended+I

 INPUT STRING:	لفت
     IS_TRANS:	lft
        INDEX:	P14W4
      OFFSETS:	13-16
       TOKENS:	P14W5-P14W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lafot_1]
   UNSPLITVOC:	(lafot)
          POS:	NOUN
          VOC:	lafot
        GLOSS:	directing

 INPUT STRING:	الإنتباه
     IS_TRANS:	Al<ntbAh
        INDEX:	P14W5
      OFFSETS:	17-25
       TOKENS:	P14W6-P14W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AinotibAh_1]
   UNSPLITVOC:	(AlAinotibAh)
          POS:	DET+NOUN
          VOC:	Al+AinotibAh
        GLOSS:	the+vigilance/caution/attention

 INPUT STRING:	اليه
     IS_TRANS:	Alyh
        INDEX:	P14W6
      OFFSETS:	26-30
       TOKENS:	P14W7-P14W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<ilaY_1]
   UNSPLITVOC:	(<iliyh)
          POS:	PREP+PRON_3MS
          VOC:	<ilaY+uh
        GLOSS:	to/towards+he/it

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P14W7
      OFFSETS:	30-31
       TOKENS:	P14W9-P14W9
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

