 INPUT STRING:	موقع
       TOKENS:	P5W3-P5W3
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<ilaY_1]
   UNSPLITVOC:	(<ilaY)
          POS:	PREP
          VOC:	<ilaY
        GLOSS:	to/towards

 INPUT STRING:	أن
     IS_TRANS:	>n
        INDEX:	P5W3
      OFFSETS:	10-12
       TOKENS:	P5W4-P5W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>an~a_1]
   UNSPLITVOC:	(>an~a)
          POS:	SUB_CONJ
          VOC:	>an~a
        GLOSS:	that

 INPUT STRING:	هناك
     IS_TRANS:	hnAk
        INDEX:	P5W4
      OFFSETS:	13-17
       TOKENS:	P5W5-P5W5
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[hunAka_1]
   UNSPLITVOC:	(hunAka)
          POS:	ADV
          VOC:	hunAka
        GLOSS:	there

 INPUT STRING:	إرادة
     IS_TRANS:	<rAdp
        INDEX:	P5W5
      OFFSETS:	18-23
       TOKENS:	P5W6-P5W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<irAdap_1]
   UNSPLITVOC:	(<irAdap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	<irAd+ap
        GLOSS:	desire/will+[fem.sg.]

 INPUT STRING:	شعبية
     IS_TRANS:	$Ebyp
        INDEX:	P5W6
      OFFSETS:	24-29
       TOKENS:	P5W7-P5W7
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[$aEobiy~_1]
   UNSPLITVOC:	($aEobiy~ap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	$aEobiy~+ap
        GLOSS:	popular/national/people's+[fem.sg.]

 INPUT STRING:	كبيرة
     IS_TRANS:	kbyrp
        INDEX:	P5W7
      OFFSETS:	30-35
       TOKENS:	P5W8-P5W8
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[kabiyr_1]
   UNSPLITVOC:	(kabiyrap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	kabiyr+ap
        GLOSS:	large/great/important/major/senior+[fem.sg.]

 INPUT STRING:	لعودة
     IS_TRANS:	lEwdp
        INDEX:	P5W8
      OFFSETS:	36-41
       TOKENS:	P5W9-P5W10
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Eawodap_1]
   UNSPLITVOC:	(liEawodap)
          POS:	PREP+NOUN+NSUFF_FEM_SG
          VOC:	li+Eawod+ap
        GLOSS:	for/to+return+[fem.sg.]

 INPUT STRING:	الاستقرار
     IS_TRANS:	AlAstqrAr
        INDEX:	P5W9
      OFFSETS:	42-51
       TOKENS:	P5W11-P5W11
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[{isotiqorAr_1]
   UNSPLITVOC:	(AlAisotiqorAr)
          POS:	DET+NOUN
          VOC:	Al+{isotiqorAr
        GLOSS:	the+stability

 INPUT STRING:	والأمن
     IS_TRANS:	wAl>mn
        INDEX:	P5W10
      OFFSETS:	52-58
       TOKENS:	P5W12-P5W13
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>amon_1]
   UNSPLITVOC:	(waAl>amon)
          POS:	CONJ+DET+NOUN
          VOC:	wa+Al+>amon
        GLOSS:	and+the+security/safety

 INPUT STRING:	والأمان
     IS_TRANS:	wAl>mAn
        INDEX:	P5W11
      OFFSETS:	59-66
       TOKENS:	P5W14-P5W15
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>amAn_1]
   UNSPLITVOC:	(waAl>amAn)
          POS:	CONJ+DET+NOUN
          VOC:	wa+Al+>amAn
        GLOSS:	and+the+safety/protection

 INPUT STRING:	لمصر
     IS_TRANS:	lmSr
        INDEX:	P5W12
      OFFSETS:	67-71
       TOKENS:	P5W16-P5W17
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[miSor_1]
   UNSPLITVOC:	(lamiSor)
          POS:	PREP+NOUN_PROP
          VOC:	la+miSor
        GLOSS:	for/to+Egypt

 INPUT STRING:	ورفض
     IS_TRANS:	wrfD
        INDEX:	P5W13
      OFFSETS:	72-76
       TOKENS:	P5W18-P5W19
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[rafoD_1]
   UNSPLITVOC:	(warafoD)
          POS:	CONJ+NOUN
          VOC:	wa+rafoD
        GLOSS:	and+rejection/refusal

 INPUT STRING:	كل
     IS_TRANS:	kl
        INDEX:	P5W14
      OFFSETS:	77-79
       TOKENS:	P5W20-P5W20
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(kul~)
          POS:	NOUN_QUANT
          VOC:	kul~
        GLOSS:	all, entire, every, whole

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P5W15
      OFFSETS:	80-82
       TOKENS:	P5W21-P5W21
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[mano_1]
   UNSPLITVOC:	(mano)
          POS:	REL_PRON
          VOC:	mano
        GLOSS:	who/whom

 INPUT STRING:	يتآمر
     IS_TRANS:	yt|mr
        INDEX:	P5W16
      OFFSETS:	83-88
       TOKENS:	P5W22-P5W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[ta|amar_1]
   UNSPLITVOC:	(yata|amar)
          POS:	IV3MS+IV
          VOC:	ya+ta|amar
        GLOSS:	he/it+conspired

 INPUT STRING:	علي
     IS_TRANS:	Ely
        INDEX:	P5W17
      OFFSETS:	89-92
       TOKENS:	P5W23-P5W23
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	سلامة
     IS_TRANS:	slAmp
        INDEX:	P5W18
      OFFSETS:	93-98
       TOKENS:	P5W24-P5W24
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[salAmap_1]
   UNSPLITVOC:	(salAmap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	salAm+ap
        GLOSS:	security/safety/integrity+[fem.sg.]

 INPUT STRING:	هذا
     IS_TRANS:	h*A
        INDEX:	P5W19
      OFFSETS:	99-102
       TOKENS:	P5W25-P5W25
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ha*A_1]
   UNSPLITVOC:	(ha*A)
          POS:	DEM_PRON_MS
          VOC:	ha*A
        GLOSS:	this

 INPUT STRING:	الوطن
     IS_TRANS:	AlwTn
        INDEX:	P5W20
      OFFSETS:	103-108
       TOKENS:	P5W26-P5W26
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[waTan_1]
   UNSPLITVOC:	(AlwaTan)
          POS:	DET+NOUN
          VOC:	Al+waTan
        GLOSS:	the+nation/homeland

 INPUT STRING:	وهذه
     IS_TRANS:	wh*h
        INDEX:	P5W21
      OFFSETS:	109-113
       TOKENS:	P5W27-P5W28
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[ha*ihi_1]
   UNSPLITVOC:	(waha*ihi)
          POS:	CONJ+DEM_PRON_FS
          VOC:	wa+ha*ihi
        GLOSS:	and+this

 INPUT STRING:	الأمة
     IS_TRANS:	Al>mp
        INDEX:	P5W22
      OFFSETS:	114-119
       TOKENS:	P5W29-P5W29
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>um~ap_1]
   UNSPLITVOC:	(Al>um~ap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+>um~+ap
        GLOSS:	the+nation/people+[fem.sg.]

 INPUT STRING:	ومحاولات
     IS_TRANS:	wmHAwlAt
        INDEX:	P5W23
      OFFSETS:	120-128
       TOKENS:	P5W30-P5W31
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[muHAwlap_1]
   UNSPLITVOC:	(wamuHAwlAt)
          POS:	CONJ+NOUN+NSUFF_FEM_PL
          VOC:	wa+muHAwl+At
        GLOSS:	and+trials+[fem.pl.]

 INPUT STRING:	الفتك
     IS_TRANS:	Alftk
        INDEX:	P5W24
      OFFSETS:	129-134
       TOKENS:	P5W32-P5W32
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fatok_1]
   UNSPLITVOC:	(Alfatok)
          POS:	DET+NOUN
          VOC:	Al+fatok
        GLOSS:	the+destruction/annihilation

 INPUT STRING:	والتدمير
     IS_TRANS:	wAltdmyr
        INDEX:	P5W25
      OFFSETS:	135-143
       TOKENS:	P5W33-P5W34
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[tadomiyr_1]
   UNSPLITVOC:	(waAltadomiyr)
          POS:	CONJ+DET+NOUN
          VOC:	wa+Al+tadomiyr
        GLOSS:	and+the+destruction/annihilation

 INPUT STRING:	للأمة
     IS_TRANS:	ll>mp
        INDEX:	P5W26
      OFFSETS:	144-149
       TOKENS:	P5W35-P5W36
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>um~ap_1]
   UNSPLITVOC:	(lil>um~ap)
          POS:	PREP+DET+NOUN+NSUFF_FEM_SG
          VOC:	li+Al+>um~+ap
        GLOSS:	to/for+the+nation/people+[fem.sg.]

 INPUT STRING:	الاسلاميه
     IS_TRANS:	AlAslAmyh
        INDEX:	P5W27
      OFFSETS:	150-159
       TOKENS:	P5W37-P5W37
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Al<islAmiy~_1]
   UNSPLITVOC:	(Al<islAmiy~ap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+<islAmiy~+ap
        GLOSS:	the+Islamic/Islamist+[fem.sg.]

 INPUT STRING:	وذلك
     IS_TRANS:	w*lk
        INDEX:	P5W28
      OFFSETS:	160-164
       TOKENS:	P5W38-P5W39
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[*`lika_1]
   UNSPLITVOC:	(wa*`lika)
          POS:	CONJ+DEM_PRON_MS
          VOC:	wa+*`lika
        GLOSS:	and+that

 INPUT STRING:	حفاظاً
     IS_TRANS:	HfAZAF
        INDEX:	P5W29
      OFFSETS:	165-171
       TOKENS:	P5W40-P5W40
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[HifAZ_1]
   UNSPLITVOC:	(HifAZAF)
          POS:	NOUN.VN+CASE_INDEF_ACC
          VOC:	HifAZ+AF
        GLOSS:	preservation+[acc.indef.]

 INPUT STRING:	علي
     IS_TRANS:	Ely
        INDEX:	P5W30
      OFFSETS:	172-175
       TOKENS:	P5W41-P5W41
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	كرامة
     IS_TRANS:	krAmp
        INDEX:	P5W31
      OFFSETS:	176-181
       TOKENS:	P5W42-P5W42
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[karAmap_1]
   UNSPLITVOC:	(karAmap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	karAm+ap
        GLOSS:	dignity/generosity+[fem.sg.]

 INPUT STRING:	مصر
     IS_TRANS:	mSr
        INDEX:	P5W32
      OFFSETS:	182-185
       TOKENS:	P5W43-P5W43
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[miSor_1]
   UNSPLITVOC:	(miSor)
          POS:	NOUN_PROP
          VOC:	miSor
        GLOSS:	Egypt

 INPUT STRING:	والمصريين
     IS_TRANS:	wAlmSryyn
        INDEX:	P5W33
      OFFSETS:	186-195
       TOKENS:	P5W44-P5W45
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[miSoriy~_1]
   UNSPLITVOC:	(waAlmiSoriy~ayoni)
          POS:	CONJ+DET+ADJ+NSUFF_MASC_DU_ACC
          VOC:	wa+Al+miSoriy~+ayoni
        GLOSS:	and+the+Egyptian+two [acc.]

 INPUT STRING:	وحتى
     IS_TRANS:	wHtY
        INDEX:	P5W34
      OFFSETS:	196-200
       TOKENS:	P5W46-P5W47
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Hat~aY_4]
   UNSPLITVOC:	(waHat~aY)
          POS:	CONJ+SUB_CONJ
          VOC:	wa+Hat~aY
        GLOSS:	and+so that

 INPUT STRING:	لا
     IS_TRANS:	lA
        INDEX:	P5W35
      OFFSETS:	201-203
       TOKENS:	P5W48-P5W48
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lA_1]
   UNSPLITVOC:	(lA)
          POS:	NEG_PART
          VOC:	lA
        GLOSS:	no/not/non-

 INPUT STRING:	ننساق
     IS_TRANS:	nnsAq
        INDEX:	P5W36
      OFFSETS:	204-209
       TOKENS:	P5W49-P5W49
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AinosAq_1]
   UNSPLITVOC:	(ninosAq)
          POS:	IV1P+IV
          VOC:	ni+nosAq
        GLOSS:	we+be driven

 INPUT STRING:	إلي
     IS_TRANS:	<ly
        INDEX:	P5W37
      OFFSETS:	210-213
       TOKENS:	P5W50-P5W50
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<ilaY_1]
   UNSPLITVOC:	(<ilaY)
          POS:	PREP
          VOC:	<ilaY
        GLOSS:	to/towards

 INPUT STRING:	الفوضى
     IS_TRANS:	AlfwDY
        INDEX:	P5W38
      OFFSETS:	214-220
       TOKENS:	P5W51-P5W51
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[fawoDaY_1]
   UNSPLITVOC:	(AlfawoDaY)
          POS:	DET+NOUN
          VOC:	Al+fawoDaY
        GLOSS:	the+chaos/anarchy

 INPUT STRING:	والجهل
     IS_TRANS:	wAljhl
        INDEX:	P5W39
      OFFSETS:	221-227
       TOKENS:	P5W52-P5W53
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[jahol_1]
   UNSPLITVOC:	(waAljahol)
          POS:	CONJ+DET+NOUN
          VOC:	wa+Al+jahol
        GLOSS:	and+the+ignorance

 INPUT STRING:	والفقر
     IS_TRANS:	wAlfqr
        INDEX:	P5W40
      OFFSETS:	228-234
       TOKENS:	P5W54-P5W55
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[faqor_1]
   UNSPLITVOC:	(waAlfaqor)
          POS:	CONJ+DET+NOUN
          VOC:	wa+Al+faqor
        GLOSS:	and+the+poverty

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P5W41
      OFFSETS:	234-235
       TOKENS:	P5W56-P5W56
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	وأضاف
     IS_TRANS:	w>DAf
        INDEX:	P6W1
      OFFSETS:	0-5
       TOKENS:	P6W1-P6W2
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>aDAf_1]
   UNSPLITVOC:	(wa>aDAfa)
          POS:	CONJ+PV+PVSUFF_SUBJ:3MS
          VOC:	wa+>aDAf+a
        GLOSS:	and+add+he/it [verb]

 INPUT STRING:	توفيق
     IS_TRANS:	twfyq
        INDEX:	P6W2
      OFFSETS:	6-11
       TOKENS:	P6W3-P6W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tawfiyq_1]
   UNSPLITVOC:	(tawfiyq)
          POS:	NOUN_PROP
          VOC:	tawfiyq
        GLOSS:	TAWFIQ

 INPUT STRING:	عكاشه
     IS_TRANS:	EkA$h
        INDEX:	P6W3
      OFFSETS:	12-17
       TOKENS:	P6W4-P6W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EukA$ah_1]
   UNSPLITVOC:	(EukA$ah)
          POS:	NOUN_PROP
          VOC:	EukA$ah
        GLOSS:	AUKASHA

 INPUT STRING:	أن
     IS_TRANS:	>n
        INDEX:	P6W4
      OFFSETS:	18-20
       TOKENS:	P6W5-P6W5
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>an~a_1]
   UNSPLITVOC:	(>an~a)
          POS:	SUB_CONJ
          VOC:	>an~a
        GLOSS:	that

 INPUT STRING:	الثورة
     IS_TRANS:	Alvwrp
        INDEX:	P6W5
      OFFSETS:	21-27
       TOKENS:	P6W6-P6W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[vawrap_1]
   UNSPLITVOC:	(Alv~awrap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+vawr+ap
        GLOSS:	the+revolution/uprising+[fem.sg.]

 INPUT STRING:	ستستمر
     IS_TRANS:	ststmr
        INDEX:	P6W6
      OFFSETS:	28-34
       TOKENS:	P6W7-P6W8
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[{isotamar~_1]
   UNSPLITVOC:	(satasotamir~u)
          POS:	FUT_PART+IV3FS+IV+IVSUFF_MOOD:I
          VOC:	sa+ta+sotamir~+u
        GLOSS:	will+it/they/she+continue/last (time)+[ind.]

 INPUT STRING:	لحين
     IS_TRANS:	lHyn
        INDEX:	P6W7
      OFFSETS:	35-39
       TOKENS:	P6W9-P6W10
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hiyn_1]
   UNSPLITVOC:	(liHiyn)
          POS:	PREP+NOUN
          VOC:	li+Hiyn
        GLOSS:	for/to+time/moment/opportunity

 INPUT STRING:	القضاء
     IS_TRANS:	AlqDA'
        INDEX:	P6W8
      OFFSETS:	40-46
       TOKENS:	P6W11-P6W11
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[qaDA'_2]
   UNSPLITVOC:	(AlqaDA')
          POS:	DET+NOUN
          VOC:	Al+qaDA'
        GLOSS:	the+extermination/annihilation

 INPUT STRING:	علي
     IS_TRANS:	Ely
        INDEX:	P6W9
      OFFSETS:	47-50
       TOKENS:	P6W12-P6W12
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	بقايا
     IS_TRANS:	bqAyA
        INDEX:	P6W10
      OFFSETS:	51-56
       TOKENS:	P6W13-P6W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baqiy~ap_1]
   UNSPLITVOC:	(baqAyA)
          POS:	NOUN
          VOC:	baqAyA
        GLOSS:	remainders/remnants

 INPUT STRING:	النظام
     IS_TRANS:	AlnZAm
        INDEX:	P6W11
      OFFSETS:	57-63
       TOKENS:	P6W14-P6W14
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[niZAm_1]
   UNSPLITVOC:	(AlniZAm)
          POS:	DET+NOUN
          VOC:	Al+niZAm
        GLOSS:	the+regime/government

 INPUT STRING:	السابق
     IS_TRANS:	AlsAbq
        INDEX:	P6W12
      OFFSETS:	64-70
       TOKENS:	P6W15-P6W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sAbiq_1]
   UNSPLITVOC:	(Als~Abiq)
          POS:	DET+ADJ
          VOC:	Al+sAbiq
        GLOSS:	the+former/previous/preceding

 INPUT STRING:	الذين
     IS_TRANS:	Al*yn
        INDEX:	P6W13
      OFFSETS:	71-76
       TOKENS:	P6W16-P6W16
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Al~a*iy_1]
   UNSPLITVOC:	(Al~a*ayoni)
          POS:	REL_PRON
          VOC:	Al~a*ayoni
        GLOSS:	which/who/whom [du.]

 INPUT STRING:	أساءوا
     IS_TRANS:	>sA'wA
        INDEX:	P6W14
      OFFSETS:	77-83
       TOKENS:	P6W17-P6W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>asA'_1]
   UNSPLITVOC:	(>asA'uwA)
          POS:	PV+PVSUFF_SUBJ:3P
          VOC:	>asA'+uwA
        GLOSS:	harm/offend+they

 INPUT STRING:	لشعب
     IS_TRANS:	l$Eb
        INDEX:	P6W15
      OFFSETS:	84-88
       TOKENS:	P6W18-P6W19
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$aEob_1]
   UNSPLITVOC:	(li$aEob)
          POS:	PREP+NOUN
          VOC:	li+$aEob
        GLOSS:	for/to+people/nation

 INPUT STRING:	مصر
     IS_TRANS:	mSr
        INDEX:	P6W16
      OFFSETS:	89-92
       TOKENS:	P6W20-P6W20
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[miSor_1]
   UNSPLITVOC:	(miSor)
          POS:	NOUN_PROP
          VOC:	miSor
        GLOSS:	Egypt

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P6W17
      OFFSETS:	92-93
       TOKENS:	P6W21-P6W21
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	وعلي
     IS_TRANS:	wEly
        INDEX:	P7W1
      OFFSETS:	0-4
       TOKENS:	P7W1-P7W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(waEalaY)
          POS:	CONJ+PREP
          VOC:	wa+EalaY
        GLOSS:	and+on/above

 INPUT STRING:	الجانب
     IS_TRANS:	AljAnb
        INDEX:	P7W2
      OFFSETS:	5-11
       TOKENS:	P7W3-P7W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jAnib_1]
   UNSPLITVOC:	(AljAnib)
          POS:	DET+NOUN
          VOC:	Al+jAnib
        GLOSS:	the+side/aspect/next /beside/sides/aspects

 INPUT STRING:	الآخر
     IS_TRANS:	Al|xr
        INDEX:	P7W3
      OFFSETS:	12-17
       TOKENS:	P7W4-P7W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[|axar_1]
   UNSPLITVOC:	(Al|axar)
          POS:	DET+ADJ
          VOC:	Al+|axar
        GLOSS:	the+other

 INPUT STRING:	رددت
     IS_TRANS:	rddt
        INDEX:	P7W4
      OFFSETS:	18-22
       TOKENS:	P7W5-P7W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[rad~ad_1]
   UNSPLITVOC:	(rad~adat)
          POS:	PV+PVSUFF_SUBJ:3FS
          VOC:	rad~ad+at
        GLOSS:	repeat/reiterate+she/it

 INPUT STRING:	بعض
     IS_TRANS:	bED
        INDEX:	P7W5
      OFFSETS:	23-26
       TOKENS:	P7W6-P7W6
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baEoD_1]
   UNSPLITVOC:	(baEoD)
          POS:	NOUN_QUANT
          VOC:	baEoD
        GLOSS:	some, a few, little, part

 INPUT STRING:	القوي
     IS_TRANS:	Alqwy
        INDEX:	P7W6
      OFFSETS:	27-32
       TOKENS:	P7W7-P7W7
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[quw~ap_1]
   UNSPLITVOC:	(AlquwaY)
          POS:	DET+NOUN
          VOC:	Al+quwaY
        GLOSS:	the+power/forces

 INPUT STRING:	السياسيه
     IS_TRANS:	AlsyAsyh
        INDEX:	P7W7
      OFFSETS:	33-41
       TOKENS:	P7W8-P7W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[siyAsiy_1]
   UNSPLITVOC:	(Als~iyAsiy~ap)
          POS:	DET+ADJ+NSUFF_FEM_SG
