 INPUT STRING:	الانترنت
        GLOSS:	Allah/God+[def.nom.]

 INPUT STRING:	خيرا
     IS_TRANS:	xyrA
        INDEX:	P22W3
      OFFSETS:	11-15
       TOKENS:	P22W4-P22W4
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[xayor_1]
   UNSPLITVOC:	(xayorAF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	xayor+AF
        GLOSS:	good+[acc.indef.]

