 INPUT STRING:	الموضوع
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bAl_1]
   UNSPLITVOC:	(bAlnA)
          POS:	NOUN+POSS_PRON_1P
          VOC:	bAl+nA
        GLOSS:	mind/attention+our

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P8W4
      OFFSETS:	17-20
       TOKENS:	P8W5-P8W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	بعض
     IS_TRANS:	bED
        INDEX:	P8W5
      OFFSETS:	21-24
       TOKENS:	P8W6-P8W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baEoD_1]
   UNSPLITVOC:	(baEoD)
          POS:	NOUN_QUANT
          VOC:	baEoD
        GLOSS:	some/a few/little

 INPUT STRING:	ونتوكل
     IS_TRANS:	wntwkl
        INDEX:	P8W6
      OFFSETS:	25-31
       TOKENS:	P8W7-P8W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tawak~al_1]
   UNSPLITVOC:	(winitowak~il)
          POS:	CONJ+IV1P+IV
          VOC:	wi+ni+towak~il
        GLOSS:	and+we+trust/be authorized/be empowered

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P8W7
      OFFSETS:	32-35
       TOKENS:	P8W9-P8W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	الله
     IS_TRANS:	Allh
        INDEX:	P8W8
      OFFSETS:	36-40
       TOKENS:	P8W10-P8W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(All~ah)
          POS:	NOUN
          VOC:	All~ah
        GLOSS:	Allah/God

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P8W9
      OFFSETS:	41-43
       TOKENS:	P8W11-P8W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	نشر
     IS_TRANS:	n$r
        INDEX:	P8W10
      OFFSETS:	44-47
       TOKENS:	P8W12-P8W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[na$or_1]
   UNSPLITVOC:	(na$or)
          POS:	NOUN
          VOC:	na$or
        GLOSS:	publication/announcement

 INPUT STRING:	الموضوع
     IS_TRANS:	AlmwDwE
        INDEX:	P8W11
      OFFSETS:	48-55
       TOKENS:	P8W13-P8W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mawDuwE_1]
   UNSPLITVOC:	(AlmawDuwE)
          POS:	DET+NOUN
          VOC:	Al+mawDuwE
        GLOSS:	the+subject/theme/issue

 INPUT STRING:	اللى
     IS_TRANS:	AllY
        INDEX:	P8W12
      OFFSETS:	56-60
       TOKENS:	P8W14-P8W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	which/who/whom

 INPUT STRING:	حتبداء
     IS_TRANS:	HtbdA'
        INDEX:	P8W13
      OFFSETS:	61-67
       TOKENS:	P8W15-P8W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[badA'_1]
   UNSPLITVOC:	(HatibodA')
          POS:	FUT_PART+IV3FS+IV
          VOC:	Ha+ti+bodA'
        GLOSS:	will+it/they/she+begin/start

 INPUT STRING:	حكايتها
     IS_TRANS:	HkAythA
        INDEX:	P8W14
      OFFSETS:	68-75
       TOKENS:	P8W17-P8W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[HikAyap_1]
   UNSPLITVOC:	(HikAyaphA)
          POS:	NOUN+NSUFF_FEM_SG+POSS_PRON_3FS
          VOC:	HikAy+ap+hA
        GLOSS:	story+[fem.sg.]+its/their/her

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P8W15
      OFFSETS:	76-78
       TOKENS:	P8W19-P8W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	اقوالنا
     IS_TRANS:	AqwAlnA
        INDEX:	P8W16
      OFFSETS:	79-86
       TOKENS:	P8W20-P8W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qawl_1]
   UNSPLITVOC:	(AqowAlnA)
          POS:	NOUN+POSS_PRON_1P
          VOC:	AqowAl+nA
        GLOSS:	statements/reports+our

 INPUT STRING:	ع
     IS_TRANS:	E
        INDEX:	P8W17
      OFFSETS:	87-88
       TOKENS:	P8W22-P8W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	الفيس
     IS_TRANS:	Alfys
        INDEX:	P8W18
      OFFSETS:	89-94
       TOKENS:	P8W23-P8W23
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(Alfys)
          POS:	FOREIGN
          VOC:	Alfys
        GLOSS:	nogloss

 INPUT STRING:	بوك
     IS_TRANS:	bwk
        INDEX:	P8W19
      OFFSETS:	95-98
       TOKENS:	P8W24-P8W24
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(bwk)
          POS:	FOREIGN
          VOC:	bwk
        GLOSS:	nogloss

 INPUT STRING:	طيب
     IS_TRANS:	Tyb
        INDEX:	P9W1
      OFFSETS:	0-3
       TOKENS:	P9W1-P9W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Tay~ib_1]
   UNSPLITVOC:	(Tay~ib)
          POS:	ADJ
          VOC:	Tay~ib
        GLOSS:	good/pleasant

 INPUT STRING:	أحنا
     IS_TRANS:	>HnA
        INDEX:	P9W2
      OFFSETS:	4-8
       TOKENS:	P9W2-P9W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AiHonA_1]
   UNSPLITVOC:	(AiHonA)
          POS:	PRON_1P
          VOC:	AiHonA
        GLOSS:	we

 INPUT STRING:	ممكن
     IS_TRANS:	mmkn
        INDEX:	P9W3
      OFFSETS:	9-13
       TOKENS:	P9W3-P9W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mumokin_1]
   UNSPLITVOC:	(mumokin)
          POS:	ADJ
          VOC:	mumokin
        GLOSS:	possible

 INPUT STRING:	نعمله
     IS_TRANS:	nEmlh
        INDEX:	P9W4
      OFFSETS:	14-19
       TOKENS:	P9W4-P9W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Eamal_1]
   UNSPLITVOC:	(niEomilliuh)
          POS:	IV1P+IV+PREP+PRON_3MS
          VOC:	ni+Eomil+li+uh
        GLOSS:	we+do/act+to/for+it/him

 INPUT STRING:	موضوع
     IS_TRANS:	mwDwE
        INDEX:	P9W5
      OFFSETS:	20-25
       TOKENS:	P9W7-P9W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mawDuwE_1]
   UNSPLITVOC:	(mawDuwE)
          POS:	NOUN
          VOC:	mawDuwE
        GLOSS:	subject/theme/issue

 INPUT STRING:	عام
     IS_TRANS:	EAm
        INDEX:	P9W6
      OFFSETS:	26-29
       TOKENS:	P9W8-P9W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EAm_1]
   UNSPLITVOC:	(EAm)
          POS:	ADJ
          VOC:	EAm
        GLOSS:	general/common/public

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P9W7
      OFFSETS:	30-31
       TOKENS:	P9W9-P9W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wi_1]
   UNSPLITVOC:	(wi)
          POS:	CONJ
          VOC:	wi
        GLOSS:	and

 INPUT STRING:	كل
     IS_TRANS:	kl
        INDEX:	P9W8
      OFFSETS:	32-34
       TOKENS:	P9W10-P9W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(kul~)
          POS:	NOUN_QUANT
          VOC:	kul~
        GLOSS:	all/entire/every

 INPUT STRING:	واحد
     IS_TRANS:	wAHd
        INDEX:	P9W9
      OFFSETS:	35-39
       TOKENS:	P9W11-P9W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wAHid_1]
   UNSPLITVOC:	(wAHid)
          POS:	NOUN_NUM
          VOC:	wAHid
        GLOSS:	person/ individual

 INPUT STRING:	برده
     IS_TRANS:	brdh
        INDEX:	P9W10
      OFFSETS:	40-44
       TOKENS:	P9W12-P9W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baroDuh_1]
   UNSPLITVOC:	(baroDuh)
          POS:	ADV
          VOC:	baroDuh
        GLOSS:	also/too

 INPUT STRING:	يسرد
     IS_TRANS:	ysrd
        INDEX:	P9W11
      OFFSETS:	45-49
       TOKENS:	P9W13-P9W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[sarad_1]
   UNSPLITVOC:	(yusrud)
          POS:	IV3MS+IV
          VOC:	yu+srud
        GLOSS:	he/it+continue/present/narrate

 INPUT STRING:	ألآحداث
     IS_TRANS:	>l|HdAv
        INDEX:	P9W12
      OFFSETS:	50-57
       TOKENS:	P9W14-P9W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>aHdAv_1]
   UNSPLITVOC:	(Al>aHdAv)
          POS:	DET+NOUN
          VOC:	Al+>aHdAv
        GLOSS:	the+events

 INPUT STRING:	عنده
     IS_TRANS:	Endh
        INDEX:	P9W13
      OFFSETS:	58-62
       TOKENS:	P9W15-P9W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Einod_1]
   UNSPLITVOC:	(Einoduh)
          POS:	NOUN+POSS_PRON_3MS
          VOC:	Einod+uh
        GLOSS:	with / at+his/its

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P9W14
      OFFSETS:	63-65
       TOKENS:	P9W17-P9W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	أيام
     IS_TRANS:	>yAm
        INDEX:	P9W15
      OFFSETS:	66-70
       TOKENS:	P9W18-P9W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yawm_1]
   UNSPLITVOC:	(Ay~Am)
          POS:	NOUN
          VOC:	Ay~Am
        GLOSS:	today/some day/ever/days

 INPUT STRING:	الثوره
     IS_TRANS:	Alvwrh
        INDEX:	P9W16
      OFFSETS:	71-77
       TOKENS:	P9W19-P9W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[vawrap_1]
   UNSPLITVOC:	(Alv~awrap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+vawr+ap
        GLOSS:	the+revolution/uprising+[fem.sg.]

 INPUT STRING:	بنفس
     IS_TRANS:	bnfs
        INDEX:	P9W17
      OFFSETS:	78-82
       TOKENS:	P9W20-P9W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nafos_1]
   UNSPLITVOC:	(binafos)
          POS:	PREP+NOUN
          VOC:	bi+nafos
        GLOSS:	with/by+same/self/selves

 INPUT STRING:	الشكل
     IS_TRANS:	Al$kl
        INDEX:	P9W18
      OFFSETS:	83-88
       TOKENS:	P9W22-P9W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$akol_1]
   UNSPLITVOC:	(Al$~akol)
          POS:	DET+NOUN
          VOC:	Al+$akol
        GLOSS:	the+manner/form/configuration/manners / types/forms/configurations

 INPUT STRING:	,
     IS_TRANS:	,
        INDEX:	P9W19
      OFFSETS:	88-89
       TOKENS:	P9W23-P9W23
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	,

 INPUT STRING:	,
     IS_TRANS:	,
        INDEX:	P9W20
      OFFSETS:	89-90
       TOKENS:	P9W24-P9W24
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	,

 INPUT STRING:	أنا
     IS_TRANS:	>nA
        INDEX:	P10W1
      OFFSETS:	0-3
       TOKENS:	P10W1-P10W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(AnA)
          POS:	PRON_1S
          VOC:	AnA
        GLOSS:	I

 INPUT STRING:	دعيت
     IS_TRANS:	dEyt
        INDEX:	P10W2
      OFFSETS:	4-8
       TOKENS:	P10W2-P10W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[daEay_1]
   UNSPLITVOC:	(duEiyt)
          POS:	PV_PASS+PVSUFF_SUBJ:1S
          VOC:	duEiy+t
        GLOSS:	be invited+I [verb]

 INPUT STRING:	للثوره
     IS_TRANS:	llvwrh
        INDEX:	P10W3
      OFFSETS:	9-15
       TOKENS:	P10W3-P10W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[vawrap_1]
   UNSPLITVOC:	(lilv~awrap)
          POS:	PREP+DET+NOUN+NSUFF_FEM_SG
          VOC:	li+Al+vawr+ap
        GLOSS:	for/to+the+revolution/uprising+[fem.sg.]

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P10W4
      OFFSETS:	16-18
       TOKENS:	P10W5-P10W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	يوم
     IS_TRANS:	ywm
        INDEX:	P10W5
      OFFSETS:	19-22
       TOKENS:	P10W6-P10W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yawm_1]
   UNSPLITVOC:	(yawm)
          POS:	NOUN
          VOC:	yawm
        GLOSS:	today/some day/ever/days

 INPUT STRING:	14
     IS_TRANS:	14
        INDEX:	P10W6
      OFFSETS:	23-25
       TOKENS:	P10W7-P10W7
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(14)
          POS:	NOUN_NUM
          VOC:	14
        GLOSS:	14

 INPUT STRING:	,
     IS_TRANS:	,
        INDEX:	P10W7
      OFFSETS:	25-26
       TOKENS:	P10W8-P10W8
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	,

 INPUT STRING:	,
     IS_TRANS:	,
        INDEX:	P10W8
      OFFSETS:	26-27
       TOKENS:	P10W9-P10W9
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	,

 INPUT STRING:	غير
     IS_TRANS:	gyr
        INDEX:	P10W9
      OFFSETS:	28-31
       TOKENS:	P10W10-P10W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[giyr_1]
   UNSPLITVOC:	(giyr)
          POS:	NOUN
          VOC:	giyr
        GLOSS:	not/other

 INPUT STRING:	أن
     IS_TRANS:	>n
        INDEX:	P10W10
      OFFSETS:	32-34
       TOKENS:	P10W11-P10W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~)
          POS:	SUB_CONJ
          VOC:	<in~
        GLOSS:	that

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P10W11
      OFFSETS:	35-37
       TOKENS:	P10W12-P10W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	ديسمبر
     IS_TRANS:	dysmbr
        INDEX:	P10W12
      OFFSETS:	38-44
       TOKENS:	P10W13-P10W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[diysamobir_1]
   UNSPLITVOC:	(diysamobir)
          POS:	NOUN
          VOC:	diysamobir
        GLOSS:	December

 INPUT STRING:	2010
     IS_TRANS:	2010
        INDEX:	P10W13
      OFFSETS:	45-49
       TOKENS:	P10W14-P10W14
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(2010)
          POS:	NOUN_NUM
          VOC:	2010
        GLOSS:	2010

 INPUT STRING:	حطيت
     IS_TRANS:	HTyt
        INDEX:	P10W14
      OFFSETS:	50-54
       TOKENS:	P10W15-P10W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HaT~_1]
   UNSPLITVOC:	(HaT~ayt)
          POS:	PV+PVSUFF_SUBJ:1S
          VOC:	HaT~+ayt
        GLOSS:	put+I

 INPUT STRING:	فيديو
     IS_TRANS:	fydyw
        INDEX:	P10W15
      OFFSETS:	55-60
       TOKENS:	P10W16-P10W16
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(fydyw)
          POS:	FOREIGN
          VOC:	fydyw
        GLOSS:	nogloss

 INPUT STRING:	لمظاهرات
     IS_TRANS:	lmZAhrAt
        INDEX:	P10W16
      OFFSETS:	61-69
       TOKENS:	P10W17-P10W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[muZAharap_1]
   UNSPLITVOC:	(limuZAharAt)
          POS:	PREP+NOUN+NSUFF_FEM_PL
          VOC:	li+muZAhar+At
        GLOSS:	for/to+demonstrations/rallies+[fem.pl.]

 INPUT STRING:	عماليه
     IS_TRANS:	EmAlyh
        INDEX:	P10W17
      OFFSETS:	70-76
       TOKENS:	P10W19-P10W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eum~Aliy_1]
   UNSPLITVOC:	(Eum~Aliy~ap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	Eum~Aliy~+ap
        GLOSS:	labor/workers'+[fem.sg.]

 INPUT STRING:	تم
     IS_TRANS:	tm
        INDEX:	P10W18
      OFFSETS:	77-79
       TOKENS:	P10W20-P10W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tam~_1]
   UNSPLITVOC:	(tam~)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	tam~+(null)
        GLOSS:	conclude/take place+he/it

 INPUT STRING:	فضها
     IS_TRANS:	fDhA
        INDEX:	P10W19
      OFFSETS:	80-84
       TOKENS:	P10W21-P10W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[faD~hA_1]
   UNSPLITVOC:	(faD~hA)
          POS:	NOUN+POSS_PRON_3FS
          VOC:	faD~+hA
        GLOSS:	dispersal/separation+its/their/her

 INPUT STRING:	بعنف
     IS_TRANS:	bEnf
        INDEX:	P10W20
      OFFSETS:	85-89
       TOKENS:	P10W23-P10W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eunof_1]
   UNSPLITVOC:	(biEunof)
          POS:	PREP+NOUN
          VOC:	bi+Eunof
        GLOSS:	with/by+violence/force

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P10W21
      OFFSETS:	90-92
       TOKENS:	P10W25-P10W25
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	الأمن
     IS_TRANS:	Al>mn
        INDEX:	P10W22
      OFFSETS:	93-98
       TOKENS:	P10W26-P10W26
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>amon_1]
   UNSPLITVOC:	(Al>amon)
          POS:	DET+NOUN
          VOC:	Al+>amon
        GLOSS:	the+security/safety

 INPUT STRING:	المركزى
     IS_TRANS:	AlmrkzY
        INDEX:	P10W23
      OFFSETS:	99-106
       TOKENS:	P10W27-P10W27
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[marokaziy_1]
   UNSPLITVOC:	(Almarokaziy)
          POS:	DET+ADJ
          VOC:	Al+marokaziy
        GLOSS:	the+central

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P10W24
      OFFSETS:	107-108
       TOKENS:	P10W28-P10W28
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wi_1]
   UNSPLITVOC:	(wi)
          POS:	CONJ
          VOC:	wi
        GLOSS:	and

 INPUT STRING:	كان
     IS_TRANS:	kAn
        INDEX:	P10W25
      OFFSETS:	109-112
       TOKENS:	P10W29-P10W29
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(kAn)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	kAn+(null)
        GLOSS:	be+he/it

 INPUT STRING:	تعليقى
     IS_TRANS:	tElyqY
        INDEX:	P10W26
      OFFSETS:	113-119
       TOKENS:	P10W30-P10W31
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[taEoliyq_1]
   UNSPLITVOC:	(taEoliyqiy)
          POS:	NOUN+POSS_PRON_1S
          VOC:	taEoliyq+iy
        GLOSS:	comment/remark/commentary+my

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P10W27
      OFFSETS:	120-123
       TOKENS:	P10W32-P10W32
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	الفيديو
     IS_TRANS:	Alfydyw
        INDEX:	P10W28
      OFFSETS:	124-131
       TOKENS:	P10W33-P10W33
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiydyuw_1]
   UNSPLITVOC:	(Alfiydyuw)
          POS:	DET+NOUN
          VOC:	Al+fiydyuw
        GLOSS:	the+video

 INPUT STRING:	:
     IS_TRANS:	:
        INDEX:	P10W29
      OFFSETS:	132-133
       TOKENS:	P10W34-P10W34
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(:)
          POS:	PUNC
          VOC:	:
        GLOSS:	:

 INPUT STRING:	ثورة
     IS_TRANS:	vwrp
        INDEX:	P10W30
      OFFSETS:	134-138
       TOKENS:	P10W35-P10W35
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[vawrap_1]
   UNSPLITVOC:	(vawrap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	vawr+ap
        GLOSS:	revolution/uprising+[fem.sg.]

