 INPUT STRING:	اقتل
        LEMMA:	[faqaT_1]
   UNSPLITVOC:	(faqaT)
          POS:	ADV
          VOC:	faqaT
        GLOSS:	only

 INPUT STRING:	ودمتم
     IS_TRANS:	wdmtm
        INDEX:	P17W14
      OFFSETS:	75-80
       TOKENS:	P17W18-P17W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[dAm_1]
   UNSPLITVOC:	(wadumtum)
          POS:	CONJ+PV+PVSUFF_SUBJ:2P
          VOC:	wa+dum+tum
        GLOSS:	and+last/persevere/continue+you [pl.] [verb]

 INPUT STRING:	بكره
     IS_TRANS:	bkrh
        INDEX:	P18W1
      OFFSETS:	1-5
       TOKENS:	P18W1-P18W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bukorap_1]
   UNSPLITVOC:	(bukorap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	bukor+ap
        GLOSS:	tomorrow+[fem.sg.]

 INPUT STRING:	هيعملو
     IS_TRANS:	hyEmlw
        INDEX:	P18W2
      OFFSETS:	6-12
       TOKENS:	P18W2-P18W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eamal_1]
   UNSPLITVOC:	(HayiEomiluwA)
          POS:	FUT_PART+IV3P+IV+IVSUFF_SUBJ:P
          VOC:	Ha+yi+Eomil+uwA
        GLOSS:	will+they+do+[pl.]

 INPUT STRING:	عرض
     IS_TRANS:	ErD
        INDEX:	P18W3
      OFFSETS:	13-16
       TOKENS:	P18W4-P18W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EaroD_1]
   UNSPLITVOC:	(EaroD)
          POS:	NOUN
          VOC:	EaroD
        GLOSS:	presentation/display/review/show/offer/presentations/shows/reviews/displays/offers/tenders

 INPUT STRING:	احسن
     IS_TRANS:	AHsn
        INDEX:	P18W4
      OFFSETS:	17-21
       TOKENS:	P18W5-P18W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aHosan_1]
   UNSPLITVOC:	(>aHosan)
          POS:	ADJ_COMP
          VOC:	>aHosan
        GLOSS:	better/best

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P18W5
      OFFSETS:	22-24
       TOKENS:	P18W6-P18W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	كدا
     IS_TRANS:	kdA
        INDEX:	P18W6
      OFFSETS:	25-28
       TOKENS:	P18W7-P18W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kidap_1]
   UNSPLITVOC:	(kidaA)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	kidap+ap
        GLOSS:	this way/like this+[fem.sg.]

 INPUT STRING:	اقتل
     IS_TRANS:	Aqtl
        INDEX:	P18W7
      OFFSETS:	29-33
       TOKENS:	P18W8-P18W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[qatal_1]
   UNSPLITVOC:	(Auqtul)
          POS:	CV+CVSUFF_SUBJ:2MS
          VOC:	Auqtul+(null)
        GLOSS:	kill+you

 INPUT STRING:	مصري
     IS_TRANS:	mSry
        INDEX:	P18W8
      OFFSETS:	34-38
       TOKENS:	P18W9-P18W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maSoriy_1]
   UNSPLITVOC:	(maSoriy)
          POS:	ADJ
          VOC:	maSoriy
        GLOSS:	Egyptian

 INPUT STRING:	واحصل
     IS_TRANS:	wAHSl
        INDEX:	P18W9
      OFFSETS:	39-44
       TOKENS:	P18W10-P18W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[HaSal_1]
   UNSPLITVOC:	(wiAiHSul)
          POS:	CONJ+CV+CVSUFF_SUBJ:2MS
          VOC:	wi+AiHSul+(null)
        GLOSS:	and+get+you

 INPUT STRING:	علي
     IS_TRANS:	Ely
        INDEX:	P18W10
      OFFSETS:	45-48
       TOKENS:	P18W12-P18W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	اخر
     IS_TRANS:	Axr
        INDEX:	P18W11
      OFFSETS:	49-52
       TOKENS:	P18W13-P18W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[|xar_1]
   UNSPLITVOC:	(|xar)
          POS:	ADJ
          VOC:	|xar
        GLOSS:	other/another

 INPUT STRING:	مجانا
     IS_TRANS:	mjAnA
        INDEX:	P18W12
      OFFSETS:	53-58
       TOKENS:	P18W14-P18W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maj~An_1]
   UNSPLITVOC:	(maj~AnAF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	maj~An+AF
        GLOSS:	free/gratis+[acc.indef.]

 INPUT STRING:	ماهم
     IS_TRANS:	mAhm
        INDEX:	P19W1
      OFFSETS:	1-5
       TOKENS:	P19W1-P19W1
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(mAhm)
          POS:	NO_FUNC
          VOC:	mAhm
        GLOSS:	nogloss

 INPUT STRING:	معذورين
     IS_TRANS:	mE*wryn
        INDEX:	P19W2
      OFFSETS:	6-13
       TOKENS:	P19W2-P19W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maEo*uwr_1]
   UNSPLITVOC:	(maEo*uwriyn)
          POS:	ADJ+NSUFF_MASC_PL
          VOC:	maEo*uwr+iyn
        GLOSS:	excused+[masc.pl.]

 INPUT STRING:	برضوا
     IS_TRANS:	brDwA
        INDEX:	P19W3
      OFFSETS:	14-19
       TOKENS:	P19W3-P19W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baroDuh_1]
   UNSPLITVOC:	(baroDuh)
          POS:	ADV
          VOC:	baroDuh
        GLOSS:	also/too

 INPUT STRING:	البلد
     IS_TRANS:	Albld
        INDEX:	P19W4
      OFFSETS:	20-25
       TOKENS:	P19W4-P19W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[balad_1]
   UNSPLITVOC:	(Albalad)
          POS:	DET+NOUN
          VOC:	Al+balad
        GLOSS:	the+country/country/countries

 INPUT STRING:	زحمة
     IS_TRANS:	zHmp
        INDEX:	P19W5
      OFFSETS:	26-30
       TOKENS:	P19W5-P19W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[zaHomap_1]
   UNSPLITVOC:	(zaHomap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	zaHom+ap
        GLOSS:	crowded/jam+[fem.sg.]

 INPUT STRING:	لازم
     IS_TRANS:	lAzm
        INDEX:	P19W6
      OFFSETS:	31-35
       TOKENS:	P19W6-P19W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lAzim_1]
   UNSPLITVOC:	(lAzim)
          POS:	ADJ
          VOC:	lAzim
        GLOSS:	necessary/required/needed

 INPUT STRING:	يخفوا
     IS_TRANS:	yxfwA
        INDEX:	P19W7
      OFFSETS:	36-41
       TOKENS:	P19W7-P19W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xaf~_1]
   UNSPLITVOC:	(yixif~uwA)
          POS:	IV3P+IV+IVSUFF_SUBJ:P
          VOC:	yi+xif~+uwA
        GLOSS:	they (people)+be light/decrease/reduce+[pl.]

 INPUT STRING:	منها
     IS_TRANS:	mnhA
        INDEX:	P19W8
      OFFSETS:	42-46
       TOKENS:	P19W8-P19W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(minhA)
          POS:	PREP+PRON_3FS
          VOC:	min+hA
        GLOSS:	from+it/them/her

 INPUT STRING:	شوية
     IS_TRANS:	$wyp
        INDEX:	P19W9
      OFFSETS:	47-51
       TOKENS:	P19W10-P19W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[$uway~ap_1]
   UNSPLITVOC:	($uway~ap)
          POS:	NOUN_QUANT+NSUFF_FEM_SG
          VOC:	$uway~+ap
        GLOSS:	a little bit+[fem.sg.]

 INPUT STRING:	يلا
     IS_TRANS:	ylA
        INDEX:	P20W1
      OFFSETS:	1-4
       TOKENS:	P20W1-P20W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yal~A_1]
   UNSPLITVOC:	(yal~A)
          POS:	INTERJ
          VOC:	yal~A
        GLOSS:	come on

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P20W2
      OFFSETS:	5-6
       TOKENS:	P20W2-P20W2
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P20W3
      OFFSETS:	6-7
       TOKENS:	P20W3-P20W3
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P20W4
      OFFSETS:	7-8
       TOKENS:	P20W4-P20W4
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P20W5
      OFFSETS:	8-9
       TOKENS:	P20W5-P20W5
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	يلا
     IS_TRANS:	ylA
        INDEX:	P20W6
      OFFSETS:	10-13
       TOKENS:	P20W6-P20W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yal~A_1]
   UNSPLITVOC:	(yal~A)
          POS:	INTERJ
          VOC:	yal~A
        GLOSS:	come on

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P20W7
      OFFSETS:	14-15
       TOKENS:	P20W7-P20W7
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P20W8
      OFFSETS:	15-16
       TOKENS:	P20W8-P20W8
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P20W9
      OFFSETS:	16-17
       TOKENS:	P20W9-P20W9
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P20W10
      OFFSETS:	17-18
       TOKENS:	P20W10-P20W10
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	يلا
     IS_TRANS:	ylA
        INDEX:	P20W11
      OFFSETS:	19-22
       TOKENS:	P20W11-P20W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yal~A_1]
   UNSPLITVOC:	(yal~A)
          POS:	INTERJ
          VOC:	yal~A
        GLOSS:	come on

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P20W12
      OFFSETS:	23-24
       TOKENS:	P20W12-P20W12
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P20W13
      OFFSETS:	24-25
       TOKENS:	P20W13-P20W13
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P20W14
      OFFSETS:	25-26
       TOKENS:	P20W14-P20W14
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P20W15
      OFFSETS:	26-27
       TOKENS:	P20W15-P20W15
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	يا
     IS_TRANS:	yA
        INDEX:	P20W16
      OFFSETS:	28-30
       TOKENS:	P20W16-P20W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yA_1]
   UNSPLITVOC:	(yA)
          POS:	VOC_PART
          VOC:	yA
        GLOSS:	O, oh

 INPUT STRING:	جدعان
     IS_TRANS:	jdEAn
        INDEX:	P20W17
      OFFSETS:	31-36
       TOKENS:	P20W17-P20W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jadaE_1]
   UNSPLITVOC:	(jidoEAn)
          POS:	ADJ
          VOC:	jidoEAn
        GLOSS:	strong/macho

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P20W18
      OFFSETS:	37-38
       TOKENS:	P20W18-P20W18
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P20W19
      OFFSETS:	38-39
       TOKENS:	P20W19-P20W19
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P20W20
      OFFSETS:	39-40
       TOKENS:	P20W20-P20W20
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P20W21
      OFFSETS:	40-41
       TOKENS:	P20W21-P20W21
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	قبل
     IS_TRANS:	qbl
        INDEX:	P20W22
      OFFSETS:	42-45
       TOKENS:	P20W22-P20W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qabol_1]
   UNSPLITVOC:	(qabol)
          POS:	NOUN
          VOC:	qabol
        GLOSS:	before/previously/formerly

 INPUT STRING:	منخلص
     IS_TRANS:	mnxlS
        INDEX:	P20W23
      OFFSETS:	46-51
       TOKENS:	P20W23-P20W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xal~aS_1]
   UNSPLITVOC:	(mA_nixal~aS)
          POS:	NEG_PART+IV1P+IV
          VOC:	mA+ni+xal~aS
        GLOSS:	not+we+purify/refine/clarify

 INPUT STRING:	يا
     IS_TRANS:	yA
        INDEX:	P20W24
      OFFSETS:	52-54
       TOKENS:	P20W25-P20W25
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yA_1]
   UNSPLITVOC:	(yA)
          POS:	VOC_PART
          VOC:	yA
        GLOSS:	O, oh

 INPUT STRING:	جدعان
     IS_TRANS:	jdEAn
        INDEX:	P20W25
      OFFSETS:	55-60
       TOKENS:	P20W26-P20W26
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jadaE_1]
   UNSPLITVOC:	(jidoEAn)
          POS:	ADJ
          VOC:	jidoEAn
        GLOSS:	strong/macho

 INPUT STRING:	ومين
     IS_TRANS:	wmyn
        INDEX:	P21W1
      OFFSETS:	1-5
       TOKENS:	P21W1-P21W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[miyn_1]
   UNSPLITVOC:	(wimiyn)
          POS:	CONJ+INTERROG_PRON
          VOC:	wi+miyn
        GLOSS:	and+who/whom

 INPUT STRING:	قال
     IS_TRANS:	qAl
        INDEX:	P21W2
      OFFSETS:	6-9
       TOKENS:	P21W3-P21W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(qAl)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	qAl+(null)
        GLOSS:	said/say/be said/say/(for example)+he/it

 INPUT STRING:	ان
     IS_TRANS:	An
        INDEX:	P21W3
      OFFSETS:	10-12
       TOKENS:	P21W4-P21W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~)
          POS:	SUB_CONJ
          VOC:	<in~
        GLOSS:	that

 INPUT STRING:	المصريين
     IS_TRANS:	AlmSryyn
        INDEX:	P21W4
      OFFSETS:	13-21
       TOKENS:	P21W5-P21W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maSoriy_1]
   UNSPLITVOC:	(AlmaSoriy~iyn)
          POS:	DET+ADJ+NSUFF_MASC_PL
          VOC:	Al+maSoriy~+iyn
        GLOSS:	the+Egyptian+[masc.pl.]

 INPUT STRING:	لهم
     IS_TRANS:	lhm
        INDEX:	P21W5
      OFFSETS:	22-25
       TOKENS:	P21W6-P21W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[li_1]
   UNSPLITVOC:	(luhum)
          POS:	PREP+PRON_3P
          VOC:	li+hum
        GLOSS:	to/for+them [pl.] (they have)

 INPUT STRING:	قيمه
     IS_TRANS:	qymh
        INDEX:	P21W6
      OFFSETS:	26-30
       TOKENS:	P21W8-P21W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qiymap_1]
   UNSPLITVOC:	(qiymap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	qiym+ap
        GLOSS:	value/worth/values/morals/ethics+[fem.sg.]

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P21W7
      OFFSETS:	31-32
       TOKENS:	P21W9-P21W9
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P21W8
      OFFSETS:	32-33
       TOKENS:	P21W10-P21W10
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P21W9
      OFFSETS:	33-34
       TOKENS:	P21W11-P21W11
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	دا
     IS_TRANS:	dA
        INDEX:	P22W1
      OFFSETS:	1-3
       TOKENS:	P22W1-P22W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dah_1]
   UNSPLITVOC:	(dah)
          POS:	DEM_PRON_MS
          VOC:	dah
        GLOSS:	this[masc.sg.]

 INPUT STRING:	لما
     IS_TRANS:	lmA
        INDEX:	P22W2
      OFFSETS:	4-7
       TOKENS:	P22W2-P22W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lam~A_1]
   UNSPLITVOC:	(lam~A)
          POS:	SUB_CONJ
          VOC:	lam~A
        GLOSS:	as, when

 INPUT STRING:	حد
     IS_TRANS:	Hd
        INDEX:	P22W3
      OFFSETS:	8-10
       TOKENS:	P22W3-P22W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Had~_1]
   UNSPLITVOC:	(Had~)
          POS:	NOUN
          VOC:	Had~
        GLOSS:	someone

 INPUT STRING:	بيموت
     IS_TRANS:	bymwt
        INDEX:	P22W4
      OFFSETS:	11-16
       TOKENS:	P22W4-P22W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mAt_1]
   UNSPLITVOC:	(biyimuwt)
          POS:	PROG_PART+IV3MS+IV
          VOC:	bi+yi+muwt
        GLOSS:	[present-tense]+he/it+die/pass away

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P22W5
      OFFSETS:	17-19
       TOKENS:	P22W6-P22W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	اتوبيس
     IS_TRANS:	Atwbys
        INDEX:	P22W6
      OFFSETS:	20-26
       TOKENS:	P22W7-P22W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>utuwbiys_1]
   UNSPLITVOC:	(>utuwbiys)
          POS:	NOUN
          VOC:	>utuwbiys
        GLOSS:	bus

 INPUT STRING:	نقل
     IS_TRANS:	nql
        INDEX:	P22W7
      OFFSETS:	27-30
       TOKENS:	P22W8-P22W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[naqol_1]
   UNSPLITVOC:	(naqol)
          POS:	NOUN
          VOC:	naqol
        GLOSS:	transportation/transfer/transmission/relaying/quoting

 INPUT STRING:	عام
     IS_TRANS:	EAm
        INDEX:	P22W8
      OFFSETS:	31-34
       TOKENS:	P22W9-P22W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EAm_1]
   UNSPLITVOC:	(EAm)
          POS:	ADJ
          VOC:	EAm
        GLOSS:	general/common/public

 INPUT STRING:	ولا
     IS_TRANS:	wlA
        INDEX:	P22W9
      OFFSETS:	35-38
       TOKENS:	P22W10-P22W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wal~A_1]
   UNSPLITVOC:	(wal~A)
          POS:	CONJ
          VOC:	wal~A
        GLOSS:	or

 INPUT STRING:	يفرمه
     IS_TRANS:	yfrmh
        INDEX:	P22W10
      OFFSETS:	39-44
       TOKENS:	P22W11-P22W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[faram_1]
   UNSPLITVOC:	(yuforumuh)
          POS:	IV3MS+IV+IVSUFF_DO:3MS
          VOC:	yu+forum+uh
        GLOSS:	he/it+chop up/grind+it/him

 INPUT STRING:	قطار
     IS_TRANS:	qTAr
        INDEX:	P22W11
      OFFSETS:	45-49
       TOKENS:	P22W13-P22W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qiTAr_1]
   UNSPLITVOC:	(qiTAr)
          POS:	NOUN
          VOC:	qiTAr
        GLOSS:	train

 INPUT STRING:	ولا
