 INPUT STRING:	كلت
   UNSPLITVOC:	(krwkr)
          POS:	FOREIGN
          VOC:	krwkr
        GLOSS:	nogloss

 INPUT STRING:	بضيفلها
     IS_TRANS:	bDyflhA
        INDEX:	P13W3
      OFFSETS:	11-18
       TOKENS:	P13W3-P13W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[DAf_1]
   UNSPLITVOC:	(baDiyf_lahA)
          POS:	PROG_PART+IV1S+IV+PREP+PRON_3FS
          VOC:	bi+Aa+Diyf+li+hA
        GLOSS:	[present-tense]+I+add+to/for+it/them/her

 INPUT STRING:	بيض
     IS_TRANS:	byD
        INDEX:	P13W4
      OFFSETS:	19-22
       TOKENS:	P13W7-P13W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[biyD_1]
   UNSPLITVOC:	(biyD)
          POS:	NOUN
          VOC:	biyD
        GLOSS:	eggs/egg

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P13W5
      OFFSETS:	23-24
       TOKENS:	P13W8-P13W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wi_1]
   UNSPLITVOC:	(wi)
          POS:	CONJ
          VOC:	wi
        GLOSS:	and/particle introducing an oath

 INPUT STRING:	زيت
     IS_TRANS:	zyt
        INDEX:	P13W6
      OFFSETS:	25-28
       TOKENS:	P13W9-P13W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[ziyt_1]
   UNSPLITVOC:	(ziyt)
          POS:	NOUN
          VOC:	ziyt
        GLOSS:	oil/oils

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P13W7
      OFFSETS:	29-30
       TOKENS:	P13W10-P13W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wi_1]
   UNSPLITVOC:	(wi)
          POS:	CONJ
          VOC:	wi
        GLOSS:	and/particle introducing an oath

 INPUT STRING:	ميه
     IS_TRANS:	myh
        INDEX:	P13W8
      OFFSETS:	31-34
       TOKENS:	P13W11-P13W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[may~ap_1]
   UNSPLITVOC:	(may~ap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	may~+ap
        GLOSS:	water+[fem.sg.]

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P14W1
      OFFSETS:	0-1
       TOKENS:	P14W1-P14W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wi_1]
   UNSPLITVOC:	(wi)
          POS:	CONJ
          VOC:	wi
        GLOSS:	and/particle introducing an oath

 INPUT STRING:	انا
     IS_TRANS:	AnA
        INDEX:	P14W2
      OFFSETS:	2-5
       TOKENS:	P14W2-P14W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(AnA)
          POS:	PRON_1S
          VOC:	AnA
        GLOSS:	I/me

 INPUT STRING:	حطيت
     IS_TRANS:	HTyt
        INDEX:	P14W3
      OFFSETS:	6-10
       TOKENS:	P14W3-P14W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[HaT~_1]
   UNSPLITVOC:	(HaT~iyt)
          POS:	PV+PVSUFF_SUBJ:1S
          VOC:	HaT~+iyt
        GLOSS:	descend/land/set down/lower+I

 INPUT STRING:	زبيب
     IS_TRANS:	zbyb
        INDEX:	P14W4
      OFFSETS:	11-15
       TOKENS:	P14W4-P14W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[zibiybap_1]
   UNSPLITVOC:	(zibiyb)
          POS:	NOUN
          VOC:	zibiyb
        GLOSS:	raisins/raisin/spirit distilled from raisins/a raisin/muslim ritual prayer

 INPUT STRING:	مع
     IS_TRANS:	mE
        INDEX:	P14W5
      OFFSETS:	16-18
       TOKENS:	P14W5-P14W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maEa_1]
   UNSPLITVOC:	(maEa)
          POS:	NOUN
          VOC:	maEa
        GLOSS:	with

 INPUT STRING:	نفسى
     IS_TRANS:	nfsY
        INDEX:	P14W6
      OFFSETS:	19-23
       TOKENS:	P14W6-P14W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nafos_1]
   UNSPLITVOC:	(nafosiy)
          POS:	NOUN+POSS_PRON_1S
          VOC:	nafos+iy
        GLOSS:	same/self/selves/soul/souls+my

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P14W7
      OFFSETS:	24-25
       TOKENS:	P14W8-P14W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wi_1]
   UNSPLITVOC:	(wi)
          POS:	CONJ
          VOC:	wi
        GLOSS:	and/particle introducing an oath

 INPUT STRING:	بس
     IS_TRANS:	bs
        INDEX:	P14W8
      OFFSETS:	26-28
       TOKENS:	P14W9-P14W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bas~_1]
   UNSPLITVOC:	(bas~)
          POS:	ADV
          VOC:	bas~
        GLOSS:	only

 INPUT STRING:	كده
     IS_TRANS:	kdh
        INDEX:	P14W9
      OFFSETS:	29-32
       TOKENS:	P14W10-P14W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kidA_1]
   UNSPLITVOC:	(kidap)
          POS:	NOUN
          VOC:	kidA
        GLOSS:	this/like/something like/like that/such/that way/that

 INPUT STRING:	اه
     IS_TRANS:	Ah
        INDEX:	P15W1
      OFFSETS:	0-2
       TOKENS:	P15W1-P15W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[|ah_1]
   UNSPLITVOC:	(|ah)
          POS:	INTERJ
          VOC:	|ah
        GLOSS:	yes

 INPUT STRING:	بحب
     IS_TRANS:	bHb
        INDEX:	P15W2
      OFFSETS:	3-6
       TOKENS:	P15W2-P15W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hab~_1]
   UNSPLITVOC:	(baHib~)
          POS:	PROG_PART+IV1S+IV
          VOC:	bi+Aa+Hib~
        GLOSS:	[present-tense]+I+love/like/want

 INPUT STRING:	اوي
     IS_TRANS:	Awy
        INDEX:	P15W3
      OFFSETS:	7-10
       TOKENS:	P15W4-P15W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qawiy_1]
   UNSPLITVOC:	(>awiy)
          POS:	ADJ
          VOC:	qawiy
        GLOSS:	powerful/strong

 INPUT STRING:	حاجات
     IS_TRANS:	HAjAt
        INDEX:	P15W4
      OFFSETS:	11-16
       TOKENS:	P15W5-P15W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAjap_1]
   UNSPLITVOC:	(HAjAt)
          POS:	NOUN+NSUFF_FEM_PL
          VOC:	HAj+At
        GLOSS:	need/needs/thing/belongings+[fem.pl.]

 INPUT STRING:	بيتي
     IS_TRANS:	byty
        INDEX:	P15W5
      OFFSETS:	17-21
       TOKENS:	P15W6-P15W6
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(byty)
          POS:	FOREIGN
          VOC:	byty
        GLOSS:	nogloss

 INPUT STRING:	كويكر
     IS_TRANS:	kwykr
        INDEX:	P15W6
      OFFSETS:	22-27
       TOKENS:	P15W7-P15W7
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(kwykr)
          POS:	FOREIGN
          VOC:	kwykr
        GLOSS:	nogloss

 INPUT STRING:	دي
     IS_TRANS:	dy
        INDEX:	P15W7
      OFFSETS:	28-30
       TOKENS:	P15W8-P15W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[diy_1]
   UNSPLITVOC:	(diy)
          POS:	DEM_PRON_FS
          VOC:	diy
        GLOSS:	this

 INPUT STRING:	تحفه
     IS_TRANS:	tHfh
        INDEX:	P16W1
      OFFSETS:	0-4
       TOKENS:	P16W1-P16W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tuHofap_1]
   UNSPLITVOC:	(tuHofap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	tuHof+ap
        GLOSS:	gift/museum article/gifts/museum articles+[fem.sg.]

 INPUT STRING:	اوي
     IS_TRANS:	Awy
        INDEX:	P17W1
      OFFSETS:	0-3
       TOKENS:	P17W1-P17W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qawiy_1]
   UNSPLITVOC:	(Aawiy)
          POS:	NOUN
          VOC:	qawiy
        GLOSS:	very/much/powerful/very much/strong

 INPUT STRING:	كل
     IS_TRANS:	kl
        INDEX:	P18W1
      OFFSETS:	0-2
       TOKENS:	P18W1-P18W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(kul~)
          POS:	NOUN_QUANT
          VOC:	kul~
        GLOSS:	all/entire/every/whole

 INPUT STRING:	انواعها
     IS_TRANS:	AnwAEhA
        INDEX:	P18W2
      OFFSETS:	3-10
       TOKENS:	P18W2-P18W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nuwE_1]
   UNSPLITVOC:	(>anowAEhA)
          POS:	NOUN+POSS_PRON_3FS
          VOC:	>anowAE+hA
        GLOSS:	forms/kind/types/type/kinds/form+its/their/her

 INPUT STRING:	بتسعفني
     IS_TRANS:	btsEfny
        INDEX:	P19W1
      OFFSETS:	0-7
       TOKENS:	P19W1-P19W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[saEaf_1]
   UNSPLITVOC:	(bitisoEifniy)
          POS:	PROG_PART+IV3FS+IV+IVSUFF_DO:1S
          VOC:	bi+ti+soEif+niy
        GLOSS:	[present-tense]+it/they/she+help+me

 INPUT STRING:	اوي
     IS_TRANS:	Awy
        INDEX:	P19W2
      OFFSETS:	8-11
       TOKENS:	P19W4-P19W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qawiy_1]
   UNSPLITVOC:	(>awiy)
          POS:	ADJ
          VOC:	qawiy
        GLOSS:	powerful/strong

 INPUT STRING:	مع
     IS_TRANS:	mE
        INDEX:	P19W3
      OFFSETS:	12-14
       TOKENS:	P19W5-P19W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maEa_1]
   UNSPLITVOC:	(maEa)
          POS:	NOUN
          VOC:	maEa
        GLOSS:	with

 INPUT STRING:	الولاد
     IS_TRANS:	AlwlAd
        INDEX:	P19W4
      OFFSETS:	15-21
       TOKENS:	P19W6-P19W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[walad_1]
   UNSPLITVOC:	(AlwilAd)
          POS:	DET+NOUN
          VOC:	Al+wilAd
        GLOSS:	the+child/son/children

 INPUT STRING:	بالضبط
     IS_TRANS:	bAlDbT
        INDEX:	P20W1
      OFFSETS:	0-6
       TOKENS:	P20W1-P20W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DaboT_1]
   UNSPLITVOC:	(biAlDaboT)
          POS:	PREP+DET+NOUN
          VOC:	bi+Al+DaboT
        GLOSS:	with/by+the+adjusting/regulating/precision/seizure/confiscation

 INPUT STRING:	لما
     IS_TRANS:	lmA
        INDEX:	P21W1
      OFFSETS:	0-3
       TOKENS:	P21W1-P21W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lam~A_1]
   UNSPLITVOC:	(lam~A)
          POS:	SUB_CONJ
          VOC:	lam~A
        GLOSS:	as/when

 INPUT STRING:	يكونوا
     IS_TRANS:	ykwnwA
        INDEX:	P21W2
      OFFSETS:	4-10
       TOKENS:	P21W2-P21W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(yikuwnuwA)
          POS:	IV3P+IV+IVSUFF_SUBJ:P
          VOC:	yi+kuwn+uwA
        GLOSS:	they+be/was/were+[pl.]

 INPUT STRING:	عايزين
     IS_TRANS:	EAyzyn
        INDEX:	P21W3
      OFFSETS:	11-17
       TOKENS:	P21W3-P21W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EAyiz_1]
   UNSPLITVOC:	(EAyoziyn)
          POS:	ADJ+NSUFF_MASC_PL
          VOC:	EAyoz+iyn
        GLOSS:	needing/liking/requiring/wanting/desiring+[pl.]

 INPUT STRING:	كيكه
     IS_TRANS:	kykh
        INDEX:	P21W4
      OFFSETS:	18-22
       TOKENS:	P21W4-P21W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[kiykap_1]
   UNSPLITVOC:	(kiykap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	kiyk+ap
        GLOSS:	cake+[fem.sg.]

 INPUT STRING:	مبتخدش
     IS_TRANS:	mbtxd$
        INDEX:	P22W1
      OFFSETS:	0-6
       TOKENS:	P22W1-P22W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>axud_1]
   UNSPLITVOC:	(ma_bitaxud$)
          POS:	NEG_PART+PROG_PART+IV3FS+IV+NEG_PART
          VOC:	mA+bi+ta+xud+$
        GLOSS:	not+[present-tense]+it/they/she+take/begine+not

 INPUT STRING:	وقت
     IS_TRANS:	wqt
        INDEX:	P22W2
      OFFSETS:	7-10
       TOKENS:	P22W5-P22W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[waqot_1]
   UNSPLITVOC:	(waqot)
          POS:	NOUN
          VOC:	waqot
        GLOSS:	time/moment/period of time/moments/times

 INPUT STRING:	خالص
     IS_TRANS:	xAlS
        INDEX:	P23W1
      OFFSETS:	0-4
       TOKENS:	P23W1-P23W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xAliS_1]
   UNSPLITVOC:	(xAliS)
          POS:	ADJ
          VOC:	xAliS
        GLOSS:	pure/clear/sincere

 INPUT STRING:	فثوانى
     IS_TRANS:	fvwAnY
        INDEX:	P24W1
      OFFSETS:	0-6
       TOKENS:	P24W1-P24W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[vAnoyap_1]
   UNSPLITVOC:	(favawAniy)
          POS:	CONJ+NOUN
          VOC:	fa+vawAniy
        GLOSS:	so/and+seconds

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P24W2
      OFFSETS:	7-8
       TOKENS:	P24W3-P24W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wi_1]
   UNSPLITVOC:	(wi)
          POS:	CONJ
          VOC:	wi
        GLOSS:	and/particle introducing an oath

 INPUT STRING:	لو
     IS_TRANS:	lw
        INDEX:	P24W3
      OFFSETS:	9-11
       TOKENS:	P24W4-P24W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[law_1]
   UNSPLITVOC:	(law)
          POS:	SUB_CONJ
          VOC:	law
        GLOSS:	if

 INPUT STRING:	ضيوف
     IS_TRANS:	Dywf
        INDEX:	P24W4
      OFFSETS:	12-16
       TOKENS:	P24W5-P24W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[Diyf_1]
   UNSPLITVOC:	(Duyuwf)
          POS:	NOUN
          VOC:	Duyuwf
        GLOSS:	guest/visitor/guests/visitors

 INPUT STRING:	فجاه
     IS_TRANS:	fjAh
        INDEX:	P24W5
      OFFSETS:	17-21
       TOKENS:	P24W6-P24W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fajo>ap_1]
   UNSPLITVOC:	(fajo>ap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	fajo>+ap
        GLOSS:	suddenly+[fem.sg.]

 INPUT STRING:	بخليها
     IS_TRANS:	bxlyhA
        INDEX:	P25W1
      OFFSETS:	0-6
       TOKENS:	P25W1-P25W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xal~aY_1]
   UNSPLITVOC:	(baxal~iyhA)
          POS:	PROG_PART+IV1S+IV+IVSUFF_DO:3FS
          VOC:	bi+Aa+xal~iy+hA
        GLOSS:	[present-tense]+I+release/evacuate/allow/be released/be evacuated/be allowed+it/them/her

 INPUT STRING:	عندى
     IS_TRANS:	EndY
        INDEX:	P25W2
      OFFSETS:	7-11
       TOKENS:	P25W4-P25W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eanod_1]
   UNSPLITVOC:	(Eanodiy)
          POS:	NOUN+POSS_PRON_1S
          VOC:	Eanod+iy
        GLOSS:	at/have/possession/with+my

 INPUT STRING:	علطول
     IS_TRANS:	ElTwl
        INDEX:	P25W3
      OFFSETS:	12-17
       TOKENS:	P25W6-P25W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Tuwl_1]
   UNSPLITVOC:	(Eala_Tuwl)
          POS:	PREP+NOUN
          VOC:	EalaY+Tuwl
        GLOSS:	on/above+length/height/lengths/heights

 INPUT STRING:	بتنزل
     IS_TRANS:	btnzl
        INDEX:	P26W1
      OFFSETS:	0-5
       TOKENS:	P26W1-P26W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[naz~il_1]
   UNSPLITVOC:	(bitinaz~il)
          POS:	PROG_PART+IV3FS+IV
          VOC:	bi+ti+naz~il
        GLOSS:	[present-tense]+it/they/she+release/make descend/descend/bring down/lower/put on the market

 INPUT STRING:	عرض
     IS_TRANS:	ErD
        INDEX:	P26W2
      OFFSETS:	6-9
       TOKENS:	P26W3-P26W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EaroD_1]
   UNSPLITVOC:	(EaroD)
          POS:	NOUN
          VOC:	EaroD
        GLOSS:	presentation/display/review/show/offer/presentations/shows/reviews

 INPUT STRING:	اصلا
     IS_TRANS:	ASlA
        INDEX:	P26W3
      OFFSETS:	10-14
       TOKENS:	P26W4-P26W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aSol_1]
   UNSPLITVOC:	(>aSolAF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	>aSol+AF
        GLOSS:	origin/source/root/origins/sources/principles/originally/primarily+[acc.indef.]

 INPUT STRING:	كل
     IS_TRANS:	kl
        INDEX:	P26W4
      OFFSETS:	15-17
       TOKENS:	P26W5-P26W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(kul~)
          POS:	NOUN_QUANT
          VOC:	kul~
        GLOSS:	all/entire/every/whole

 INPUT STRING:	فتره
     IS_TRANS:	ftrh
        INDEX:	P26W5
      OFFSETS:	18-22
       TOKENS:	P26W6-P26W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fatorap_1]
   UNSPLITVOC:	(fatorap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	fator+ap
        GLOSS:	phase/time period/interval/phases/time periods/intervals+[fem.sg.]

 INPUT STRING:	ال
     IS_TRANS:	Al
        INDEX:	P27W1
      OFFSETS:	0-2
       TOKENS:	P27W1-P27W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Al_1]
   UNSPLITVOC:	(Al)
          POS:	DET
          VOC:	Al
        GLOSS:	the/for

 INPUT STRING:	3
     IS_TRANS:	3
        INDEX:	P27W2
      OFFSETS:	3-4
       TOKENS:	P27W2-P27W2
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(3)
          POS:	NOUN_NUM
          VOC:	3
        GLOSS:	3

 INPUT STRING:	packs
     IS_TRANS:	packs
        INDEX:	P27W3
      OFFSETS:	5-10
       TOKENS:	P27W3-P27W3
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(packs)
          POS:	TRANSLIT_ERR
          VOC:	packs
        GLOSS:	packs

 INPUT STRING:	هي
     IS_TRANS:	hy
        INDEX:	P28W1
      OFFSETS:	0-2
       TOKENS:	P28W1-P28W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hiy~a_1]
   UNSPLITVOC:	(hiy~a)
          POS:	PRON_3FS
          VOC:	hiy~a
        GLOSS:	it/they/she

 INPUT STRING:	تحفة
     IS_TRANS:	tHfp
        INDEX:	P28W2
      OFFSETS:	3-7
       TOKENS:	P28W2-P28W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tuHofap_1]
   UNSPLITVOC:	(tuHofap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	tuHof+ap
        GLOSS:	gift/museum article/gifts/museum articles+[fem.sg.]

 INPUT STRING:	الصراحة
     IS_TRANS:	AlSrAHp
        INDEX:	P28W3
      OFFSETS:	8-15
       TOKENS:	P28W3-P28W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[SarAHap_1]
   UNSPLITVOC:	(AlSarAHap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+SarAH+ap
        GLOSS:	the+sincerity/candor/frankness/explicitly/openly+[fem.sg.]

 INPUT STRING:	لسه
     IS_TRANS:	lsh
        INDEX:	P29W1
      OFFSETS:	0-3
       TOKENS:	P29W1-P29W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lis~ah_1]
   UNSPLITVOC:	(lis~ah)
          POS:	ADV
          VOC:	lis~ah
        GLOSS:	yet

 INPUT STRING:	مجبتش
     IS_TRANS:	mjbt$
        INDEX:	P29W2
      OFFSETS:	4-9
       TOKENS:	P29W2-P29W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jAb_1]
   UNSPLITVOC:	(mA_jibti$)
          POS:	NEG_PART+PV+PVSUFF_SUBJ:1S+NEG_PART
          VOC:	mA+jib+t+$
        GLOSS:	not+explore/traverse/bring+I+not

 INPUT STRING:	التشيز
     IS_TRANS:	Alt$yz
        INDEX:	P29W3
      OFFSETS:	10-16
       TOKENS:	P29W5-P29W5
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(Alt$yz)
          POS:	FOREIGN
          VOC:	Alt$yz
        GLOSS:	nogloss

 INPUT STRING:	كيك
     IS_TRANS:	kyk
        INDEX:	P29W4
      OFFSETS:	17-20
       TOKENS:	P29W6-P29W6
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(kyk)
          POS:	FOREIGN
          VOC:	kyk
        GLOSS:	nogloss

 INPUT STRING:	بتاعتهم
     IS_TRANS:	btAEthm
        INDEX:	P29W5
      OFFSETS:	21-28
       TOKENS:	P29W7-P29W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bitAEap_1]
   UNSPLITVOC:	(bitAEithum)
          POS:	NOUN+NSUFF_FEM_SG+POSS_PRON_3P
          VOC:	bitAE+ap+hum
        GLOSS:	owning/belonging/thing+[fem.sg.]+their

 INPUT STRING:	الجديده
     IS_TRANS:	Aljdydh
        INDEX:	P29W6
      OFFSETS:	29-36
       TOKENS:	P29W9-P29W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jidiyd_1]
   UNSPLITVOC:	(Aljidiydap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+jidiyd+ap
        GLOSS:	the+new/modern/recent/again/anew/brand new/junior/inexperienced+[fem.sg.]

 INPUT STRING:	بس
     IS_TRANS:	bs
        INDEX:	P29W7
      OFFSETS:	37-39
       TOKENS:	P29W10-P29W10
