 INPUT STRING:	واقف
      OFFSETS:	12-16
       TOKENS:	P49W6-P49W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baroDuh_1]
   UNSPLITVOC:	(baroDuh)
          POS:	ADV
          VOC:	baroDuh
        GLOSS:	also

 INPUT STRING:	الله
     IS_TRANS:	Allh
        INDEX:	P49W6
      OFFSETS:	17-21
       TOKENS:	P49W7-P49W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(All~ah)
          POS:	NOUN_PROP
          VOC:	All~ah
        GLOSS:	Allah/God

 INPUT STRING:	لو
     IS_TRANS:	lw
        INDEX:	P49W7
      OFFSETS:	22-24
       TOKENS:	P49W8-P49W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[law_1]
   UNSPLITVOC:	(law)
          POS:	SUB_CONJ
          VOC:	law
        GLOSS:	if

 INPUT STRING:	ما
     IS_TRANS:	mA
        INDEX:	P49W8
      OFFSETS:	25-27
       TOKENS:	P49W9-P49W9
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(mA)
          POS:	FOREIGN
          VOC:	mA
        GLOSS:	nogloss

 INPUT STRING:	منه
     IS_TRANS:	mnh
        INDEX:	P49W9
      OFFSETS:	28-31
       TOKENS:	P49W10-P49W10
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(mnh)
          POS:	FOREIGN
          VOC:	mnh
        GLOSS:	nogloss

 INPUT STRING:	كوت
     IS_TRANS:	kwt
        INDEX:	P49W10
      OFFSETS:	32-35
       TOKENS:	P49W11-P49W11
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(kwt)
          POS:	FOREIGN
          VOC:	kwt
        GLOSS:	nogloss

 INPUT STRING:	وبتاع
     IS_TRANS:	wbtAE
        INDEX:	P49W11
      OFFSETS:	36-41
       TOKENS:	P49W12-P49W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bitAE_1]
   UNSPLITVOC:	(wibitAE)
          POS:	CONJ+NOUN
          VOC:	wi+bitAE
        GLOSS:	and+owners/something/belongings

 INPUT STRING:	#
     IS_TRANS:	#
        INDEX:	P49W12
      OFFSETS:	42-43
       TOKENS:	P49W14-P49W14
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(#)
          POS:	PUNC
          VOC:	#
        GLOSS:	#

 INPUT STRING:	ولا
     IS_TRANS:	wlA
        INDEX:	P50W1
      OFFSETS:	0-3
       TOKENS:	P50W1-P50W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[lA_3]
   UNSPLITVOC:	(walA)
          POS:	CONJ+PSEUDO_VERB
          VOC:	wa+lA
        GLOSS:	and+no

 INPUT STRING:	كوت
     IS_TRANS:	kwt
        INDEX:	P50W2
      OFFSETS:	4-7
       TOKENS:	P50W3-P50W3
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(kwt)
          POS:	FOREIGN
          VOC:	kwt
        GLOSS:	nogloss

 INPUT STRING:	ولا
     IS_TRANS:	wlA
        INDEX:	P50W3
      OFFSETS:	8-11
       TOKENS:	P50W4-P50W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[lA_3]
   UNSPLITVOC:	(walA)
          POS:	CONJ+PSEUDO_VERB
          VOC:	wa+lA
        GLOSS:	and+no

 INPUT STRING:	حاجة
     IS_TRANS:	HAjp
        INDEX:	P50W4
      OFFSETS:	12-16
       TOKENS:	P50W6-P50W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAjap_1]
   UNSPLITVOC:	(HAjap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	HAj+ap
        GLOSS:	need/needs/thing/belongings+[fem.sg.]

 INPUT STRING:	إيه
     IS_TRANS:	<yh
        INDEX:	P51W1
      OFFSETS:	0-3
       TOKENS:	P51W1-P51W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<iyh_2]
   UNSPLITVOC:	(<iyh)
          POS:	INTERROG_PRON
          VOC:	<iyh
        GLOSS:	what

 INPUT STRING:	ده
     IS_TRANS:	dh
        INDEX:	P51W2
      OFFSETS:	4-6
       TOKENS:	P51W2-P51W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dah_1]
   UNSPLITVOC:	(dah)
          POS:	DEM_PRON_MS
          VOC:	dah
        GLOSS:	this

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P51W3
      OFFSETS:	6-7
       TOKENS:	P51W3-P51W3
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	يعني
     IS_TRANS:	yEny
        INDEX:	P51W4
      OFFSETS:	8-12
       TOKENS:	P51W4-P51W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EanaY_1]
   UNSPLITVOC:	(yaEoniy)
          POS:	IV3MS+IV
          VOC:	ya+Eoniy
        GLOSS:	he/it+mean/signify/concern/be meant/be signified/be concerned (with)

 INPUT STRING:	نصين
     IS_TRANS:	nSyn
        INDEX:	P51W5
      OFFSETS:	13-17
       TOKENS:	P51W5-P51W5
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(nSyn)
          POS:	FOREIGN
          VOC:	nSyn
        GLOSS:	nogloss

 INPUT STRING:	خالص
     IS_TRANS:	xAlS
        INDEX:	P51W6
      OFFSETS:	18-22
       TOKENS:	P51W6-P51W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xAliS_1]
   UNSPLITVOC:	(xAliS)
          POS:	ADJ
          VOC:	xAliS
        GLOSS:	pure/clear/sincere

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P51W7
      OFFSETS:	22-23
       TOKENS:	P51W7-P51W7
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	#
     IS_TRANS:	#
        INDEX:	P51W8
      OFFSETS:	24-25
       TOKENS:	P51W8-P51W8
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(#)
          POS:	PUNC
          VOC:	#
        GLOSS:	#

 INPUT STRING:	آه
     IS_TRANS:	|h
        INDEX:	P52W1
      OFFSETS:	0-2
       TOKENS:	P52W1-P52W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[|ah_1]
   UNSPLITVOC:	(|ah)
          POS:	INTERJ
          VOC:	|ah
        GLOSS:	yes

 INPUT STRING:	بأقول
     IS_TRANS:	b>qwl
        INDEX:	P53W1
      OFFSETS:	0-5
       TOKENS:	P53W1-P53W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(bAaquwl)
          POS:	PROG_PART+IV1S+IV
          VOC:	bi+Aa+quwl
        GLOSS:	[present-tense]+I+said/say/be said/(for example)

 INPUT STRING:	لك
     IS_TRANS:	lk
        INDEX:	P53W2
      OFFSETS:	6-8
       TOKENS:	P53W3-P53W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[li_1]
   UNSPLITVOC:	(lik)
          POS:	PREP+PRON_2FS
          VOC:	li+ik
        GLOSS:	to/him (it/he has)/them/her (it/she has/they have)/for+you

 INPUT STRING:	معقدة
     IS_TRANS:	mEqdp
        INDEX:	P53W3
      OFFSETS:	9-14
       TOKENS:	P53W5-P53W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[muEaq~ad_1]
   UNSPLITVOC:	(muEaq~adap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	muEaq~ad+ap
        GLOSS:	complicated/intricate+[fem.sg.]

 INPUT STRING:	والله
     IS_TRANS:	wAllh
        INDEX:	P53W4
      OFFSETS:	15-20
       TOKENS:	P53W6-P53W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(waAll~ahi)
          POS:	PREP+NOUN_PROP
          VOC:	wa+All~ah
        GLOSS:	by+Allah/God

 INPUT STRING:	حاجة
     IS_TRANS:	HAjp
        INDEX:	P54W1
      OFFSETS:	0-4
       TOKENS:	P54W1-P54W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAjap_1]
   UNSPLITVOC:	(HAjap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	HAj+ap
        GLOSS:	need/needs/thing/belongings+[fem.sg.]

 INPUT STRING:	حزينة
     IS_TRANS:	Hzynp
        INDEX:	P54W2
      OFFSETS:	5-10
       TOKENS:	P54W2-P54W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Haziyn_1]
   UNSPLITVOC:	(Haziynap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	Haziyn+ap
        GLOSS:	sad/mourning+[fem.sg.]

 INPUT STRING:	إن
     IS_TRANS:	<n
        INDEX:	P54W3
      OFFSETS:	11-13
       TOKENS:	P54W3-P54W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~)
          POS:	SUB_CONJ
          VOC:	<in~
        GLOSS:	that

 INPUT STRING:	واحدة
     IS_TRANS:	wAHdp
        INDEX:	P54W4
      OFFSETS:	14-19
       TOKENS:	P54W4-P54W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[wAHid_1]
   UNSPLITVOC:	(wAHodap)
          POS:	NOUN_NUM+NSUFF_FEM_SG
          VOC:	wAHod+ap
        GLOSS:	one+[fem.sg.]

 INPUT STRING:	بتقول
     IS_TRANS:	btqwl
        INDEX:	P54W5
      OFFSETS:	20-25
       TOKENS:	P54W5-P54W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(bitiquwl)
          POS:	PROG_PART+IV3FS+IV
          VOC:	bi+ti+quwl
        GLOSS:	[present-tense]+it/they/she+said/say/be said/(for example)

 INPUT STRING:	لواحد
     IS_TRANS:	lwAHd
        INDEX:	P54W6
      OFFSETS:	26-31
       TOKENS:	P54W7-P54W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wAHid_1]
   UNSPLITVOC:	(liwAHid)
          POS:	PREP+NOUN_NUM
          VOC:	li+wAHid
        GLOSS:	for/to+one

 INPUT STRING:	بما
     IS_TRANS:	bmA
        INDEX:	P54W7
      OFFSETS:	32-35
       TOKENS:	P54W9-P54W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[mA_8]
   UNSPLITVOC:	(bimA)
          POS:	PREP+SUB_CONJ
          VOC:	bi+mA
        GLOSS:	that/if/unless/whether/as long as/as soon as+gloss

 INPUT STRING:	معناه
     IS_TRANS:	mEnAh
        INDEX:	P54W8
      OFFSETS:	36-41
       TOKENS:	P54W11-P54W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maEonaY_1]
   UNSPLITVOC:	(maEonAh)
          POS:	NOUN+POSS_PRON_3MS
          VOC:	maEonA+uh
        GLOSS:	meaning/sense/meanings/senses/concepts/nuances+his/its

 INPUT STRING:	انا
     IS_TRANS:	AnA
        INDEX:	P54W9
      OFFSETS:	42-45
       TOKENS:	P54W13-P54W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(AnA)
          POS:	PRON_1S
          VOC:	AnA
        GLOSS:	I/me

 INPUT STRING:	متربية
     IS_TRANS:	mtrbyp
        INDEX:	P54W10
      OFFSETS:	46-52
       TOKENS:	P54W14-P54W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mitorab~iy_1]
   UNSPLITVOC:	(mitorab~iyap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	mitorab~iy+ap
        GLOSS:	well-mannered/well-bred+[fem.sg.]

 INPUT STRING:	وبأخاف
     IS_TRANS:	wb>xAf
        INDEX:	P54W11
      OFFSETS:	53-59
       TOKENS:	P54W15-P54W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xAf_1]
   UNSPLITVOC:	(wibAaxAf)
          POS:	CONJ+PROG_PART+IV1S+IV
          VOC:	wi+bi+Aa+xAf
        GLOSS:	and+[present-tense]+I+fear/be afraid (of)/fear for/be worried (of)

 INPUT STRING:	ربي
     IS_TRANS:	rby
        INDEX:	P54W12
      OFFSETS:	60-63
       TOKENS:	P54W18-P54W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rab~_1]
   UNSPLITVOC:	(rab~iy)
          POS:	NOUN+POSS_PRON_1S
          VOC:	rab~+iy
        GLOSS:	lord/master/lords/masters/owner/proprietor/owners/proprietors+my

 INPUT STRING:	وتبرر
     IS_TRANS:	wtbrr
        INDEX:	P54W13
      OFFSETS:	64-69
       TOKENS:	P54W20-P54W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bar~ar_1]
   UNSPLITVOC:	(witibar~ar)
          POS:	CONJ+IV3FS+IV
          VOC:	wi+ti+bar~ar
        GLOSS:	and+it/they/she+justify/warrant/vindicate/acquit/be justified/be warranted

 INPUT STRING:	كده
     IS_TRANS:	kdh
        INDEX:	P54W14
      OFFSETS:	70-73
       TOKENS:	P54W22-P54W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kidah_1]
   UNSPLITVOC:	(kidah)
          POS:	NOUN
          VOC:	kidah
        GLOSS:	this/after all that time/in this way/approximately/like that/as such/that/like

 INPUT STRING:	وتقول
     IS_TRANS:	wtqwl
        INDEX:	P54W15
      OFFSETS:	74-79
       TOKENS:	P54W23-P54W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(witiquwl)
          POS:	CONJ+IV3FS+IV
          VOC:	wi+ti+quwl
        GLOSS:	and+it/they/she+said/say/be said/(for example)

 INPUT STRING:	معقده
     IS_TRANS:	mEqdh
        INDEX:	P54W16
      OFFSETS:	80-85
       TOKENS:	P54W25-P54W25
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[muEaq~ad_1]
   UNSPLITVOC:	(muEaq~adap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	muEaq~ad+ap
        GLOSS:	complicated/intricate+[fem.sg.]

 INPUT STRING:	إحم
     IS_TRANS:	<Hm
        INDEX:	P55W1
      OFFSETS:	0-3
       TOKENS:	P55W1-P55W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<iHim_1]
   UNSPLITVOC:	(<iHim)
          POS:	VERB
          VOC:	<iHim
        GLOSS:	excuse me

 INPUT STRING:	أو
     IS_TRANS:	>w
        INDEX:	P55W2
      OFFSETS:	4-6
       TOKENS:	P55W2-P55W2
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(>w)
          POS:	FOREIGN
          VOC:	>w
        GLOSS:	nogloss

 INPUT STRING:	سقيتي
     IS_TRANS:	sqyty
        INDEX:	P55W3
      OFFSETS:	7-12
       TOKENS:	P55W3-P55W3
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(sqyty)
          POS:	FOREIGN
          VOC:	sqyty
        GLOSS:	nogloss

 INPUT STRING:	ولا
     IS_TRANS:	wlA
        INDEX:	P56W1
      OFFSETS:	0-3
       TOKENS:	P56W1-P56W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wal~A_1]
   UNSPLITVOC:	(wal~A)
          POS:	CONJ
          VOC:	wal~A
        GLOSS:	or

 INPUT STRING:	انت
     IS_TRANS:	Ant
        INDEX:	P56W2
      OFFSETS:	4-7
       TOKENS:	P56W2-P56W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ainota_1]
   UNSPLITVOC:	(Ainota)
          POS:	PRON_2MS
          VOC:	Ainota
        GLOSS:	you [masc.sg.]/you/masculine

 INPUT STRING:	إيه
     IS_TRANS:	<yh
        INDEX:	P56W3
      OFFSETS:	8-11
       TOKENS:	P56W3-P56W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<iyh_2]
   UNSPLITVOC:	(<iyh)
          POS:	INTERROG_PRON
          VOC:	<iyh
        GLOSS:	what

 INPUT STRING:	رأيك
     IS_TRANS:	r>yk
        INDEX:	P56W4
      OFFSETS:	12-16
       TOKENS:	P56W4-P56W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ra>oy_1]
   UNSPLITVOC:	(ra>oyik)
          POS:	NOUN+POSS_PRON_2FS
          VOC:	ra>oy+ik
        GLOSS:	opinion/view/idea/opinions/views/ideas+your

 INPUT STRING:	بترحع
     IS_TRANS:	btrHE
        INDEX:	P57W1
      OFFSETS:	0-5
       TOKENS:	P57W1-P57W1
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(btrHE)
          POS:	TYPO
          VOC:	btrHE
        GLOSS:	nogloss

 INPUT STRING:	لورا
     IS_TRANS:	lwrA
        INDEX:	P57W2
      OFFSETS:	6-10
       TOKENS:	P57W2-P57W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[warA_1]
   UNSPLITVOC:	(liwarA)
          POS:	PREP+NOUN
          VOC:	li+warA
        GLOSS:	for/to+behind

 INPUT STRING:	بنرجع
     IS_TRANS:	bnrjE
        INDEX:	P57W3
      OFFSETS:	11-16
       TOKENS:	P57W4-P57W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rijiE_1]
   UNSPLITVOC:	(binirojaE)
          POS:	PROG_PART+IV1P+IV
          VOC:	bi+ni+rojaE
        GLOSS:	[present-tense]+we+come back/go back/return back/return

 INPUT STRING:	وش
     IS_TRANS:	w$
        INDEX:	P58W1
      OFFSETS:	0-2
       TOKENS:	P58W1-P58W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wi$~_1]
   UNSPLITVOC:	(wi$~)
          POS:	NOUN
          VOC:	wi$~
        GLOSS:	faces

 INPUT STRING:	أكيد
     IS_TRANS:	>kyd
        INDEX:	P58W2
      OFFSETS:	3-7
       TOKENS:	P58W2-P58W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>akiyd_1]
   UNSPLITVOC:	(>akiyd)
          POS:	ADJ
          VOC:	>akiyd
        GLOSS:	certain/definite/certainly/surely/definitely

 INPUT STRING:	كملي
     IS_TRANS:	kmly
        INDEX:	P59W1
      OFFSETS:	0-4
       TOKENS:	P59W1-P59W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kam~il_1]
   UNSPLITVOC:	(kam~iliy)
          POS:	CV+CVSUFF_SUBJ:2FS
          VOC:	kam~il+iy
        GLOSS:	complete/finish+you

 INPUT STRING:	أسئله
     IS_TRANS:	>s}lh
        INDEX:	P59W2
      OFFSETS:	5-10
       TOKENS:	P59W2-P59W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[su&Al_1]
   UNSPLITVOC:	(>aso}ilap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	>aso}il+ap
        GLOSS:	question/inquiry/questions/inquiries+[fem.sg.]

 INPUT STRING:	w8
     IS_TRANS:	w8
        INDEX:	P60W1
      OFFSETS:	0-2
       TOKENS:	P60W1-P60W1
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(w8)
          POS:	FOREIGN
          VOC:	w8
        GLOSS:	nogloss

 INPUT STRING:	ثواني
     IS_TRANS:	vwAny
        INDEX:	P60W2
      OFFSETS:	3-8
       TOKENS:	P60W2-P60W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[vAnoyap_1]
   UNSPLITVOC:	(vawAniy)
          POS:	NOUN
          VOC:	vawAniy
        GLOSS:	seconds (time span)

 INPUT STRING:	بس
     IS_TRANS:	bs
        INDEX:	P60W3
      OFFSETS:	9-11
       TOKENS:	P60W3-P60W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bas~_1]
   UNSPLITVOC:	(bas~)
          POS:	ADV
          VOC:	bas~
        GLOSS:	only

 INPUT STRING:	معلش
     IS_TRANS:	mEl$
        INDEX:	P60W4
      OFFSETS:	12-16
       TOKENS:	P60W4-P60W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maEoli$~_1]
   UNSPLITVOC:	(maEoli$~)
          POS:	INTERJ
          VOC:	maEoli$~
        GLOSS:	sorry/never mind

 INPUT STRING:	حاضر
     IS_TRANS:	HADr
        INDEX:	P61W1
      OFFSETS:	0-4
       TOKENS:	P61W1-P61W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HADir_1]
   UNSPLITVOC:	(HADir)
          POS:	ADJ
          VOC:	HADir
        GLOSS:	present/attending

 INPUT STRING:	معلش
     IS_TRANS:	mEl$
        INDEX:	P62W1
      OFFSETS:	0-4
       TOKENS:	P62W1-P62W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maEoli$~_1]
   UNSPLITVOC:	(maEoli$~)
          POS:	INTERJ
          VOC:	maEoli$~
        GLOSS:	sorry/never mind

 INPUT STRING:	بس
     IS_TRANS:	bs
        INDEX:	P62W2
      OFFSETS:	5-7
       TOKENS:	P62W2-P62W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[bas~_2]
   UNSPLITVOC:	(bas~)
          POS:	CONJ
          VOC:	bas~
        GLOSS:	but

 INPUT STRING:	بأشوف
     IS_TRANS:	b>$wf
        INDEX:	P62W3
      OFFSETS:	8-13
       TOKENS:	P62W3-P62W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$Af_1]
   UNSPLITVOC:	(bAa$uwf)
          POS:	PROG_PART+IV1S+IV
          VOC:	bi+Aa+$uwf
        GLOSS:	[present-tense]+I+look

 INPUT STRING:	الأسيغنمنت
     IS_TRANS:	Al>sygnmnt
        INDEX:	P62W4
      OFFSETS:	14-24
       TOKENS:	P62W5-P62W5
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(Al>sygnmnt)
          POS:	FOREIGN
          VOC:	Al>sygnmnt
        GLOSS:	nogloss

 INPUT STRING:	بتعلي
     IS_TRANS:	btEly
        INDEX:	P62W5
      OFFSETS:	25-30
       TOKENS:	P62W6-P62W6
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(btEly)
          POS:	TYPO
          VOC:	btEly
        GLOSS:	nogloss

 INPUT STRING:	الفيك
     IS_TRANS:	Alfyk
        INDEX:	P62W6
      OFFSETS:	31-36
       TOKENS:	P62W7-P62W7
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
