 INPUT STRING:	الووو
 INPUT STRING:	مقليش
     IS_TRANS:	mqly$
        INDEX:	P89W2
      OFFSETS:	3-8
       TOKENS:	P89W2-P89W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[qal_1]
   UNSPLITVOC:	(maqal~iy$)
          POS:	NEG_PART+PV+PVSUFF_SUBJ:3MS+PREP+PRON_1S+NEG_PART
          VOC:	ma+qal+(null)+li+iy+$
        GLOSS:	not+said/say/be said/(for example)+he/it+to/for+me+not

 INPUT STRING:	حاجة
     IS_TRANS:	HAjp
        INDEX:	P89W3
      OFFSETS:	9-13
       TOKENS:	P89W7-P89W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAjap_1]
   UNSPLITVOC:	(HAjap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	HAj+ap
        GLOSS:	need/needs/thing/belongings+[fem.sg.]

 INPUT STRING:	الحويي
     IS_TRANS:	AlHwyy
        INDEX:	P89W4
      OFFSETS:	14-20
       TOKENS:	P89W8-P89W8
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(AlHwyy)
          POS:	TYPO
          VOC:	AlHwyy
        GLOSS:	nogloss

 INPUT STRING:	اكتبيلي
     IS_TRANS:	Aktbyly
        INDEX:	P90W1
      OFFSETS:	0-7
       TOKENS:	P90W1-P90W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[katab_1]
   UNSPLITVOC:	(Aikotibiy_liy)
          POS:	CV+CVSUFF_SUBJ:2FS+PREP+PRON_1S
          VOC:	Aikotib+iy+li+iy
        GLOSS:	write/be written/be fated/be destined+you+to/for+I

 INPUT STRING:	تاني
     IS_TRANS:	tAny
        INDEX:	P90W2
      OFFSETS:	8-12
       TOKENS:	P90W4-P90W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tAniy_1]
   UNSPLITVOC:	(tAniy)
          POS:	ADJ
          VOC:	tAniy
        GLOSS:	second/next/II/secondly/thani/other/another/the last

 INPUT STRING:	الميل
     IS_TRANS:	Almyl
        INDEX:	P90W3
      OFFSETS:	13-18
       TOKENS:	P90W5-P90W5
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(Almyl)
          POS:	FOREIGN
          VOC:	Almyl
        GLOSS:	nogloss

 INPUT STRING:	بتاعك
     IS_TRANS:	btAEk
        INDEX:	P90W4
      OFFSETS:	19-24
       TOKENS:	P90W6-P90W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bitAE_1]
   UNSPLITVOC:	(bitAEik)
          POS:	NOUN+POSS_PRON_2FS
          VOC:	bitAE+ik
        GLOSS:	owners/something/belongings+your

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P90W5
      OFFSETS:	25-26
       TOKENS:	P90W8-P90W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wi_1]
   UNSPLITVOC:	(wi)
          POS:	CONJ
          VOC:	wi
        GLOSS:	and/particle introducing an oath

 INPUT STRING:	الباص
     IS_TRANS:	AlbAS
        INDEX:	P90W6
      OFFSETS:	27-32
       TOKENS:	P90W9-P90W9
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(AlbAS)
          POS:	FOREIGN
          VOC:	AlbAS
        GLOSS:	nogloss

 INPUT STRING:	وارد
     IS_TRANS:	wArd
        INDEX:	P90W7
      OFFSETS:	33-37
       TOKENS:	P90W10-P90W10
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(wArd)
          POS:	FOREIGN
          VOC:	wArd
        GLOSS:	nogloss

 INPUT STRING:	لا
     IS_TRANS:	lA
        INDEX:	P91W1
      OFFSETS:	0-2
       TOKENS:	P91W1-P91W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lA_1]
   UNSPLITVOC:	(lA)
          POS:	INTERJ
          VOC:	lA
        GLOSS:	no

 INPUT STRING:	ده
     IS_TRANS:	dh
        INDEX:	P91W2
      OFFSETS:	3-5
       TOKENS:	P91W2-P91W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dah_1]
   UNSPLITVOC:	(dah)
          POS:	DEM_PRON_MS
          VOC:	dah
        GLOSS:	this

 INPUT STRING:	كتير
     IS_TRANS:	ktyr
        INDEX:	P91W3
      OFFSETS:	6-10
       TOKENS:	P91W3-P91W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kitiyr_1]
   UNSPLITVOC:	(kitiyr)
          POS:	ADJ
          VOC:	kitiyr
        GLOSS:	numerous/many/several/much/a lot/very

 INPUT STRING:	المشكلة
     IS_TRANS:	Alm$klp
        INDEX:	P92W1
      OFFSETS:	0-7
       TOKENS:	P92W1-P92W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mu$okilap_1]
   UNSPLITVOC:	(Almu$okilap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+mu$okil+ap
        GLOSS:	the+problem/issue/problems/issues/inconveniences+[fem.sg.]

 INPUT STRING:	الكيبوردت
     IS_TRANS:	Alkybwrdt
        INDEX:	P92W2
      OFFSETS:	8-17
       TOKENS:	P92W2-P92W2
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(Alkybwrdt)
          POS:	FOREIGN
          VOC:	Alkybwrdt
        GLOSS:	nogloss

 INPUT STRING:	بتاعت
     IS_TRANS:	btAEt
        INDEX:	P92W3
      OFFSETS:	18-23
       TOKENS:	P92W3-P92W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bitAE_1]
   UNSPLITVOC:	(bitAEit)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	bitAE+ap
        GLOSS:	owners/something/belongings+[fem.sg.]

 INPUT STRING:	الاب
     IS_TRANS:	AlAb
        INDEX:	P92W4
      OFFSETS:	24-28
       TOKENS:	P92W4-P92W4
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(AlAb)
          POS:	TYPO
          VOC:	AlAb
        GLOSS:	nogloss

 INPUT STRING:	معلقة
     IS_TRANS:	mElqp
        INDEX:	P92W5
      OFFSETS:	29-34
       TOKENS:	P92W5-P92W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[miEal~aq_1]
   UNSPLITVOC:	(miEal~aqap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	miEal~aq+ap
        GLOSS:	suspended/pending/commenting/annotator/commentator/handicapped/trained/collecting+[fem.sg.]

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P92W6
      OFFSETS:	35-37
       TOKENS:	P92W6-P92W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	بتكتب
     IS_TRANS:	btktb
        INDEX:	P92W7
      OFFSETS:	38-43
       TOKENS:	P92W7-P92W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[katab_1]
   UNSPLITVOC:	(bitikotib)
          POS:	PROG_PART+IV3FS+IV
          VOC:	bi+ti+kotib
        GLOSS:	[present-tense]+it/they/she+write/be written/be fated/be destined

 INPUT STRING:	كل
     IS_TRANS:	kl
        INDEX:	P92W8
      OFFSETS:	44-46
       TOKENS:	P92W9-P92W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(kul~)
          POS:	NOUN_QUANT
          VOC:	kul~
        GLOSS:	all/entire/every/whole

 INPUT STRING:	الحروف
     IS_TRANS:	AlHrwf
        INDEX:	P92W9
      OFFSETS:	47-53
       TOKENS:	P92W10-P92W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Harof_1]
   UNSPLITVOC:	(AlHuruwf)
          POS:	DET+NOUN
          VOC:	Al+Huruwf
        GLOSS:	the+letter/letters

 INPUT STRING:	طيب
     IS_TRANS:	Tyb
        INDEX:	P93W1
      OFFSETS:	0-3
       TOKENS:	P93W1-P93W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Tay~ib_1]
   UNSPLITVOC:	(Tay~ib)
          POS:	NOUN
          VOC:	Tay~ib
        GLOSS:	pleasant/good things

 INPUT STRING:	ابعتهولي
     IS_TRANS:	AbEthwly
        INDEX:	P93W2
      OFFSETS:	4-12
       TOKENS:	P93W2-P93W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baEat_1]
   UNSPLITVOC:	(AiboEathu_liy)
          POS:	CV+CVSUFF_SUBJ:2MS+CVSUFF_DO:3MS+PREP+PRON_1S
          VOC:	AiboEat+(null)+uh+li+iy
        GLOSS:	send+you+it/him+to/for+I

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P93W3
      OFFSETS:	13-16
       TOKENS:	P93W6-P93W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[EalaY_2]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	الفيس
     IS_TRANS:	Alfys
        INDEX:	P93W4
      OFFSETS:	17-22
       TOKENS:	P93W7-P93W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiys_1]
   UNSPLITVOC:	(Alfiys)
          POS:	DET+NOUN
          VOC:	Al+fiys
        GLOSS:	the+facebook/face

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P93W5
      OFFSETS:	23-25
       TOKENS:	P93W8-P93W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	مسج
     IS_TRANS:	msj
        INDEX:	P93W6
      OFFSETS:	26-29
       TOKENS:	P93W9-P93W9
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(msj)
          POS:	FOREIGN
          VOC:	msj
        GLOSS:	nogloss

 INPUT STRING:	الميل
     IS_TRANS:	Almyl
        INDEX:	P94W1
      OFFSETS:	0-5
       TOKENS:	P94W1-P94W1
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(Almyl)
          POS:	FOREIGN
          VOC:	Almyl
        GLOSS:	nogloss

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P94W2
      OFFSETS:	6-7
       TOKENS:	P94W2-P94W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wi_1]
   UNSPLITVOC:	(wi)
          POS:	CONJ
          VOC:	wi
        GLOSS:	and/particle introducing an oath

 INPUT STRING:	الباص
     IS_TRANS:	AlbAS
        INDEX:	P94W3
      OFFSETS:	8-13
       TOKENS:	P94W3-P94W3
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(AlbAS)
          POS:	FOREIGN
          VOC:	AlbAS
        GLOSS:	nogloss

 INPUT STRING:	بتاعك
     IS_TRANS:	btAEk
        INDEX:	P94W4
      OFFSETS:	14-19
       TOKENS:	P94W4-P94W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bitAE_1]
   UNSPLITVOC:	(bitAEik)
          POS:	NOUN+POSS_PRON_2FS
          VOC:	bitAE+ik
        GLOSS:	owners/something/belongings+your

 INPUT STRING:	يالا
     IS_TRANS:	yAlA
        INDEX:	P95W1
      OFFSETS:	0-4
       TOKENS:	P95W1-P95W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[yal~A_1]
   UNSPLITVOC:	(yal~A)
          POS:	VERB
          VOC:	yal~A
        GLOSS:	lets go

 INPUT STRING:	بسرعة
     IS_TRANS:	bsrEp
        INDEX:	P96W1
      OFFSETS:	0-5
       TOKENS:	P96W1-P96W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[suroEap_1]
   UNSPLITVOC:	(bisuroEap)
          POS:	PREP+NOUN+NSUFF_FEM_SG
          VOC:	bi+suroE+ap
        GLOSS:	with/by+speed/velocity/promptness/speeds+[fem.sg.]

 INPUT STRING:	الوو
     IS_TRANS:	Alww
        INDEX:	P97W1
      OFFSETS:	0-4
       TOKENS:	P97W1-P97W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Aluw_1]
   UNSPLITVOC:	(Aluw)
          POS:	INTERJ
          VOC:	Aluw
        GLOSS:	hello

 INPUT STRING:	جميله
     IS_TRANS:	jmylh
        INDEX:	P98W1
      OFFSETS:	0-5
       TOKENS:	P98W1-P98W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jamiyl_1]
   UNSPLITVOC:	(jamiylap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	jamiyl+ap
        GLOSS:	beautiful/nice/fine (arts)+[fem.sg.]

 INPUT STRING:	جدا
     IS_TRANS:	jdA
        INDEX:	P98W2
      OFFSETS:	6-9
       TOKENS:	P98W2-P98W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jid~_1]
   UNSPLITVOC:	(jid~AF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	jid~+AF
        GLOSS:	seriousness/earnestness/very/much+[acc.indef.]

 INPUT STRING:	ما
     IS_TRANS:	mA
        INDEX:	P99W1
      OFFSETS:	0-2
       TOKENS:	P99W1-P99W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mA_1]
   UNSPLITVOC:	(mA)
          POS:	REL_PRON
          VOC:	mA
        GLOSS:	why/what/which

 INPUT STRING:	شا
     IS_TRANS:	$A
        INDEX:	P99W2
      OFFSETS:	3-5
       TOKENS:	P99W2-P99W2
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	($A)
          POS:	TYPO
          VOC:	$A
        GLOSS:	nogloss

 INPUT STRING:	الله
     IS_TRANS:	Allh
        INDEX:	P99W3
      OFFSETS:	6-10
       TOKENS:	P99W3-P99W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(All~ah)
          POS:	NOUN_PROP
          VOC:	All~ah
        GLOSS:	Allah/God

 INPUT STRING:	حاجة
     IS_TRANS:	HAjp
        INDEX:	P100W1
      OFFSETS:	0-4
       TOKENS:	P100W1-P100W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAjap_1]
   UNSPLITVOC:	(HAjap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	HAj+ap
        GLOSS:	need/needs/thing/belongings+[fem.sg.]

 INPUT STRING:	زي
     IS_TRANS:	zy
        INDEX:	P100W2
      OFFSETS:	5-7
       TOKENS:	P100W2-P100W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[zay~_1]
   UNSPLITVOC:	(zay~)
          POS:	NOUN
          VOC:	zay~
        GLOSS:	like

 INPUT STRING:	العشل
     IS_TRANS:	AlE$l
        INDEX:	P100W3
      OFFSETS:	8-13
       TOKENS:	P100W3-P100W3
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(AlE$l)
          POS:	TYPO
          VOC:	AlE$l
        GLOSS:	nogloss

 INPUT STRING:	ما
     IS_TRANS:	mA
        INDEX:	P100W4
      OFFSETS:	14-16
       TOKENS:	P100W4-P100W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mA_1]
   UNSPLITVOC:	(mA)
          POS:	REL_PRON
          VOC:	mA
        GLOSS:	why/what/which

 INPUT STRING:	شا
     IS_TRANS:	$A
        INDEX:	P100W5
      OFFSETS:	17-19
       TOKENS:	P100W5-P100W5
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	($A)
          POS:	TYPO
          VOC:	$A
        GLOSS:	nogloss

 INPUT STRING:	الله
     IS_TRANS:	Allh
        INDEX:	P100W6
      OFFSETS:	20-24
       TOKENS:	P100W6-P100W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(All~ah)
          POS:	NOUN_PROP
          VOC:	All~ah
        GLOSS:	Allah/God

 INPUT STRING:	اخد
     IS_TRANS:	Axd
        INDEX:	P101W1
      OFFSETS:	0-3
       TOKENS:	P101W1-P101W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[|axid_1]
   UNSPLITVOC:	(|axid)
          POS:	ADJ.VN
          VOC:	|axid
        GLOSS:	taking/captivating/engrossing/seizure

 INPUT STRING:	واحده
     IS_TRANS:	wAHdh
        INDEX:	P101W2
      OFFSETS:	4-9
       TOKENS:	P101W2-P101W2
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[wAHid_1]
   UNSPLITVOC:	(wAHidap)
          POS:	NOUN_NUM+NSUFF_FEM_SG
          VOC:	wAHid+ap
        GLOSS:	one+[fem.sg.]

 INPUT STRING:	عندي
     IS_TRANS:	Endy
        INDEX:	P101W3
      OFFSETS:	10-14
       TOKENS:	P101W3-P101W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eanod_1]
   UNSPLITVOC:	(Eanodiy)
          POS:	NOUN+POSS_PRON_1S
          VOC:	Eanod+iy
        GLOSS:	at/have/possession/with+my

 INPUT STRING:	علي
     IS_TRANS:	Ely
        INDEX:	P101W4
      OFFSETS:	15-18
       TOKENS:	P101W5-P101W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	الفيس
     IS_TRANS:	Alfys
        INDEX:	P101W5
      OFFSETS:	19-24
       TOKENS:	P101W6-P101W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiys_1]
   UNSPLITVOC:	(Alfiys)
          POS:	DET+NOUN
          VOC:	Al+fiys
        GLOSS:	the+facebook/face

 INPUT STRING:	ده
     IS_TRANS:	dh
        INDEX:	P102W1
      OFFSETS:	0-2
       TOKENS:	P102W1-P102W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dah_1]
   UNSPLITVOC:	(dah)
          POS:	DEM_PRON_MS
          VOC:	dah
        GLOSS:	this

 INPUT STRING:	الصور
     IS_TRANS:	AlSwr
        INDEX:	P102W2
      OFFSETS:	3-8
       TOKENS:	P102W2-P102W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Suwrap_1]
   UNSPLITVOC:	(AlSuwar)
          POS:	DET+NOUN
          VOC:	Al+Suwar
        GLOSS:	the+picture/image/illustration/photo/pictures/photographs/illustrations/photos

 INPUT STRING:	اختلفت
     IS_TRANS:	Axtlft
        INDEX:	P102W3
      OFFSETS:	9-15
       TOKENS:	P102W3-P102W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Aixotalaf_1]
   UNSPLITVOC:	(Aixotalafit)
          POS:	PV+PVSUFF_SUBJ:3FS
          VOC:	Aixotalaf+it
        GLOSS:	disagree/be different/fight/differ+it/they/she

 INPUT STRING:	كتير
     IS_TRANS:	ktyr
        INDEX:	P102W4
      OFFSETS:	16-20
       TOKENS:	P102W4-P102W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kitiyr_1]
   UNSPLITVOC:	(kitiyr)
          POS:	ADJ
          VOC:	kitiyr
        GLOSS:	numerous/many/several/much/a lot/very

 INPUT STRING:	عن
     IS_TRANS:	En
        INDEX:	P102W5
      OFFSETS:	21-23
       TOKENS:	P102W5-P102W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ean_1]
   UNSPLITVOC:	(Ean)
          POS:	PREP
          VOC:	Ean
        GLOSS:	(away) from/off/about/on/over

 INPUT STRING:	زمان
     IS_TRANS:	zmAn
        INDEX:	P102W6
      OFFSETS:	24-28
       TOKENS:	P102W6-P102W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[zamAn_1]
   UNSPLITVOC:	(zamAn)
          POS:	NOUN
          VOC:	zamAn
        GLOSS:	time/duration/times/durations

 INPUT STRING:	هههههههه
     IS_TRANS:	hhhhhhhh
        INDEX:	P103W1
      OFFSETS:	0-8
       TOKENS:	P103W1-P103W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[hah_1]
   UNSPLITVOC:	(hah)
          POS:	INTERJ
          VOC:	hah
        GLOSS:	to express happiness

 INPUT STRING:	اه
     IS_TRANS:	Ah
        INDEX:	P103W2
      OFFSETS:	9-11
       TOKENS:	P103W2-P103W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[|ah_1]
   UNSPLITVOC:	(|ah)
          POS:	INTERJ
          VOC:	|ah
        GLOSS:	yes

 INPUT STRING:	نحن
     IS_TRANS:	nHn
        INDEX:	P104W1
      OFFSETS:	0-3
       TOKENS:	P104W1-P104W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[naHnu_1]
   UNSPLITVOC:	(naHonu)
          POS:	PRON_1P
          VOC:	naHonu
        GLOSS:	we

 INPUT STRING:	نختلف
     IS_TRANS:	nxtlf
        INDEX:	P104W2
      OFFSETS:	4-9
       TOKENS:	P104W2-P104W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aixotalaf_1]
   UNSPLITVOC:	(nixotilif)
          POS:	IV1P+IV
          VOC:	ni+xotilif
        GLOSS:	we+disagree/be different/fight/differ

 INPUT STRING:	عن
     IS_TRANS:	En
        INDEX:	P104W3
      OFFSETS:	10-12
       TOKENS:	P104W3-P104W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ean_1]
   UNSPLITVOC:	(Ean)
          POS:	PREP
          VOC:	Ean
        GLOSS:	(away) from/off/about/on/over

 INPUT STRING:	الاخرون
     IS_TRANS:	AlAxrwn
        INDEX:	P104W4
      OFFSETS:	13-20
       TOKENS:	P104W4-P104W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Aaxar_1]
   UNSPLITVOC:	(AlAaxaruwn)
          POS:	DET+NOUN+NSUFF_MASC_PL
          VOC:	Al+Aaxar+uwn
        GLOSS:	the+others+[masc.pl.]

 INPUT STRING:	ههههههههه
     IS_TRANS:	hhhhhhhhh
        INDEX:	P105W1
      OFFSETS:	0-9
       TOKENS:	P105W1-P105W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[hah_1]
   UNSPLITVOC:	(hah)
          POS:	INTERJ
          VOC:	hah
        GLOSS:	to express happiness

 INPUT STRING:	دي
     IS_TRANS:	dy
        INDEX:	P106W1
      OFFSETS:	0-2
       TOKENS:	P106W1-P106W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[diy_1]
   UNSPLITVOC:	(diy)
          POS:	DEM_PRON_FS
          VOC:	diy
        GLOSS:	this

 INPUT STRING:	موضة
     IS_TRANS:	mwDp
        INDEX:	P106W2
