 INPUT STRING:	اي
          VOC:	wi+Al+nAs
        GLOSS:	and+the+people

 INPUT STRING:	حترجع
     IS_TRANS:	HtrjE
        INDEX:	P47W6
      OFFSETS:	27-32
       TOKENS:	P47W7-P47W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rijiE_1]
   UNSPLITVOC:	(HatirojaE)
          POS:	FUT_PART+IV3FS+IV
          VOC:	Ha+ti+rojaE
        GLOSS:	will+it/they/she+come back/go back/return back/return

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P47W7
      OFFSETS:	33-35
       TOKENS:	P47W9-P47W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	شغلها
     IS_TRANS:	$glhA
        INDEX:	P47W8
      OFFSETS:	36-41
       TOKENS:	P47W10-P47W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$ugol_1]
   UNSPLITVOC:	($ugolahA)
          POS:	NOUN+POSS_PRON_3FS
          VOC:	$ugol+hA
        GLOSS:	work/activity/occupation/labor/business+its/their/her

 INPUT STRING:	وتريح
     IS_TRANS:	wtryH
        INDEX:	P47W9
      OFFSETS:	42-47
       TOKENS:	P47W12-P47W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ray~aH_1]
   UNSPLITVOC:	(witiray~aH)
          POS:	CONJ+IV3FS+IV
          VOC:	wi+ti+ray~aH
        GLOSS:	and+it/they/she+make rest/make relax

 INPUT STRING:	وتيجي
     IS_TRANS:	wtyjy
        INDEX:	P47W10
      OFFSETS:	48-53
       TOKENS:	P47W14-P47W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jA_1]
   UNSPLITVOC:	(witiyojiy)
          POS:	CONJ+IV3FS+IV
          VOC:	wi+ti+yojiy
        GLOSS:	and+it/they/she+came/come

 INPUT STRING:	لك
     IS_TRANS:	lk
        INDEX:	P47W11
      OFFSETS:	54-56
       TOKENS:	P47W16-P47W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[li_1]
   UNSPLITVOC:	(liki)
          POS:	PREP+PRON_2FS
          VOC:	li+ik
        GLOSS:	for/to+you

 INPUT STRING:	كنتي
     IS_TRANS:	knty
        INDEX:	P48W1
      OFFSETS:	0-4
       TOKENS:	P48W1-P48W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(kuntiy)
          POS:	PV+PVSUFF_SUBJ:2FS
          VOC:	kun+tiy
        GLOSS:	be/was/were+you

 INPUT STRING:	عملتيه
     IS_TRANS:	Emltyh
        INDEX:	P48W2
      OFFSETS:	5-11
       TOKENS:	P48W2-P48W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eamal_1]
   UNSPLITVOC:	(Eamaltiyh)
          POS:	PV+PVSUFF_SUBJ:2FS+PVSUFF_DO:3MS
          VOC:	Eamal+tiy+uh
        GLOSS:	function/make/act/do+you+it/him

 INPUT STRING:	جمعة
     IS_TRANS:	jmEp
        INDEX:	P48W3
      OFFSETS:	12-16
       TOKENS:	P48W4-P48W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jumoEap_1]
   UNSPLITVOC:	(jumoEap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	jumoE+ap
        GLOSS:	Friday+[fem.sg.]

 INPUT STRING:	وهو
     IS_TRANS:	whw
        INDEX:	P49W1
      OFFSETS:	0-3
       TOKENS:	P49W1-P49W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[huw~a_1]
   UNSPLITVOC:	(wihuw~a)
          POS:	SUB_CONJ+PRON_3MS
          VOC:	wi+huw~a
        GLOSS:	while+it/he/an improper way/its/the self same/emphatic pronoun of the 3rd person/emphasizing a preceding noun/emphasizing a preceding suffix

 INPUT STRING:	أصلا
     IS_TRANS:	>SlA
        INDEX:	P49W2
      OFFSETS:	4-8
       TOKENS:	P49W3-P49W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aSol_1]
   UNSPLITVOC:	(>aSolAF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	>aSol+AF
        GLOSS:	origin/source/root/origins/sources/principles/originally/primarily+[acc.indef.]

 INPUT STRING:	اللي
     IS_TRANS:	Ally
        INDEX:	P49W3
      OFFSETS:	9-13
       TOKENS:	P49W4-P49W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	who/which/that

 INPUT STRING:	اختار
     IS_TRANS:	AxtAr
        INDEX:	P49W4
      OFFSETS:	14-19
       TOKENS:	P49W5-P49W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<ixotAr_1]
   UNSPLITVOC:	(AixotAr)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	AixotAr+(null)
        GLOSS:	choose/select+he/it

 INPUT STRING:	خميس
     IS_TRANS:	xmys
        INDEX:	P49W5
      OFFSETS:	20-24
       TOKENS:	P49W6-P49W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xamiys_1]
   UNSPLITVOC:	(xamiys)
          POS:	NOUN
          VOC:	xamiys
        GLOSS:	Thursday

 INPUT STRING:	عشان
     IS_TRANS:	E$An
        INDEX:	P49W6
      OFFSETS:	25-29
       TOKENS:	P49W7-P49W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$An_1]
   UNSPLITVOC:	(Ea$a>on)
          POS:	PREP+NOUN
          VOC:	Ea+$a>on
        GLOSS:	on/above+situation/matters/case/condition/status/matter/affairs/importance

 INPUT STRING:	صابح
     IS_TRANS:	SAbH
        INDEX:	P49W7
      OFFSETS:	30-34
       TOKENS:	P49W9-P49W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[SAbiH_1]
   UNSPLITVOC:	(SAbiH)
          POS:	NOUN
          VOC:	SAbiH
        GLOSS:	tomorow

 INPUT STRING:	جمعة
     IS_TRANS:	jmEp
        INDEX:	P49W8
      OFFSETS:	35-39
       TOKENS:	P49W10-P49W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jumoEap_1]
   UNSPLITVOC:	(jumoEap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	jumoE+ap
        GLOSS:	Friday+[fem.sg.]

 INPUT STRING:	اجازة
     IS_TRANS:	AjAzp
        INDEX:	P49W9
      OFFSETS:	40-45
       TOKENS:	P49W11-P49W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>ajAzap_1]
   UNSPLITVOC:	(>ajAzap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	>ajAz+ap
        GLOSS:	furlough/permit/holiday/leave/certificate/degree/forgiveness/pardon+[fem.sg.]

 INPUT STRING:	#
     IS_TRANS:	#
        INDEX:	P50W1
      OFFSETS:	0-1
       TOKENS:	P50W1-P50W1
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(#)
          POS:	PUNC
          VOC:	#
        GLOSS:	#

 INPUT STRING:	فانا
     IS_TRANS:	fAnA
        INDEX:	P51W1
      OFFSETS:	0-4
       TOKENS:	P51W1-P51W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(faAnA)
          POS:	CONJ+PRON_1S
          VOC:	fa+AnA
        GLOSS:	so/and+I/me

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P51W2
      OFFSETS:	5-7
       TOKENS:	P51W3-P51W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	عارفة
     IS_TRANS:	EArfp
        INDEX:	P51W3
      OFFSETS:	8-13
       TOKENS:	P51W4-P51W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EArif_1]
   UNSPLITVOC:	(EArofap)
          POS:	ADJ.VN+NSUFF_FEM_SG
          VOC:	EArof+ap
        GLOSS:	knowing/having knowledge of+[fem.sg.]

 INPUT STRING:	إيه
     IS_TRANS:	<yh
        INDEX:	P51W4
      OFFSETS:	14-17
       TOKENS:	P51W5-P51W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aayoh_1]
   UNSPLITVOC:	(>ayoh)
          POS:	INTERROG_PRON
          VOC:	>ayoh
        GLOSS:	what

 INPUT STRING:	أخر
     IS_TRANS:	>xr
        INDEX:	P51W5
      OFFSETS:	18-21
       TOKENS:	P51W6-P51W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>axar_1]
   UNSPLITVOC:	(>axar)
          POS:	ADJ
          VOC:	>axar
        GLOSS:	other/others/another

 INPUT STRING:	كلام
     IS_TRANS:	klAm
        INDEX:	P51W6
      OFFSETS:	22-26
       TOKENS:	P51W7-P51W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kalAm_1]
   UNSPLITVOC:	(kalAm)
          POS:	NOUN
          VOC:	kalAm
        GLOSS:	speech/statement/remark/talk/saying

 INPUT STRING:	أصلا
     IS_TRANS:	>SlA
        INDEX:	P51W7
      OFFSETS:	27-31
       TOKENS:	P51W8-P51W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aSol_1]
   UNSPLITVOC:	(>aSolAF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	>aSol+AF
        GLOSS:	origin/source/root/origins/sources/principles/originally/primarily+[acc.indef.]

 INPUT STRING:	يوه
     IS_TRANS:	ywh
        INDEX:	P52W1
      OFFSETS:	0-3
       TOKENS:	P52W1-P52W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yuwh_1]
   UNSPLITVOC:	(yuwh)
          POS:	INTERJ
          VOC:	yuwh
        GLOSS:	Used when somebody is fed up.

 INPUT STRING:	كل
     IS_TRANS:	kl
        INDEX:	P53W1
      OFFSETS:	0-2
       TOKENS:	P53W1-P53W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(kul~)
          POS:	NOUN_QUANT
          VOC:	kul~
        GLOSS:	all/entire/every/whole

 INPUT STRING:	يوم
     IS_TRANS:	ywm
        INDEX:	P53W2
      OFFSETS:	3-6
       TOKENS:	P53W2-P53W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yawm_1]
   UNSPLITVOC:	(yawm)
          POS:	NOUN
          VOC:	yawm
        GLOSS:	today/day/some day/ever/days

 INPUT STRING:	مليون
     IS_TRANS:	mlywn
        INDEX:	P53W3
      OFFSETS:	7-12
       TOKENS:	P53W3-P53W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[miloyuwon_1]
   UNSPLITVOC:	(miloyuwon)
          POS:	NOUN_NUM
          VOC:	miloyuwon
        GLOSS:	million

 INPUT STRING:	حوار
     IS_TRANS:	HwAr
        INDEX:	P53W4
      OFFSETS:	13-17
       TOKENS:	P53W4-P53W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HiwAr_1]
   UNSPLITVOC:	(HiwAr)
          POS:	NOUN
          VOC:	HiwAr
        GLOSS:	conversation/dialogue/discussion/discussions/talks

 INPUT STRING:	بس
     IS_TRANS:	bs
        INDEX:	P54W1
      OFFSETS:	0-2
       TOKENS:	P54W1-P54W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bas~_1]
   UNSPLITVOC:	(bas~)
          POS:	CONJ
          VOC:	bas~
        GLOSS:	but

 INPUT STRING:	ابن
     IS_TRANS:	Abn
        INDEX:	P54W2
      OFFSETS:	3-6
       TOKENS:	P54W2-P54W2
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(Abn)
          POS:	FOREIGN
          VOC:	Abn
        GLOSS:	nogloss

 INPUT STRING:	أيه
     IS_TRANS:	>yh
        INDEX:	P54W3
      OFFSETS:	7-10
       TOKENS:	P54W3-P54W3
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(>yh)
          POS:	FOREIGN
          VOC:	>yh
        GLOSS:	nogloss

 INPUT STRING:	يعني
     IS_TRANS:	yEny
        INDEX:	P54W4
      OFFSETS:	11-15
       TOKENS:	P54W4-P54W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EanaY_1]
   UNSPLITVOC:	(yaEoniy)
          POS:	IV3MS+IV
          VOC:	ya+Eoniy
        GLOSS:	he/it+mean/signify/concern/be meant/be signified/be concerned (with)

 INPUT STRING:	بيكون
     IS_TRANS:	bykwn
        INDEX:	P54W5
      OFFSETS:	16-21
       TOKENS:	P54W5-P54W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(biyikuwn)
          POS:	PROG_PART+IV3MS+IV
          VOC:	bi+yi+kuwn
        GLOSS:	[present-tense]+he/it+be/was/were

 INPUT STRING:	العصر
     IS_TRANS:	AlESr
        INDEX:	P54W6
      OFFSETS:	22-27
       TOKENS:	P54W7-P54W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EaSor_1]
   UNSPLITVOC:	(AlEaSor)
          POS:	DET+NOUN
          VOC:	Al+EaSor
        GLOSS:	the+age/period/epoch/ages/periods/epochs/compression/squeezing

 INPUT STRING:	أحلى
     IS_TRANS:	>HlY
        INDEX:	P54W7
      OFFSETS:	28-32
       TOKENS:	P54W8-P54W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aHolaY_1]
   UNSPLITVOC:	(>aHolaY)
          POS:	ADJ_COMP
          VOC:	>aHolaY
        GLOSS:	more sweet

 INPUT STRING:	قولي
     IS_TRANS:	qwly
        INDEX:	P55W1
      OFFSETS:	0-4
       TOKENS:	P55W1-P55W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(quwliy)
          POS:	CV+CVSUFF_SUBJ:2FS
          VOC:	quwl+iy
        GLOSS:	said/say/be said/(for example)+you

 INPUT STRING:	له
     IS_TRANS:	lh
        INDEX:	P55W2
      OFFSETS:	5-7
       TOKENS:	P55W2-P55W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[li_1]
   UNSPLITVOC:	(luh)
          POS:	PREP+PRON_3MS
          VOC:	li+uh
        GLOSS:	to/him (it/he has)/them/her (it/she has/they have)/for+gloss

 INPUT STRING:	#
     IS_TRANS:	#
        INDEX:	P55W3
      OFFSETS:	8-9
       TOKENS:	P55W4-P55W4
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(#)
          POS:	PUNC
          VOC:	#
        GLOSS:	#

 INPUT STRING:	هو
     IS_TRANS:	hw
        INDEX:	P55W4
      OFFSETS:	10-12
       TOKENS:	P55W5-P55W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[huw~a_1]
   UNSPLITVOC:	(huw~a)
          POS:	PRON_3MS
          VOC:	huw~a
        GLOSS:	it/he/an improper way/its/the self same/emphatic pronoun of the 3rd person/emphasizing a preceding noun/emphasizing a preceding suffix

 INPUT STRING:	همه
     IS_TRANS:	hmh
        INDEX:	P55W5
      OFFSETS:	13-16
       TOKENS:	P55W6-P55W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ham~_1]
   UNSPLITVOC:	(ham~uh)
          POS:	NOUN+POSS_PRON_3MS
          VOC:	ham~+uh
        GLOSS:	concern/interest/concerns/interests+his/its

 INPUT STRING:	الناس
     IS_TRANS:	AlnAs
        INDEX:	P55W6
      OFFSETS:	17-22
       TOKENS:	P55W8-P55W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nAs_1]
   UNSPLITVOC:	(AlnAs)
          POS:	DET+NOUN
          VOC:	Al+nAs
        GLOSS:	the+people

 INPUT STRING:	وتيجي
     IS_TRANS:	wtyjy
        INDEX:	P55W7
      OFFSETS:	23-28
       TOKENS:	P55W9-P55W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jih_1]
   UNSPLITVOC:	(witiyojiy)
          POS:	CONJ+IV3FS+IV
          VOC:	wi+ti+yojiy
        GLOSS:	and+it/they/she+occur/came/come/reach/arrive

 INPUT STRING:	مرتاحة
     IS_TRANS:	mrtAHp
        INDEX:	P55W8
      OFFSETS:	29-35
       TOKENS:	P55W11-P55W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mirotAH_1]
   UNSPLITVOC:	(mirotAHap)
          POS:	ADJ.VN+NSUFF_FEM_SG
          VOC:	mirotAH+ap
        GLOSS:	resting/relaxed/comfortable/in easy circumstances+[fem.sg.]

 INPUT STRING:	والصور
     IS_TRANS:	wAlSwr
        INDEX:	P56W1
      OFFSETS:	0-6
       TOKENS:	P56W1-P56W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Suwrap_1]
   UNSPLITVOC:	(wiAlSuwar)
          POS:	CONJ+DET+NOUN
          VOC:	wi+Al+Suwar
        GLOSS:	and+the+picture/image/illustration/photo/pictures/photographs/illustrations/photos

 INPUT STRING:	بتكون
     IS_TRANS:	btkwn
        INDEX:	P56W2
      OFFSETS:	7-12
       TOKENS:	P56W3-P56W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(bitikuwn)
          POS:	PROG_PART+IV3FS+IV
          VOC:	bi+ti+kuwn
        GLOSS:	[present-tense]+it/they/she+be/was/were

 INPUT STRING:	جميلة
     IS_TRANS:	jmylp
        INDEX:	P56W3
      OFFSETS:	13-18
       TOKENS:	P56W5-P56W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jamiyl_1]
   UNSPLITVOC:	(jamiylap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	jamiyl+ap
        GLOSS:	beautiful/nice/fine (arts)+[fem.sg.]

 INPUT STRING:	عشان
     IS_TRANS:	E$An
        INDEX:	P56W4
      OFFSETS:	19-23
       TOKENS:	P56W6-P56W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$An_1]
   UNSPLITVOC:	(Ea$a>on)
          POS:	PREP+NOUN
          VOC:	Ea+$a>on
        GLOSS:	on/above+situation/matters/case/condition/status/matter/affairs/importance

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P56W5
      OFFSETS:	24-26
       TOKENS:	P56W8-P56W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	النهار
     IS_TRANS:	AlnhAr
        INDEX:	P56W6
      OFFSETS:	27-33
       TOKENS:	P56W9-P56W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nahAr_1]
   UNSPLITVOC:	(AlnahAr)
          POS:	DET+NOUN
          VOC:	Al+nahAr
        GLOSS:	the+daytime/day/by day/during the day

 INPUT STRING:	مع
     IS_TRANS:	mE
        INDEX:	P56W7
      OFFSETS:	34-36
       TOKENS:	P56W10-P56W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maEa_1]
   UNSPLITVOC:	(maE)
          POS:	NOUN
          VOC:	maEa
        GLOSS:	with

 INPUT STRING:	القردان
     IS_TRANS:	AlqrdAn
        INDEX:	P56W8
      OFFSETS:	37-44
       TOKENS:	P56W11-P56W11
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(AlqrdAn)
          POS:	FOREIGN
          VOC:	AlqrdAn
        GLOSS:	nogloss

 INPUT STRING:	وألوان
     IS_TRANS:	w>lwAn
        INDEX:	P56W9
      OFFSETS:	45-51
       TOKENS:	P56W12-P56W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lawn_1]
   UNSPLITVOC:	(wiAlowAn)
          POS:	CONJ+NOUN
          VOC:	wi+AlowAn
        GLOSS:	and+color/tint/colors/tints/type/sort/types/sorts

 INPUT STRING:	السما
     IS_TRANS:	AlsmA
        INDEX:	P56W10
      OFFSETS:	52-57
       TOKENS:	P56W14-P56W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[samA_1]
   UNSPLITVOC:	(AlsamA)
          POS:	DET+NOUN
          VOC:	Al+samA
        GLOSS:	the+sky/heaven/heavens/skies

 INPUT STRING:	كده
     IS_TRANS:	kdh
        INDEX:	P56W11
      OFFSETS:	58-61
       TOKENS:	P56W15-P56W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kidah_1]
   UNSPLITVOC:	(kidah)
          POS:	NOUN
          VOC:	kidah
        GLOSS:	this/after all that time/in this way/approximately/like that/as such/that/like

 INPUT STRING:	انا
     IS_TRANS:	AnA
        INDEX:	P57W1
      OFFSETS:	0-3
       TOKENS:	P57W1-P57W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(AnA)
          POS:	PRON_1S
          VOC:	AnA
        GLOSS:	I/me

 INPUT STRING:	عامل
     IS_TRANS:	EAml
        INDEX:	P57W2
      OFFSETS:	4-8
       TOKENS:	P57W2-P57W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EAmil_1]
   UNSPLITVOC:	(EAmil)
          POS:	ADJ
          VOC:	EAmil
        GLOSS:	active/operating/working

 INPUT STRING:	العصر
     IS_TRANS:	AlESr
        INDEX:	P57W3
      OFFSETS:	9-14
       TOKENS:	P57W3-P57W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EaSor_1]
   UNSPLITVOC:	(AlEaSor)
          POS:	DET+NOUN
          VOC:	Al+EaSor
        GLOSS:	the+age/period/epoch/ages/periods/epochs/compression/squeezing

 INPUT STRING:	للتصوير
     IS_TRANS:	lltSwyr
        INDEX:	P57W4
      OFFSETS:	15-22
       TOKENS:	P57W4-P57W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[taSowiyr_1]
   UNSPLITVOC:	(lilt~aSowiyr)
          POS:	PREP+DET+NOUN
          VOC:	li+Al+taSowiyr
        GLOSS:	for/to+the+photography/filming/illustration/depiction/characterization

 INPUT STRING:	واللي
     IS_TRANS:	wAlly
        INDEX:	P57W5
      OFFSETS:	23-28
       TOKENS:	P57W6-P57W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(waAlliy)
          POS:	CONJ+REL_PRON
          VOC:	wa+Alliy
        GLOSS:	and+who/which/that

 INPUT STRING:	حابب
     IS_TRANS:	HAbb
        INDEX:	P57W6
      OFFSETS:	29-33
       TOKENS:	P57W8-P57W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAbib_1]
   UNSPLITVOC:	(HAbib)
          POS:	ADJ.VN
          VOC:	HAbib
        GLOSS:	liking/loving/desirous/wishing/wanting

 INPUT STRING:	يجيي
     IS_TRANS:	yjyy
