 INPUT STRING:	بابا
          VOC:	wi+Al+Hamod
        GLOSS:	and+the+commendation/praise

 INPUT STRING:	llh
     IS_TRANS:	llh
        INDEX:	P35W4
      OFFSETS:	16-19
       TOKENS:	P35W6-P35W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(lil~ah)
          POS:	PREP+NOUN_PROP
          VOC:	li+All~ah
        GLOSS:	for/to+Allah/God

 INPUT STRING:	المهم
     IS_TRANS:	Almhm
        INDEX:	P35W5
      OFFSETS:	20-25
       TOKENS:	P35W8-P35W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[muhim~_1]
   UNSPLITVOC:	(Almuhim~)
          POS:	DET+NOUN
          VOC:	Al+muhim~
        GLOSS:	the+main thing/most important thing

 INPUT STRING:	إنك
     IS_TRANS:	<nk
        INDEX:	P35W6
      OFFSETS:	26-29
       TOKENS:	P35W9-P35W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~ik)
          POS:	SUB_CONJ+PRON_2FS
          VOC:	<in~+ik
        GLOSS:	that+you

 INPUT STRING:	تفرشية
     IS_TRANS:	tfr$yp
        INDEX:	P35W7
      OFFSETS:	30-36
       TOKENS:	P35W11-P35W12
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[fara$-i_1]
   UNSPLITVOC:	(tafori$iyhi)
          POS:	IV2FS+IV+IVSUFF_SUBJ:2FS_MOOD:SJ+IVSUFF_DO:3MS
          VOC:	ta+fori$+iy+hi
        GLOSS:	you [fem.sg.]+cover/pave+[fem.sg.]+it/him

 INPUT STRING:	ديما
     IS_TRANS:	dymA
        INDEX:	P35W8
      OFFSETS:	37-41
       TOKENS:	P35W13-P35W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dayim_1]
   UNSPLITVOC:	(dayimAF)
          POS:	ADJ+CASE_INDEF_ACC
          VOC:	dayim+AF
        GLOSS:	always+[acc.indef.]

 INPUT STRING:	وتفرحي
     IS_TRANS:	wtfrHy
        INDEX:	P35W9
      OFFSETS:	42-48
       TOKENS:	P35W14-P35W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[faraH_1]
   UNSPLITVOC:	(watiforaHiy)
          POS:	CONJ+IV2FS+IV+IVSUFF_SUBJ:2FS
          VOC:	wa+ti+foraH+iy
        GLOSS:	and+you [fem.sg.]+gladden/make merry+you

 INPUT STRING:	بيه
     IS_TRANS:	byh
        INDEX:	P35W10
      OFFSETS:	49-52
       TOKENS:	P35W16-P35W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bi_1]
   UNSPLITVOC:	(biuh)
          POS:	PREP+PRON_3MS
          VOC:	bi+uh
        GLOSS:	with/by/him/them/her+he/it

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P35W11
      OFFSETS:	53-54
       TOKENS:	P35W18-P35W18
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P35W12
      OFFSETS:	54-55
       TOKENS:	P35W19-P35W19
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P35W13
      OFFSETS:	55-56
       TOKENS:	P35W20-P35W20
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P35W14
      OFFSETS:	57-59
       TOKENS:	P35W21-P35W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	تفرشية
     IS_TRANS:	tfr$yp
        INDEX:	P35W15
      OFFSETS:	60-66
       TOKENS:	P35W22-P35W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[fara$_1]
   UNSPLITVOC:	(tafori$iyhi)
          POS:	IV2FS+IV+IVSUFF_SUBJ:2FS_MOOD:SJ+IVSUFF_DO:3MS
          VOC:	ta+fori$+iy+hi
        GLOSS:	you [fem.sg.]+cover/pave+[fem.sg.]+it/him

 INPUT STRING:	sAEp
     IS_TRANS:	sAEp
        INDEX:	P35W16
      OFFSETS:	67-71
       TOKENS:	P35W24-P35W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sAEap_1]
   UNSPLITVOC:	(sAEap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	sAE+ap
        GLOSS:	hour/time/hours/clock/watch/timepiece/clocks/watches+[fem.sg.]

 INPUT STRING:	وبعدها
     IS_TRANS:	wbEdhA
        INDEX:	P35W17
      OFFSETS:	72-78
       TOKENS:	P35W25-P35W27
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baEod_1]
   UNSPLITVOC:	(wibaEodahA)
          POS:	CONJ+NOUN+POSS_PRON_3FS
          VOC:	wi+baEod+hA
        GLOSS:	and+after/if/unless/whether/as long as/as soon as/which+its/their/her

 INPUT STRING:	يترمي
     IS_TRANS:	ytrmy
        INDEX:	P35W18
      OFFSETS:	79-84
       TOKENS:	P35W28-P35W28
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[AitramaY_1]
   UNSPLITVOC:	(yitorimiy)
          POS:	IV3MS+IV_PASS
          VOC:	yi+torimiy
        GLOSS:	he/it+throw/fling/shoot/be thrown/be flung/be shot

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P35W19
      OFFSETS:	85-86
       TOKENS:	P35W29-P35W29
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P35W20
      OFFSETS:	86-87
       TOKENS:	P35W30-P35W30
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P35W21
      OFFSETS:	87-88
       TOKENS:	P35W31-P35W31
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	بإذن
     IS_TRANS:	b<*n
        INDEX:	P35W22
      OFFSETS:	89-93
       TOKENS:	P35W32-P35W33
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<i*on_1]
   UNSPLITVOC:	(bi<i*on)
          POS:	PREP+NOUN
          VOC:	bi+<i*on
        GLOSS:	with/by+permission/authorization/bonds

 INPUT STRING:	الله
     IS_TRANS:	Allh
        INDEX:	P35W23
      OFFSETS:	94-98
       TOKENS:	P35W34-P35W34
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(All~ah)
          POS:	NOUN_PROP
          VOC:	All~ah
        GLOSS:	Allah/God

 INPUT STRING:	ywm
     IS_TRANS:	ywm
        INDEX:	P35W24
      OFFSETS:	99-102
       TOKENS:	P35W35-P35W35
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yawm_1]
   UNSPLITVOC:	(yawm)
          POS:	NOUN
          VOC:	yawm
        GLOSS:	today/day/some day/ever/days

 INPUT STRING:	الجمعة
     IS_TRANS:	AljmEp
        INDEX:	P35W25
      OFFSETS:	103-109
       TOKENS:	P35W36-P35W36
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jumoEap_1]
   UNSPLITVOC:	(AljumoEap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+jumoE+ap
        GLOSS:	the+Friday+[fem.sg.]

 INPUT STRING:	هشترية
     IS_TRANS:	h$tryp
        INDEX:	P35W26
      OFFSETS:	110-116
       TOKENS:	P35W37-P35W39
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ai$otaraY_1]
   UNSPLITVOC:	(HaAa$otiriyh)
          POS:	FUT_PART+IV1S+IV+IVSUFF_DO:3MS
          VOC:	Ha+Aa+$otiriy+uh
        GLOSS:	will+I+buy+it/him

 INPUT STRING:	نانسى
     IS_TRANS:	nAnsY
        INDEX:	P36W1
      OFFSETS:	0-5
       TOKENS:	P36W1-P36W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nAnosiy_1]
   UNSPLITVOC:	(nAnosiy)
          POS:	NOUN_PROP
          VOC:	nAnosiy
        GLOSS:	Nancy

 INPUT STRING:	نسيت
     IS_TRANS:	nsyt
        INDEX:	P36W2
      OFFSETS:	6-10
       TOKENS:	P36W2-P36W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nisiy_1]
   UNSPLITVOC:	(nisiyt)
          POS:	PV+PVSUFF_SUBJ:1S
          VOC:	nisiy+t
        GLOSS:	forget/forgot+I

 INPUT STRING:	اقو
     IS_TRANS:	Aqw
        INDEX:	P36W3
      OFFSETS:	11-14
       TOKENS:	P36W3-P36W3
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(Aqw)
          POS:	TYPO
          VOC:	Aqw
        GLOSS:	nogloss

 INPUT STRING:	لك
     IS_TRANS:	lk
        INDEX:	P36W4
      OFFSETS:	15-17
       TOKENS:	P36W4-P36W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[li_1]
   UNSPLITVOC:	(liik)
          POS:	PREP+PRON_2FS
          VOC:	li+ik
        GLOSS:	to/him (it/he has)/them/her (it/she has/they have)/for+you

 INPUT STRING:	HAjp
     IS_TRANS:	HAjp
        INDEX:	P36W5
      OFFSETS:	18-22
       TOKENS:	P36W6-P36W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAjap_1]
   UNSPLITVOC:	(HAjap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	HAj+ap
        GLOSS:	need/needs/thing/belongings+[fem.sg.]

 INPUT STRING:	مهمة
     IS_TRANS:	mhmp
        INDEX:	P36W6
      OFFSETS:	23-27
       TOKENS:	P36W7-P36W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[muhim~ap_1]
   UNSPLITVOC:	(muhim~ap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	muhim~+ap
        GLOSS:	important+[fem.sg.]

 INPUT STRING:	jdAAAA
     IS_TRANS:	jdAAAA
        INDEX:	P36W7
      OFFSETS:	28-34
       TOKENS:	P36W8-P36W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[jid~_1]
   UNSPLITVOC:	(jid~AF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	jid~+AF
        GLOSS:	very much+[acc.indef.]

 INPUT STRING:	why
     IS_TRANS:	why
        INDEX:	P36W8
      OFFSETS:	35-38
       TOKENS:	P36W9-P36W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hiy~a_1]
   UNSPLITVOC:	(wihiy~a)
          POS:	CONJ+PRON_3FS
          VOC:	wi+hiy~a
        GLOSS:	and+it/they/she

 INPUT STRING:	انا
     IS_TRANS:	AnA
        INDEX:	P36W9
      OFFSETS:	39-42
       TOKENS:	P36W11-P36W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(AnA)
          POS:	PRON_1S
          VOC:	AnA
        GLOSS:	I/me

 INPUT STRING:	kl
     IS_TRANS:	kl
        INDEX:	P36W10
      OFFSETS:	43-45
       TOKENS:	P36W12-P36W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(kul~)
          POS:	NOUN_QUANT
          VOC:	kul~
        GLOSS:	all/entire/every/whole

 INPUT STRING:	ywm
     IS_TRANS:	ywm
        INDEX:	P36W11
      OFFSETS:	46-49
       TOKENS:	P36W13-P36W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yawm_1]
   UNSPLITVOC:	(yawm)
          POS:	NOUN
          VOC:	yawm
        GLOSS:	today/day/some day/ever/days

 INPUT STRING:	باقول
     IS_TRANS:	bAqwl
        INDEX:	P36W12
      OFFSETS:	50-55
       TOKENS:	P36W14-P36W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(bAaquwl)
          POS:	PROG_PART+IV1S+IV
          VOC:	bi+Aa+quwl
        GLOSS:	[present-tense]+I+said/say/be said/(for example)

 INPUT STRING:	لبابا
     IS_TRANS:	lbAbA
        INDEX:	P36W13
      OFFSETS:	56-61
       TOKENS:	P36W16-P36W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bAbA_1]
   UNSPLITVOC:	(libAbA)
          POS:	PREP+NOUN
          VOC:	li+bAbA
        GLOSS:	for/to+Pope

 INPUT STRING:	أحمد
     IS_TRANS:	>Hmd
        INDEX:	P36W14
      OFFSETS:	62-66
       TOKENS:	P36W18-P36W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aHomad_1]
   UNSPLITVOC:	(>aHomad)
          POS:	NOUN_PROP
          VOC:	>aHomad
        GLOSS:	Ahmad/Ahmed

 INPUT STRING:	يروح
     IS_TRANS:	yrwH
        INDEX:	P36W15
      OFFSETS:	67-71
       TOKENS:	P36W19-P36W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rAH_1]
   UNSPLITVOC:	(yiruwH)
          POS:	IV3MS+IV
          VOC:	yi+ruwH
        GLOSS:	he/it+begin/go

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P36W16
      OFFSETS:	71-72
       TOKENS:	P36W20-P36W20
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	لدكتور
     IS_TRANS:	ldktwr
        INDEX:	P36W17
      OFFSETS:	73-79
       TOKENS:	P36W21-P36W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dukotawr_1]
   UNSPLITVOC:	(lidukotawr)
          POS:	PREP+NOUN
          VOC:	li+dukotawr
        GLOSS:	for/to+doctor

 INPUT STRING:	الاسنان
     IS_TRANS:	AlAsnAn
        INDEX:	P36W18
      OFFSETS:	80-87
       TOKENS:	P36W23-P36W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sin~_1]
   UNSPLITVOC:	(Al>asonAn)
          POS:	DET+NOUN
          VOC:	Al+>asonAn
        GLOSS:	the+tooth/teeth/spearheads/age (of a person)/ages (of persons)

 INPUT STRING:	عشأن
     IS_TRANS:	E$>n
        INDEX:	P36W19
      OFFSETS:	88-92
       TOKENS:	P36W24-P36W25
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$a>on_1]
   UNSPLITVOC:	(Ea$a>on)
          POS:	PREP+NOUN
          VOC:	Ea+$a>on
        GLOSS:	on/above+matter/affair/case/importance/status/situation/condition/affairs

 INPUT STRING:	السنة
     IS_TRANS:	Alsnp
        INDEX:	P36W20
      OFFSETS:	93-98
       TOKENS:	P36W26-P36W26
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sin~ap_1]
   UNSPLITVOC:	(Alsin~ap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+sin~+ap
        GLOSS:	the+teeth+[fem.sg.]

 INPUT STRING:	الخلوعة
     IS_TRANS:	AlxlwEp
        INDEX:	P36W21
      OFFSETS:	99-106
       TOKENS:	P36W27-P36W27
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(AlxlwEp)
          POS:	TYPO
          VOC:	AlxlwEp
        GLOSS:	nogloss

 INPUT STRING:	زي
     IS_TRANS:	zy
        INDEX:	P36W22
      OFFSETS:	107-109
       TOKENS:	P36W28-P36W28
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[zay~_1]
   UNSPLITVOC:	(zay~)
          POS:	NOUN
          VOC:	zay~
        GLOSS:	like/as

 INPUT STRING:	ماقولتيلي
     IS_TRANS:	mAqwltyly
        INDEX:	P36W23
      OFFSETS:	110-119
       TOKENS:	P36W29-P36W32
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(mAquwltiyliiy)
          POS:	SUB_CONJ+PV+PVSUFF_SUBJ:2FS+PREP+PRON_1S
          VOC:	mA+quwl+tiy+li+iy
        GLOSS:	that+said/say/be said/(for example)+you+to/for+I

 INPUT STRING:	إنه
     IS_TRANS:	<nh
        INDEX:	P36W24
      OFFSETS:	120-123
       TOKENS:	P36W33-P36W34
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~uh)
          POS:	SUB_CONJ+PRON_3MS
          VOC:	<in~+uh
        GLOSS:	that+he/it

 INPUT STRING:	لازم
     IS_TRANS:	lAzm
        INDEX:	P36W25
      OFFSETS:	124-128
       TOKENS:	P36W35-P36W35
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lAzim_1]
   UNSPLITVOC:	(lAzim)
          POS:	ADJ
          VOC:	lAzim
        GLOSS:	necessary/required/needed

 INPUT STRING:	يركبها
     IS_TRANS:	yrkbhA
        INDEX:	P36W26
      OFFSETS:	129-135
       TOKENS:	P36W36-P36W37
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rak~ib_1]
   UNSPLITVOC:	(yirak~ibhA)
          POS:	IV3MS+IV+IVSUFF_DO:3FS
          VOC:	yi+rak~ib+hA
        GLOSS:	he/it+take /ride+it/them/her

 INPUT STRING:	whw
     IS_TRANS:	whw
        INDEX:	P36W27
      OFFSETS:	136-139
       TOKENS:	P36W38-P36W39
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[huw~a_1]
   UNSPLITVOC:	(wihuw~a)
          POS:	CONJ+PRON_3MS
          VOC:	wi+huw~a
        GLOSS:	and+it/he/an improper way/its/the self same/emphatic pronoun of the 3rd person/emphasizing a preceding noun/emphasizing a preceding suffix

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P36W28
      OFFSETS:	140-142
       TOKENS:	P36W40-P36W40
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	بيسمع
     IS_TRANS:	bysmE
        INDEX:	P36W29
      OFFSETS:	143-148
       TOKENS:	P36W41-P36W42
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[simiE_1]
   UNSPLITVOC:	(biyisomaE)
          POS:	PROG_PART+IV3MS+IV
          VOC:	bi+yi+somaE
        GLOSS:	[present-tense]+he/it+listen/hear

 INPUT STRING:	لكلامي
     IS_TRANS:	lklAmy
        INDEX:	P36W30
      OFFSETS:	149-155
       TOKENS:	P36W43-P36W45
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kalAm_1]
   UNSPLITVOC:	(likalAmiy)
          POS:	PREP+NOUN+POSS_PRON_1S
          VOC:	li+kalAm+iy
        GLOSS:	for/to+speech/statement/remark/talk/saying+my

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P37W1
      OFFSETS:	0-1
       TOKENS:	P37W1-P37W1
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P37W2
      OFFSETS:	1-2
       TOKENS:	P37W2-P37W2
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P37W3
      OFFSETS:	2-3
       TOKENS:	P37W3-P37W3
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	flw
     IS_TRANS:	flw
        INDEX:	P37W4
      OFFSETS:	3-6
       TOKENS:	P37W4-P37W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[law_1]
   UNSPLITVOC:	(falaw)
          POS:	CONJ+SUB_CONJ
          VOC:	fa+law
        GLOSS:	so/and+if

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P37W5
      OFFSETS:	6-7
       TOKENS:	P37W6-P37W6
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	انتي
     IS_TRANS:	Anty
        INDEX:	P37W6
      OFFSETS:	8-12
       TOKENS:	P37W7-P37W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ainotiy_1]
   UNSPLITVOC:	(Ainotiy)
          POS:	PRON_2FS
          VOC:	Ainotiy
        GLOSS:	you [fem.sg.]/you/feminine

 INPUT STRING:	كلمتي
     IS_TRANS:	klmty
        INDEX:	P37W7
      OFFSETS:	13-18
       TOKENS:	P37W8-P37W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kal~im_1]
   UNSPLITVOC:	(kal~imtiy)
          POS:	PV+PVSUFF_SUBJ:2FS
          VOC:	kal~im+tiy
        GLOSS:	talk/speak/talk to+you

 INPUT STRING:	bAbA
     IS_TRANS:	bAbA
        INDEX:	P37W8
      OFFSETS:	19-23
       TOKENS:	P37W9-P37W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bAbA_1]
   UNSPLITVOC:	(bAbA)
          POS:	NOUN
          VOC:	bAbA
        GLOSS:	baba

 INPUT STRING:	واكدتي
     IS_TRANS:	wAkdty
        INDEX:	P37W9
      OFFSETS:	24-30
       TOKENS:	P37W10-P37W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>ak~id_1]
   UNSPLITVOC:	(wi>ak~idtiy)
          POS:	CONJ+PV+PVSUFF_SUBJ:2FS
          VOC:	wi+>ak~id+tiy
        GLOSS:	and+ensure/assure/confirm/ascetain/endorse/guarantee/stress/insist+you

 INPUT STRING:	عليه
     IS_TRANS:	Elyh
        INDEX:	P37W10
      OFFSETS:	31-35
       TOKENS:	P37W12-P37W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaYuh)
          POS:	PREP+PRON_3MS
          VOC:	EalaY+uh
        GLOSS:	on/above+him

 INPUT STRING:	وقولتي
     IS_TRANS:	wqwlty
        INDEX:	P37W11
      OFFSETS:	36-42
       TOKENS:	P37W14-P37W15
