 INPUT STRING:	أمنية
      COMMENT:	[]
        LEMMA:	[rab~_1]
   UNSPLITVOC:	(rab~)
          POS:	NOUN
          VOC:	rab~
        GLOSS:	lord/master/lords/masters/owner/proprietor/owners/proprietors

 INPUT STRING:	آمين
     IS_TRANS:	|myn
        INDEX:	P66W1
      OFFSETS:	0-4
       TOKENS:	P66W1-P66W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[|amiyn_1]
   UNSPLITVOC:	(|amiyn)
          POS:	VERB
          VOC:	|amiyn
        GLOSS:	amen!/respond/answer

 INPUT STRING:	انا
     IS_TRANS:	AnA
        INDEX:	P67W1
      OFFSETS:	0-3
       TOKENS:	P67W1-P67W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(AnA)
          POS:	PRON_1S
          VOC:	AnA
        GLOSS:	I/me

 INPUT STRING:	هأقوم
     IS_TRANS:	h>qwm
        INDEX:	P67W2
      OFFSETS:	4-9
       TOKENS:	P67W2-P67W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[qAm_1]
   UNSPLITVOC:	(HaAaquwm)
          POS:	FUT_PART+IV1S+IV
          VOC:	Ha+Aa+quwm
        GLOSS:	will+I+go

 INPUT STRING:	نو
     IS_TRANS:	nw
        INDEX:	P67W3
      OFFSETS:	10-12
       TOKENS:	P67W4-P67W4
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(nw)
          POS:	FOREIGN
          VOC:	nw
        GLOSS:	nogloss

 INPUT STRING:	دير
     IS_TRANS:	dyr
        INDEX:	P67W4
      OFFSETS:	13-16
       TOKENS:	P67W5-P67W5
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(dyr)
          POS:	FOREIGN
          VOC:	dyr
        GLOSS:	nogloss

 INPUT STRING:	هأدعي
     IS_TRANS:	h>dEy
        INDEX:	P68W1
      OFFSETS:	0-5
       TOKENS:	P68W1-P68W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[daEaY_1]
   UNSPLITVOC:	(HaAadoEiy)
          POS:	FUT_PART+IV1S+IV
          VOC:	Ha+Aa+doEiy
        GLOSS:	will+I+pray

 INPUT STRING:	لك
     IS_TRANS:	lk
        INDEX:	P68W2
      OFFSETS:	6-8
       TOKENS:	P68W3-P68W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[li_1]
   UNSPLITVOC:	(liki)
          POS:	PREP+PRON_2FS
          VOC:	li+ik
        GLOSS:	for/to+you

 INPUT STRING:	إن
     IS_TRANS:	<n
        INDEX:	P68W3
      OFFSETS:	9-11
       TOKENS:	P68W5-P68W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in_1]
   UNSPLITVOC:	(<in)
          POS:	SUB_CONJ
          VOC:	<in
        GLOSS:	Although/(even) though/even if/despite/in spite of the fact that/verily/truly

 INPUT STRING:	شاء
     IS_TRANS:	$A'
        INDEX:	P68W4
      OFFSETS:	12-15
       TOKENS:	P68W6-P68W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$A'_1]
   UNSPLITVOC:	($A')
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	$A'+(null)
        GLOSS:	want/desire/wish+he/it

 INPUT STRING:	الله
     IS_TRANS:	Allh
        INDEX:	P68W5
      OFFSETS:	16-20
       TOKENS:	P68W7-P68W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(All~ah)
          POS:	NOUN_PROP
          VOC:	All~ah
        GLOSS:	Allah/God

 INPUT STRING:	#
     IS_TRANS:	#
        INDEX:	P68W6
      OFFSETS:	21-22
       TOKENS:	P68W8-P68W8
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(#)
          POS:	PUNC
          VOC:	#
        GLOSS:	#

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P69W1
      OFFSETS:	0-2
       TOKENS:	P69W1-P69W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	حفظ
     IS_TRANS:	HfZ
        INDEX:	P69W2
      OFFSETS:	3-6
       TOKENS:	P69W2-P69W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HifoZ_1]
   UNSPLITVOC:	(HifoZ)
          POS:	NOUN
          VOC:	HifoZ
        GLOSS:	preservation/retention/guarding

 INPUT STRING:	الله
     IS_TRANS:	Allh
        INDEX:	P69W3
      OFFSETS:	7-11
       TOKENS:	P69W3-P69W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(All~ah)
          POS:	NOUN_PROP
          VOC:	All~ah
        GLOSS:	Allah/God

 INPUT STRING:	يا
     IS_TRANS:	yA
        INDEX:	P69W4
      OFFSETS:	12-14
       TOKENS:	P69W4-P69W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yA_1]
   UNSPLITVOC:	(yA)
          POS:	VOC_PART
          VOC:	yA
        GLOSS:	O/oh

 INPUT STRING:	رب
     IS_TRANS:	rb
        INDEX:	P69W5
      OFFSETS:	15-17
       TOKENS:	P69W5-P69W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rab~_1]
   UNSPLITVOC:	(rab~)
          POS:	NOUN
          VOC:	rab~
        GLOSS:	lord/master/lords/masters/owner/proprietor/owners/proprietors

 INPUT STRING:	وانتي
     IS_TRANS:	wAnty
        INDEX:	P70W1
      OFFSETS:	0-5
       TOKENS:	P70W1-P70W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ainotiy_1]
   UNSPLITVOC:	(wiAinotiy)
          POS:	CONJ+PRON_2FS
          VOC:	wi+Ainotiy
        GLOSS:	and+you [fem.sg.]/you/feminine

 INPUT STRING:	كمان
     IS_TRANS:	kmAn
        INDEX:	P70W2
      OFFSETS:	6-10
       TOKENS:	P70W3-P70W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kamAn_1]
   UNSPLITVOC:	(kamAn)
          POS:	ADV
          VOC:	kamAn
        GLOSS:	metabolism/also/else

