 INPUT STRING:	الوو
        LEMMA:	[>ugoniyap_1]
   UNSPLITVOC:	(Al>ugoniyap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+>ugoniy+ap
        GLOSS:	the+song/melody/songs/melodies+[fem.sg.]

 INPUT STRING:	المبدا
     IS_TRANS:	AlmbdA
        INDEX:	P19W4
      OFFSETS:	17-23
       TOKENS:	P19W4-P19W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maboda>_1]
   UNSPLITVOC:	(Almaboda>)
          POS:	DET+NOUN
          VOC:	Al+maboda>
        GLOSS:	the+principle/basis/principles/bases

 INPUT STRING:	نفسة
     IS_TRANS:	nfsp
        INDEX:	P19W5
      OFFSETS:	24-28
       TOKENS:	P19W5-P19W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nafos_1]
   UNSPLITVOC:	(nafosuh)
          POS:	NOUN+POSS_PRON_3MS
          VOC:	nafos+uh
        GLOSS:	same/self/selves/soul/souls+his/its

 INPUT STRING:	الناس
     IS_TRANS:	AlnAs
        INDEX:	P20W1
      OFFSETS:	0-5
       TOKENS:	P20W1-P20W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nAs_1]
   UNSPLITVOC:	(AlnAs)
          POS:	DET+NOUN
          VOC:	Al+nAs
        GLOSS:	the+people

 INPUT STRING:	هنا
     IS_TRANS:	hnA
        INDEX:	P20W2
      OFFSETS:	6-9
       TOKENS:	P20W2-P20W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hinA_1]
   UNSPLITVOC:	(hinA)
          POS:	ADV
          VOC:	hinA
        GLOSS:	here/from now on/somewhere

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P20W3
      OFFSETS:	10-12
       TOKENS:	P20W3-P20W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	مصر
     IS_TRANS:	mSr
        INDEX:	P20W4
      OFFSETS:	13-16
       TOKENS:	P20W4-P20W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maSor_1]
   UNSPLITVOC:	(maSor)
          POS:	NOUN_PROP
          VOC:	maSor
        GLOSS:	Egypt

 INPUT STRING:	متحملين
     IS_TRANS:	mtHmlyn
        INDEX:	P20W5
      OFFSETS:	17-24
       TOKENS:	P20W5-P20W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[mitoHam~il_1]
   UNSPLITVOC:	(mitoHam~iliyn)
          POS:	ADJ+NSUFF_MASC_PL
          VOC:	mitoHam~il+iyn
        GLOSS:	baring+[masc.pl.]

 INPUT STRING:	كلهم
     IS_TRANS:	klhm
        INDEX:	P20W6
      OFFSETS:	25-29
       TOKENS:	P20W6-P20W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(kul~uhum)
          POS:	NOUN_QUANT+POSS_PRON_3P
          VOC:	kul~+hum
        GLOSS:	all/entire/every/whole+their

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P20W7
      OFFSETS:	30-33
       TOKENS:	P20W8-P20W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[EalaY_2]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	اللي
     IS_TRANS:	Ally
        INDEX:	P20W8
      OFFSETS:	34-38
       TOKENS:	P20W9-P20W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	who/which/that

 INPUT STRING:	كانه
     IS_TRANS:	kAnh
        INDEX:	P20W9
      OFFSETS:	39-43
       TOKENS:	P20W10-P20W10
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(kAnh)
          POS:	TYPO
          VOC:	kAnh
        GLOSS:	nogloss

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P20W10
      OFFSETS:	44-46
       TOKENS:	P20W11-P20W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	رابعة
     IS_TRANS:	rAbEp
        INDEX:	P20W11
      OFFSETS:	47-52
       TOKENS:	P20W12-P20W12
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[rAbiEap_1]
   UNSPLITVOC:	(rAbiEap)
          POS:	NOUN_PROP+NSUFF_FEM_SG
          VOC:	rAbiE+ap
        GLOSS:	Rabi'a+[fem.sg.]

 INPUT STRING:	شوفتي
     IS_TRANS:	$wfty
        INDEX:	P21W1
      OFFSETS:	0-5
       TOKENS:	P21W1-P21W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$Af_1]
   UNSPLITVOC:	($uwftiy)
          POS:	PV+PVSUFF_SUBJ:2FS
          VOC:	$uwf+tiy
        GLOSS:	look+you

 INPUT STRING:	بتسالني
     IS_TRANS:	btsAlny
        INDEX:	P21W2
      OFFSETS:	6-13
       TOKENS:	P21W2-P21W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sa>al_1]
   UNSPLITVOC:	(bitiso>alniy)
          POS:	PROG_PART+IV3FS+IV+IVSUFF_DO:1S
          VOC:	bi+ti+so>al+niy
        GLOSS:	[present-tense]+it/they/she+ask/inquire/request/be asked+me

 INPUT STRING:	انتي
     IS_TRANS:	Anty
        INDEX:	P21W3
      OFFSETS:	14-18
       TOKENS:	P21W5-P21W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ainotiy_1]
   UNSPLITVOC:	(Ainotiy)
          POS:	PRON_2FS
          VOC:	Ainotiy
        GLOSS:	you [fem.sg.]/you/feminine

 INPUT STRING:	مقتنعه
     IS_TRANS:	mqtnEh
        INDEX:	P21W4
      OFFSETS:	19-25
       TOKENS:	P21W6-P21W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[muqotaniE_1]
   UNSPLITVOC:	(muqotaniEap)
          POS:	ADJ.VN+NSUFF_FEM_SG
          VOC:	muqotaniE+ap
        GLOSS:	satisfied/content/convinced+[fem.sg.]

 INPUT STRING:	بالكلام
     IS_TRANS:	bAlklAm
        INDEX:	P21W5
      OFFSETS:	26-33
       TOKENS:	P21W7-P21W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kilomap_1]
   UNSPLITVOC:	(biAlkalAm)
          POS:	PREP+DET+NOUN
          VOC:	bi+Al+kalAm
        GLOSS:	with/by+the+word

 INPUT STRING:	ده
     IS_TRANS:	dh
        INDEX:	P21W6
      OFFSETS:	34-36
       TOKENS:	P21W9-P21W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dah_1]
   UNSPLITVOC:	(dah)
          POS:	DEM_PRON_MS
          VOC:	dah
        GLOSS:	this

 INPUT STRING:	يعني
     IS_TRANS:	yEny
        INDEX:	P22W1
      OFFSETS:	0-4
       TOKENS:	P22W1-P22W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EanaY_1]
   UNSPLITVOC:	(yaEoniy)
          POS:	IV3MS+IV
          VOC:	ya+Eoniy
        GLOSS:	he/it+mean/signify/concern/be meant/be signified/be concerned (with)

 INPUT STRING:	السوال
     IS_TRANS:	AlswAl
        INDEX:	P22W2
      OFFSETS:	5-11
       TOKENS:	P22W2-P22W2
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(AlswAl)
          POS:	TYPO
          VOC:	AlswAl
        GLOSS:	nogloss

 INPUT STRING:	نفسه
     IS_TRANS:	nfsh
        INDEX:	P22W3
      OFFSETS:	12-16
       TOKENS:	P22W3-P22W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nafos_1]
   UNSPLITVOC:	(nafosuh)
          POS:	NOUN+POSS_PRON_3MS
          VOC:	nafos+uh
        GLOSS:	same/self/selves/soul/souls+his/its

 INPUT STRING:	غلط
     IS_TRANS:	glT
        INDEX:	P22W4
      OFFSETS:	17-20
       TOKENS:	P22W5-P22W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[galaT_1]
   UNSPLITVOC:	(galaT)
          POS:	ADJ
          VOC:	galaT
        GLOSS:	wrong

 INPUT STRING:	يعني
     IS_TRANS:	yEny
        INDEX:	P22W5
      OFFSETS:	21-25
       TOKENS:	P22W6-P22W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EanaY_1]
   UNSPLITVOC:	(yaEoniy)
          POS:	IV3MS+IV
          VOC:	ya+Eoniy
        GLOSS:	he/it+mean/signify/concern/be meant/be signified/be concerned (with)

 INPUT STRING:	انا
     IS_TRANS:	AnA
        INDEX:	P22W6
      OFFSETS:	26-29
       TOKENS:	P22W7-P22W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(AnA)
          POS:	PRON_1S
          VOC:	AnA
        GLOSS:	I/me

 INPUT STRING:	هكتب
     IS_TRANS:	hktb
        INDEX:	P22W7
      OFFSETS:	30-34
       TOKENS:	P22W8-P22W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[katab_1]
   UNSPLITVOC:	(HaAakotib)
          POS:	FUT_PART+IV1S+IV
          VOC:	Ha+Aa+kotib
        GLOSS:	will+I+write/be written/be fated/be destined

 INPUT STRING:	حاجة
     IS_TRANS:	HAjp
        INDEX:	P22W8
      OFFSETS:	35-39
       TOKENS:	P22W10-P22W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAjap_1]
   UNSPLITVOC:	(HAjap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	HAj+ap
        GLOSS:	need/needs/thing/belongings+[fem.sg.]

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P22W9
      OFFSETS:	40-42
       TOKENS:	P22W11-P22W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	مقتنعه
     IS_TRANS:	mqtnEh
        INDEX:	P22W10
      OFFSETS:	43-49
       TOKENS:	P22W12-P22W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[muqotaniE_1]
   UNSPLITVOC:	(muqotaniEap)
          POS:	ADJ.VN+NSUFF_FEM_SG
          VOC:	muqotaniE+ap
        GLOSS:	satisfied/content/convinced+[fem.sg.]

 INPUT STRING:	بيها
     IS_TRANS:	byhA
        INDEX:	P22W11
      OFFSETS:	50-54
       TOKENS:	P22W13-P22W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bi_1]
   UNSPLITVOC:	(bihA)
          POS:	PREP+PRON_3FS
          VOC:	bi+hA
        GLOSS:	with/by/him/them/her+her

 INPUT STRING:	علشان
     IS_TRANS:	El$An
        INDEX:	P23W1
      OFFSETS:	0-5
       TOKENS:	P23W1-P23W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ea$An_1]
   UNSPLITVOC:	(Eala$An)
          POS:	PREP+NOUN
          VOC:	EalaY+$An
        GLOSS:	on/above+situation/case/matters/because of/matter/status/condition/for sake of

 INPUT STRING:	كان
     IS_TRANS:	kAn
        INDEX:	P23W2
      OFFSETS:	6-9
       TOKENS:	P23W3-P23W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(kAn)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	kAn+(null)
        GLOSS:	be/was/were+he/it

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P23W3
      OFFSETS:	10-12
       TOKENS:	P23W4-P23W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiyh)
          POS:	PREP+PRON_3MS
          VOC:	fiy+uh
        GLOSS:	in+it/him

 INPUT STRING:	تهديدات
     IS_TRANS:	thdydAt
        INDEX:	P23W4
      OFFSETS:	13-20
       TOKENS:	P23W6-P23W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tahodiyd_1]
   UNSPLITVOC:	(tahodiydAt)
          POS:	NOUN+NSUFF_FEM_PL
          VOC:	tahodiyd+At
        GLOSS:	threat/menace/danger/threats/dangers/threatening/menacing+[fem.pl.]

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P23W5
      OFFSETS:	21-23
       TOKENS:	P23W7-P23W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	القيادات
     IS_TRANS:	AlqyAdAt
        INDEX:	P23W6
      OFFSETS:	24-32
       TOKENS:	P23W8-P23W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qiyAdap_2]
   UNSPLITVOC:	(AlqiyAdAt)
          POS:	DET+NOUN+NSUFF_FEM_PL
          VOC:	Al+qiyAd+At
        GLOSS:	the+leadership/command/leaders/commanders+[fem.pl.]

 INPUT STRING:	بتعاتهم
     IS_TRANS:	btEAthm
        INDEX:	P23W7
      OFFSETS:	33-40
       TOKENS:	P23W9-P23W9
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(btEAthm)
          POS:	TYPO
          VOC:	btEAthm
        GLOSS:	nogloss

 INPUT STRING:	يا
     IS_TRANS:	yA
        INDEX:	P23W8
      OFFSETS:	41-43
       TOKENS:	P23W10-P23W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yA_1]
   UNSPLITVOC:	(yA)
          POS:	VOC_PART
          VOC:	yA
        GLOSS:	O/oh

 INPUT STRING:	اماني
     IS_TRANS:	AmAny
        INDEX:	P23W9
      OFFSETS:	44-49
       TOKENS:	P23W11-P23W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AamAniy_1]
   UNSPLITVOC:	(AmAniy)
          POS:	NOUN_PROP
          VOC:	AmAniy
        GLOSS:	Amani

 INPUT STRING:	وهم
     IS_TRANS:	whm
        INDEX:	P23W10
      OFFSETS:	50-53
       TOKENS:	P23W12-P23W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hum~a_1]
   UNSPLITVOC:	(wihum~a)
          POS:	CONJ+PRON_3P
          VOC:	wi+hum~a
        GLOSS:	and+they [masc.pl]/they

 INPUT STRING:	عارفين
     IS_TRANS:	EArfyn
        INDEX:	P23W11
      OFFSETS:	54-60
       TOKENS:	P23W14-P23W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EArif_1]
   UNSPLITVOC:	(EArofiyn)
          POS:	ADJ+NSUFF_MASC_PL
          VOC:	EArof+iyn
        GLOSS:	knowing/having knowledge of+pl.]

 INPUT STRING:	تهديدات
     IS_TRANS:	thdydAt
        INDEX:	P23W12
      OFFSETS:	61-68
       TOKENS:	P23W15-P23W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tahodiyd_1]
   UNSPLITVOC:	(tahodiydAt)
          POS:	NOUN+NSUFF_FEM_PL
          VOC:	tahodiyd+At
        GLOSS:	threat/menace/danger/threats/dangers/threatening/menacing+[fem.pl.]

 INPUT STRING:	البلتاجي
     IS_TRANS:	AlbltAjy
        INDEX:	P23W13
      OFFSETS:	69-77
       TOKENS:	P23W16-P23W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[balotAjiy_1]
   UNSPLITVOC:	(AlbalotAjiy)
          POS:	DET+NOUN_PROP
          VOC:	Al+balotAjiy
        GLOSS:	the+Beltaji/Baltaji

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P23W14
      OFFSETS:	78-79
       TOKENS:	P23W17-P23W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wi_1]
   UNSPLITVOC:	(wi)
          POS:	CONJ
          VOC:	wi
        GLOSS:	and/particle introducing an oath

 INPUT STRING:	صفوت
     IS_TRANS:	Sfwt
        INDEX:	P23W15
      OFFSETS:	80-84
       TOKENS:	P23W18-P23W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Safowat_1]
   UNSPLITVOC:	(Safowat)
          POS:	NOUN_PROP
          VOC:	Safowat
        GLOSS:	Safwat

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P23W16
      OFFSETS:	85-86
       TOKENS:	P23W19-P23W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wi_1]
   UNSPLITVOC:	(wi)
          POS:	CONJ
          VOC:	wi
        GLOSS:	and/particle introducing an oath

 INPUT STRING:	بديع
     IS_TRANS:	bdyE
        INDEX:	P23W17
      OFFSETS:	87-91
       TOKENS:	P23W20-P23W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[badiyE_1]
   UNSPLITVOC:	(badiyE)
          POS:	NOUN_PROP
          VOC:	badiyE
        GLOSS:	Badie

 INPUT STRING:	بحرق
     IS_TRANS:	bHrq
        INDEX:	P23W18
      OFFSETS:	92-96
       TOKENS:	P23W21-P23W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Haroq_1]
   UNSPLITVOC:	(biHaroq)
          POS:	PREP+NOUN
          VOC:	bi+Haroq
        GLOSS:	with/by+burning/fire/burns

 INPUT STRING:	مصر
     IS_TRANS:	mSr
        INDEX:	P23W19
      OFFSETS:	97-100
       TOKENS:	P23W23-P23W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maSor_1]
   UNSPLITVOC:	(maSor)
          POS:	NOUN_PROP
          VOC:	maSor
        GLOSS:	Egypt

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P23W20
      OFFSETS:	101-102
       TOKENS:	P23W24-P23W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wi_1]
   UNSPLITVOC:	(wi)
          POS:	CONJ
          VOC:	wi
        GLOSS:	and/particle introducing an oath

 INPUT STRING:	القتل
     IS_TRANS:	Alqtl
        INDEX:	P23W21
      OFFSETS:	103-108
       TOKENS:	P23W25-P23W25
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qatol_1]
   UNSPLITVOC:	(Alqatol)
          POS:	DET+NOUN
          VOC:	Al+qatol
        GLOSS:	the+murder/killing

 INPUT STRING:	والحاجات
     IS_TRANS:	wAlHAjAt
        INDEX:	P23W22
      OFFSETS:	109-117
       TOKENS:	P23W26-P23W27
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAjap_1]
   UNSPLITVOC:	(wiAlHAjAt)
          POS:	CONJ+DET+NOUN+NSUFF_FEM_PL
          VOC:	wi+Al+HAj+At
        GLOSS:	and+the+need/needs/thing/belongings+[fem.pl.]

 INPUT STRING:	دي
     IS_TRANS:	dy
        INDEX:	P23W23
      OFFSETS:	118-120
       TOKENS:	P23W28-P23W28
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[diy_1]
   UNSPLITVOC:	(diy)
          POS:	DEM_PRON_FS
          VOC:	diy
        GLOSS:	this

 INPUT STRING:	ده
     IS_TRANS:	dh
        INDEX:	P24W1
      OFFSETS:	0-2
       TOKENS:	P24W1-P24W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dah_1]
   UNSPLITVOC:	(dah)
          POS:	DEM_PRON_MS
          VOC:	dah
        GLOSS:	this

 INPUT STRING:	كلام
     IS_TRANS:	klAm
        INDEX:	P24W2
      OFFSETS:	3-7
       TOKENS:	P24W2-P24W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kilomap_1]
   UNSPLITVOC:	(kalAm)
          POS:	NOUN
          VOC:	kalAm
        GLOSS:	word

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P25W1
      OFFSETS:	0-2
       TOKENS:	P25W1-P25W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	الهوا
     IS_TRANS:	AlhwA
        INDEX:	P25W2
      OFFSETS:	3-8
       TOKENS:	P25W2-P25W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hawaY_1]
   UNSPLITVOC:	(AlhawA)
          POS:	DET+NOUN
          VOC:	Al+hawA
        GLOSS:	the+air

 INPUT STRING:	فكلهم
     IS_TRANS:	fklhm
        INDEX:	P26W1
      OFFSETS:	0-5
       TOKENS:	P26W1-P26W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(fakul~uhum)
          POS:	CONNEC_PART+NOUN_QUANT+POSS_PRON_3P
          VOC:	fa+kul~+hum
        GLOSS:	so/then+all/entire/every/whole+their

 INPUT STRING:	كرهنهم
     IS_TRANS:	krhnhm
        INDEX:	P26W2
      OFFSETS:	6-12
       TOKENS:	P26W4-P26W4
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dialect]
   UNSPLITVOC:	(krhnhm)
          POS:	DIALECT
          VOC:	krhnhm
        GLOSS:	nogloss

 INPUT STRING:	علشان
     IS_TRANS:	El$An
        INDEX:	P27W1
      OFFSETS:	0-5
       TOKENS:	P27W1-P27W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ea$An_1]
   UNSPLITVOC:	(Eala$An)
          POS:	PREP+NOUN
          VOC:	EalaY+$An
        GLOSS:	on/above+situation/case/matters/because of/matter/status/condition/for sake of

 INPUT STRING:	كلهم
     IS_TRANS:	klhm
        INDEX:	P27W2
      OFFSETS:	6-10
       TOKENS:	P27W3-P27W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(kul~uhum)
          POS:	NOUN_QUANT+POSS_PRON_3P
          VOC:	kul~+hum
        GLOSS:	all/entire/every/whole+their

 INPUT STRING:	كانه
     IS_TRANS:	kAnh
        INDEX:	P27W3
      OFFSETS:	11-15
       TOKENS:	P27W5-P27W5
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(kAnh)
          POS:	TYPO
          VOC:	kAnh
        GLOSS:	nogloss

 INPUT STRING:	رضين
     IS_TRANS:	rDyn
        INDEX:	P27W4
      OFFSETS:	16-20
       TOKENS:	P27W6-P27W6
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(rDyn)
          POS:	TYPO
          VOC:	rDyn
        GLOSS:	nogloss

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P27W5
      OFFSETS:	21-22
       TOKENS:	P27W7-P27W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wi_1]
   UNSPLITVOC:	(wi)
          POS:	CONJ
          VOC:	wi
        GLOSS:	and

 INPUT STRING:	اعدين
